Block,Time Block,FSTPP I & II,JHAJJAR,DHAULIGNGA,DULHASTI,KGSU1AND2,KGSU3AND4,ANTA_RF,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,ANTA_LF,URI2,AURY_GF,UNCHAHAR3,ANTA_GF,AURY_CRF,TelanganaSTPP,UNCHAHAR2,URI,ANTA_CRF,DADRT2,TALST2,SASAN,SINGRAULI_HYDRO,SIMHST1,SALAL,SIMHST2,SEWA2,TALA,SINGRAULI,TEHRI,TANDA2,TANAKPUR,TEHRIPSP,RAPPC,RIHAND2,RSTPSU1TO6,RSTPSU7,RIHAND1,RAPPB,RAPPD,RAMPUR,RIHAND3,BSIUL,CHAMERA3,BRBCL,CHAMERA2,CHAMERA1,NLCEXP,NJPC,NLCIIST1,NTPL,NLCIIST2,PARBATI2,NAPP,NLCTS2EXP,NNTPP,PARBATI3,MAPS,KUDGI,KOTESHWR,KKNPPU2,KOLDAM,DADRI_CRF,DADRI_RF,AURY_RF,DADRI_LF,AURY_LF,DADRI_GF,KHSTPP-II,KISHANGANGA,KHSTPP-I,KKNP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,18.13,191.66,42.38,56.22,0,0,0,20.77,1.93,0,0,38.88,0,26.51,0,0,0,43,50.6,0,517.96,0,334.32,1.12,0,82.54,0,0,28.98,150.35,30.55,3.74,11.76,57.08,66.26,121.49,0,0,90.17,0,24.78,6.8,127.92,12.6,33.91,15.32,47.26,40.73,0,175.07,0,0,0,42.26,23.79,0,0,57.19,0,0,10.09,0,10.29,0,0,0,0,0,0,143.32,8.47,44,0,0,0,0,0,0

2,00:15-00:30,18.13,159.46,42.38,56.22,0,0,0,20.77,1.93,0,0,38.88,0,26.51,0,0,0,43,50.6,0,444.74,0,334.32,1.12,0,82.54,0,0,28.98,150.35,30.55,3.74,11.76,57.08,66.26,121.49,0,0,90.17,0,24.78,6.8,127.92,12.6,33.91,13.41,47.26,40.73,0,175.07,0,0,0,42.26,23.79,0,0,57.19,0,0,10.09,0,10.29,0,0,0,0,0,0,143.32,8.47,44,0,0,0,0,0,0

3,00:30-00:45,18.13,133.36,42.38,56.22,0,0,0,20.77,1.93,0,0,38.88,0,26.51,0,0,0,43,29.87,0,444.74,0,334.32,1.12,0,82.54,0,0,28.98,150.35,30.55,3.74,11.76,57.08,66.26,121.49,0,0,90.17,0,24.78,6.8,127.92,12.6,33.91,12.61,47.26,40.73,0,175.07,0,0,0,42.26,23.79,0,0,57.19,0,0,10.09,0,10.29,0,0,0,0,0,0,143.32,8.47,44,0,0,0,0,0,0

4,00:45-01:00,18.13,133.36,42.38,56.22,0,0,0,20.77,1.93,0,0,38.88,0,26.33,0,0,0,43,29.87,0,444.74,0,334.32,1.12,0,82.54,0,0,28.98,150.35,30.55,3.74,11.76,57.08,66.26,121.49,0,0,90.17,0,24.78,6.8,127.92,12.6,33.91,12.47,47.26,40.73,0,175.07,0,0,0,42.26,23.79,0,0,57.19,0,0,10.09,0,10.29,0,0,0,0,0,0,143.32,8.47,44,0,0,0,0,0,0

5,01:00-01:15,18.13,127.56,42.38,56.22,0,0,0,17.54,1.93,0,0,31.1,0,22.86,0,0,0,37.27,29.87,0,444.74,0,334.32,1.12,0,82.54,0,0,28.98,150.35,30.55,3.74,11.76,57.08,66.26,121.49,0,0,90.17,0,24.78,6.8,127.92,12.6,33.91,12.58,47.26,40.73,0,175.07,0,0,0,56.1,23.79,0,0,57.19,0,0,10.09,0,10.29,0,0,0,0,0,0,143.32,8.47,44,0,0,0,0,0,0

