Time,Block,NR/2023/17165/A,NR/2023/14875/A,NR/2023/17510/F,NR/2023/17496/F,NR/2023/17746/C,WR/2023/19090/A,NR/2023/17263/F,NR/2023/17344/F,NR/2023/17402/F,NR/2023/17745/C,Total
,,NVVNL,APPCPL,GBHHPL,IEXL,TPDDL,TPTCL,APPCPL,ITCLH,MANIKARAN,NVVNL,Total

,,NA,DELHI,HIMACHAL PRADESH,KARNATAKA,HIMACHAL PRADESH,DELHI,DELHI,ANDHRA PRADESH,DELHI,NA,
,,SKS Raigarh,BYPL,GBHHPL,NSLSUGAR,CHANJUII,BYPL,BRPL,ITCWIND,BRPL,SOLAPUR_SOLAR,
,,DELHI,HIMACHAL PRADESH,DELHI,DELHI,DELHI,MAHARASHTRA,HIMACHAL PRADESH,DELHI,HIMACHAL PRADESH,DELHI,
,,NDMC,HP,DIAPL,MES (Delhi),TPDDL,TPC MSEB,HP,ITCLH,HP,MES (Delhi),
,,West-North,North-North,North-North,South-East-North,North-North,North-West,North-North,South-West-North,North-North,West-North,
1,00:00-00:15,62.910000,68.340000,1.010000,6.780000,6.010000,0.000000,159.210000,0.580000,0.000000,0,304.84

2,00:15-00:30,62.910000,68.340000,1.010000,6.780000,6.010000,0.000000,159.210000,0.580000,0.000000,0,304.84

3,00:30-00:45,62.910000,68.340000,1.010000,6.780000,6.010000,0.000000,159.210000,0.580000,0.000000,0,304.84

4,00:45-01:00,62.910000,68.340000,1.010000,6.780000,6.010000,0.000000,159.210000,0.580000,0.000000,0,304.84

5,01:00-01:15,62.910000,68.340000,1.010000,6.780000,5.910000,0.000000,159.210000,0.530000,0.000000,0,304.69

6,01:15-01:30,62.910000,68.340000,1.010000,6.780000,5.910000,0.000000,159.210000,0.530000,0.000000,0,304.69

7,01:30-01:45,62.910000,68.340000,1.010000,6.780000,5.910000,0.000000,159.210000,0.530000,0.000000,0,304.69

8,01:45-02:00,62.910000,68.340000,1.010000,6.780000,5.910000,0.000000,159.210000,0.530000,0.000000,0,304.69

9,02:00-02:15,62.910000,68.340000,1.010000,6.780000,5.910000,0.000000,159.210000,0.530000,0.000000,0,304.69

10,02:15-02:30,62.910000,68.340000,1.010000,6.780000,5.910000,0.000000,159.210000,0.530000,0.000000,0,304.69

11,02:30-02:45,62.910000,68.340000,1.010000,6.780000,5.910000,0.000000,159.210000,0.530000,0.000000,0,304.69

12,02:45-03:00,62.910000,68.340000,1.010000,6.780000,5.910000,0.000000,159.210000,0.530000,0.000000,0,304.69

13,03:00-03:15,62.910000,68.340000,1.010000,6.780000,5.910000,0.000000,159.210000,0.530000,0.000000,0,304.69

14,03:15-03:30,62.910000,68.340000,1.010000,6.780000,5.910000,0.000000,159.210000,0.530000,0.000000,0,304.69

15,03:30-03:45,62.910000,68.340000,1.010000,6.780000,5.910000,0.000000,159.210000,0.530000,0.000000,0,304.69

16,03:45-04:00,62.910000,68.340000,1.010000,6.780000,5.910000,0.000000,159.210000,0.530000,0.000000,0,304.69

17,04:00-04:15,62.910000,68.340000,1.010000,6.780000,5.910000,0.000000,159.210000,0.530000,0.000000,0,304.69

18,04:15-04:30,62.910000,68.340000,1.010000,6.780000,5.910000,0.000000,159.210000,0.530000,0.000000,0,304.69

19,04:30-04:45,62.910000,68.340000,1.010000,6.780000,5.910000,0.000000,159.210000,0.530000,0.000000,0,304.69

20,04:45-05:00,62.910000,68.340000,1.010000,6.780000,5.910000,0.000000,159.210000,0.530000,0.000000,0,304.69

