Block,Time,DADRT2,CHAMERA3,TANDA2,DADRI_CRF,ANTA_CRF,URI,ANTA_GF,NAPP,RIHAND1,AURY_RF,CHAMERA2,ANTA_RF,URI2,DADRI_LF,DADRI_RF,NJPC,RAMPUR,UNCHAHAR4,SEWA2,UNCHAHAR2,JHAJJAR,KOTESHWR,RIHAND3,DULHASTI,UNCHAHAR1,SALAL,AURY_LF,RIHAND2,AURY_CRF,SINGRAULI_HYDRO,SINGRAULI,RAPPC,TANAKPUR,RAPPB,DADRI_GF,KISHANGANGA,KOLDAM,DHAULIGNGA,PARBATI3,BSIUL,UNCHAHAR3,AURY_GF,ANTA_LF,TEHRI,CHAMERA1,BRBCL,KHSTPP-I,SASAN,FSTPP I & II,TALA,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
12,02:45-03:00,413.581134,11.184643,5.166805,0.000000,0.000000,31.937616,0.000000,50.271504,93.591046,0.000000,15.589461,0.000000,36.537827,0.000000,0.000000,0.000000,0.000000,2.979687,9.174815,43.303458,383.470963,20.009838,125.918390,19.020948,19.222163,25.771882,0.000000,119.939634,0.000000,0.730951,137.451163,67.991888,0.000000,0.000000,0.000000,5.297584,0.000000,0.000000,0.000000,12.576015,23.668068,0.000000,0.000000,23.665700,0.000000,15.283683,44.742633,403.819911,20.057440,0.000000,142.909260,0,0,0,0,0

13,03:00-03:15,413.581134,11.184643,5.166805,0.000000,0.000000,37.260552,0.000000,50.271504,93.591046,0.000000,15.589461,0.000000,36.537827,0.000000,0.000000,0.000000,0.000000,2.979687,9.174815,43.303458,369.006463,20.009838,125.918390,19.020948,19.222163,24.651365,0.000000,119.939634,0.000000,0.730951,137.451163,67.991888,0.000000,0.000000,0.000000,5.297584,0.000000,0.000000,0.000000,12.576015,23.668068,0.000000,0.000000,35.498549,0.000000,14.730033,44.742633,403.819911,20.057440,0.000000,142.909260,0,0,0,0,0

14,03:15-03:30,370.187634,11.184643,5.166805,0.000000,0.000000,37.260552,0.000000,50.271504,93.591046,0.000000,15.589461,0.000000,36.537827,0.000000,0.000000,0.000000,0.000000,2.979687,9.174815,43.303458,369.006463,20.009838,125.918390,19.020948,16.664743,24.651365,0.000000,119.939634,0.000000,0.730951,137.451163,67.991888,0.000000,0.000000,0.000000,5.297584,0.000000,0.000000,0.000000,12.576015,20.953082,0.000000,0.000000,35.498549,0.000000,15.392699,44.742633,403.819911,20.057440,0.000000,142.909260,0,0,0,0,0

15,03:30-03:45,370.187634,11.184643,5.166805,0.000000,0.000000,31.937616,0.000000,50.271504,93.591046,0.000000,15.589461,0.000000,36.537827,0.000000,0.000000,0.000000,0.000000,2.979687,9.174815,43.303458,369.006463,20.009838,125.918390,19.020948,16.664743,24.651365,0.000000,119.939634,0.000000,0.730951,137.451163,67.991888,0.000000,0.000000,0.000000,5.297584,0.000000,0.000000,0.000000,12.576015,20.953082,0.000000,0.000000,35.498549,0.000000,16.612041,44.742633,403.819911,20.057440,0.000000,142.909260,0,0,0,0,0

16,03:45-04:00,370.187634,11.184643,5.166805,0.000000,0.000000,31.937616,0.000000,50.271504,93.591046,0.000000,15.589461,0.000000,36.537827,0.000000,0.000000,0.000000,0.000000,2.979687,9.174815,43.303458,369.006463,20.009838,125.918390,19.020948,16.664743,24.651365,0.000000,119.939634,0.000000,0.730951,137.451163,67.991888,0.000000,0.000000,0.000000,5.297584,0.000000,0.000000,0.000000,12.576015,20.953082,0.000000,0.000000,35.498549,0.000000,17.949577,44.742633,403.819911,20.057440,0.000000,142.909260,0,0,0,0,0

17,04:00-04:15,370.187634,11.184643,5.166805,0.000000,0.000000,31.937616,0.000000,50.271504,93.591046,0.000000,15.589461,0.000000,36.537827,0.000000,0.000000,0.000000,0.000000,2.979687,9.174815,43.303458,369.006463,20.009838,125.918390,19.020948,16.664743,24.651365,0.000000,119.939634,0.000000,0.730951,137.451163,67.991888,0.000000,0.000000,0.000000,5.297584,0.000000,0.000000,0.000000,12.576015,20.953082,0.000000,0.000000,35.498549,0.000000,19.286003,44.742633,403.819911,20.057440,0.000000,142.909260,0,0,0,0,0

18,04:15-04:30,370.187634,11.184643,5.166805,0.000000,0.000000,31.937616,0.000000,50.271504,93.591046,0.000000,15.589461,0.000000,36.537827,0.000000,0.000000,0.000000,0.000000,2.979687,9.174815,43.303458,369.006463,20.009838,125.918390,19.020948,16.664743,24.651365,0.000000,119.939634,0.000000,0.730951,137.451163,67.991888,0.000000,0.000000,0.000000,5.297584,0.000000,0.000000,0.000000,12.576015,20.953082,0.000000,0.000000,35.498549,0.000000,19.286003,44.742633,403.819911,20.057440,0.000000,142.909260,0,0,0,0,0

19,04:30-04:45,374.044834,11.184643,5.166805,0.000000,0.000000,37.260552,0.000000,50.271504,93.591046,0.000000,15.589461,0.000000,36.537827,0.000000,0.000000,23.639823,0.905906,2.979687,9.174815,43.303458,367.801088,20.009838,125.918390,19.020948,19.222163,24.651365,0.000000,119.939634,0.000000,0.730951,137.451163,67.991888,0.000000,0.000000,0.000000,5.297584,0.000000,0.000000,0.000000,12.576015,23.668068,0.000000,0.000000,35.498549,13.547798,19.286003,44.742633,403.819911,20.057440,0.000000,142.909260,0,0,0,0,0

20,04:45-05:00,417.438334,11.184643,5.166805,0.000000,0.000000,37.260552,0.000000,50.271504,93.591046,0.000000,15.589461,0.000000,36.537827,0.000000,0.000000,23.639823,0.905906,2.979687,9.174815,43.303458,367.801088,20.009838,125.918390,19.020948,19.222163,24.651365,0.000000,119.939634,0.000000,0.730951,137.451163,67.991888,0.000000,0.000000,0.000000,5.297584,0.000000,0.000000,0.000000,12.576015,23.668068,0.000000,0.000000,35.498549,13.547798,19.286003,44.742633,403.819911,20.057440,0.000000,142.909260,0,0,0,0,0

21,05:00-05:15,465.653334,11.184643,5.166805,0.000000,0.000000,31.937616,0.000000,50.271504,93.591046,0.000000,15.589461,0.000000,36.537827,0.000000,0.000000,23.639823,0.905906,2.979687,9.174815,43.303458,380.578063,20.009838,125.918390,19.020948,19.222163,24.651365,0.000000,119.939634,0.000000,0.730951,137.451163,67.991888,0.000000,0.000000,0.000000,5.297584,0.000000,0.000000,0.000000,6.288007,23.668068,0.000000,0.000000,35.498549,13.547798,19.286003,44.742633,403.819911,20.057440,0.000000,142.909260,0,0,0,0,0

22,05:15-05:30,465.653334,11.184643,5.166805,0.000000,0.000000,31.937616,0.000000,50.271504,93.591046,0.000000,15.589461,0.000000,36.537827,0.000000,0.000000,23.639823,0.905906,2.979687,9.174815,43.303458,380.578063,20.009838,125.918390,19.020948,19.222163,24.651365,0.000000,119.939634,0.000000,0.730951,137.451163,67.991888,0.000000,0.000000,0.000000,5.297584,0.000000,0.000000,0.000000,6.288007,23.668068,0.000000,0.000000,35.498549,13.547798,19.286003,44.742633,403.819911,20.057440,0.000000,142.909260,0,0,0,0,0
