Block,Time,NR/01102023/30042040/GNA_LT_36,NR/03112023/30112023/HPX-TAMDLY-011123-05147,NR/01112023/30112023/HP-10,NR/03112023/30112023/IEX-231101-05680,NR/01112023/30112023/HP-09,NR/01102023/02122045/L_NR_2021_13,WR/01102023/24112044/L_NR_2020_07,NR/26072023/31072042/L_NR_2023_07,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31052040/LT-31,L_NR_2019_19,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/08032047/L_NR_2021_14,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_35,WR/01102023/01102023/L_NR_2022_09,NR/01102023/31102037/L_NR_2019_11,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,NR/26072023/25122043/L_NR_2023_10,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_16,NR/21112023/30112023/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/06022042/L_NR_2012_02,WR/01102023/29112042/RUMS(L_NR_2019_07),SR/01102023/07102043/L_NR_2018_61,WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01102023/23072042/L_NR_2012_04,NR/01102023/15082037/GNA_NR_2012_01,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/25072045/L_NR_2021_15,NR/01102023/05012040/L_NR_2020_02,NR/01102023/22052037/LT-59,SR/01112023/30112023/KSEB_BYPL-NOV23,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,NR/01102023/25122043/GNA_MEJA_DELHI
1,00:00-00:15,0.000000,48.200000,98.350000,48.200000,76.640000,0,17.38,0,31.820000,0.000000,0,24.100000,0,71.730000,0.000000,58.23,1.690000,12.25,0,0,52.15,0,96.410000,109.910000,0,7.21,17.39,58.23,26.020000,26.020000,149.130000,48.200000,0,0,2.040000,1.550000,144.62,0,0,0.000000

2,00:15-00:30,0.000000,48.200000,98.350000,48.200000,76.640000,0,17.23,0,31.820000,0.000000,0,24.100000,0,71.730000,0.000000,56.45,1.690000,11.99,0,0,51.69,0,96.410000,109.910000,0,7.21,17.23,56.45,26.020000,26.020000,149.130000,48.200000,0,0,2.040000,1.550000,144.62,0,0,0.000000

3,00:30-00:45,0.000000,48.200000,98.350000,48.200000,76.640000,0,17.14,0,31.820000,0.000000,0,24.100000,0,71.730000,0.000000,55.11,1.690000,11.43,0,0,51.43,0,96.410000,109.910000,0,7.21,17.14,55.11,26.020000,26.020000,149.130000,48.200000,0,0,2.040000,1.550000,144.62,0,0,0.000000

4,00:45-01:00,0.000000,48.200000,98.350000,48.200000,76.640000,0,16.86,0,31.820000,0.000000,0,24.100000,0,71.730000,0.000000,53.57,1.690000,10.96,0,0,50.57,0,96.410000,109.910000,0,13.55,16.85,53.57,26.020000,26.020000,149.130000,48.200000,0,0,2.040000,1.550000,144.62,0,0,0.000000

5,01:00-01:15,0.000000,48.200000,98.350000,48.200000,76.640000,0,16.69,0,31.820000,0.000000,0,24.100000,0,71.730000,0.000000,52.57,1.610000,10.6,0,0,50.08,0,96.410000,109.910000,0,13.45,16.69,52.57,26.020000,26.020000,149.130000,48.200000,0,0,2.040000,1.170000,144.62,0,0,0.000000

6,01:15-01:30,0.000000,48.200000,98.350000,48.200000,76.640000,0,16.36,0,31.820000,0.000000,0,24.100000,0,71.730000,0.000000,50.81,1.610000,10.1,0,0,49.07,0,96.410000,109.910000,0,13.41,16.34,50.81,26.020000,26.020000,149.130000,48.200000,0,0,2.040000,1.170000,144.62,0,0,0.000000

7,01:30-01:45,0.000000,48.200000,98.350000,48.200000,76.640000,0,15.5,0,31.820000,0.000000,0,24.100000,0,71.730000,0.000000,38.57,1.610000,9.9,0,0,46.5,0,96.410000,109.910000,0,13.35,15.5,38.57,26.020000,26.020000,149.130000,48.200000,0,0,2.040000,1.170000,144.62,0,0,0.000000

8,01:45-02:00,0.000000,48.200000,98.350000,48.200000,76.640000,0,14.54,0,31.820000,0.000000,0,24.100000,0,71.730000,0.000000,38.16,1.610000,9.62,0,0,43.63,0,96.410000,109.910000,0,13.41,14.55,38.16,26.020000,26.020000,149.130000,48.200000,0,0,2.040000,1.170000,144.62,0,0,0.000000

