Block,Time,KOTESHWR,URI2,CHAMERA3,CHAMERA2,RIHAND3,NJPC,PARBATI3,RIHAND1,RAMPUR,AURY_GF,DADRI_LF,DADRI_RF,ANTA_CRF,TANAKPUR,AURY_LF,ANTA_RF,UNCHAHAR2,UNCHAHAR1,DULHASTI,SALAL,UNCHAHAR3,UNCHAHAR4,ANTA_GF,DADRT2,AURY_RF,URI,SINGRAULI,SEWA2,RAPPB,TANDA2,RIHAND2,KISHANGANGA,CHAMERA1,DADRI_CRF,KOLDAM,RAPPC,TEHRI,DHAULIGNGA,ANTA_LF,JHAJJAR,DADRI_GF,NAPP,AURY_CRF,SINGRAULI_HYDRO,BSIUL,FSTPP I & II,BRBCL,KHSTPP-II,KHSTPP-I,TALA,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,8.075094,30.733128,0.000000,0.000000,59.573205,0.000000,0.000000,88.642000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.910107,8.042527,1.854256,12.315457,18.254953,0.000000,0.000000,360.088855,0.000000,40.420752,121.003556,15.227200,0.000000,0.000000,113.813438,0.000000,0.000000,0.000000,0.000000,51.963964,0.000000,0.000000,0.000000,230.758250,0.000000,41.572327,0.000000,0.792565,6.282791,16.018573,19.269968,141.885877,34.706330,0.000000,333.852750,0,0,0,0,0

2,00:15-00:30,8.075094,30.733128,0.000000,0.000000,59.573205,0.000000,0.000000,88.642000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.910107,8.042527,1.854256,12.315457,18.254953,0.000000,0.000000,360.088855,0.000000,40.420752,121.003556,15.227200,0.000000,0.000000,113.813438,0.000000,0.000000,0.000000,0.000000,51.963964,0.000000,0.000000,0.000000,230.758250,0.000000,41.572327,0.000000,0.792565,6.282791,16.018573,19.269968,141.885877,34.706330,0.000000,333.852750,0,0,0,0,0

3,00:30-00:45,8.075094,30.733128,0.000000,0.000000,59.573205,0.000000,0.000000,88.642000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.910107,8.042527,1.854256,12.315457,18.254953,0.000000,0.000000,360.088855,0.000000,34.038528,121.003556,15.227200,0.000000,0.000000,113.813438,0.000000,0.000000,0.000000,0.000000,51.963964,0.000000,0.000000,0.000000,230.758250,0.000000,41.572327,0.000000,0.792565,6.282791,16.018573,19.269968,141.885877,34.706330,0.000000,333.852750,0,0,0,0,0

4,00:45-01:00,8.075094,30.733128,0.000000,0.000000,59.573205,0.000000,0.000000,88.642000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.910107,8.042527,1.854256,12.315457,18.254953,0.000000,0.000000,360.088855,0.000000,34.038528,121.003556,15.227200,0.000000,0.000000,113.813438,0.000000,0.000000,0.000000,0.000000,51.963964,0.000000,0.000000,0.000000,230.758250,0.000000,41.572327,0.000000,0.792565,6.282791,16.018573,18.638161,127.634941,34.706330,0.000000,333.852750,0,0,0,0,0

5,01:00-01:15,8.075094,30.733128,0.000000,0.000000,59.573205,0.000000,0.000000,88.642000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,28.910107,8.042527,1.854256,24.630914,18.254953,0.000000,0.000000,360.088855,0.000000,34.038528,121.003556,15.227200,0.000000,0.000000,113.813438,0.000000,0.000000,0.000000,0.000000,51.963964,0.000000,0.000000,0.000000,230.758250,0.000000,41.572327,0.000000,0.792565,0.000000,16.018573,18.019867,113.182441,34.706330,0.000000,333.852750,0,0,0,0,0

