Column1,Time,GNA/NR/2024/08/16/9423,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/16082024/31082024/APL-Raigarh_august,NR/01102023/06022042/L_NR_2012_07,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_35,NR/01102023/30042040/GNA_LT_36,NR/01102023/19072037/LT-05,NR/01082024/30092024/LT_MEJA_DELHI,NR/01102023/31102037/L_NR_2019_11,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_02,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/31122025/SH-07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01082024/31082024/SKS-Raigarh,GNA/NR/2024/08/16/6265,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/31082024/jitpl,NR/16082024/31082024/MPL/24-25/STOA/128,GNA/NR/2024/08/16/8581,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug'24,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/08/16/7438,NR/01102023/05012040/L_NR_2020_02,L_NR_2019_19,NR/01102023/02122045/L_NR_2021_13,SR/01102023/07102043/L_NR_2018_61,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01102023/22052037/LT-59,NR/01102023/13082046/L_NR_2021_12,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2022_09,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,NR/01102023/25072045/L_NR_2021_15,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/L_NR_2019_05
1,00:00-00:15,48.08,38.47,96.17,86.75,27,0,0,70.08,7.91,0,0,261.1,100.19,27,133.29,30.27,12.39,96.17,24.04,48.08,11.93,21.16,37.22,96.17,13.59,56.74,6.01,0,0,6.8,0,0,0,8,24,0,0,27.67,0,0,0,0,0,27.67,0,12,8,0

2,00:15-00:30,48.08,38.47,96.17,86.75,27,0,0,70.08,7.91,0,0,261.1,100.19,27,133.29,30.27,12.39,96.17,24.04,48.08,11.93,21.16,37.22,96.17,13.59,56.74,6.01,0,0,6.8,0,0,0,8,24,0,0,27.67,0,0,0,0,0,27.67,0,12.66,8,0

3,00:30-00:45,48.08,38.47,96.17,86.75,27,0,0,70.08,7.91,0,0,261.1,89.77,27,133.29,30.27,12.39,96.17,24.04,48.08,11.93,21.16,37.22,96.17,13.59,56.74,5.65,0,0,6.8,0,0,0,7.66,23,0,0,28,0,0,0,0,0,28,0,13.34,7.67,0

4,00:45-01:00,48.08,38.47,96.17,86.75,27,0,0,70.08,7.91,0,0,261.1,89.77,27,133.29,30.27,12.39,96.17,24.04,48.08,11.93,21.16,37.22,96.17,13.59,56.74,5.65,0,0,6.8,0,0,0,7.84,23.5,0,0,28.67,0,0,0,0,0,28.67,0,13.66,7.83,0

5,01:00-01:15,48.08,38.47,96.17,86.75,26.8708,0,0,70.08,7.91,0,0,261.1,89.77,26.8708,133.29,30.27,12.39,96.17,24.04,48.08,11.93,21.16,37.22,96.17,13.59,56.74,5.55,0,0,6.8,0,0,0,7.84,23.5,0,0,30,0,0,0,0,0,30,0,13,7.83,0

6,01:15-01:30,48.08,38.47,96.17,86.75,26.8708,0,0,70.08,7.91,0,0,261.1,89.77,26.8708,133.29,30.27,12.39,96.17,24.04,48.08,11.93,21.16,37.22,96.17,13.59,56.74,5.55,0,0,6.8,0,0,0,8,24,0,0,30.67,0,0,0,0,0,30.67,0,12.34,8,0

