Column1,Block,NR/2025/25752/A/67228,NR/2025/26254/C,GNARE/NR/2024/12/20/3668,GNA/NR/2025/04/28/7408,GNA/NR/2025/04/01/4565,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/16/2139,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/16/1389,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/16/4327,NR/30092023/31122025/SH-07,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/01/6490,NR/2025/26249/C,NR/2025/26214/C,NR/2025/26247/C,GNA/NR/2025/04/16/2341,NR/2025/26250/C,NR/2025/26251/C,GNA/SR/2025/04/01/2597,NR/2025/26253/C,NR/2025/25947/A/67681,NR/2025/26242/C,NR/2025/25948/A/67680,NR/2025/26031/A/67358,NR/2025/25955/A/67679,NR/2025/26252/C,WR/2025/27361/A/67690,NR/2025/26085/A/67181,NR/2025/26258/C,WR/2025/27350/A/67226,NR/2025/25945/A/67682,NR/2025/26255/C,Total
,,IEXL,HPXL,SECI_Trader,IEXL,PXIL,IVPL_Trader,IEXL,IEXL,IEXL,PowerPulse,IEXL,NDMC,HPXL,DELHI,PUNJAB,IEXL,HPXL,IEXL,HPXL,BAWANA_GAS,NDMC,HPXL,HPXL,TPDDL,HPXL,IEXL,HPXL,HPXL,APPCPL,IEXL,APPCPL,HPXL,APPCPL,DIAPL,APPCPL,HPXL,APPCPL,ITCLH,PXIL,KEIPL,APPCPL,IEXL,
,,NA,NA,NA,GoHP_Koldam_STATE,UTTARPRADESH_STATE,DELHI_UT,SIKKIM_STATE,HIMACHAL_STATE,SIKKIM_STATE,NA,SIKKIM_STATE,NA,NA,HIMACHAL_STATE,DELHI_UT,SIKKIM_STATE,NA,HIMACHAL_STATE,NA,DELHI_UT,NA,CSEB_State,HIMACHAL_STATE,NA,KARNATAKA_STATE,NA,HIMACHAL_STATE,ANDHRA_PRADESH_STATE,DELHI_UT,NA,NA,NA,NA,HIMACHAL_STATE,NA,HIMACHAL_STATE,DELHI_UT,ANDHRA_PRADESH_STATE,KARNATAKA_STATE,DELHI_UT,NA,ODISHA_STATE,
,,TPSL_BKN2,HIRIYUR_OSTROKANNADA,APSEPL_FTG,GoHP_Koldam,LAPL_UP,BYPL,MEYONGCHU_HEP,RHPPL_HP,Kalez_Khola_HEP,APL_Raipur_TPP,RCHEP,JPL2,SIMHAPURI,CHANJUII,BAWANA_GAS,LLHEP1234,JPL2,KGEPL_HP,JPL,BAWANA_GAS,SKS_Raigarh,MSPLTD,GTHEPL_HP,JHAJJAR,TADASWIND_KAR,JPNIGRIE_JNSTPP,GSHEPL_HP,TADASWIND,BYPL,SINGOLI,RKM_POWER,CPTTNPL,TRN_ENERGY,GBHHPL,JIPL,GHPPL_HP,BYPL,ITCWIND,PCKL,BYPL,RKM_POWER,ODISHA,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,KERALA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,CSEB_State,DELHI_UT,DELHI_UT,CSEB_State,DELHI_UT,DELHI_UT,
,,MES_Delhi,BYPL,TPDDL,BRPL,BRPL,TPC_MSEB,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,TPDDL,PUNJAB,BRPL,BRPL,BRPL,BRPL,HARYANA,NDMC,BRPL,BYPL,TPDDL,BYPL,BRPL,BYPL,BYPL,KSEB,BYPL,NDMC,BYPL,NDMC,DIAPL,NDMC,BYPL,CSEB_Beneficiary,ITCLH,BYPL,CSEB_Beneficiary,NDMC,BYPL,
,,North-North,South-West-North,North-North,North-North,North-North,North-West,East-North,North-North,East-North,West-North,East-North,West-North,South-East-North,North-North,North-North,East-North,West-North,North-North,West-North,North-North,West-North,West-North,North-North,North-North,South-West-North,West-North,North-North,South-West-North,North-West-South,North-North,West-North,West-North,West-North,North-North,East-North,North-North,North-West,South-West-North,South-West-North,North-West,West-North,East-North,
1,00:00-00:15,0,10.31,0,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,10.41,32,9.63,72.25,9.63,72.25,0,14.59,9.63,2.31,213.85,9.54,19.27,4.14,5.78,52.5,2.89,43.78,23.6,14.59,3.85,29.02,3.47,24.08,0.48,96.33,0,43.78,96.33,1158.06

2,00:15-00:30,0,12.81,0,0,48.16,0,2.89,1.93,2.89,96.33,2.89,43.78,28.9,10.41,32,9.63,72.25,9.63,72.25,0,14.59,9.63,2.31,213.85,8.96,19.27,4.14,5.68,52.5,2.89,43.78,24.95,14.59,3.85,29.02,3.47,24.08,0.48,96.33,0,43.78,96.33,1161.23

