Block,Time Block,AURY_RF,DADRI_LF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,ANTA_CRF,CHAMERA3,KGSU1AND2,BSIUL,DHAULIGNGA,FSTPP I & II,JHAJJAR,CHAMERA2,DULHASTI,DADRT2,BRBCL,CHAMERA1,KGSU3AND4,KHSTPP-I,MAPS,KOTESHWR,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,KUDGI,NLCTS2EXP,NLCEXP,NNTPP,NTPL,PARBATI3,NJPC,NAPP,NLCIIST1,NLCIIST2,RAMPUR,RIHAND1,TALA,SIMHST1,SINGRAULI_HYDRO,RSTPSU1TO6,RAPPC,SIMHST2,RSTPSU7,TALST2,SALAL,SEWA2,SINGRAULI,RIHAND3,RAPPB,RIHAND2,SASAN,UNCHAHAR4,URI2,UNCHAHAR3,TANAKPUR,TelanganaSTPP,UNCHAHAR2,URI,TEHRI,UNCHAHAR1,VALLURNTECL,TANDA2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,0,0,30.89,0,18.83,38.9,13.77,382.4358,42.58,51.79,654.6639,14.44,40.59,0,30.81,0,37.21,139.79,0,0,5.15,4.16,0,0,0,0,0,29.77,160.9,43.43,0,0,3.41,91.1398,10.05,0,0.92,0,57.86,0,0,0,80.57,16.73,123.01,122.87,0,117.19,368.31,0,34.71,24.7914,6.66,0,39.6035,29.76,63.83,19.3801,0,2.7,0,0,0,0,0

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,0,0,30.89,0,18.83,38.9,13.77,382.4358,42.58,51.79,654.6639,14.44,40.59,0,30.81,0,37.21,141.19,0,0,5.15,4.16,0,0,0,0,0,29.77,160.9,43.43,0,0,3.41,91.1398,10.1,0,0.92,0,57.86,0,0,0,80.57,16.73,123.01,122.87,0,117.19,368.31,0,34.71,24.7914,6.66,0,39.6035,29.76,63.83,19.3801,0,2.7,0,0,0,0,0

3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,0,0,30.89,0,18.83,38.9,13.77,382.4358,42.58,51.79,654.6639,14.44,40.59,0,30.81,0,37.21,141.19,0,0,5.15,4.16,0,0,0,0,0,29.77,160.9,43.43,0,0,3.41,91.1398,10.1,0,0.92,0,57.86,0,0,0,80.57,16.73,123.01,122.87,0,117.19,368.31,0,34.71,24.7914,10.36,0,39.6035,29.76,63.83,19.3801,0,2.7,0,0,0,0,0

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,0,0,30.89,0,18.83,38.9,13.77,382.4358,42.58,51.79,654.6639,14.44,40.59,0,30.81,0,37.21,141.19,0,0,5.15,4.16,0,0,0,0,0,29.77,160.9,43.43,0,0,3.41,91.1398,10.1,0,0.92,0,57.86,0,0,0,80.57,16.73,123.01,122.87,0,117.19,368.31,0,34.71,24.7914,6.66,0,39.6035,29.76,63.83,19.3801,0,2.7,0,0,0,0,0

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,0,0,30.89,0,18.83,38.9,13.77,294.4278,42.58,51.79,657.78,14.44,40.59,0,30.81,0,37.21,141.19,0,0,5.15,4.16,0,0,0,0,0,29.77,160.9,43.43,0,0,3.41,91.1398,10.1,0,0.92,0,57.86,0,0,0,80.57,16.73,123.01,122.87,0,117.19,368.31,0,34.71,24.7914,6.66,0,39.6035,29.76,63.83,19.3801,0,2.7,0,0,0,0,0

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,0,0,30.89,0,18.83,38.9,13.77,263.6078,42.58,51.79,657.78,14.44,40.59,0,30.81,0,37.21,141.19,0,0,5.15,4.16,0,0,0,0,0,29.77,160.9,43.43,0,0,3.41,91.1398,10.1,0,0.92,0,57.86,0,0,0,80.57,16.73,123.01,122.87,0,117.19,368.31,0,34.71,24.7914,10.36,0,39.6035,29.76,63.83,19.3801,0,2.7,0,0,0,0,0

