Column1,Block,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/5428,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/9061,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/3646,WR/2024/24788/A/43361,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/1868,GNA/NR/2024/11/01/9042,NR/2024/23909/A/43267,NR/2024/23769/A/43206,NR/2024/23420/A/43213,NR/2024/23809/A/43207,NR/30092023/26122029/SH-06,GNA/NR/2024/11/01/4503,GNA/NR/2024/11/01/5474,NR/2024/23918/A/43209,NR/2024/23971/C,NR/2024/23972/C,GNA/WR/2024/11/01/4200,Total
,,APPCPL,NDMC,BAWANA_GAS,NDMC,DELHI,PTC,APPCPL,NDMC,NDMC,NDMC,DIAPL,IEXL,ITCLH,IEXL,PUNJAB,NDMC,PTC,IEXL,SJVNL,SJVNL,MANIKARAN,
,,DELHI_UT,NA,DELHI_UT,NA,HIMACHAL_STATE,DELHI_UT,DELHI_UT,NA,NA,NA,HIMACHAL_STATE,KARNATAKA_STATE,ANDHRA_PRADESH_STATE,KARNATAKA_STATE,DELHI_UT,NA,DELHI_UT,NA,NA,NA,DELHI_UT,
,,BYPL,RKM_POWER,BAWANA_GAS,JPL2,CHANJUII,BYPL,BRPL,RKM_POWER,SKS_Raigarh,JITPL,GBHHPL,NSLSUGAR,ITCWIND,NSLSTUNGBHDRA,BAWANA_GAS,TRN_ENERGY,BRPL,TESPL_BKN2,TPSL_BKN2,RSRPL_BKN,BRPL,
,,MSEB_State,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,HIMACHAL_STATE,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,
,,AEML,NDMC,HARYANA,NDMC,TPDDL,HP,GOA_Beneficiary,NDMC,NDMC,NDMC,DIAPL,MES_Delhi,ITCLH,MES_Delhi,PUNJAB,NDMC,HP,MES_Delhi,NDMC,NDMC,AEML,
,,North-West,West-North,North-North,West-North,North-North,North-North,North-West,West-North,West-North,East-North,North-North,South-West-North,South-West-North,South-West-North,North-North,West-North,North-North,North-North,North-North,North-North,North-West,
1,00:00-00:15,0,25.94,0,25.94,2.75,63.42,0,25.94,8.65,17.29,0,5.76,0.48,4.8,0,8.65,190.26,0,0,0,0,379.88

2,00:15-00:30,0,25.94,0,25.94,2.75,63.42,0,25.94,8.65,17.29,0,5.76,0.48,4.8,0,8.65,190.26,0,0,0,0,379.88

3,00:30-00:45,0,25.94,0,25.94,2.75,63.42,0,25.94,8.65,17.29,0,5.76,0.48,4.8,0,8.65,190.26,0,0,0,0,379.88

4,00:45-01:00,0,25.94,0,25.94,2.75,63.42,0,25.94,8.65,17.29,0,5.76,0.48,4.8,0,8.65,190.26,0,0,0,0,379.88

5,01:00-01:15,0,25.94,0,25.94,2.75,63.42,0,25.94,8.65,17.29,0,5.76,0.48,4.8,0,8.65,190.26,0,0,0,0,379.88

6,01:15-01:30,0,25.94,0,25.94,2.75,63.42,0,25.94,8.65,17.29,0,5.76,0.48,4.8,0,8.65,190.26,0,0,0,0,379.88

7,01:30-01:45,0,25.94,0,25.94,2.75,63.42,0,25.94,8.65,17.29,0,5.76,0.48,4.8,0,8.65,190.26,0,0,0,0,379.88

8,01:45-02:00,0,25.94,0,25.94,2.75,63.42,0,25.94,8.65,17.29,0,5.76,0.48,4.8,0,8.65,190.26,0,0,0,0,379.88

9,02:00-02:15,0,25.94,0,25.94,2.75,63.42,0,25.94,8.65,17.29,0,5.76,0.48,4.8,0,8.65,190.26,0,0,0,0,379.88

