Block,Time Block,SIMHST2,SINGRAULI_HYDRO,TANDA2,SINGRAULI,TALST2,TANAKPUR,TALA,SASAN,SIMHST1,SEWA2,RIHAND2,RIHAND1,RAPPD,RSTPSU1TO6,SALAL,RSTPSU7,RIHAND3,RAPPC,JHAJJAR,MAPS,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NAPP,NLCTS2EXP,RAMPUR,NNTPP,RAPPB,NTPL,PARBATI3,PARBATI2,KOTESHWR,KUDGI,DADRT2,DHAULIGNGA,FSTPP I & II,DULHASTI,BSIUL,CHAMERA3,CHAMERA2,BRBCL,CHAMERA1,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,KHSTPP-I,KGSU1AND2,KGSU3AND4,URI2,ANTA_GF,UNCHAHAR3,TEHRI,TelanganaSTPP,ANTA_CRF,UNCHAHAR2,URI,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,TEHRIPSP,ANTA_LF,AURY_LF,ANTA_RF,DADRI_GF,DADRI_CRF,AURY_GF,DADRI_RF,AURY_RF,AURY_CRF,DADRI_LF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,1.04,5.34,135.6,0,12.33,28.16,314.02,0,0,120.57,94.63,23.69,0,82.21,0,125.93,62.97,138.67,0,0,0,169.2,0,23.45,0,5.49,0,0,0,31.48,0,19.53,0,524.78,40.87,20.02,53.3,12.55,32.67,45.35,14.24,40.57,142.74,0,0,8.3,6.79,43.82,0,0,24,0,26.65,50.46,0,0,43.31,29.75,20.84,3.1,0,68.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,1.04,5.34,135.6,0,12.33,28.16,314.02,0,0,120.57,94.63,23.69,0,82.21,0,125.93,62.97,138.67,0,0,0,169.2,0,23.45,0,5.49,0,0,0,31.48,0,19.53,0,524.78,40.87,20.02,53.3,12.55,32.67,45.35,11.77,40.57,142.74,0,0,8.3,6.79,43.82,0,0,24,0,26.65,50.46,0,0,43.31,29.75,20.84,3.1,0,68.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,1.04,5.34,135.6,0,12.33,28.16,314.02,0,0,120.57,94.63,23.69,0,82.21,0,125.93,62.97,138.67,0,0,0,169.2,0,23.45,0,5.49,0,0,0,31.48,0,19.53,0,524.78,40.87,20.02,53.3,6.28,32.67,45.35,11.82,40.57,142.74,0,0,8.3,6.79,43.82,0,0,24,0,26.65,50.46,0,0,43.31,29.75,20.84,3.1,0,68.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,1.04,5.34,135.6,0,12.33,28.16,314.02,0,0,120.57,94.63,23.69,0,82.21,0,125.93,62.97,138.67,0,0,0,169.2,0,23.45,0,5.49,0,0,0,31.48,0,19.53,0,524.78,40.87,20.02,53.3,6.28,32.67,45.35,12.6,40.57,142.74,0,0,8.3,6.79,43.82,0,0,24,0,26.65,50.46,0,0,43.31,29.75,20.84,3.1,0,68.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,1.04,5.34,135.6,0,12.33,28.16,314.02,0,0,120.57,94.63,23.69,0,82.21,0,125.93,62.97,138.67,0,0,0,169.2,0,23.45,0,5.49,0,0,0,35.78,0,19.53,0,524.78,40.87,20.02,53.3,6.28,32.67,45.35,10.14,40.57,142.74,0,0,8.3,6.79,43.82,0,0,23.25,0,26.65,50.46,0,0,43.31,29.75,20.84,3.1,0,68.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,1.04,5.34,135.6,0,12.33,28.16,314.02,0,0,120.57,94.63,23.69,0,82.21,0,125.93,62.97,138.67,0,0,0,169.2,0,23.45,0,5.49,0,0,0,35.78,0,19.53,0,524.78,40.87,20.02,53.3,6.28,32.67,45.35,10,40.57,142.74,0,0,8.3,6.79,43.82,0,0,23.25,0,26.65,50.46,0,0,43.31,29.75,20.84,3.1,0,68.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,1.04,5.34,135.6,0,12.33,28.58,314.02,0,0,120.57,94.63,23.69,0,82.21,0,125.93,62.97,138.67,0,0,0,169.2,0,23.45,0,5.49,0,0,0,35.78,0,9.76,0,453.66,40.87,20.02,53.3,6.28,32.67,45.35,10.03,40.57,142.74,0,0,8.3,6.79,43.82,0,0,23.25,0,26.65,50.46,0,0,43.31,31.88,20.84,3.1,0,68.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0,1.04,5.34,135.6,0,12.33,28.58,314.02,0,0,120.57,94.63,23.69,0,82.21,0,125.93,62.97,138.67,0,0,0,169.2,0,23.45,0,5.49,0,0,0,35.78,0,9.76,0,349.8,40.87,20.02,53.3,6.28,32.67,45.35,11.13,40.57,142.74,0,0,8.3,6.79,43.82,0,0,23.25,0,26.65,50.46,0,0,43.31,31.88,20.84,3.1,0,68.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,0,1.04,5.34,120.62,0,12.33,28.58,314.02,0,0,120.57,94.63,23.69,0,82.21,0,125.93,62.97,138.67,0,0,0,169.2,0,23.45,0,5.49,0,0,0,35.78,0,9.76,0,234.3,40.87,20.02,53.3,6.28,32.67,45.35,10.01,40.57,142.74,0,0,8.3,6.79,43.82,0,0,23.25,0,26.65,50.46,0,0,43.31,31.88,20.84,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,0,1.04,5.34,120.62,0,12.33,28.58,314.02,0,0,120.57,94.63,23.69,0,82.21,0,125.93,62.97,138.67,0,0,0,169.2,0,23.45,0,5.49,0,0,0,35.78,0,9.76,0,127.46,40.87,20.02,53.3,6.28,32.67,45.35,11.08,40.57,142.74,0,0,8.3,6.79,43.82,0,0,23.25,0,26.65,50.46,0,0,43.31,31.88,20.84,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,0,1.04,5.34,120.62,0,12.33,28.58,314.02,0,0,120.57,94.63,23.69,0,82.21,0,125.93,62.97,134.82,0,0,0,169.2,0,23.45,0,5.49,0,0,0,31.48,0,9.76,0,50.46,40.87,20.02,53.3,6.28,32.67,45.35,11.27,40.57,142.74,0,0,8.3,6.79,43.82,0,0,23.25,0,19.07,50.46,0,0,28.46,36.12,15.53,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

