Column1,Time,GNARE/SR/2025/01/13/4532,WR/01102023/31032046/L_NR_2020_05,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07),GNARE/NR/2024/12/20/3668,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/01102023/13082046/L_NR_2021_12,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/01/20/5216,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/20/4698,GNA/WR/2024/11/01/4200,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/20/4168,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/01/20/9046,GNA/NR/2025/01/01/3945,NR/01102023/06022042/L_NR_2012_07,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/01/01/3514,NR/30092023/26122029/SH-06,NR/01102023/19072037/LT-05,GNA/NR/2025/01/01/3733,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/20/2470,NR/01102023/22052037/LT-59,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/20/9333,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/3925,NR/01102023/02122045/L_NR_2021_13,NR/26072023/31072042/L_NR_2023_07,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,NR/22102023/11042047/L_NR_2021_17,GNA/NR/2025/01/01/6528,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/01/01/7459,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/01/01/6775,NR/01102023/25072045/L_NR_2021_15,NR/01102023/05012040/L_NR_2020_02
1,00:00-00:15,9,25.01,0,0,0,8.33,0,8.33,28.33,0,7.33,28.34,0,0,0,0,52.84,0,0,0,0,149.4,31.7,0,24.73,0,23.06,59.4,0,65.33,19.21,0,35.04,20.17,0,28.82,48.04,0,0,1.37,0,26.9,48.04,0,0,0,0,0,8.65,0.99,23.06,0,23.06,0,1.34

2,00:15-00:30,9,25.01,0,0,0,8.33,0,8.33,25,0,7.33,25,0,0,0,0,52.84,0,0,0,0,149.4,31.7,0,24.73,0,23.06,59.4,0,65.33,19.21,0,35.04,20.17,0,28.82,48.04,0,0,1.37,0,26.9,48.04,0,0,0,0,0,8.65,0.99,23.06,0,23.06,0,1.34

3,00:30-00:45,9,25.01,0,0,0,8.33,0,8.33,35,0,7.33,35,0,0,0,0,52.84,0,0,0,0,149.4,31.7,0,24.73,0,23.06,59.4,0,65.33,19.21,0,35.04,20.17,0,28.82,48.04,0,0,1.37,0,26.9,48.04,0,0,0,0,0,8.65,0.99,23.06,0,23.06,0,1.34

4,00:45-01:00,8.8,25.01,0,0,0,8.33,0,8.33,33.33,0,7.33,33.33,0,0,0,0,52.84,0,0,0,0,149.4,31.7,0,25.23,0,23.06,59.4,0,65.33,19.21,0,35.04,20.17,0,28.82,48.04,0,0,1.37,0,26.9,48.04,0,0,0,0,0,8.65,0.99,23.06,0,23.06,0,1.34

5,01:00-01:15,8.8,34.99,0,0,0,11.67,0,11.67,40,0,7.33,40,0,0,0,0,52.84,0,0,0,0,149.4,31.7,0,25.23,0,25.94,59.4,0,65.33,19.21,0,35.04,20.17,0,28.82,48.04,0,0,1.37,0,26.9,48.04,0,0,0,0,0,8.65,0.99,25.94,0,25.94,0,1.34

6,01:15-01:30,8.8,34.99,0,0,0,11.67,0,11.67,36.67,0,7.33,36.67,0,0,0,0,52.84,0,0,0,0,149.4,31.7,0,25.23,0,25.94,59.4,0,65.33,19.21,0,35.04,20.17,0,28.82,48.04,0,0,1.37,0,26.9,48.04,0,0,0,0,0,8.65,0.99,25.94,0,25.94,0,1.34

7,01:30-01:45,20.01,34.99,0,0,0,11.67,0,11.67,45,0,9.33,45,0,0,0,0,52.84,0,0,0,0,149.4,40.35,0,25.23,0,25.94,59.4,0,65.33,19.21,0,35.04,20.17,0,28.82,48.04,0,0,1.37,0,26.9,48.04,0,0,0,0,0,8.65,0.99,25.94,0,25.94,0,1.34

8,01:45-02:00,19.01,34.99,0,0,0,11.67,0,11.67,43.33,0,9.33,43.34,0,0,0,0,52.84,0,0,0,0,149.4,48.04,0,25.23,0,25.94,59.4,0,65.33,19.21,0,35.04,20.17,0,28.82,48.04,0,0,1.37,0,26.9,48.04,0,0,0,0,0,8.65,0.99,25.94,0,25.94,0,1.34

9,02:00-02:15,24.01,45,0,0,0,15,0,15,51.67,0,9.33,51.66,0,0,0,0,52.84,0,0,0,0,149.4,48.04,0,25.23,0,25.94,59.4,0,65.33,19.21,0,35.04,20.17,0,28.82,48.04,0,0,1.37,0,26.9,48.04,0,0,0,0,0,8.65,0.99,25.94,0,25.94,0,1.34

10,02:15-02:30,22.01,44.51,0,0,0,14.83,0,14.83,50,0,9.33,50,0,0,0,0,52.84,0,0,0,0,149.4,48.04,0,25.23,0,25.94,59.4,0,65.33,19.21,0,35.04,20.17,0,28.82,48.04,0,0,1.37,0,26.9,48.04,0,0,0,0,0,8.65,0.99,25.94,0,25.94,0,1.34

11,02:30-02:45,25.01,43.99,0,0,0,14.67,0,14.67,48.33,0,9.33,48.34,0,0,0,0,52.84,0,0,0,0,149.4,48.04,0,25.23,0,25.94,59.4,0,65.33,19.21,0,35.04,20.17,0,28.82,48.04,0,0,1.37,0,26.9,48.04,0,0,0,0,0,8.65,0.99,25.94,0,25.94,0,1.34

12,02:45-03:00,24.61,43.5,0,0,0,14.5,0,14.5,45,0,9.33,45,0,0,0,0,52.84,0,0,0,0,149.4,48.04,0,25.23,0,25.94,59.4,0,65.33,19.21,0,35.04,20.17,0,28.82,48.04,0,0,1.37,0,26.9,48.04,0,0,0,0,0,8.65,0.99,25.94,0,25.94,0,1.34

13,03:00-03:15,29.01,52.5,0,0,0,17.5,0,17.5,41.67,0,9.33,41.66,0,0,0,0,52.84,0,0,0,0,149.4,48.04,0,24.73,0,25.94,59.4,0,65.33,19.21,0,35.04,20.17,0,28.82,48.04,0,0,1.37,0,26.9,48.04,0,0,0,0,0,8.65,0.99,25.94,0,25.94,0,1.34

14,03:15-03:30,28.01,51.49,0,0,0,17.17,0,17.17,36.67,0,9.33,36.66,0,0,0,0,52.84,0,0,0,0,149.4,48.04,0,24.73,0,25.94,59.4,0,65.33,19.21,0,35.04,20.17,0,28.82,48.04,0,0,1.37,0,26.9,48.04,0,0,0,0,0,8.65,0.99,25.94,0,25.94,0,1.34

15,03:30-03:45,20.01,51,0,0,0,17,0,17,35,0,9.33,35,0,0,0,0,52.84,0,0,0,0,149.4,48.04,0,24.73,0,25.94,59.4,0,65.33,19.21,0,35.04,20.17,0,28.82,48.04,0,0,1.37,0,26.9,48.04,0,0,0,0,0,8.65,0.99,25.94,0,25.94,0,1.34

16,03:45-04:00,18.61,49.99,0,0,0,16.67,0,16.67,33.67,0,10.67,33.66,0,0,0,0,52.84,0,0,0,0,149.4,48.04,0,24.73,0,25.94,59.4,0,65.33,19.21,0,35.04,20.17,0,28.82,48.04,0,0,1.37,0,26.9,48.04,0,0,0,0,0,8.65,0.99,25.94,0,25.94,0,1.34

17,04:00-04:15,15.01,42.49,0,0,0,14.17,0,14.17,26.67,0,9,26.66,0,0,0,0,52.84,0,0,0,0,149.4,48.04,0,24.73,0,25.94,59.4,0,65.33,19.21,0,35.04,20.17,0,28.82,48.04,0,0,1.29,0,26.9,48.04,0,0,0,0,0,8.65,0.99,25.94,0,25.94,0,1.34

18,04:15-04:30,14.61,42.49,0,0,0,14.17,0,14.17,27.33,0,9,27.34,0,0,0,0,52.84,0,0,0,0,149.4,48.04,0,24.73,0,25.94,59.4,0,65.33,19.21,0,35.04,20.17,0,28.82,48.04,0,0,1.29,0,26.9,48.04,0,0,0,0,0,8.65,0.99,25.94,0,25.94,0,1.34

