Block,Time,CHAMERA3,DULHASTI,NAPP,NJPC,PARBATI2,TALA,UNCHAHAR3,ANTA_LF,DADRI_GF,DADRT2,KGSU3AND4,KKNPPU2,KOLDAM,KOTESHWR,NTPL,PARBATI3,RIHAND1,SASAN,UNCHAHAR2,URI,ANTA_CRF,DADRI_RF,CHAMERA1,RAMPUR,RIHAND2,SIMHST1,TALST2,UNCHAHAR1,VALLURNTECL,BRBCL,BSIUL,MAPS,RSTPSU1TO6,SIMHST2,SINGRAULI,TEHRI,UNCHAHAR4,ANTA_GF,AURY_LF,KISHANGANGA,NLCEXP,NLCTS2EXP,RAPPB,SINGRAULI_HYDRO,TANAKPUR,AURY_RF,KHSTPP-I,NLCIIST1,NLCIIST2,RAPPD,RSTPSU7,TelanganaSTPP,URI2,ANTA_RF,DADRI_LF,DHAULIGNGA,FSTPP I & II,JHAJJAR,KHSTPP-II,KKNP,NNTPP,RAPPC,RIHAND3,TANDA2,AURY_CRF,CHAMERA2,KGSU1AND2,KUDGI,SALAL,SEWA2,AURY_GF,DADRI_CRF
1,00:00-00:15,23.33,59.5,25.64,75.04,18.78,0,27.68,0,0,688.62,0,0,2.4,10.43,0,36.83,97.23,347.62,44.5,49.68,0,98.41,28.1,2.98,124.58,0,0,21.64,0,20,19.56,0,0,0,150.34,35.39,2.3,0,0,8.63,0,0,0,0.98,6.27,80.77,45.53,0,0,30,0,0,38.1,51.83,0,0,20.8,448.67,148.3,0,0,69.07,130.79,5.7,0,48.81,0,0,40.09,18.9,0,0

2,00:15-00:30,23.33,59.5,25.64,75.04,18.78,0,27.68,0,0,688.62,0,0,2.4,10.43,0,36.83,97.23,347.62,44.5,49.68,0,98.41,28.1,2.98,124.58,0,0,21.64,0,20,19.56,0,0,0,150.34,35.39,2.3,0,0,8.63,0,0,0,0.98,6.27,80.77,45.53,0,0,30,0,0,38.1,51.83,0,0,20.8,448.67,148.3,0,0,69.07,130.79,5.7,0,48.81,0,0,40.09,18.9,0,0

3,00:30-00:45,23.33,59.5,25.64,75.04,18.78,0,27.68,0,0,688.62,0,0,2.4,10.43,0,19.64,97.23,347.62,44.5,49.68,0,98.41,28.1,2.98,124.58,0,0,21.64,0,20,19.56,0,0,0,150.34,35.39,2.3,0,0,8.63,0,0,0,0.98,6.27,80.77,45.53,0,0,30,0,0,38.1,51.83,0,0,20.8,448.67,148.3,0,0,69.07,130.79,5.7,0,48.81,0,0,40.09,18.9,0,0

4,00:45-01:00,23.33,59.5,25.64,75.04,18.78,0,27.68,0,0,688.62,0,0,0,10.43,0,19.64,97.23,347.62,44.5,52.36,0,98.41,28.1,2.98,124.58,0,0,21.64,0,20,19.56,0,0,0,150.34,35.39,2.3,0,0,8.63,0,0,0,0.98,6.27,80.77,45.53,0,0,30,0,0,38.1,51.83,0,0,20.8,448.67,148.3,0,0,69.07,130.79,5.7,0,48.81,0,0,40.09,18.9,0,0

5,01:00-01:15,23.33,59.5,25.64,75.04,18.78,0,27.68,0,0,688.62,0,0,0,10.43,0,19.64,97.23,347.62,44.5,52.36,0,98.41,28.1,2.98,124.58,0,0,21.64,0,20,19.56,0,0,0,150.34,35.39,2.3,0,0,8.63,0,0,0,0.98,0.51,80.77,45.53,0,0,30,0,0,38.1,51.83,0,0,20.8,448.67,148.3,0,0,69.07,130.79,5.7,0,48.81,0,0,51.13,18.9,0,0

