Column1,Block,NR/2024/23811/C,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/3646,GNA/NR/2024/11/01/5428,NR/30092023/26122029/SH-06,GNA/NR/2024/11/01/9042,GNA/NR/2024/11/01/4503,GNA/NR/2024/11/01/1868,GNA/NR/2024/11/01/9061,NR/2024/23420/A/42100,NR/2024/23808/C,NR/2024/23769/A/42181,WR/2024/24788/A/42171,GNA/NR/2024/11/01/5474,NR/2024/23789/A/42067,NR/2024/23814/C,NR/2024/23815/C,Total
,,NVVNL,MANIKARAN,APPCPL,BAWANA_GAS,DELHI,NDMC,PTC,NDMC,PUNJAB,NDMC,NDMC,NDMC,NDMC,ITCLH,IEXL,IEXL,APPCPL,PTC,DIAPL,SJVNL,SJVNL,
,,NA,DELHI_UT,DELHI_UT,DELHI_UT,HIMACHAL_STATE,NA,DELHI_UT,NA,DELHI_UT,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,HIMACHAL_STATE,KARNATAKA_STATE,DELHI_UT,DELHI_UT,HIMACHAL_STATE,NA,NA,
,,SOLAPUR_SOLAR,BRPL,BYPL,BAWANA_GAS,CHANJUII,RKM_POWER,BYPL,RKM_POWER,BAWANA_GAS,JITPL,TRN_ENERGY,SKS_Raigarh,JPL2,ITCWIND,KGEPL_HP,NSLSUGAR,BRPL,BRPL,GBHHPL,RSRPL_BKN,TPSL_BKN2,
,,DELHI_UT,MSEB_State,MSEB_State,HARYANA_STATE,DELHI_UT,DELHI_UT,HIMACHAL_STATE,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,GOA_State,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,
,,MES_Delhi,AEML,AEML,HARYANA,TPDDL,NDMC,HP,NDMC,PUNJAB,NDMC,NDMC,NDMC,NDMC,ITCLH,MES_Delhi,MES_Delhi,GOA_Beneficiary,HP,DIAPL,NDMC,NDMC,
,,West-North,North-West,North-West,North-North,North-North,West-North,North-North,West-North,North-North,East-North,West-North,West-North,West-North,South-West-North,North-North,South-West-North,North-West,North-North,North-North,North-North,North-North,
1,00:00-00:15,0,0,0,26.87,3.87,26.33,95.12,26.33,26.87,17.55,8.78,8.78,26.33,0.48,4.83,5.79,0,285.39,2.9,0,0,566.2199999999999

2,00:15-00:30,0,0,0,26.87,3.87,26.33,95.12,26.33,26.87,17.55,8.78,8.78,26.33,0.48,4.83,5.79,0,285.39,2.9,0,0,566.2199999999999

3,00:30-00:45,0,0,0,26.87,3.87,26.33,95.12,26.33,26.87,17.55,8.78,8.78,26.33,0.48,4.83,5.79,0,285.39,2.9,0,0,566.2199999999999

4,00:45-01:00,0,0,0,26.87,3.87,26.33,95.12,26.33,26.87,17.55,8.78,8.78,26.33,0.48,4.83,5.79,0,285.39,2.9,0,0,566.2199999999999

5,01:00-01:15,0,0,0,26.87,3.87,26.33,95.12,26.33,26.87,17.55,8.78,8.78,26.33,0.48,4.83,5.79,0,285.39,2.9,0,0,566.2199999999999

6,01:15-01:30,0,0,0,26.87,3.87,26.33,95.12,26.33,26.87,17.55,8.78,8.78,26.33,0.48,4.83,5.79,0,285.39,2.9,0,0,566.2199999999999

7,01:30-01:45,0,0,0,26.87,3.87,26.33,95.12,26.33,26.87,17.55,8.78,8.78,26.33,0.48,4.83,5.79,0,285.39,2.9,0,0,566.2199999999999

8,01:45-02:00,0,0,0,26.87,3.87,26.33,95.12,26.33,26.87,17.55,8.78,8.78,26.33,0.48,4.83,5.79,0,285.39,2.9,0,0,566.2199999999999

9,02:00-02:15,0,0,0,26.87,3.87,26.33,95.12,26.33,26.87,17.55,8.78,8.78,26.33,0.48,4.83,5.79,0,285.39,2.9,0,0,566.2199999999999

10,02:15-02:30,0,0,0,26.87,3.87,26.33,95.12,26.33,26.87,17.55,8.78,8.78,26.33,0.48,4.83,5.79,0,285.39,2.9,0,0,566.2199999999999

11,02:30-02:45,0,0,0,26.87,3.87,26.33,95.12,26.33,26.87,17.55,8.78,8.78,26.33,0.48,4.83,5.79,0,285.39,2.9,0,0,566.2199999999999

12,02:45-03:00,0,0,0,26.87,3.87,26.33,95.12,26.33,26.87,17.55,8.78,8.78,26.33,0.48,4.83,5.79,0,285.39,2.9,0,0,566.2199999999999

