Time,Block,NR/2023/12592/A,NR/2023/15309/F,NR/2023/14895/A,NR/2023/15730/D,NR/2023/15733/D,NR/2023/15753/C,NR/2023/14746/A,NR/2023/12148/A,NR/2023/15306/F,NR/2023/13862/A,NR/2023/13635/A,NR/2023/15735/C,NR/2023/14898/A,NR/2023/15304/F,NR/2023/15738/C,NR/2023/15057/F,NR/2023/12052/A,NR/2023/15296/F,NR/2023/15412/F,NR/2023/12167/A,NR/2023/15402/F,NR/2023/15751/C,NR/2023/12422/A,NR/2023/12347/A,NR/2023/14745/A,NR/2023/15755/C,NR/2023/14737/A,NR/2023/12168/A,NR/2023/15303/F,NR/2023/12053/A,NR/2023/15754/C,NR/2023/15734/D,NR/2023/12431/A,NR/2023/12591/A,Total
,,NVVNL,IEXL,MANIKARAN,NVVNL,KEIPL,TPDDL,APPCPL,GMRETL,BSHP,MANIKARAN,NVVNL,SJVNL,MANIKARAN,BSHP,GBHHPL,ITCLH,KEIPL,BSHP,NVVNL,APPCPL,SJVNL,SJVNL,APPCPL,STATKRAFT,APPCPL,HPXL,NVVNL,APPCPL,BSHP,KEIPL,PXIL,KEIPL,TPTCL,NVVNL,Total

,,NA,JAMMU AND KASHMIR,HIMACHAL PRADESH,NA,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,HIMACHAL PRADESH,TAMIL NADU,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,ANDHRA PRADESH,MEGHALAYA,HIMACHAL PRADESH,NA,MEGHALAYA,UTTAR PRADESH,NA,HIMACHAL PRADESH,TAMIL NADU,GOA,NA,NA,UTTARAKHAND,HIMACHAL PRADESH,MEGHALAYA,DELHI,UTTAR PRADESH,NA,NA,
,,JPNIGRIE_JNSTPP,SAPU1234,HP,SOLAPUR_SOLAR,LMEL MSEB,CHANJUII,HP,Meghalaya_Ben,BSHP,TANGEDCO,KAMENG,DIKCHU,HP,BSHP,GBHHPL,ITCWIND,Meghalaya_Ben,BSHP,KAMENG,Meghalaya_Ben,BCMLB001,RSRPL_BKN,HP,TANGEDCO,GOA_Beneficiary,Teesta_III,SKS Raigarh,UTTARAKHAND,BSHP,Meghalaya_Ben,BYPL,LAPL-UP,JPL-2,JPNIGRIE_JNSTPP,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,
,,BRPL,MES (Delhi),BRPL,MES (Delhi),BYPL,TPDDL,BRPL,BYPL,BMDRC,BRPL,BRPL,NDMC,BRPL,MHIL,DIAPL,ITCLH,BYPL,JHPL-DL,TPDDL,BYPL,NDMC,NDMC,BYPL,BYPL,BRPL,BRPL,NDMC,BYPL,MAX-HPTL,BYPL,ASIL_UP,BYPL,BRPL,BRPL,
,,West-North,North-North,North-North,West-North,West-North,North-North,North-North,North East-East-North,North-North,South-East-North,North East-East-North,East-North,North-North,North-North,North-North,South-West-North,North East-East-North,North-North,North East-East-North,North East-East-North,North-North,North-North,North-North,South-West-North,West-North,East-North,West-North,North-North,North-North,North East-East-North,North-North,North-North,West-North,West-North,
1,00:00-00:15,85.140000,4.840000,95.800000,0,0.000000,18.720000,77.900000,22.260000,0.930000,23.160000,21.290000,0.000000,70.160000,0.580000,6.060000,0.870000,63.140000,0.970000,193.540000,24.190000,0.000000,0,33.390000,98.710000,24.190000,265.150000,62.900000,46.640000,0.910000,36.510000,0.000000,0.000000,108.870000,42.570000,1429.39

2,00:15-00:30,85.140000,4.840000,95.800000,0,0.000000,18.720000,77.900000,22.260000,0.930000,23.160000,21.290000,0.000000,70.160000,0.580000,6.060000,0.870000,63.140000,0.970000,193.540000,24.190000,0.000000,0,33.390000,98.710000,24.190000,223.540000,62.900000,46.640000,0.910000,36.510000,0.000000,0.000000,108.870000,42.570000,1387.78

3,00:30-00:45,85.140000,4.840000,95.800000,0,0.000000,18.720000,77.900000,22.260000,0.930000,23.160000,21.290000,0.000000,70.160000,0.580000,6.060000,0.870000,63.140000,0.970000,193.540000,24.190000,0.000000,0,33.390000,98.710000,24.190000,182.900000,62.900000,46.640000,0.910000,36.510000,0.000000,0.000000,108.870000,42.570000,1347.14

4,00:45-01:00,85.140000,4.840000,95.800000,0,0.000000,18.720000,77.900000,22.260000,0.930000,23.160000,21.290000,0.000000,70.160000,0.580000,6.060000,0.870000,63.140000,0.970000,193.540000,24.190000,0.000000,0,33.390000,98.710000,24.190000,140.320000,62.900000,46.640000,0.910000,36.510000,0.000000,0.000000,108.870000,42.570000,1304.56

5,01:00-01:15,85.140000,4.840000,95.800000,0,0.000000,18.720000,77.900000,22.260000,0.930000,23.160000,21.290000,0.000000,70.160000,0.580000,6.060000,0.680000,63.140000,0.970000,193.540000,24.190000,0.000000,0,33.390000,98.710000,24.190000,101.610000,62.900000,46.640000,0.910000,36.510000,0.000000,0.000000,108.870000,42.570000,1265.66

6,01:15-01:30,85.140000,4.840000,95.800000,0,0.000000,18.720000,77.900000,22.260000,0.930000,23.160000,21.290000,0.000000,70.160000,0.580000,5.040000,0.680000,63.140000,0.970000,193.540000,24.190000,0.000000,0,33.390000,98.710000,24.190000,65.800000,62.900000,46.640000,0.910000,36.510000,0.000000,0.000000,108.870000,42.570000,1228.83

7,01:30-01:45,85.140000,4.840000,95.800000,0,12.580000,18.720000,77.900000,22.260000,0.930000,23.160000,21.290000,0.000000,70.160000,0.580000,5.040000,0.680000,63.140000,0.970000,193.540000,24.190000,0.000000,0,33.390000,98.710000,24.190000,19.350000,62.900000,46.640000,0.910000,36.510000,0.000000,38.710000,108.870000,42.570000,1233.67

8,01:45-02:00,85.140000,4.840000,95.800000,0,12.580000,18.720000,77.900000,22.260000,0.930000,23.160000,21.290000,0.000000,70.160000,0.580000,5.040000,0.680000,63.140000,0.970000,193.540000,24.190000,0.000000,0,33.390000,98.710000,24.190000,19.350000,62.900000,46.640000,0.910000,36.510000,0.000000,38.710000,108.870000,42.570000,1233.67

9,02:00-02:15,85.140000,4.840000,95.800000,0,12.580000,18.720000,77.900000,22.260000,0.930000,23.160000,21.290000,0.000000,70.160000,0.580000,5.040000,0.580000,63.140000,0.970000,193.540000,24.190000,0.000000,0,33.390000,98.710000,24.190000,0.000000,62.900000,46.640000,0.910000,36.510000,0.000000,38.710000,108.870000,42.570000,1214.22

10,02:15-02:30,85.140000,4.840000,95.800000,0,12.580000,18.720000,77.900000,22.260000,0.930000,23.160000,21.290000,0.000000,70.160000,0.580000,5.040000,0.580000,63.140000,0.970000,193.540000,24.190000,0.000000,0,33.390000,98.710000,24.190000,0.000000,62.900000,46.640000,0.910000,36.510000,0.000000,38.710000,108.870000,42.570000,1214.22

11,02:30-02:45,85.140000,4.840000,95.800000,0,12.580000,18.720000,77.900000,22.260000,0.930000,23.160000,21.290000,0.000000,70.160000,0.580000,5.040000,0.580000,63.140000,0.970000,193.540000,24.190000,0.000000,0,33.390000,98.710000,24.190000,0.000000,62.900000,46.640000,0.910000,36.510000,0.000000,38.710000,108.870000,42.570000,1214.22

12,02:45-03:00,85.140000,4.840000,95.800000,0,12.580000,18.720000,77.900000,22.260000,0.930000,23.160000,21.290000,0.000000,70.160000,0.580000,6.060000,0.580000,63.140000,0.970000,193.540000,24.190000,0.000000,0,33.390000,98.710000,24.190000,0.000000,62.900000,46.640000,0.910000,36.510000,0.000000,38.710000,108.870000,42.570000,1215.24

