Block,Time,NR/01112023/30112023/HP-09,NR/01112023/30112023/HP-10,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_02,NR/03112023/30112023/HPX-TAMDLY-011123-05147,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_07,NR/03112023/30112023/IEX-231101-05680,NR/01102023/25122043/GNA_MEJA_DELHI,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01102023/22052037/LT-59,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31052040/LT-31,NR/01102023/05012040/L_NR_2020_02,SR/01112023/30112023/KSEB_BYPL-NOV23,NR/01102023/31102037/L_NR_2019_11,NR/01102023/30042040/GNA_LT_35,SR/01102023/07102043/L_NR_2018_61,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,L_NR_2019_19,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,WR/01102023/24112044/L_NR_2020_07,NR/01102023/14082046/L_NR_2021_16,NR/01102023/13082046/L_NR_2021_12,NR/01102023/25072045/L_NR_2021_15,WR/01102023/30052048/L_NR_2022_10,NR/22102023/11042047/L_NR_2021_17,WR/01102023/01102023/L_NR_2022_09,NR/26072023/31072042/L_NR_2023_07,WR/01102023/16072048/L_NR_2022_08
1,00:00-00:15,172.710000,73.760000,71.730000,0.000000,159.300000,48.200000,24.100000,192.820000,34.710000,48.200000,0.000000,26.020000,26.020000,1.780000,53.030000,0.000000,2.230000,144.62,1.760000,0.000000,7.51,0,0,0,0,62.75,0,0,0,0,0,20.9,20.92,0,0,0,41.52,0,41.52,0,19.73

2,00:15-00:30,172.710000,73.760000,71.730000,0.000000,159.300000,48.200000,24.100000,192.820000,34.710000,48.200000,0.000000,26.020000,26.020000,1.780000,53.030000,0.000000,2.230000,144.62,1.760000,0.000000,6.61,0,0,0,0,62.15,0,0,0,0,0,20.71,20.72,0,0,0,40.93,0,40.93,0,18.92

3,00:30-00:45,172.710000,73.760000,71.730000,0.000000,159.300000,48.200000,24.100000,192.820000,34.710000,48.200000,0.000000,26.020000,26.020000,1.780000,53.030000,0.000000,2.230000,144.62,1.760000,0.000000,6.61,0,0,0,0,61.24,0,0,0,0,0,20.41,20.41,0,0,0,40.24,0,40.24,0,18.12

4,00:45-01:00,172.710000,73.760000,71.730000,0.000000,159.300000,48.200000,24.100000,192.820000,34.710000,48.200000,0.000000,26.020000,26.020000,1.780000,53.030000,0.000000,2.230000,144.62,1.760000,0.000000,6.61,0,0,0,0,60.52,0,0,0,0,0,20.18,20.17,0,0,0,39.7,0,39.7,0,17.34

5,01:00-01:15,172.710000,73.760000,71.730000,0.000000,104.120000,48.200000,24.100000,192.820000,34.710000,48.200000,0.000000,26.020000,26.020000,1.780000,53.030000,0.000000,2.230000,144.62,1.760000,0.000000,6.61,0,0,0,0,60.5,0,0,0,0,0,20.16,20.17,0,0,0,39.16,0,39.16,0,16.64

6,01:15-01:30,172.710000,73.760000,71.730000,0.000000,104.120000,48.200000,24.100000,192.820000,34.710000,48.200000,0.000000,26.020000,26.020000,1.780000,53.030000,0.000000,2.230000,144.62,1.760000,0.000000,6.61,0,0,0,0,60.18,0,0,0,0,0,20.05,20.06,0,0,0,39.28,0,39.28,0,16.14

7,01:30-01:45,172.710000,73.760000,71.730000,0.000000,104.120000,48.200000,24.100000,192.820000,34.710000,48.200000,0.000000,26.020000,26.020000,1.780000,53.030000,0.000000,2.230000,144.62,1.760000,0.000000,6.61,0,0,0,0,59.83,0,0,0,0,0,19.94,19.94,0,0,0,38.98,0,38.98,0,15.55

8,01:45-02:00,172.710000,73.760000,71.730000,0.000000,104.120000,48.200000,24.100000,192.820000,34.710000,48.200000,0.000000,26.020000,26.020000,1.780000,53.030000,0.000000,2.230000,144.62,1.760000,0.000000,6.61,0,0,0,0,59.78,0,0,0,0,0,19.92,19.93,0,0,0,38.61,0,38.61,0,10.01

9,02:00-02:15,172.710000,73.760000,71.730000,0.000000,130.150000,48.200000,24.100000,149.130000,34.710000,48.200000,0.000000,26.020000,26.020000,1.710000,53.030000,0.000000,2.230000,144.62,1.760000,0.000000,6.61,0,0,0,0,48.29,0,0,0,0,0,16.1,16.1,0,0,0,33.7,0,33.7,0,9.48

