Block,Time,SALAL,UNCHAHAR1,KOTESHWR,RAMPUR,AURY_LF,RIHAND1,TANDA2,URI2,UNCHAHAR3,JHAJJAR,DADRI_RF,KOLDAM,RIHAND2,SINGRAULI,ANTA_LF,CHAMERA3,NJPC,SINGRAULI_HYDRO,CHAMERA1,AURY_RF,DULHASTI,ANTA_GF,RAPPB,TEHRI,CHAMERA2,AURY_CRF,ANTA_RF,DADRI_GF,BSIUL,ANTA_CRF,PARBATI3,SEWA2,DADRI_LF,TANAKPUR,UNCHAHAR2,RAPPC,DADRI_CRF,NAPP,DHAULIGNGA,AURY_GF,DADRT2,KISHANGANGA,URI,RIHAND3,UNCHAHAR4,KHSTPP-I,SASAN,KUDGI,TALA,BRBCL,FSTPP I & II,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,66.261307,14.845343,8.576721,0.000000,0.000000,88.918000,0.000000,30.828820,18.015657,631.269572,0.000000,0.000000,56.627235,100.032750,0.000000,0.000000,21.051336,0.758055,0.000000,0.000000,31.853621,0.000000,0.000000,0.000000,0.000000,0.000000,0.395020,0.000000,6.302353,0.000000,0.000000,15.274612,0.000000,8.418988,24.334054,25.510961,0.000000,38.914769,1.276746,0.000000,660.244301,0.000000,36.278544,119.522827,0.000000,29.333275,394.813645,87.17,8.524530,19.330005,8.616058,95.045610,0,0,0,0,0

2,00:15-00:30,66.261307,17.062464,8.576721,0.000000,0.000000,88.918000,0.000000,30.828820,21.579965,631.269572,0.000000,0.000000,56.627235,100.032750,0.000000,0.000000,21.051336,0.758055,0.000000,0.000000,31.853621,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.302353,0.000000,0.000000,15.274612,0.000000,8.418988,24.334054,25.510961,0.000000,38.914769,1.276746,0.000000,660.244301,0.000000,36.278544,119.522827,0.000000,29.333275,395.781750,89.88,8.524530,19.330005,8.616058,95.045610,0,0,0,0,0

3,00:30-00:45,66.261307,19.315502,8.576721,0.000000,0.000000,88.918000,0.000000,30.828820,25.506032,631.269572,0.000000,0.000000,56.627235,100.032750,0.000000,0.000000,21.051336,0.758055,0.000000,0.000000,31.853621,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.302353,0.000000,0.000000,15.274612,0.000000,8.418988,24.334054,25.510961,0.000000,38.914769,1.276746,0.000000,660.244301,0.000000,8.536128,119.522827,0.000000,29.333275,395.781750,84.86,8.524530,18.623790,8.616058,95.045610,0,0,0,0,0

4,00:45-01:00,66.261307,19.315502,8.576721,0.000000,0.000000,88.918000,0.000000,30.828820,25.506032,631.269572,0.000000,0.000000,56.627235,100.032750,0.000000,0.000000,21.051336,0.758055,0.000000,0.000000,31.853621,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.302353,0.000000,0.000000,15.274612,0.000000,8.418988,24.334054,25.510961,0.000000,38.914769,1.276746,0.000000,660.244301,0.000000,8.536128,119.522827,0.000000,29.333275,395.781750,75.75,8.524530,16.604218,8.616058,95.045610,0,0,0,0,0

5,01:00-01:15,66.261307,8.826948,8.576721,0.000000,0.000000,88.918000,0.000000,30.828820,11.691267,581.344918,0.000000,0.000000,56.627235,100.032750,0.000000,0.000000,21.051336,0.758055,0.000000,0.000000,31.853621,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15.274612,0.000000,8.418988,14.231906,25.510961,0.000000,38.914769,1.276746,0.000000,592.396001,0.000000,8.536128,119.522827,0.000000,29.333275,395.781750,74.42,8.524530,15.899012,8.616058,95.045610,0,0,0,0,0

