Block,Time,UNCHAHAR1,UNCHAHAR4,DADRI_GF,CHAMERA2,SEWA2,AURY_LF,ANTA_LF,ANTA_CRF,AURY_CRF,CHAMERA3,SALAL,ANTA_RF,JHAJJAR,DADRI_LF,RIHAND2,KOLDAM,TEHRI,DHAULIGNGA,TANAKPUR,AURY_RF,DADRT2,SINGRAULI_HYDRO,AURY_GF,RAPPB,RIHAND3,ANTA_GF,NJPC,BSIUL,URI,URI2,SINGRAULI,TANDA2,NAPP,CHAMERA1,RAPPC,KOTESHWR,UNCHAHAR3,DULHASTI,DADRI_RF,UNCHAHAR2,PARBATI3,RAMPUR,KISHANGANGA,RIHAND1,DADRI_CRF,FSTPP I & II,KHSTPP-I,TALA,SASAN,KHSTPP-II,BRBCL,KUDGI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,6.751500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.328239,0.000000,178.336655,0.000000,112.120521,0.000000,0.000000,0.000000,4.942098,0.000000,173.610000,0.571977,0.000000,0.000000,117.074096,0.000000,0.000000,0.000000,38.333088,10.379563,131.010446,0.000000,0.000000,0.000000,49.937180,8.558973,8.680500,15.893853,0.000000,11.574000,0.000000,0.000000,0.000000,87.022591,0.000000,4.822500,25.907049,0.000000,336.586388,73.465290,19.290037,64.62,0,0,0,0,0

2,00:15-00:30,6.751500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.328239,0.000000,136.959000,0.000000,112.120521,0.000000,0.000000,0.000000,4.942098,0.000000,173.610000,0.571977,0.000000,0.000000,117.074096,0.000000,0.000000,0.000000,38.333088,23.872995,131.010446,0.000000,0.000000,0.000000,49.937180,8.558973,8.680500,15.893853,0.000000,11.574000,0.000000,0.000000,0.000000,87.022591,0.000000,4.822500,25.907049,0.000000,336.586388,73.465290,18.417508,62.69,0,0,0,0,0

3,00:30-00:45,6.751500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.328239,0.000000,136.959000,0.000000,112.120521,0.000000,0.000000,0.000000,11.499027,0.000000,173.610000,0.571977,0.000000,0.000000,117.074096,0.000000,0.000000,0.000000,6.388848,23.872995,131.010446,0.000000,0.000000,0.000000,49.937180,8.558973,8.680500,15.893853,0.000000,11.574000,0.000000,0.000000,0.000000,87.022591,0.000000,4.822500,25.907049,0.000000,336.586388,73.312140,17.397640,60.76,0,0,0,0,0

4,00:45-01:00,6.751500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.328239,0.000000,223.764000,0.000000,112.120521,0.000000,0.000000,0.000000,11.499027,0.000000,173.610000,0.571977,0.000000,0.000000,117.074096,0.000000,0.000000,0.000000,6.388848,23.872995,131.010446,0.000000,0.000000,0.000000,49.937180,8.558973,8.680500,15.893853,0.000000,11.574000,0.000000,0.000000,0.000000,87.022591,0.000000,4.822500,25.907049,0.000000,336.586388,72.608428,17.127773,59.80,0,0,0,0,0

5,01:00-01:15,6.751500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.328239,0.000000,223.764000,0.000000,112.120521,0.000000,0.000000,0.000000,11.499027,0.000000,173.610000,0.571977,0.000000,0.000000,117.074096,0.000000,0.000000,0.000000,6.388848,23.872995,131.010446,0.000000,0.000000,0.000000,49.937180,8.558973,8.680500,15.893853,0.000000,11.574000,0.000000,0.000000,0.000000,87.022591,0.000000,4.822500,25.907049,0.000000,336.586388,59.983123,19.290037,58.83,0,0,0,0,0

6,01:15-01:30,6.751500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.328239,0.000000,223.764000,0.000000,112.120521,0.000000,0.000000,0.000000,11.499027,0.000000,173.610000,0.571977,0.000000,0.000000,117.074096,0.000000,0.000000,0.000000,6.388848,23.872995,131.010446,0.000000,0.000000,0.000000,49.937180,8.558973,8.680500,15.893853,0.000000,11.574000,0.000000,0.000000,0.000000,87.022591,0.000000,4.822500,25.907049,0.000000,336.586388,59.983123,17.711276,56.91,0,0,0,0,0

7,01:30-01:45,6.751500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24.656478,0.000000,223.764000,0.000000,112.120521,0.000000,0.000000,0.000000,11.499027,0.000000,173.610000,0.571977,0.000000,0.000000,117.074096,0.000000,0.000000,0.000000,6.388848,23.872995,131.010446,0.000000,0.000000,0.000000,49.937180,8.558973,8.680500,15.893853,0.000000,11.574000,0.000000,0.000000,0.000000,87.022591,0.000000,4.822500,11.574000,0.000000,336.586388,59.983123,16.863251,57.87,0,0,0,0,0

8,01:45-02:00,6.751500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,76.558364,0.000000,223.764000,0.000000,112.120521,0.000000,0.000000,0.000000,4.942098,0.000000,173.610000,0.571977,0.000000,0.000000,117.074096,0.000000,0.000000,0.000000,6.388848,10.379563,131.010446,0.000000,0.000000,0.000000,49.937180,8.558973,8.680500,15.893853,0.000000,11.574000,0.000000,0.000000,0.000000,87.022591,0.000000,4.822500,11.574000,0.000000,336.586388,59.983123,15.077249,57.87,0,0,0,0,0

