Column1,Time,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/8090,L_NR_2019_19,SR/01102023/07102043/L_NR_2018_61,NR/22102023/11042047/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/31122025/SH-07,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/09/01/6566,NR/01102023/31052040/LT-31,NR/30092023/26122029/SH-06,NR/01102023/19072037/LT-05,NR/01082024/30092024/LT_MEJA_DELHI,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2024/09/25/9437,GNA/NR/2024/09/25/7488,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/2171,NR/01102023/22052037/LT-59,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/09/01/7908,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/09/16/2535,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/09/01/7119,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_02,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/31072042/L_NR_2023_07,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/13082046/L_NR_2021_12,WR/01102023/24112044/L_NR_2020_07,NR/01102023/25072045/L_NR_2021_15,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2022_09,NR/26072023/25122043/L_NR_2023_10,NR/01102023/08032047/L_NR_2021_14,WR/01102023/31032046/L_NR_2020_05
1,00:00-00:15,32.9,0,0,42.41,0,0,31.3,32,93.56,24.19,0,32,115.66,7.96,0,0,193.54,96.77,2.42,5.68,0,21.77,273.62,0,163.3,87.29,17.5,9.79,0,220.64,0,0,46.67,15.84,0,0,15.83,0,15,0,0,46.67,0,0,47.5

2,00:15-00:30,32.9,0,0,42.41,0,0,31.3,32,93.56,24.19,0,32,115.66,7.96,0,0,193.54,96.77,2.42,5.68,0,21.77,273.62,0,163.3,87.29,17.5,9.79,0,220.64,0,0,46.67,15.84,0,0,15.83,0,15,0,0,46.67,0,0,47.5

3,00:30-00:45,32.9,0,0,42.41,0,0,31.3,32,93.56,24.19,0,32,115.66,7.96,0,0,193.54,96.77,2.42,5.68,0,21.77,273.62,0,163.3,87.29,17.5,9.79,0,220.64,0,0,46.67,15.84,0,0,15.83,0,15,0,0,46.67,0,0,47.5

4,00:45-01:00,32.9,0,0,42.41,0,0,31.3,32,93.56,24.19,0,32,115.66,7.96,0,0,193.54,96.77,2.42,5.68,0,21.77,273.62,0,163.3,87.29,17.5,10.53,0,220.64,0,0,46.67,15.84,0,0,15.83,0,15,0,0,46.67,0,0,47.5

5,01:00-01:15,32.9,0,0,42.41,0,0,31.3,1.35,93.56,24.19,0,32,115.66,7.96,0,0,193.54,96.77,2.42,5.68,0,21.77,273.62,0,163.3,87.29,17.5,9.7,0,220.64,0,0,46.67,15.84,0,0,15.83,0,15,0,0,46.67,0,0,47.5

6,01:15-01:30,32.9,0,0,42.21,0,0,31.3,1.35,93.56,24.19,0,32,115.66,7.96,0,0,193.54,96.77,2.42,5.68,0,21.77,273.62,0,163.3,87.29,17.5,9.7,0,220.64,0,0,46.67,15.84,0,0,15.83,0,15,0,0,46.67,0,0,47.5

7,01:30-01:45,32.9,0,0,42.01,0,0,31.3,1.35,93.56,24.19,0,32,115.66,7.96,3.85,0,193.54,96.77,2.42,5.68,0,21.77,273.62,0,163.3,87.29,17.5,9.7,0,220.64,0,0,46.67,15.84,0,0,15.83,0,15,0,0,46.67,0,0,47.5

8,01:45-02:00,32.9,0,0,41.81,0,0,31.3,1.35,93.56,24.19,0,32,115.66,7.96,3.85,0,193.54,96.77,2.42,5.68,0,21.77,273.62,0,163.3,87.29,17.5,9.7,0,220.64,0,0,46.67,15.84,0,0,15.83,0,15,0,0,46.67,0,0,47.5

9,02:00-02:15,32.9,0,0,41.61,0,0,31.3,22.97,93.56,24.19,0,22.97,115.66,7.96,3.85,0,0,96.77,2.42,6.39,0,21.77,273.62,0,163.3,87.29,17.5,9.61,0,220.64,0,0,47.33,16,0,0,16,0,15,0,0,47.33,0,0,48

10,02:15-02:30,32.9,0,0,41.41,0,0,31.3,22.97,93.56,24.19,0,22.97,115.66,7.96,3.85,0,0,96.77,2.42,6.39,0,21.77,273.62,0,163.3,87.29,17.5,9.61,0,220.64,0,0,47.67,16.34,0,0,16.33,0,15,0,0,47.67,0,0,49

11,02:30-02:45,32.9,0,0,41.22,0,0,31.3,22.97,93.56,24.19,0,22.97,115.66,7.96,3.85,0,0,96.77,2.42,6.39,0,21.77,273.62,0,163.3,87.29,17.5,9.61,0,220.64,0,0,48,16.5,0,0,16.5,0,15,0,0,48,0,0,49.5

12,02:45-03:00,32.9,0,0,41.22,0,0,31.3,22.97,93.56,24.19,0,22.97,115.66,7.96,3.85,0,0,96.77,2.42,6.39,0,21.77,273.62,0,163.3,87.29,17.5,9.61,0,220.64,0,0,48.33,17,0,0,17,0,15,0,0,48.33,0,0,51

13,03:00-03:15,0,0,0,39.02,0,0,31.3,22.97,93.56,24.19,0,22.97,115.66,7.96,3.85,0,0,96.77,2.42,6.23,0,21.77,273.62,0,163.3,87.29,17.5,9.51,0,220.64,0,0,40,16,0,0,16,0,12.34,0,0,40,0,0,48

14,03:15-03:30,0,0,0,38.02,0,0,31.3,22.97,93.56,24.19,0,22.97,115.66,7.96,3.85,0,0,96.77,2.42,6.23,0,21.77,273.62,0,163.3,87.29,17.5,9.51,0,220.64,0,0,39.67,15.84,0,0,15.83,0,12.34,0,0,39.67,0,0,47.5

15,03:30-03:45,0,0,0,39.02,0,0,31.3,22.97,93.56,24.19,0,22.97,66.36,7.96,4.46,0,0,96.77,2.42,6.23,0,21.77,273.62,0,163.3,87.29,17.5,9.51,0,220.64,0,0,39.67,15.5,0,0,15.5,0,12,0,0,39.67,0,0,46.5

16,03:45-04:00,0,0,0,38.62,0,0,31.3,22.97,93.56,24.19,0,22.97,66.36,7.96,4.46,0,0,96.77,2.42,6.23,0,21.77,273.62,0,163.3,87.29,17.5,9.51,0,220.64,0,0,39.33,15.34,0,0,15.33,0,12,0,0,39.33,0,0,46

17,04:00-04:15,0,0,0,41.82,0,0,31.3,22.97,93.56,24.19,0,22.97,66.36,7.96,4.46,0,0,96.77,2.42,6.07,0,21.77,273.62,0,163.3,87.29,17.5,9.43,0,220.64,0,0,39,14.66,0,0,14.67,0,12,0,0,39,0,0,44

18,04:15-04:30,0,0,0,41.62,0,0,31.3,22.97,93.56,24.19,0,22.97,66.36,7.96,4.46,0,0,96.77,2.42,6.07,0,21.77,273.62,0,163.3,87.29,17.5,9.43,0,220.64,0,0,39,14,0,0,14,0,11.66,0,0,39,0,0,42

19,04:30-04:45,0,0,0,41.42,0,0,31.3,22.97,93.56,24.19,0,22.97,66.36,7.96,4.46,0,0,96.77,2.42,5.68,0,21.77,273.62,0,163.3,87.29,17.5,9.43,0,220.64,0,0,35.33,10,0,0,10,0,10,0,0,35.33,0,0,30

20,04:45-05:00,0,0,0,41.42,0,0,31.3,22.97,93.56,24.19,0,22.97,66.36,7.96,4.46,0,0,96.77,2.42,5.68,0,21.77,273.62,0,163.3,87.29,17.5,9.43,0,220.64,0,0,35,10,0,0,10,0,10,0,0,35,0,0,30

21,05:00-05:15,0,0,0,41.22,0,0,31.3,22.97,93.56,24.19,0,22.97,66.36,7.96,4.23,0,0,96.77,2.42,5.68,0,21.77,273.62,0,163.3,87.29,17.5,9.33,0,220.64,0,0,35,8.34,0,0,8.33,0,10,0,0,35,0,0,25

22,05:15-05:30,0,0,0,41.02,0,0,31.3,22.97,93.56,24.19,0,22.97,66.36,7.96,4.23,0,0,96.77,2.42,5.68,0,21.77,273.62,0,163.3,87.29,17.5,9.33,0,220.64,0,0,35,8.34,0,0,8.33,0,10,0,0,35,0,0,25

23,05:30-05:45,0,0,0,41.82,0,0,31.3,22.97,93.56,24.19,0,22.97,66.36,7.96,4.23,0,0,96.77,2.42,5.68,0,21.77,273.62,0,163.3,87.29,17.5,9.33,0,220.64,0,0,35,8.34,0,0,8.33,0,10,0,0,35,0,0,25

24,05:45-06:00,0,0,0,41.62,0,0,31.3,22.97,93.56,24.19,0,22.97,115.66,7.96,4.23,0,0,96.77,2.42,5.68,0,21.77,273.62,0,163.3,87.29,17.5,9.33,0,220.64,0,0,35,8.34,0,0,8.33,0,10,0,0,35,0,0,25

25,06:00-06:15,0,0,0.23,41.42,0,1,30.28,22.97,93.56,24.19,0,22.97,115.66,7.96,4.08,0,0,96.77,2.42,5.68,0,21.77,273.62,0,0,87.29,17.5,9.24,0,220.64,11.27,1,35,8.34,1,0,8.33,0,10,12.38,0,35,1,0,25

26,06:15-06:30,0,0,3.55,41.22,1,2,30.28,22.97,93.56,24.19,0,22.97,115.66,7.96,4.08,0,0,96.77,2.42,5.68,0,21.77,273.62,0,0,87.29,17.5,9.24,0,220.64,19.82,4,34.33,8.34,5,0,8.33,0,10,21.77,0,34.33,1,1,25

27,06:30-06:45,0,0,10.2,41.02,3,5,31.29,22.97,93.56,24.19,0.42,22.97,115.66,7.96,4.08,0,0,96.77,2.42,5.68,0,21.77,273.62,0.42,0,87.29,17.5,9.24,0.43,220.64,27.31,7,33.67,8.34,10,0.92,8.33,2,10,29.97,0.18,33.67,3,3,25

28,06:45-07:00,0,0,16.85,40.82,4,8,31.29,22.97,93.56,24.19,0.74,22.97,115.66,7.96,4.08,0,0,96.77,2.42,5.68,0,21.77,273.62,0.74,0,87.29,17.5,9.24,0.76,220.64,33,14,32.67,8.34,18,4.65,8.33,3,9.66,33,0.93,32.67,6,7,25

29,07:00-07:15,0,0,23.99,36.62,5,10,31.29,22.97,93.56,24.19,1.27,22.97,115.66,7.96,3.93,0,0,96.77,2.42,5.68,0,21.77,273.62,1.27,0,87.29,17.5,9.24,1.3,220.64,31.25,21,26.67,8.34,30,11.4,8.33,5,8.66,31.25,2.28,26.67,9,10,25

30,07:15-07:30,0,0,32.82,36.42,7,15,31.29,22.97,93.56,24.19,1.98,22.97,66.36,7.96,3.93,0,0,96.77,2.42,5.68,0,21.77,273.62,1.98,0,87.29,17.5,9.24,2.02,220.64,32.33,32,26,8.34,32.33,20.84,8.33,8,8,32.34,4.17,26,13,13,25

31,07:30-07:45,0,0,43,36.21,9,18,31.29,22.97,93.56,24.19,2.86,22.97,98.6,7.96,4.46,0,0,96.77,2.42,5.68,0,21.77,273.62,2.86,0,87.29,17.5,9.24,2.92,176.64,32.67,42,25,8.34,32.67,35.75,8.33,11,7.34,32.66,7.15,25,18,17,25

32,07:45-08:00,0,0,53.52,36.01,12,25,31.29,22.97,93.56,24.19,3.52,22.97,90.06,7.96,4.46,0,0,96.77,2.42,5.68,0,21.77,273.62,3.52,0,87.29,17.5,9.24,3.61,176.64,33,53,24.33,8.34,33,52.95,8.33,14,7,33,10.59,24.33,22,20,25

33,08:00-08:15,0,0,63.61,36.21,15,32,31.29,22.97,100.81,24.19,4.51,22.97,81.53,7.96,4.38,0,0,96.77,2.42,5.68,0,21.77,273.62,4.51,0,87.29,17.5,9.14,4.61,176.64,33,67,23.33,8.34,33,71.27,8.33,18,7,33,14.25,23.33,28,23,25

34,08:15-08:30,0,0,72.67,36.42,19,39,31.3,22.97,100.81,24.19,5.57,22.97,73,7.96,4.38,0,0,96.77,2.42,5.68,0,21.77,273.62,5.57,0,87.29,17.5,9.14,5.7,176.64,33,81,22.67,8.34,33,92.06,8.33,21,7,33,18.41,22.67,34,30,25

35,08:30-08:45,0,0,80.83,36.62,22,46,31.3,22.97,100.81,24.19,6.57,22.97,70.54,7.96,4.38,0,0,96.77,2.42,5.68,0,21.77,273.62,6.57,0,76.73,17.5,9.14,6.73,176.64,33,95,22,8.34,33,111.73,8.33,24,7,33,22.34,22,40,36,25

36,08:45-09:00,0,0,88.31,36.82,25,53,31.3,22.97,100.81,24.19,7.6,22.97,70.54,7.96,4.38,0,0,96.77,2.42,5.68,0,21.77,273.62,7.6,0,76.73,17.5,9.14,7.79,176.64,33,109,21,8.34,33,131.71,8.33,27,7,33,26.34,21,46,42,25

37,09:00-09:15,0,0,94.72,37.02,28,60,31.3,22.97,100.81,24.19,8.51,22.97,70.54,7.96,4.38,0,0,96.77,2.42,5.68,0,21.77,273.62,8.51,0,76.73,24.78,9.14,8.72,176.64,33,123,20.33,8.34,33,148.48,8.33,30,7,33,29.7,20.33,52,53,25

38,09:15-09:30,0,0,99.8,36.82,32,66,31.3,22.97,100.81,24.19,9.41,22.97,70.54,7.96,4.38,0,0,96.77,2.42,5.68,0,21.77,273.62,9.41,0,87.29,24.78,9.14,9.65,176.64,33,137,19.67,8.16,33,164.36,8.17,33,7,33,32.87,19.67,58,58,24.5

39,09:30-09:45,0,0,103.87,36.62,35,72,31.29,22.97,100.81,24.19,10.31,22.97,70.54,7.96,4.38,0,0,96.77,2.42,5.68,0,21.77,273.62,10.31,0,76.73,24.78,9.14,10.57,176.64,33,147,19,7.66,33,180,7.67,37,7,33,36,19,63,66,23

40,09:45-10:00,0,0,107.22,36.62,37,77,31.29,22.97,100.81,24.19,11.46,22.97,70.54,7.96,4.38,0,0,96.77,2.42,5.68,0,21.77,273.62,11.46,0,76.73,24.78,9.14,11.75,176.64,33,158,18.33,7.5,33,194.57,7.5,39,7,33,38.91,18.33,67,73,22.5

41,10:00-10:15,0,0,111.41,37.02,38,80,31.29,22.97,100.81,24.19,12.09,22.97,70.54,7.96,4.62,0,0,96.77,2.42,5.68,0,21.77,273.62,12.09,0,76.73,24.78,9.06,12.39,205.67,33,165,17.67,7.5,33,207.3,7.5,41,7,33,41.46,17.67,70,79,22.5

42,10:15-10:30,0,0,116.73,37.62,40,84,31.29,22.97,100.81,24.19,13.22,22.97,70.54,7.96,4.62,0,0,96.77,2.42,5.68,0,21.77,273.62,13.22,0,76.73,24.78,9.06,13.54,205.67,33,172,17.33,7.5,33,219.01,7.5,42,7,33,43.8,17.33,73,83,22.5

43,10:30-10:45,0,0,121.8,37.42,41,87,30.27,22.97,100.81,24.19,13.71,22.97,70.54,7.96,4.62,0,0,96.77,2.42,5.68,0,21.77,273.62,13.71,0,76.73,24.78,9.06,14.06,176.64,33,179,16.67,7.5,33,228.4,7.5,44,7,33,45.68,16.67,76,87,22.5

44,10:45-11:00,0,0,125.9,37.22,43,90,30.27,22.97,100.81,24.19,14.65,22.97,70.54,7.96,4.62,0,0,96.77,2.42,5.68,0,21.77,273.62,14.65,0,76.73,24.78,9.06,15.02,176.64,33,186,16,7.5,33,231.67,7.5,45,7,33,46.33,16,79,88,22.5

45,11:00-11:15,0,0,128.7,36.01,44,91,30.27,22.97,100.81,24.19,14.92,22.97,66.36,7.96,4.62,0,0,96.77,2.42,5.68,0,21.77,273.62,14.92,0,76.73,24.78,9.06,15.29,176.64,33,189,22.67,7.5,33,231.67,7.5,46,7,33,46.33,22.67,81,90,22.5

46,11:15-11:30,0,0,130,36.42,45,93,30.27,22.97,100.81,24.19,15.28,22.97,66.36,7.96,4.62,0,0,96.77,2.42,5.68,0,21.77,273.62,15.28,0,76.73,24.78,9.06,15.66,176.64,33,193,22.67,7.5,33,231.67,7.5,47,7,33,46.33,22.67,82,91,22.5

47,11:30-11:45,0,0,130.69,36.01,45,93,30.27,22.97,100.81,24.19,15.28,22.97,66.36,7.96,4.62,0,0,96.77,2.42,5.68,0,21.77,273.62,15.28,0,87.29,24.78,9.06,15.66,176.64,33,193,22.33,7.5,33,231.67,7.5,46,7,33,46.33,22.33,82,91,22.5

48,11:45-12:00,0,0,130.75,35.81,45,93,30.27,22.97,100.81,24.19,15.28,22.97,66.36,7.96,4.62,0,0,96.77,2.42,5.68,0,21.77,273.62,15.28,0,87.29,24.78,9.06,15.66,176.64,33,193,21.67,7.5,33,231.67,7.5,46,7,33,46.33,21.67,82,91,22.5

49,12:00-12:15,0,0,125.35,35.41,45,93,30.78,22.97,100.81,24.19,15.28,22.97,66.36,7.96,4.77,0,0,96.77,2.42,5.68,0,21.77,273.62,15.28,0,75.03,24.78,9.06,15.66,176.64,33,193,15,7.5,33,231.67,7.5,45,7,33,46.33,15,82,88,22.5

50,12:15-12:30,0,0,124.13,35.81,45,93,30.78,22.97,100.81,24.19,15.28,22.97,66.36,7.96,4.77,0,0,96.77,2.42,5.68,0,21.77,273.62,15.28,0,67.28,24.78,9.06,15.66,176.64,33,193,15,7.5,33,231.67,7.5,45,7,33,46.33,15,82,88,22.5

51,12:30-12:45,0,0,122.43,36.42,45,93,30.78,22.97,100.81,24.19,15.28,22.97,66.36,7.96,4.77,0,0,96.77,2.42,5.68,0,21.77,232.25,15.28,0,67.28,24.78,9.06,15.66,176.64,33,193,15,7.5,33,231.67,7.5,45,7,33,46.33,15,82,88,22.5

52,12:45-13:00,0,0,120.13,38.02,45,93,30.78,22.97,100.81,24.19,15.28,22.97,66.36,7.96,4.77,0,0,96.77,2.42,5.68,0,21.77,193.54,15.28,0,67.28,24.78,9.06,15.66,176.64,33,193,15,7.5,33,231.67,7.5,45,7,33,46.33,15,82,88,22.5

