Block,Time,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31102037/L_NR_2019_11,NR/06012024/31012024/NVVN/OA/16855,NR/16012024/16012024/DD20240116NR22219,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05423,NR/16012024/16012024/HPX-TAMCTG-150124-05780,NR/01102023/31052040/LT-31,NR/01102023/15082037/GNA_NR_2012_01,NR/01012024/31012024/HP-27,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/05012040/L_NR_2020_02,NR/01012024/31012024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/06022042/L_NR_2012_02,NR/01012024/31012024/HP-28,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/19072037/LT-05,NR/01102023/23072042/L_NR_2012_04,NR/01012024/31012024/HPX-TAMLDCRA-141223-05419,NR/01012024/31012024/HP-26,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05424,SR/01102023/07102043/L_NR_2018_61,NR/01012024/31012024/52,NR/20122023/29022024/IEX_LDC_231218_00502,NR/30092023/31122025/SH-07,NR/01012024/31032024/ ChanjuII,NR/30092023/26122029/SH-06,NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_36,NR/20122023/29022024/IEX_LDC_231218_00501,NR/16012024/16012024/IEX_240115_06101,NR/01102023/30042040/GNA_LT_35,L_NR_2019_19,NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2020_06,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,WR/01102023/30052048/L_NR_2022_10,NR/01102023/14082046/L_NR_2021_16,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02012046/L_NR_2021_17,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/08032047/L_NR_2021_14,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/16072048/L_NR_2022_08,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,NR/05012024/31012024/SJVN050124NR1341,NR/05012024/31012024/SJVN050124NR1342
1,00:00-00:15,74.190000,1.140000,48.000000,0.000000,5.760000,0.000000,0.000000,48.000000,57.160000,0.000000,1.430000,48.000000,259.750000,24.470000,24.000000,69.980000,269.970000,6.720000,152.120000,18.240000,13.34,0.000000,11.520000,25.660000,1.470000,25.660000,0.730000,0.000000,8.160000,0.000000,0.000000,0,0,7.34,0,0,20.55,0,0,0,20.55,0,0,0,0,6.66,0,0,0,7.33,22,0,0

2,00:15-00:30,74.190000,1.140000,48.000000,0.000000,5.760000,0.000000,0.000000,48.000000,57.160000,0.000000,1.430000,48.000000,259.750000,24.470000,24.000000,69.980000,269.970000,6.720000,152.120000,18.240000,12.44,0.000000,11.520000,25.660000,1.470000,25.660000,0.730000,0.000000,8.160000,0.000000,0.000000,0,0,7.34,0,0,21.25,0,0,0,21.25,0,0,0,0,6.66,0,0,0,7.33,22,0,0

3,00:30-00:45,74.190000,1.140000,48.000000,0.000000,5.760000,0.000000,0.000000,48.000000,57.160000,0.000000,1.430000,48.000000,259.750000,24.470000,24.000000,69.980000,269.970000,6.720000,152.120000,18.240000,9.92,0.000000,11.520000,25.660000,1.470000,25.660000,0.730000,0.000000,8.160000,0.000000,0.000000,0,0,7.34,0,0,21.96,0,0,0,21.96,0,0,0,0,6.66,0,0,0,7.33,22,0,0

4,00:45-01:00,74.190000,1.140000,48.000000,0.000000,5.760000,0.000000,0.000000,48.000000,57.160000,0.000000,1.430000,48.000000,259.750000,24.470000,24.000000,69.980000,230.380000,6.720000,152.120000,18.240000,9.66,0.000000,11.520000,25.660000,1.470000,25.660000,0.730000,0.000000,8.160000,0.000000,0.000000,0,0,7.34,0,0,22.14,0,0,0,22.14,0,0,0,0,6.66,0,0,0,7.33,22,0,0

5,01:00-01:15,55.310000,1.070000,48.000000,0.000000,5.760000,0.000000,0.000000,48.000000,57.160000,0.000000,1.430000,48.000000,181.640000,24.470000,24.000000,69.980000,191.980000,6.720000,152.120000,18.240000,9.58,0.000000,11.520000,25.660000,1.470000,25.660000,0.730000,0.000000,8.160000,0.000000,0.000000,0,0,7.34,0,0,21.66,0,0,0,21.66,0,0,0,0,6.66,0,0,0,7.33,22,0,0

