Time,Block,NR/2024/19779/A/18360,NR/2024/19637/A/18701,NR/2024/20180/C,NR/2024/20149/C,NR/2024/20034/A/18571,NR/2024/19475/A/18511,NR/2024/20181/C,NR/2024/20174/C,NR/2024/20040/A/18592,NR/2024/20082/A/18593,NR/2024/20165/C,NR/2024/20145/C,NR/2024/20031/A/18572,NR/2024/20037/A/18526,NR/2024/19966/A/18531,NR/2024/19699/A/18575,NR/2024/20168/C,NR/2024/19918/A/18591,NR/2024/20167/C,NR/2024/20090/A/18620,NR/2024/19588/A/18208,NR/2024/20175/C,NR/2024/20172/C,NR/2024/19760/A/18527,NR/2024/20182/C,NR/2024/20041/A/18614,NR/2024/20164/C,NR/2024/20151/C,NR/2024/19355/A/18664,NR/2024/20166/C,NR/2024/19432/A/18577,NR/2024/20179/C,NR/2024/20050/A/18610,NR/2024/20052/A/18504,NR/2024/20133/C,NR/2024/19683/A/18141,NR/2024/20177/C,NR/2024/20033/A/18573,NR/2024/20048/A/18612,NR/2024/20148/C,Total
,,ITCLH,INSTINCT,IEXL,NVVNL,NVVNL,AEL,IEXL,HPXL,APPCPL,APPCPL,BAL224,TPDDL,NVVNL,TPTCL,BRPL,NVVNL,HPXL,APPCPL,BAL234,IEXL,GMRETL,HPXL,HPXL,TPTCL,IEXL,PTC,BAL184,NVVNL,TPDDL,PXIL,NVVNL,IEXL,PTC,DIAPL,DTCP,IEXL,PXIL,NVVNL,PTC,NVVNL,Total

,,ANDHRA PRADESH,NA,NA,NA,NA,NA,Gujarat,KERALA,MANIPUR,SIKKIM,HIMACHAL PRADESH,NA,NA,MAHARASHTRA,MAHARASHTRA,MP,KARNATAKA,NAGALAND,HIMACHAL PRADESH,MAHARASHTRA,RAJASTHAN,NA,NA,NA,NA,MAHARASHTRA,HIMACHAL PRADESH,NA,NA,NA,NA,Gujarat,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,KARNATAKA,NA,HIMACHAL PRADESH,NA,
,,ITCWIND,JPL-2,MCCPL,KAMENG,RKM_POWER,APL_Raipur TPP,UNOSUGEN,KSEB,Manipur_Ben,SIKKIM,SHPPBPL,JHAJJAR,RKM_POWER,JPL_DHULE,IEPLBELA2022,JP BINA,PCKL,Nagaland_Ben,SHPPBPL,A_A_Energy_MH_Bio,RUVNL,ACBIL,SINGOLI,SIMHAPURI,RKM_POWER,JPL_DHULE,SHPPBPL,SORANG_HEP,JPL-2,SEILP2,SEIL,SUGEN_GUVNL,HP,GBHHPL,SHPPBPL,NHCPL_HP,PCKL,SKS Raigarh,HP,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,ITCLH,BRPL,BRPL,TPDDL,NDMC,BRPL,BRPL,BRPL,BYPL,BYPL,BAL224,TPDDL,NDMC,TPDDL,BRPL,TPDDL,BRPL,BYPL,BAL234,MES (Delhi),BYPL,BYPL,BYPL,BRPL,BYPL,BRPL,BAL184,TPDDL,TPDDL,BYPL,TPDDL,BRPL,BRPL,DIAPL,DTCP,MES (Delhi),BRPL,NDMC,BYPL,MES (Delhi),
,,South-West-North,West-North,West-North,North East-East-North,West-North,West-North,West-North,South-East-North,North East-East-North,East-North,North-North,North-North,West-North,West-North,West-North,West-North,South-East-North,North East-East-North,North-North,West-North,North-North,West-North,North-North,South-West-North,West-North,West-North,North-North,North-North,West-North,South-West-North,South-West-North,West-North,North-North,North-North,North-North,North-North,South-West-North,West-North,North-North,West-North,
1,00:00-00:15,0.630000,0.000000,49.290000,111.430000,37.330000,193.280000,89.880000,96.640000,14.500000,11.600000,0.520000,241.600000,37.330000,72.480000,0.000000,48.320000,96.640000,13.530000,0.880000,1.930000,66.870000,19.330000,39.620000,0.000000,144.960000,0.000000,0.350000,9.660000,96.640000,29.940000,24.160000,28.990000,163.080000,8.700000,0.480000,1.930000,96.640000,12.450000,54.360000,0,1915.97

2,00:15-00:30,0.630000,0.000000,49.290000,111.430000,37.330000,193.280000,89.880000,96.640000,14.500000,11.600000,0.520000,241.600000,37.330000,72.480000,0.000000,48.320000,96.640000,13.530000,0.880000,1.930000,66.870000,19.330000,39.620000,0.000000,144.960000,0.000000,0.350000,9.660000,96.640000,29.940000,24.160000,28.990000,163.080000,8.700000,0.480000,1.930000,96.640000,12.450000,54.360000,0,1915.97
