Column1,Time,WR/01102023/01102023/L_NR_2022_09,GNARE/SR/2025/01/13/4532,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,GNARE/NR/2024/12/20/3668,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,GNA/NR/2025/08/01/4125,NR/01102023/05012040/L_NR_2020_02,NR/01102023/22052037/LT-59,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/4452,GNA/NR/2025/07/01/1044,NR/01102023/06022042/L_NR_2012_02,NR/01102023/19072037/LT-05,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/08/01/5784,NR/30092023/26122029/SH-06,NR/01102023/31052040/LT-31,GNA/NR/2025/08/01/2414,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/08/01/5126,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/07/01/8128,GNA/NR/2025/06/07/5932,GNA/NR/2025/07/01/2952,GNA/NR/2025/08/01/1196,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/08/01/6475
1,00:00-00:15,21.67,44.01,21.67,7.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,7.66,0,8.76,33.72,17.38,20.47,15.27,2.68,130.36,33.06,0,86.91,0,81.9,0,0,29.45,100.38,25.23,0,20.47,0,5.81,-0,3.87,19.27,19.18,270.98,20.79

2,00:15-00:30,20.67,44.01,20.67,7.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,7.66,0,8.76,33.72,17.38,20.47,15.27,2.68,130.36,33.06,0,86.91,0,81.9,0,0,29.45,100.38,25.23,0,20.47,0,5.81,-0,3.87,19.27,19.18,270.98,20.79

3,00:30-00:45,20,44.01,20,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,7.66,0,8.76,33.72,17.38,20.47,15.27,2.68,130.36,33.06,0,86.91,0,81.9,0,0,29.45,100.38,25.23,0,20.47,0,5.81,-0,3.87,19.27,19.18,270.98,20.79

4,00:45-01:00,19.33,44.01,19.34,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,7.66,0,8.76,33.72,17.38,20.47,15.27,2.68,130.36,35.14,0,86.91,0,81.9,0,0,29.45,100.38,25.23,0,20.47,0,5.81,-0,3.87,19.27,19.18,270.98,20.79

5,01:00-01:15,15,44.01,15,6.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,7.28,0,8.76,33.72,17.38,20.47,15.27,2.68,130.36,35.14,0,86.91,0,81.9,0,0,29.45,100.38,25.23,0,20.47,0,5.81,-0,3.87,19.27,19.18,270.98,20.79

6,01:15-01:30,15,44.01,15,5.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,7.28,0,8.76,33.72,17.38,20.47,15.27,2.68,130.36,35.14,0,86.91,0,81.9,0,0,29.45,100.38,25.23,0,20.47,0,5.81,-0,3.87,19.27,19.18,270.98,20.79

7,01:30-01:45,12.67,44.01,12.66,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,7.28,0,8.76,33.72,17.38,20.47,15.27,3.25,130.36,35.14,0,86.91,0,81.9,0,0,29.45,100.38,25.23,0,20.47,0,5.81,-0,3.87,19.27,19.18,270.98,20.79

8,01:45-02:00,12.67,44.01,12.66,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,7.28,0,8.76,33.72,17.38,20.47,15.27,3.25,130.36,35.14,0,86.91,0,81.9,0,0,29.45,100.38,25.23,0,20.47,0,5.81,-0,3.87,19.27,19.18,270.98,20.79

9,02:00-02:15,12.67,44.01,12.66,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,7.15,0,8.76,81.9,17.38,20.47,15.27,3.24,130.36,35.14,0,86.91,0,81.9,0,0,29.45,100.38,25.23,0,20.47,0,5.81,-0,3.87,19.27,19.18,270.98,20.79

10,02:15-02:30,12.67,44.01,12.66,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,7.15,0,8.76,81.9,17.38,20.47,15.27,3.2,130.36,35.14,0,68.97,0,81.9,0,0,29.45,100.38,25.23,0,20.47,0,3.19,-0,2.13,19.27,19.18,270.98,20.79

11,02:30-02:45,12.67,44.01,12.66,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,7.15,0,8.76,81.9,17.38,20.47,15.27,3.2,130.36,35.14,0,68.97,0,81.9,0,0,29.45,100.38,25.23,0,20.47,0,3.19,-0,2.13,19.27,19.18,270.98,20.79

12,02:45-03:00,12.67,43.01,12.66,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,7.15,0,8.76,81.9,17.38,20.47,15.27,3.2,130.36,35.14,0,68.97,0,81.9,0,0,29.45,100.38,25.23,0,20.47,0,3.19,-0,2.13,19.27,19.18,270.98,20.79

13,03:00-03:15,12.67,44.02,12.66,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,6.91,0,8.76,81.9,17.38,20.47,15.27,2.68,130.36,35.14,0,86.91,0,81.9,0,0,29.45,100.38,25.23,0,20.47,0,3.19,-0,2.13,19.27,19.18,270.98,20.79

14,03:15-03:30,12.67,44.02,12.66,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,6.91,0,8.76,81.9,17.38,20.47,15.27,2.68,130.36,35.14,0,69.39,0,81.9,0,0,29.45,100.38,25.74,0,20.47,0,3.19,-0,2.13,19.27,19.18,270.98,20.79

15,03:30-03:45,12.67,44.02,12.66,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,6.91,0,8.76,81.9,17.38,20.47,15.27,2.68,130.36,35.14,0,86.91,0,81.9,0,0,29.45,100.38,25.74,0,20.47,0,3.19,-0,2.13,19.27,19.18,270.98,20.79

16,03:45-04:00,12.67,44.02,12.66,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,6.91,0,8.76,81.9,17.38,20.47,15.27,2.68,130.36,35.14,0,86.91,0,81.9,0,0,29.45,100.38,25.74,0,20.47,0,3.19,-0,2.13,19.27,19.18,263.97,20.79

17,04:00-04:15,12.67,44.02,12.66,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,6.68,0,8.76,81.9,17.38,20.47,15.27,2.68,130.36,35.14,0,86.91,0,81.9,0,0,29.45,100.38,25.74,0,20.47,0,3.19,-0,2.13,19.27,19.18,270.98,20.79

18,04:15-04:30,12.67,44.02,12.66,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,6.68,0,8.76,81.9,17.38,20.47,15.27,2.68,130.36,35.14,0,86.91,0,81.9,0,0,29.45,100.38,25.74,0,20.47,0,3.19,-0,2.13,19.27,19.18,270.98,20.79

19,04:30-04:45,12.67,44.02,12.66,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,6.68,0,8.76,81.9,17.38,20.47,15.27,3.25,130.36,35.14,0,86.91,0,81.9,0,0,29.45,100.38,25.74,0,20.47,0,3.19,-0,2.13,19.27,19.18,270.98,20.79

20,04:45-05:00,12.67,44.02,12.66,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,6.68,0,8.76,81.9,17.38,20.47,15.27,3.25,130.36,35.14,0,86.91,0,81.9,0,0,29.45,100.38,25.74,0,20.47,0,3.19,-0,2.13,19.27,19.18,270.98,20.79

21,05:00-05:15,12.67,44.02,12.66,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,6.54,0,8.76,81.9,17.38,20.47,15.27,3.2,110.76,35.14,0,58.46,0,81.9,0,0,29.45,100.38,25.23,0,20.47,0,5.81,-0,3.87,19.27,19.18,270.98,20.79

22,05:15-05:30,12.67,44.02,12.66,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,6.54,0,8.76,81.9,17.38,20.47,15.27,3.2,110.76,35.14,0,58.46,0,81.9,0,0,29.45,100.38,25.23,0,20.47,0,5.81,-0,3.87,19.27,19.18,270.98,20.79

23,05:30-05:45,6.67,44.02,6.66,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,0,0,8.76,81.9,17.38,20.47,15.27,3.24,82.98,35.14,0,56.48,0,81.9,0,0,29.45,100.38,26.25,0,20.47,0,5.81,-0,3.87,19.27,19.18,270.98,20.79

24,05:45-06:00,6.67,44.02,6.66,1.67,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,0,0,8.76,0,0,8.76,81.9,17.38,20.47,15.27,3.24,82.98,35.14,0,56.48,0,81.9,0,0,29.45,100.38,26.25,0,20.47,0,5.81,-0,3.87,19.27,19.18,270.98,20.79

25,06:00-06:15,6.67,44.02,6.66,1.67,0,0.71,1,0,1,0,0.01,1,0,1.19,1,12.27,3.97,0,0,0,8.76,0,0,8.76,81.9,17.38,20.47,15.27,3.24,102.57,35.14,0,56.48,0,81.9,0,0,29.45,100.38,26.25,0,20.47,0,5.81,-0,3.87,19.27,19.18,270.98,20.79

26,06:15-06:30,6.67,44.02,6.66,1.67,0,3.08,2,1,2,0,0.47,2,0.09,2.07,2,18.29,8.48,0,0,0,8.76,0,0,8.76,81.9,17.38,20.47,15.27,3.23,102.57,35.14,0,56.48,0,81.9,0,0,29.45,100.38,25.74,0,20.47,0,5.81,-0,3.87,19.27,19.18,270.98,20.79

