Time,Block,NR/2024/18551/C,NER/2024/1934/A/4161,WR/2024/21355/A/4224,WR/2024/21351/A/4171,NR/2024/18436/A/3995,NR/2024/18445/A/4223,NER/2024/1922/A/4164,NR/2024/18388/A/3976,Total
,,NVVNL,APPCPL,MANIKARAN,APPCPL,IEXL,MANIKARAN,APPCPL,ITCLH,Total

,,NA,DELHI,DELHI,DELHI,MAHARASHTRA,DELHI,DELHI,ANDHRA PRADESH,
,,SOLAPUR_SOLAR,BYPL,BRPL,BRPL,A_A_Energy_MH_Bio,BRPL,BRPL,ITCWIND,
,,DELHI,NAGALAND,GOA,GOA,DELHI,HIMACHAL PRADESH,MANIPUR,DELHI,
,,MES (Delhi),Nagaland_Ben,GOA_Beneficiary,GOA_Beneficiary,MES (Delhi),HP,Manipur_Ben,ITCLH,
,,West-North,North-East-North East,North-West,North-West,West-East-North,North-North,North-East-North East,South-West-North,
1,00:00-00:15,0,20.000000,0.000000,0.000000,7.700000,0.000000,25.000000,0.380000,53.08

2,00:15-00:30,0,20.000000,0.000000,0.000000,7.700000,0.000000,25.000000,0.380000,53.08

3,00:30-00:45,0,20.000000,0.000000,0.000000,7.700000,0.000000,25.000000,0.380000,53.08

4,00:45-01:00,0,20.000000,0.000000,0.000000,7.700000,0.000000,25.000000,0.380000,53.08

5,01:00-01:15,0,20.000000,0.000000,0.000000,7.700000,0.000000,25.000000,0.380000,53.08

6,01:15-01:30,0,20.000000,0.000000,0.000000,7.700000,0.000000,25.000000,0.380000,53.08

7,01:30-01:45,0,20.000000,0.000000,0.000000,7.700000,0.000000,25.000000,0.380000,53.08

8,01:45-02:00,0,20.000000,0.000000,0.000000,7.700000,0.000000,25.000000,0.380000,53.08

9,02:00-02:15,0,20.000000,0.000000,0.000000,7.700000,0.000000,25.000000,0.380000,53.08

10,02:15-02:30,0,20.000000,0.000000,0.000000,7.700000,0.000000,25.000000,0.380000,53.08

11,02:30-02:45,0,20.000000,0.000000,0.000000,7.700000,0.000000,25.000000,0.380000,53.08

12,02:45-03:00,0,20.000000,0.000000,0.000000,7.700000,0.000000,25.000000,0.380000,53.08

13,03:00-03:15,0,20.000000,0.000000,0.000000,7.700000,0.000000,25.000000,0.380000,53.08

14,03:15-03:30,0,20.000000,0.000000,0.000000,7.700000,0.000000,25.000000,0.380000,53.08

15,03:30-03:45,0,20.000000,0.000000,0.000000,7.700000,0.000000,25.000000,0.380000,53.08

16,03:45-04:00,0,20.000000,0.000000,0.000000,7.700000,0.000000,25.000000,0.380000,53.08

17,04:00-04:15,0,20.000000,0.000000,0.000000,7.700000,0.000000,25.000000,0.380000,53.08

18,04:15-04:30,0,20.000000,0.000000,0.000000,7.700000,0.000000,25.000000,0.380000,53.08

19,04:30-04:45,0,20.000000,0.000000,0.000000,7.700000,0.000000,25.000000,0.380000,53.08

20,04:45-05:00,0,20.000000,0.000000,0.000000,7.700000,0.000000,25.000000,0.380000,53.08

21,05:00-05:15,0,20.000000,0.000000,0.000000,7.700000,0.000000,25.000000,0.380000,53.08

22,05:15-05:30,0,20.000000,0.000000,0.000000,7.700000,0.000000,25.000000,0.380000,53.08

23,05:30-05:45,0,20.000000,0.000000,0.000000,7.700000,0.000000,25.000000,0.380000,53.08

24,05:45-06:00,0,20.000000,0.000000,0.000000,7.700000,0.000000,25.000000,0.380000,53.08

25,06:00-06:15,0,20.000000,0.000000,0.000000,7.700000,158.480000,25.000000,0.430000,211.61

26,06:15-06:30,0,20.000000,0.000000,0.000000,7.700000,158.480000,25.000000,0.430000,211.61

27,06:30-06:45,0,20.000000,0.000000,0.000000,7.700000,158.480000,25.000000,0.430000,211.61

28,06:45-07:00,0,20.000000,0.000000,0.000000,7.700000,158.480000,25.000000,0.430000,211.61

29,07:00-07:15,0,20.000000,0.000000,0.000000,7.700000,158.480000,25.000000,0.480000,211.66

30,07:15-07:30,0.17,20.000000,0.000000,0.000000,7.700000,158.480000,25.000000,0.480000,211.83

31,07:30-07:45,0.43,20.000000,0.000000,0.000000,7.700000,158.480000,25.000000,0.480000,212.09

32,07:45:08:00,0.8,20.000000,0.000000,0.000000,7.700000,158.480000,25.000000,0.480000,212.46

33,08:00-08:15,1.23,20.000000,0.000000,0.000000,7.700000,158.480000,25.000000,0.870000,213.28

34,08:15-08:30,1.72,20.000000,0.000000,0.000000,7.700000,158.480000,25.000000,0.870000,213.77

