Block,Time Block,KGSU1AND2,KGSU3AND4,KHSTPP-I,KOTESHWR,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,KUDGI,RIHAND3,RIHAND1,RAPPB,RAPPD,RAPPC,RSTPSU1TO6,RIHAND2,DHAULIGNGA,DADRT2,JHAJJAR,FSTPP I & II,DULHASTI,NTPL,PARBATI3,RAMPUR,PARBATI2,CHAMERA2,CHAMERA3,CHAMERA1,BSIUL,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,DADRI_LF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_CRF,AURY_RF,BRBCL,NLCEXP,ANTA_GF,ANTA_CRF,UNCHAHAR1,TALST2,UNCHAHAR4,VALLURNTECL,TANAKPUR,TEHRIPSP,TALA,URI2,UNCHAHAR3,TEHRI,TelanganaSTPP,TANDA2,UNCHAHAR2,URI,MAPS,NAPP,NJPC,SEWA2,SIMHST1,SINGRAULI_HYDRO,SIMHST2,SINGRAULI,SALAL,SASAN,RSTPSU7,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,42.88,38.99,93.75,0,0,8.28,6.78,0,125.75,94.5,0,23.2,63.19,0,120.4,40.81,524.02,504.72,18.03,53.23,0,0,0,0,45.29,32.62,40.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.86,0,0,0,20.56,0,3.09,0,12.55,79.94,22.88,37.45,26.61,60.17,0,3.34,43.25,50.32,0,23.53,0,11.74,0,0.63,0,107.45,69.25,324.37,0,0,0,0,0,0

2,00:15-00:30,0,0,42.88,38.99,93.75,0,0,8.28,6.78,0,125.75,94.5,0,23.2,63.19,0,120.4,40.81,524.02,375.86,18.03,53.23,0,0,0,0,45.29,32.62,40.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2,0,0,0,20.81,0,3.09,0,12.55,79.94,22.88,37.45,26.61,60.17,0,4.13,43.25,50.32,0,23.53,0,11.74,0,0.63,0,107.45,69.25,324.37,0,0,0,0,0,0

3,00:30-00:45,0,0,42.88,38.99,93.75,0,0,8.28,6.78,0,125.75,94.5,0,23.2,63.19,0,120.4,40.81,524.02,374.9,18.03,53.23,0,0,0,0,45.29,32.62,40.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.94,0,0,0,20.81,0,3.09,0,12.55,79.94,22.88,37.45,26.61,60.17,0,4.92,43.25,50.32,0,23.53,0,11.74,0,0.63,0,107.45,69.25,324.37,0,0,0,0,0,0

4,00:45-01:00,0,0,42.88,38.99,93.75,0,0,8.28,6.78,0,125.75,94.5,0,23.2,63.19,0,120.4,40.81,524.02,352.71,18.03,53.23,0,0,0,0,45.29,32.62,40.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.39,0,0,0,20.81,0,3.09,0,12.55,79.94,22.88,37.45,26.61,60.17,0,5.33,43.25,45.62,0,23.53,0,11.74,0,0.63,0,107.45,69.25,324.37,0,0,0,0,0,0

5,01:00-01:15,0,0,42.88,38.99,93.75,0,0,8.28,6.78,0,125.75,94.5,0,23.2,63.19,0,120.4,40.81,524.02,352.71,17.23,53.23,0,0,0,0,45.29,32.62,40.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.37,0,0,0,18.04,0,3.09,0,12.55,79.94,22.88,37.45,23.11,60.17,0,5.33,37.64,45.62,0,23.53,0,11.74,0,0.63,0,107.45,69.25,324.37,0,0,0,0,0,0

6,01:15-01:30,0,0,42.88,38.99,93.75,0,0,8.28,6.78,0,125.75,94.5,0,23.2,63.19,0,120.4,40.81,524.02,352.71,18.03,53.23,0,0,0,0,45.29,32.62,40.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.82,0,0,0,18.04,0,3.09,0,12.55,79.94,22.88,37.45,26.13,60.17,0,5.33,41.33,45.62,0,23.53,0,11.74,0,0.63,0,107.45,69.25,324.37,0,0,0,0,0,0

7,01:30-01:45,0,0,42.88,38.99,93.75,0,0,8.28,6.78,0,125.75,94.5,0,23.2,63.19,0,120.4,40.81,454.34,352.71,18.03,53.23,0,0,0,0,45.29,32.62,40.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.96,0,0,0,20.74,0,3.09,0,12.55,79.94,22.88,37.45,26.61,60.17,0,5.33,43.25,45.62,0,23.53,0,11.74,0,0.63,0,107.45,69.25,324.37,0,0,0,0,0,0

