Block,Time,UNCHAHAR1,RAPPB,RAPPC,RAMPUR,RIHAND1,URI2,DADRI_GF,AURY_RF,ANTA_GF,SINGRAULI,UNCHAHAR2,CHAMERA2,AURY_GF,ANTA_LF,NAPP,KOTESHWR,KISHANGANGA,RIHAND3,ANTA_RF,CHAMERA3,DHAULIGNGA,ANTA_CRF,BSIUL,URI,KOLDAM,DADRT2,AURY_LF,DADRI_RF,SALAL,JHAJJAR,UNCHAHAR4,DULHASTI,SINGRAULI_HYDRO,RIHAND2,TANDA2,PARBATI3,TANAKPUR,NJPC,SEWA2,DADRI_LF,CHAMERA1,DADRI_CRF,AURY_CRF,UNCHAHAR3,TEHRI,FSTPP I & II,TALA,SASAN,KHSTPP-I,KHSTPP-II,BRBCL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,15.159212,0.000000,52.327824,0.000000,88.430400,4.396221,0.000000,0.000000,0.000000,126.695772,29.429733,0.000000,0.000000,0.000000,20.325920,8.719237,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.485631,0.000000,524.334600,0.000000,0.000000,1.340297,232.882804,0.000000,0.000000,0.845837,109.000080,0.000000,0.000000,6.033356,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.830389,0.000000,17.522851,0.000000,331.974450,38.077361,122.832517,18.416902,0,0,0,0,0

2,00:15-00:30,14.978668,0.000000,52.327824,0.000000,88.430400,4.396221,0.000000,0.000000,0.000000,126.695772,29.429733,0.000000,0.000000,0.000000,20.325920,8.719237,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.485631,0.000000,481.945680,0.000000,0.000000,1.340297,232.882804,0.000000,0.000000,0.845837,109.000080,0.000000,0.000000,6.033356,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.830389,0.000000,12.656212,0.000000,331.974450,38.077361,122.832517,18.087939,0,0,0,0,0

3,00:30-00:45,14.978668,0.000000,52.327824,0.000000,88.430400,8.016639,0.000000,0.000000,0.000000,126.695772,29.429733,0.000000,0.000000,0.000000,20.325920,8.719237,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.467955,0.000000,428.214600,0.000000,0.000000,1.340297,232.882804,0.000000,0.000000,0.845837,109.000080,0.000000,0.000000,6.033356,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.830389,0.000000,10.967292,0.000000,331.974450,29.200199,93.996517,19.223982,0,0,0,0,0

4,00:45-01:00,14.978668,0.000000,52.327824,0.000000,88.430400,8.016639,0.000000,0.000000,0.000000,126.695772,29.429733,0.000000,0.000000,0.000000,20.325920,8.719237,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.467955,0.000000,380.154600,0.000000,0.000000,1.340297,232.882804,0.000000,0.000000,0.845837,109.000080,0.000000,0.000000,6.033356,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.830389,0.000000,10.967292,0.000000,331.974450,29.200199,93.996517,19.223982,0,0,0,0,0

5,01:00-01:15,14.978668,0.000000,52.327824,0.000000,88.430400,4.396221,0.000000,0.000000,0.000000,126.874267,29.429733,0.000000,0.000000,0.000000,20.325920,8.719237,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.183494,0.000000,360.930600,0.000000,0.000000,1.340297,232.882804,0.000000,0.000000,0.845837,109.000080,0.000000,0.000000,6.033356,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.830389,0.000000,10.967292,0.000000,331.974450,29.200199,93.996517,17.899960,0,0,0,0,0

6,01:15-01:30,14.978668,0.000000,52.327824,0.000000,88.430400,4.396221,0.000000,0.000000,0.000000,126.874267,29.429733,0.000000,0.000000,0.000000,20.325920,8.719237,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.485631,0.000000,360.930600,0.000000,0.000000,1.340297,232.882804,0.000000,0.000000,0.845837,109.000080,0.000000,0.000000,6.772135,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.830389,0.000000,10.967292,0.000000,331.974450,29.200199,93.996517,17.798205,0,0,0,0,0

7,01:30-01:45,11.630520,0.000000,52.327824,0.000000,88.430400,4.396221,0.000000,0.000000,0.000000,126.874267,23.068800,0.000000,0.000000,0.000000,20.325920,8.719237,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.485631,0.000000,360.930600,0.000000,0.000000,1.340297,230.688000,0.000000,0.000000,0.845837,109.000080,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.418000,0.000000,10.967292,0.000000,331.974450,29.200199,93.996517,16.322408,0,0,0,0,0

8,01:45-02:00,11.630520,0.000000,52.327824,0.000000,88.430400,4.396221,0.000000,0.000000,0.000000,126.874267,23.068800,0.000000,0.000000,0.000000,20.325920,8.719237,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.485631,0.000000,360.930600,0.000000,0.000000,1.340297,230.688000,0.000000,0.000000,0.845837,109.000080,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14.418000,0.000000,10.967292,0.000000,331.974450,29.200199,93.996517,15.305264,0,0,0,0,0

