Column1,Time,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/3109,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/07/01/2236,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/8154,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/07/01/8139,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/06/07/5932,GNA/NR/2025/07/01/8128,NR/01102023/22052037/LT-59,GNA/NR/2025/07/01/8230,GNA/NR/2025/07/01/2997,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31052040/LT-31,NR/30092023/26122029/SH-06,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/07/01/1044,GNA/NR/2025/07/01/2952,NR/01102023/05012040/L_NR_2020_02,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/01102023/31102037/L_NR_2019_11,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNARE/NR/2024/12/20/3668,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,L_NR_2019_19,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,GNARE/SR/2025/01/13/4532,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05
1,00:00-00:15,43.5,0,0,0,14.5,43.71,19.24,132.73,81.75,49.05,20.75,100.2,134.89,0,-0,6.33,10.47,224.82,15.24,0,130.13,0,18,70.13,86.75,5.9,8.51,6.06,17.3,0,10.35,25.24,0,0,0,0,0,0,0,0,0,0,33.02,14.33,0,14.5,0

2,00:15-00:30,43.01,0,0,0,14.33,43.71,19.24,132.73,81.75,49.05,20.75,100.2,134.89,0,-0,6.33,10.47,224.82,15.24,0,130.13,0,18,70.13,86.75,5.9,8.51,6.06,17.3,0,10.35,25.24,0,0,0,0,0,0,0,0,0,0,32.62,14,0,14.33,0

3,00:30-00:45,42.49,0,0,0,14.17,43.71,19.24,132.73,81.75,49.05,20.75,100.2,134.89,0,-0,6.33,10.47,224.82,15.24,0,130.13,0,18,70.13,86.75,5.9,8.51,6.06,17.3,18,10.35,25.24,0,0,0,0,0,0,0,0,0,0,31.62,18.34,0,14.17,0

4,00:45-01:00,42,0,0,0,14,43.71,19.24,132.73,81.75,49.05,20.75,100.2,134.89,0,-0,6.33,10.47,224.82,15.24,0,130.13,0,18,70.13,86.75,5.9,8.51,6.06,17.3,18,10.35,25.24,0,0,0,0,0,0,0,0,0,0,31.62,17.66,0,14,0

5,01:00-01:15,47.51,0,0,0,15.83,43.71,19.24,113.49,81.75,49.05,20.75,72.14,134.89,0,-0,6.33,10.47,224.82,15.24,0,84.75,0,15,70.13,56.38,5.9,8.51,5.6,17.22,15,9.97,25.24,0,0,0,0,0,0,0,0,0,0,31.62,17.67,0,15.83,0

6,01:15-01:30,46.5,0,0,0,15.5,43.71,19.24,94.26,81.75,49.05,20.75,52.9,134.89,0,-0,6.33,10.47,224.82,15.24,0,84.75,0,15,70.13,56.38,5.9,8.51,5.6,17.22,15,9.97,25.24,0,0,0,0,0,0,0,0,0,0,31.62,16.67,0,15.5,0

7,01:30-01:45,45,0,0,0,15,43.71,19.24,74.4,81.75,49.05,20.75,52.9,134.89,0,-0,6.33,10.47,224.82,15.24,0,84.75,0,15,70.13,56.38,5.9,8.51,5.6,17.22,15,9.97,25.24,0,0,0,0,0,0,0,0,0,0,32.02,16,0,15,0

8,01:45-02:00,43.99,0,0,0,14.67,43.71,19.24,74.4,81.75,49.05,20.75,52.9,134.89,0,-0,6.33,10.47,224.82,15.24,0,84.75,0,15,70.13,56.38,5.9,8.51,5.6,17.22,15,9.97,25.24,0,0,0,0,0,0,0,0,0,0,32.62,15,0,14.67,0

9,02:00-02:15,42.49,0,0,0,14.17,43.71,19.24,74.4,81.75,49.05,20.75,52.9,134.89,0,-0,6.33,10.23,224.82,15.24,0,54.82,0,15,70.13,38.47,5.9,8.51,5.13,17.12,15,9.97,25.24,0,0,0,0,0,0,0,0,0,0,23.81,14.33,0,14.17,0

10,02:15-02:30,41.51,0,0,0,13.83,43.71,19.24,74.4,81.75,49.05,20.75,52.9,134.89,0,-0,6.33,10.23,224.82,15.24,0,54.82,0,15,70.13,38.47,5.9,8.51,5.13,17.12,15,9.97,25.24,0,0,0,0,0,0,0,0,0,0,23.61,13.33,0,13.83,0

11,02:30-02:45,34.99,0,0,0,11.67,43.71,19.24,74.4,81.75,49.05,20.75,78.87,134.89,0,-0,6.33,10.23,224.82,15.24,0,54.82,0,15,70.13,38.47,5.9,8.51,5.13,12.71,15,9.97,25.24,0,0,0,0,0,0,0,0,0,0,23.41,12.67,0,11.67,0

12,02:45-03:00,34.01,0,0,0,11.33,43.71,19.24,74.4,81.75,49.05,20.75,100.2,134.89,0,-0,6.33,10.23,224.82,15.24,0,54.82,0,15,70.13,38.47,5.9,8.51,5.13,12.71,15,9.97,25.24,0,0,0,0,0,0,0,0,0,0,22.81,12.67,0,11.33,0

13,03:00-03:15,27.49,0,0,0,9.17,43.71,19.24,93.63,81.75,0,20.75,100.2,134.89,0,-0,6.33,10.23,224.82,15.24,0,84.75,0,15,70.13,56.38,5.9,8.51,4.66,12.71,15,9.59,25.24,0,0,0,0,0,0,0,0,0,0,22.41,12.67,0,9.17,0

14,03:15-03:30,27.49,0,0,0,9.17,43.71,19.24,112.87,81.75,0,20.75,100.2,134.89,0,-0,6.33,10.23,224.82,15.24,0,84.75,0,15,70.13,56.38,5.9,8.51,4.66,12.71,15,9.59,25.24,0,0,0,0,0,0,0,0,0,0,22.01,12.67,0,9.17,0

