Block,Time Block,KGSU1AND2,DHAULIGNGA,FSTPP I & II,CHAMERA2,DULHASTI,KGSU3AND4,DADRT2,CHAMERA1,JHAJJAR,CHAMERA3,KISHANGANGA,KUDGI,KHSTPP-I,MAPS,KOTESHWR,KKNP,KHSTPP-II,KKNPPU2,KOLDAM,TelanganaSTPP,UNCHAHAR2,URI,TEHRI,TANDA2,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,URI2,UNCHAHAR3,ANTA_CRF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_RF,AURY_LF,RIHAND3,RIHAND2,SASAN,RIHAND1,SINGRAULI_HYDRO,SIMHST1,TALST2,SIMHST2,RSTPSU1TO6,TANAKPUR,RSTPSU7,SINGRAULI,SALAL,SEWA2,TALA,BRBCL,BSIUL,RAPPC,RAPPB,RAMPUR,NJPC,NAPP,NNTPP,NTPL,NLCEXP,PARBATI3,NLCIIST1,NLCIIST2,NLCTS2EXP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,8.78,20.05,12.7,31.77,0,326.69,0,204.41,9.33,0,0,43.89,0,8.55,0,142.96,0,0,0,40.87,5.32,45.01,0,19.82,0,0,25.93,0,0,0,0,0,0,0,0,0,0,0,0,0,119.84,114.48,379.12,88.69,0,0,0,0,0,12.59,0,134.65,12.32,0,0,13.78,0,49.92,0,0,45.1,40.15,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,8.78,20.05,12.7,31.77,0,326.69,0,204.41,9.33,0,0,43.89,0,8.55,0,142.96,0,0,0,40.87,5.32,28.79,0,19.82,0,0,25.93,0,0,0,0,0,0,0,0,0,0,0,0,0,119.84,114.48,379.57,88.69,0,0,0,0,0,12.59,0,134.65,12.32,0,0,13.78,0,49.92,0,0,45.1,40.15,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,8.78,20.05,12.7,31.77,0,326.69,0,204.41,9.33,0,0,43.89,0,8.55,0,142.96,0,0,0,40.87,5.32,14.39,0,19.82,0,0,25.93,0,0,0,0,0,0,0,0,0,0,0,0,0,119.84,114.48,379.57,88.69,0,0,0,0,0,8.89,0,134.65,12.32,0,0,13.78,0,49.92,0,0,45.1,40.15,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,8.78,20.05,12.7,31.77,0,326.69,0,204.41,9.33,0,0,43.89,0,8.55,0,142.96,0,0,0,40.87,5.32,14.39,0,19.82,0,0,25.93,0,0,0,0,0,0,0,0,0,0,0,0,0,119.84,114.48,379.57,88.69,0,0,0,0,0,8.89,0,134.65,12.32,0,0,13.78,0,49.92,0,0,45.1,40.15,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,8.78,20.05,12.7,31.77,0,326.69,0,204.41,9.33,0,0,43.89,0,8.55,0,142.96,0,0,0,40.87,28.74,14.39,0,19.82,0,0,25.93,0,0,0,0,0,0,0,0,0,0,0,0,0,119.84,114.48,379.57,88.69,0,0,0,0,0,8.89,0,134.65,76.52,0,0,13.78,0,49.92,0,0,38.35,40.15,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,8.78,20.05,12.7,31.77,0,326.69,0,204.41,9.33,0,0,43.89,0,8.55,0,142.96,0,0,0,40.87,28.74,14.39,0,19.82,0,0,25.93,0,0,0,0,0,0,0,0,0,0,0,0,0,119.84,114.48,379.57,88.69,0,0,0,0,0,8.89,0,134.65,76.52,0,0,13.78,0,49.92,0,0,38.35,40.15,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,8.78,20.05,12.7,31.77,0,326.69,0,204.41,9.33,0,0,43.89,0,8.55,0,142.96,0,0,0,40.87,6.39,14.39,0,19.82,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,119.84,114.48,379.57,88.69,0,0,0,0,0,9.26,0,134.65,76.52,0,0,13.78,0,49.92,0,0,38.35,40.15,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0,8.78,20.05,12.7,31.77,0,326.69,0,204.41,9.33,0,0,43.89,0,8.55,0,142.96,0,0,0,40.87,3.72,14.39,0,19.82,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,119.84,114.48,379.57,88.69,0,0,0,0,0,9.26,0,134.65,76.52,0,0,13.78,0,49.92,0,0,38.35,40.15,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,0,8.78,20.05,12.7,31.77,0,297.96,0,190.25,9.33,0,0,43.89,0,8.55,0,142.96,0,0,0,40.87,3.72,14.39,0,19.89,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,119.84,114.48,379.57,88.69,0,0,0,0,0,12.59,0,133.75,12.32,0,0,13.78,0,49.92,0,0,38.35,40.15,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,0,8.78,20.05,12.7,31.77,0,289.02,0,190.25,9.33,0,0,43.89,0,8.55,0,142.96,0,0,0,40.87,3.72,14.39,0,19.89,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,119.84,114.48,379.57,88.69,0,0,0,0,0,12.59,0,133.75,12.32,0,0,13.78,0,49.92,0,0,38.35,40.15,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,0,8.78,20.05,12.7,31.77,0,289.02,0,175.79,9.33,0,0,43.89,0,8.55,0,142.96,0,0,0,36.06,3.72,14.39,0,17.69,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,119.84,114.48,379.57,88.69,0,0,0,0,0,9.63,0,134.65,12.32,0,0,13.78,0,49.92,0,0,38.35,40.15,0,0,0,0,0,0,0,0,0,0,0,0

