Block,Time,FSTPP I & II,PARBATI3,BRBCL,SASAN,TALA,KHSTPP-II,DADRI_RF,UNCHAHAR3,RIHAND1,AURY_RF,KHSTPP-I,TEHRI,KISHANGANGA,SINGRAULI,AURY_LF,DULHASTI,URI,UNCHAHAR4,SINGRAULI_HYDRO,RAPPC,RIHAND3,ANTA_CRF,UNCHAHAR1,KOTESHWR,CHAMERA3,ANTA_RF,JHAJJAR,AURY_GF,UNCHAHAR2,DHAULIGNGA,DADRI_GF,SEWA2,RAMPUR,KOLDAM,DADRI_LF,NJPC,TANDA2,BSIUL,RAPPB,AURY_CRF,RIHAND2,CHAMERA1,ANTA_GF,URI2,ANTA_LF,TANAKPUR,CHAMERA2,SALAL,DADRI_CRF,DADRT2,NAPP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,9.572403,0.000000,14.406011,402.186708,0.000000,111.304803,0.000000,15.933516,88.356800,0.000000,25.088913,0.000000,0.000000,83.693750,0.000000,2.464386,3.180845,0.000000,0.569546,51.918648,118.768466,0.000000,0.000000,6.155204,0.000000,0.000000,229.535600,0.000000,25.563639,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.578961,0.000000,0.000000,16.019933,0.000000,0.246054,0.000000,6.695909,0.000000,395.684800,0.000000,0,0,0,0,0

2,00:15-00:30,9.572403,0.000000,14.406011,402.186708,0.000000,107.815368,0.000000,15.933516,88.356800,0.000000,25.088913,0.000000,0.000000,84.995400,0.000000,2.464386,3.180845,0.000000,0.569546,51.918648,118.768466,0.000000,0.000000,6.155204,0.000000,0.000000,229.535600,0.000000,25.563639,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.664688,0.000000,0.000000,16.019933,0.000000,0.246054,0.000000,1.339182,0.000000,347.664800,0.000000,0,0,0,0,0

3,00:30-00:45,9.572403,0.000000,14.406011,402.186708,0.000000,107.815368,0.000000,15.933516,88.356800,0.000000,25.088913,0.000000,0.000000,84.995400,0.000000,2.464386,3.180845,0.000000,0.569546,51.918648,118.768466,0.000000,0.000000,6.155204,0.000000,0.000000,229.535600,0.000000,25.563639,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.664688,0.000000,0.000000,16.019933,0.000000,0.246054,0.000000,1.339182,0.000000,362.070800,0.000000,0,0,0,0,0

4,00:45-01:00,9.572403,0.000000,14.406011,402.186708,0.000000,107.815368,0.000000,15.933516,88.356800,0.000000,25.088913,0.000000,0.000000,84.995400,0.000000,2.464386,3.180845,0.000000,0.569546,51.918648,118.768466,0.000000,0.000000,6.155204,0.000000,0.000000,229.535600,0.000000,25.563639,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.664688,0.000000,0.000000,16.019933,0.000000,0.246054,0.000000,1.339182,0.000000,362.070800,0.000000,0,0,0,0,0

5,01:00-01:15,9.572403,0.000000,14.406011,402.186708,0.000000,107.815368,0.000000,15.933516,88.356800,0.000000,25.088913,0.000000,0.000000,84.995400,0.000000,2.464386,3.180845,0.000000,0.569546,51.918648,118.768466,0.000000,0.000000,6.155204,0.000000,0.000000,229.535600,0.000000,25.563639,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.664688,0.000000,0.000000,6.459650,0.000000,0.246054,0.000000,1.339182,0.000000,362.070800,0.000000,0,0,0,0,0

6,01:15-01:30,9.572403,0.000000,13.617488,402.186708,0.000000,107.815368,0.000000,15.933516,88.356800,0.000000,25.088913,0.000000,0.000000,84.995400,0.000000,2.464386,3.180845,0.000000,0.569546,51.918648,118.768466,0.000000,0.000000,6.155204,0.000000,0.000000,229.535600,0.000000,25.563639,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.664688,0.000000,0.000000,4.521755,0.000000,0.246054,0.000000,1.339182,0.000000,362.070800,0.000000,0,0,0,0,0

7,01:30-01:45,4.802000,0.000000,11.272994,402.186708,0.000000,95.839084,0.000000,10.564400,88.356800,0.000000,20.441346,0.000000,0.000000,84.995400,0.000000,2.464386,3.180845,0.000000,0.569546,51.918648,118.768466,0.000000,0.000000,6.155204,0.000000,0.000000,226.654400,0.000000,17.287200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.664688,0.000000,0.000000,4.521755,0.000000,0.246054,0.000000,1.339182,0.000000,362.070800,0.000000,0,0,0,0,0

8,01:45-02:00,4.802000,0.000000,9.940702,402.186708,0.000000,95.839084,0.000000,10.564400,88.356800,0.000000,20.441346,0.000000,0.000000,84.995400,0.000000,2.464386,3.180845,0.000000,0.569546,51.918648,118.768466,0.000000,0.000000,6.155204,0.000000,0.000000,226.654400,0.000000,17.287200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.664688,0.000000,0.000000,4.521755,0.000000,0.246054,0.000000,1.339182,0.000000,362.070800,0.000000,0,0,0,0,0

9,02:00-02:15,4.802000,0.000000,11.498589,402.186708,0.000000,89.116284,0.000000,10.564400,88.356800,0.000000,20.441346,0.000000,0.000000,84.995400,0.000000,2.464386,3.180845,0.000000,0.569546,51.918648,118.768466,0.000000,0.000000,6.155204,0.000000,0.000000,226.654400,0.000000,17.287200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.664688,0.000000,0.000000,4.521755,0.000000,0.246054,0.000000,1.339182,0.000000,362.070800,0.000000,0,0,0,0,0

10,02:15-02:30,4.802000,0.000000,11.321299,402.186708,0.000000,92.957884,0.000000,10.564400,88.356800,0.000000,20.441346,0.000000,0.000000,84.995400,0.000000,2.464386,3.180845,0.000000,0.569546,51.918648,118.768466,0.000000,0.000000,6.155204,0.000000,0.000000,226.654400,0.000000,17.287200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.664688,0.000000,0.000000,4.521755,0.000000,0.246054,0.000000,1.339182,0.000000,362.070800,0.000000,0,0,0,0,0

11,02:30-02:45,4.802000,0.000000,14.406011,402.186708,0.000000,107.815368,0.000000,10.564400,88.356800,0.000000,20.441346,0.000000,0.000000,84.995400,0.000000,2.464386,3.180845,0.000000,0.569546,51.918648,118.768466,0.000000,0.000000,6.155204,0.000000,0.000000,226.654400,0.000000,17.287200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,55.664688,0.000000,0.000000,4.521755,0.000000,0.246054,0.000000,1.339182,0.000000,362.070800,0.000000,0,0,0,0,0

