Block,Time,ANTA_LF,DADRT2,RAPPC,KOLDAM,TANAKPUR,SEWA2,NJPC,NAPP,CHAMERA3,URI2,DHAULIGNGA,DADRI_RF,JHAJJAR,SALAL,RIHAND2,DADRI_LF,RIHAND3,DULHASTI,KISHANGANGA,CHAMERA1,TEHRI,ANTA_CRF,KOTESHWR,CHAMERA2,AURY_RF,TANDA2,ANTA_RF,AURY_CRF,RIHAND1,RAMPUR,AURY_GF,AURY_LF,PARBATI3,UNCHAHAR3,RAPPB,DADRI_CRF,SINGRAULI_HYDRO,BSIUL,UNCHAHAR4,UNCHAHAR1,DADRI_GF,ANTA_GF,UNCHAHAR2,URI,SINGRAULI,BRBCL,KHSTPP-I,SASAN,KHSTPP-II,TALA,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,526.680491,65.333899,9.836884,12.463272,0.000000,173.357832,47.436433,33.552946,36.499938,41.938361,0.000000,373.654437,80.593531,119.815254,0.000000,125.787810,57.003666,8.034549,40.601245,48.049886,0.000000,36.091408,46.719885,0.000000,5.161459,0.000000,0.000000,93.493990,5.414963,0.000000,0.000000,4.115306,26.624629,0.000000,0.000000,1.105720,6.281487,2.976597,21.611006,0.000000,0.000000,42.068949,35.094946,133.429848,14.449476,30.804512,336.167618,142.377281,9.572505,11.271191,0,0,0,0,0

2,00:15-00:30,0.000000,494.030235,65.333899,9.836884,12.463272,0.000000,173.357832,47.436433,33.552946,36.499938,41.938361,0.000000,373.654437,80.593531,119.815254,0.000000,125.787810,57.003666,8.034549,40.601245,48.049886,0.000000,36.091408,46.719885,0.000000,5.161459,0.000000,0.000000,93.493990,5.414963,0.000000,0.000000,4.115306,26.624629,0.000000,0.000000,1.105720,6.281487,2.976597,21.796396,0.000000,0.000000,42.068949,35.094946,133.429848,14.449476,30.989457,336.167618,142.377281,9.572505,11.271191,0,0,0,0,0

3,00:30-00:45,0.000000,528.321885,65.333899,9.836884,12.463272,0.000000,173.357832,47.436433,33.552946,36.499938,41.938361,0.000000,406.936452,80.593531,119.815254,0.000000,125.787810,57.003666,8.034549,40.601245,63.861829,0.000000,36.091408,46.719885,0.000000,5.161459,0.000000,0.000000,93.493990,5.414963,0.000000,0.000000,4.115306,26.624629,0.000000,0.000000,1.105720,6.281487,2.976597,21.796396,0.000000,0.000000,42.068949,35.094946,133.426683,14.449476,30.989457,336.167618,142.377281,9.572505,11.832851,0,0,0,0,0

4,00:45-01:00,0.000000,528.321885,65.333899,9.836884,12.463272,0.000000,173.357832,47.436433,33.552946,36.499938,41.938361,0.000000,406.936452,80.593531,119.815254,0.000000,125.787810,57.003666,8.034549,40.601245,63.861829,0.000000,36.091408,46.719885,0.000000,5.161459,0.000000,0.000000,93.493990,5.414963,0.000000,0.000000,4.115306,26.624629,0.000000,0.000000,1.105720,6.281487,2.976597,21.796396,0.000000,0.000000,42.068949,35.094946,133.426683,14.449476,30.989457,336.167618,142.377281,9.572505,12.513828,0,0,0,0,0

5,01:00-01:15,0.000000,528.321885,65.333899,9.836884,12.463272,0.000000,173.357832,47.436433,33.552946,36.499938,41.938361,0.000000,406.936452,80.593531,119.815254,0.000000,125.787810,57.003666,8.034549,40.601245,63.861829,0.000000,36.091408,46.719885,0.000000,5.161459,0.000000,0.000000,93.493990,5.414963,0.000000,0.000000,4.115306,26.624629,0.000000,0.000000,1.105720,6.281487,2.976597,21.796396,0.000000,0.000000,42.068949,35.094946,133.426683,12.554659,30.989457,336.167618,142.377281,9.572505,12.599868,0,0,0,0,0

