Time,Block,NR/2024/19030/A/15821,NR/2024/19121/A/15886,NR/2024/19560/C,NR/2024/18977/A/15753,NR/2024/19245/A/15859,NR/2024/18986/A/15950,NR/2024/19571/C,NR/2024/19143/A/15784,NR/2024/19075/A/15789,NR/2024/18855/A/15888,NR/2024/19483/A/16437,NR/2024/19566/C,NR/2024/18936/A/15736,NR/2024/18935/A/15735,NR/2024/19115/A/15786,NR/2024/19337/A/15858,NR/2024/19024/A/15860,NR/2024/19563/C,NR/2024/19567/C,NR/2024/19562/C,NR/2024/19469/A/15875,NR/2024/19561/C,NR/2024/19548/C,NR/2024/19290/A/16454,NR/2024/19484/A/16438,NR/2024/19576/C,NR/2024/19043/A/15809,NR/2024/19485/A/16439,NR/2024/18934/A/15734,NR/2024/19570/C,NR/2024/18996/A/16346,NR/2024/19547/C,NR/2024/19559/C,NR/2024/18978/A/15755,NR/2024/18976/A/15751,NR/2024/18919/A/16368,NR/2024/19172/A/16455,Total
,,IEXL,GMRETL,IEXL,PXIL,DIAPL,ITCLH,HPXL,IEXL,IEXL,GMRETL,NVVNL,IEXL,PXIL,PXIL,IEXL,DIAPL,DIAPL,IEXL,HPXL,IEXL,DIAPL,PXIL,NVVNL,TPDDL,NVVNL,HPXL,IEXL,NVVNL,PXIL,PXIL,PTC,NVVNL,HPXL,PXIL,PXIL,APPCPL,TPDDL,Total

,,NA,RAJASTHAN,KERALA,NA,HIMACHAL PRADESH,ANDHRA PRADESH,HIMACHAL PRADESH,DELHI,ODISHA,RAJASTHAN,NA,NA,TAMIL NADU,TAMIL NADU,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,NA,HIMACHAL PRADESH,NA,NA,NA,NA,NA,NA,NA,TAMIL NADU,ODISHA,MAHARASHTRA,NA,KERALA,TAMIL NADU,ODISHA,NAGALAND,NA,
,,JHABUA_IPP,RUVNL,KSEB,MEENAKSHI,GBHHPL,ITCWIND,GBHHPL,EDWPCL12,VSL,RUVNL,SKS Raigarh,JPL,SAKTHISUGARSLTD,SAKTHISUGARS_ELMTN,SWPL,GBHHPL,GBHHPL,SKS Raigarh,SINGOLI,MCCPL,GBHHPL,SKS Raigarh,SOLAPUR_SOLAR,JHAJJAR,RKM_POWER,SORANG_HEP,MBMP,RKM_POWER,SAKTHISUGRAR_TN,VL-CPP 1215,JPL_DHULE,KAMENG,KSEB,BIRLACARBONTN,FACORPOWER,Nagaland_Ben,JHAJJAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BYPL,BRPL,BRPL,DIAPL,ITCLH,BRPL,UPPCL,BRPL,BYPL,NDMC,TPDDL,BRPL,BRPL,BRPL,DIAPL,DIAPL,TPDDL,BYPL,BRPL,DIAPL,BRPL,MES (Delhi),TPDDL,NDMC,BRPL,BRPL,NDMC,BRPL,BYPL,BRPL,TPDDL,BRPL,BRPL,BRPL,BYPL,TPDDL,
,,West-East-North,North-North,South-East-North,South-West-North,North-North,South-West-North,North-North,North-North,East-North,North-North,West-North,West-East-North,South-West-North,South-West-North,West-East-North,North-North,North-North,West-East-North,North-North,West-East-North,North-North,West-North,West-North,North-North,West-North,North-North,West-East-North,West-North,South-West-North,East-North,West-North,North East-East-North,South-East-North,South-West-North,East-West-North,North East-East-North,North-North,
1,00:00-00:15,0.000000,0.000000,144.800000,0.000000,0.000000,0.530000,33.790000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,38.610000,39.580000,0.000000,96.530000,0,67.570000,43.870000,38.610000,0.000000,43.870000,0.000000,24.130000,0.000000,52.510000,193.060000,0.000000,0.000000,9.650000,115.840000,1197.22

2,00:15-00:30,0.000000,0.000000,144.800000,0.000000,0.000000,0.530000,33.790000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,38.610000,39.580000,0.000000,96.530000,0,67.570000,43.870000,38.610000,0.000000,43.870000,0.000000,24.130000,0.000000,52.510000,193.060000,0.000000,0.000000,9.650000,115.840000,1197.22

3,00:30-00:45,0.000000,0.000000,144.800000,0.000000,0.000000,0.530000,33.790000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,38.610000,39.580000,0.000000,96.530000,0,67.570000,43.870000,38.610000,0.000000,43.870000,0.000000,24.130000,0.000000,52.510000,193.060000,0.000000,0.000000,9.650000,115.840000,1197.22

4,00:45-01:00,0.000000,0.000000,144.800000,0.000000,0.000000,0.530000,33.790000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,38.610000,39.580000,0.000000,96.530000,0,67.570000,43.870000,38.610000,0.000000,43.870000,0.000000,24.130000,0.000000,52.510000,193.060000,0.000000,0.000000,9.650000,115.840000,1197.22

5,01:00-01:15,0.000000,0.000000,144.800000,0.000000,0.000000,0.480000,57.920000,2.000000,0.000000,66.790000,14.620000,96.530000,0.000000,0.000000,0.000000,1.930000,4.830000,67.570000,38.610000,39.580000,0.000000,96.530000,0,67.570000,43.870000,38.610000,0.000000,43.870000,0.000000,24.130000,0.000000,52.510000,193.060000,0.000000,0.000000,9.650000,115.840000,1221.3

