Time,Block,SR/2024/12690/C,NR/2024/19022/C,NR/2024/18759/A/11609,NR/2024/18806/A/11570,NR/2024/18874/A/11691,NR/2024/18807/A/11692,Total
,,IEXL,NVVNL,ITCLH,IEXL,DIAPL,DIAPL,Total

,,DELHI,NA,ANDHRA PRADESH,KARNATAKA,HIMACHAL PRADESH,HIMACHAL PRADESH,
,,BYPL,SOLAPUR_SOLAR,ITCWIND,NSLSUGARALAND,GBHHPL,GBHHPL,
,,TAMIL NADU,DELHI,DELHI,DELHI,DELHI,DELHI,
,,TANGEDCO,MES (Delhi),ITCLH,MES (Delhi),DIAPL,DIAPL,
,,North-East-South,West-North,South-West-North,South-East-North,North-North,North-North,
1,00:00-00:15,0.00,0,0.480000,0.000000,1.930000,0.000000,2.41

2,00:15-00:30,0.00,0,0.480000,0.000000,1.930000,0.000000,2.41

3,00:30-00:45,0.00,0,0.480000,0.000000,1.930000,0.000000,2.41

4,00:45-01:00,0.00,0,0.480000,0.000000,1.930000,0.000000,2.41

5,01:00-01:15,0.00,0,0.480000,0.000000,1.930000,0.000000,2.41

6,01:15-01:30,0.00,0,0.480000,0.000000,1.930000,0.000000,2.41

7,01:30-01:45,0.00,0,0.480000,0.000000,1.930000,0.000000,2.41

8,01:45-02:00,0.00,0,0.480000,0.000000,1.930000,0.000000,2.41

9,02:00-02:15,20.00,0,0.480000,0.000000,1.930000,0.000000,22.41

10,02:15-02:30,30.00,0,0.480000,0.000000,1.930000,0.000000,32.41

11,02:30-02:45,45.00,0,0.480000,0.000000,1.930000,0.000000,47.41

12,02:45-03:00,65.00,0,0.480000,0.000000,1.930000,0.000000,67.41

13,03:00-03:15,75.00,0,0.430000,0.000000,1.930000,0.000000,77.36

14,03:15-03:30,90.00,0,0.430000,0.000000,1.930000,0.000000,92.36

15,03:30-03:45,105.00,0,0.430000,0.000000,1.930000,0.000000,107.36

16,03:45-04:00,120.00,0,0.430000,0.000000,1.930000,0.000000,122.36

17,04:00-04:15,185.00,0,0.430000,0.000000,1.930000,0.000000,187.36

18,04:15-04:30,143.00,0,0.430000,0.000000,1.930000,0.000000,145.36

19,04:30-04:45,143.00,0,0.430000,0.000000,1.930000,0.000000,145.36

20,04:45-05:00,93.00,0,0.430000,0.000000,1.930000,0.000000,95.36

21,05:00-05:15,215.00,0,0.480000,0.000000,1.930000,0.000000,217.41

22,05:15-05:30,133.00,0,0.480000,0.000000,1.930000,0.000000,135.41

23,05:30-05:45,83.00,0,0.480000,0.000000,1.930000,0.000000,85.41

24,05:45-06:00,0.00,0,0.480000,0.000000,1.930000,0.000000,2.41

25,06:00-06:15,0.00,0,0.480000,0.000000,1.930000,0.000000,2.41

26,06:15-06:30,0.00,0,0.480000,0.000000,1.930000,0.000000,2.41

27,06:30-06:45,0.00,0.14,0.480000,0.000000,1.930000,0.000000,2.55

28,06:45-07:00,0.00,0.54,0.480000,0.000000,1.930000,0.000000,2.95
