Block,Time,TANDA2,UNCHAHAR2,UNCHAHAR1,UNCHAHAR4,TEHRI,URI2,UNCHAHAR3,DADRT2,DULHASTI,KOLDAM,NJPC,RAPPC,DHAULIGNGA,NAPP,CHAMERA3,KISHANGANGA,JHAJJAR,KOTESHWR,RIHAND2,CHAMERA2,PARBATI3,RAMPUR,RIHAND1,SINGRAULI,SEWA2,RIHAND3,SINGRAULI_HYDRO,URI,CHAMERA1,RAPPB,BSIUL,SALAL,TANAKPUR,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,RSTPSU1TO6,RSTPSU7,KKNPPU2,KGSU1AND2,KGSU3AND4,KKNP,TALST2,SIMHST1,SIMHST2,KUDGI,TelanganaSTPP,VALLURNTECL,NLCIIST1,NLCIIST2,NLCEXP,NLCTS2EXP,NNTPP,NTPL,MAPS,KHSTPP-II,KHSTPP-I,FSTPP I & II,BRBCL,TALA,SASAN
1,00:00-00:15,0,25.1775,9.9925,0,0,31.897382,26.39091,341.564563,16.478852,0,20.834,26.2683,1.321,19.8648,0,0,653.1525,8.874,58.59,0,0,0,92,103.5,0,59.3595,0.61216,49.68,0,0,0,13.363,5.3802,0,40.95,0,0,0,32.88,46.58,6.028,0,21.72,37.467,5.43,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,89.24375,44.918,18.140334,20.0018,3.969,348.975

2,00:15-00:30,0,25.1775,9.9925,0,0,31.897382,26.39091,341.564563,16.478852,0,20.834,26.2683,1.321,19.8648,0,0,653.1525,8.874,58.59,0,0,0,92,103.5,0,59.3595,0.61216,49.68,0,0,0,13.363,5.3802,0,40.95,0,0,0,32.88,46.58,6.028,0,21.72,37.467,5.43,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,89.24375,44.918,18.140334,20.0018,3.969,348.975

3,00:30-00:45,0,25.1775,9.9925,0,0,31.897382,26.39091,341.564563,16.478852,0,20.834,26.2683,1.321,19.8648,0,0,653.1525,8.874,58.59,0,0,0,92,103.5,0,59.3595,0.61216,13.248,0,0,0,13.363,6.405,0,40.95,0,0,0,32.88,46.58,6.028,0,21.72,37.467,5.43,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,94.44375,44.918,18.140334,20.0018,3.969,348.975

4,00:45-01:00,0,25.1775,9.9925,0,0,31.897382,26.39091,341.564563,16.478852,0,20.834,26.2683,1.321,19.8648,0,0,653.1525,8.874,58.59,0,0,0,92,103.5,0,59.3595,0.61216,13.248,0,0,0,13.363,6.405,0,40.95,0,0,0,32.88,46.58,6.028,0,21.72,37.467,5.43,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,98.34375,44.918,18.140334,20.0018,3.969,348.975

5,01:00-01:15,0,25.1775,9.9925,0,0,31.897382,26.39091,341.564563,16.478852,0,20.834,26.2683,1.321,19.8648,0,0,653.1525,8.874,58.59,0,0,0,92,103.5,0,59.3595,0.61216,13.248,0,0,0,13.363,12.1695,0,40.95,0,0,0,32.88,46.58,6.028,0,21.72,38.01,5.43,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,98.34375,44.918,18.140334,20.0018,3.969,348.975

6,01:15-01:30,0,25.1775,9.9925,0,0,31.897382,26.39091,341.564563,16.478852,0,20.834,26.2683,1.321,19.8648,0,0,653.1525,8.874,58.59,0,0,0,92,103.5,0,59.3595,0.61216,13.248,0,0,0,25.564,12.1695,0,40.95,0,0,0,32.88,46.58,6.028,0,21.72,38.01,5.43,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,98.34375,44.918,18.140334,20.0018,3.969,348.975

7,01:30-01:45,0,25.1775,9.9925,0,0,16.1424,26.39091,341.564563,16.478852,0,20.834,26.2683,1.321,19.8648,0,0,653.1525,8.874,58.59,0,0,0,92,103.5,0,59.3595,0.61216,13.248,0,0,0,70.882,12.1695,0,40.95,0,0,0,32.88,46.58,6.028,0,21.72,38.01,5.43,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,98.34375,44.918,18.140334,20.0018,3.969,348.975

8,01:45-02:00,0,25.1775,9.9925,0,0,14.7972,26.39091,341.564563,16.478852,0,20.834,26.2683,1.321,19.8648,0,0,653.1525,8.874,58.59,0,0,0,92,103.5,0,59.3595,0.61216,13.248,0,0,1.1,70.882,12.1695,0,40.95,0,0,0,32.88,46.58,6.028,0,21.72,38.01,5.43,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,98.34375,44.918,18.140334,20.0018,3.969,348.975

9,02:00-02:15,0,31.7796,9.9925,0,0,14.7972,26.39091,341.564563,16.478852,0,20.834,26.2683,1.321,19.8648,0,0,653.1525,8.874,58.59,0,0,0,92,103.5,0,59.3595,0.61216,13.248,0,0,6.5208,70.882,5.7645,0,40.95,0,0,0,32.88,46.58,6.028,0,21.72,38.01,5.43,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,98.34375,44.918,18.140334,20.0018,3.969,348.975

10,02:15-02:30,0,38.3817,9.9925,0,0,14.7972,26.39091,341.564563,16.478852,0,20.834,26.2683,1.321,19.8648,0,0,653.1525,8.874,58.59,0,0,0,92,103.5,0,59.3595,0.61216,13.248,0,0,6.5208,70.882,5.7645,0,40.95,0,0,0,32.88,46.58,6.028,0,21.72,38.01,5.43,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,98.34375,44.918,18.140334,20.0018,3.969,348.975

11,02:30-02:45,0,42.392196,9.9925,0,0,14.7972,26.39091,341.564563,16.478852,0,20.834,26.2683,1.321,19.8648,0,0,653.1525,8.874,58.59,0,0,0,92,103.5,0,59.3595,0.61216,13.248,0,0,6.5208,25.564,5.7645,0,40.95,0,0,0,32.88,46.58,6.028,0,21.72,38.01,5.43,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,98.34375,44.918,18.140334,20.0018,3.969,348.975

12,02:45-03:00,0,42.392196,9.9925,0,0,14.7972,26.39091,341.564563,16.478852,0,20.834,26.2683,1.321,19.8648,0,0,653.1525,8.874,58.59,0,0,0,92,103.5,0,59.3595,0.61216,13.248,0,0,6.5208,25.564,5.7645,0,40.95,0,0,0,32.88,46.58,6.028,0,21.72,38.01,5.43,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,98.34375,44.918,18.140334,20.0018,3.969,348.975

