Time,Block,NR/2024/19115/A/14455,NR/2024/19143/A/14452,NR/2024/19172/A/15069,NR/2024/19030/A/14475,NR/2024/18996/A/14927,NR/2024/19290/A/15068,NR/2024/19075/A/14459,NR/2024/18919/A/14958,NR/2024/19043/A/14466,NR/2024/18934/A/14398,NR/2024/19245/A/14514,NR/2024/18936/A/14400,NR/2024/18977/A/14409,NR/2024/18976/A/14408,NR/2024/18978/A/14410,NR/2024/18855/A/14694,NR/2024/19121/A/14690,NR/2024/18935/A/14399,NR/2024/19385/C,NR/2024/19024/A/14512,NR/2024/19337/A/14702,NR/2024/18986/A/14444,NR/2024/19388/C,Total
,,IEXL,IEXL,TPDDL,IEXL,PTC,TPDDL,IEXL,APPCPL,IEXL,PXIL,DIAPL,PXIL,PXIL,PXIL,PXIL,GMRETL,GMRETL,PXIL,NVVNL,DIAPL,DIAPL,ITCLH,NVVNL,Total

,,MAHARASHTRA,DELHI,NA,NA,MAHARASHTRA,NA,ODISHA,NAGALAND,NA,TAMIL NADU,HIMACHAL PRADESH,TAMIL NADU,NA,ODISHA,TAMIL NADU,RAJASTHAN,RAJASTHAN,TAMIL NADU,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,ANDHRA PRADESH,NA,
,,SWPL,EDWPCL12,JHAJJAR,JHABUA_IPP,JPL_DHULE,JHAJJAR,VSL,Nagaland_Ben,MBMP,SAKTHISUGRAR_TN,GBHHPL,SAKTHISUGARSLTD,MEENAKSHI,FACORPOWER,BIRLACARBONTN,RUVNL,RUVNL,SAKTHISUGARS_ELMTN,KAMENG,GBHHPL,GBHHPL,ITCWIND,SOLAPUR_SOLAR,
,,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,UPPCL,TPDDL,BRPL,BRPL,TPDDL,BRPL,BYPL,BRPL,BRPL,DIAPL,BRPL,BRPL,BRPL,BRPL,BYPL,BYPL,BRPL,TPDDL,DIAPL,DIAPL,ITCLH,MES (Delhi),
,,West-East-North,North-North,North-North,West-East-North,West-North,North-North,East-North,North East-East-North,West-East-North,South-West-North,North-North,South-West-North,South-West-North,East-West-North,South-West-North,North-North,North-North,South-West-North,North East-East-North,North-North,North-North,South-West-North,West-North,
1,00:00-00:15,0.000000,2.000000,116.000000,0.000000,0.000000,67.670000,0.000000,9.670000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.890000,0.000000,0.000000,52.590000,4.830000,1.930000,0.530000,0,322.11

2,00:15-00:30,0.000000,2.000000,116.000000,0.000000,0.000000,67.670000,0.000000,9.670000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.890000,0.000000,0.000000,52.590000,4.830000,1.930000,0.530000,0,322.11

3,00:30-00:45,0.000000,2.000000,116.000000,0.000000,0.000000,67.670000,0.000000,9.670000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.890000,0.000000,0.000000,52.590000,4.830000,1.930000,0.530000,0,322.11

4,00:45-01:00,0.000000,2.000000,116.000000,0.000000,0.000000,67.670000,0.000000,9.670000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.890000,0.000000,0.000000,52.590000,4.830000,1.930000,0.530000,0,322.11

5,01:00-01:15,0.000000,2.000000,116.000000,0.000000,0.000000,67.670000,0.000000,9.670000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.890000,0.000000,0.000000,52.590000,4.830000,1.930000,0.480000,0,322.06

