Block,Time,BRBCL,MAPS,TALST2,TANAKPUR,TANDA2,ANTA_RF,AURY_GF,DADRI_LF,KISHANGANGA,KKNPPU2,KOLDAM,NLCIIST2,NNTPP,PARBATI2,PARBATI3,RAPPB,UNCHAHAR1,UNCHAHAR3,URI2,DHAULIGNGA,JHAJJAR,KHSTPP-I,RAPPC,RSTPSU7,AURY_RF,CHAMERA3,RIHAND1,RIHAND3,SEWA2,SIMHST2,TEHRI,URI,DADRI_RF,DULHASTI,NJPC,RSTPSU1TO6,SINGRAULI_HYDRO,TelanganaSTPP,ANTA_GF,BSIUL,CHAMERA2,FSTPP I & II,KOTESHWR,NLCEXP,SALAL,SASAN,TALA,TEHRIPSP,UNCHAHAR2,UNCHAHAR4,DADRI_CRF,CHAMERA1,DADRT2,KGSU1AND2,KGSU3AND4,KKNP,NAPP,NTPL,RAPPD,SINGRAULI,AURY_CRF,DADRI_GF,KHSTPP-II,KUDGI,NLCIIST1,NLCTS2EXP,RAMPUR,RIHAND2,SIMHST1,VALLURNTECL,ANTA_CRF,ANTA_LF,AURY_LF
1,00:00-00:15,19.34,0,0,3.07,7.07,49.95,0,0,8.71,0,10.65,0,0,56.54,76.85,0,21.83,27.99,38.16,43.85,447.13,45.83,68.22,0,78.22,35.09,64.81,92.37,12.62,0,18.82,51.34,76.68,58.79,181.16,0,0.69,0,0,13.04,48.9,18.2,7.54,0,85.41,225,1.32,51.99,45.12,2.48,0,42.15,550.85,0,0,0,24.49,0,25.64,155.58,0,0,148.3,0,0,0,7.04,96.8,0,0,0,0,0

2,00:15-00:30,19.34,0,0,3.07,7.07,49.95,0,0,8.71,0,10.65,0,0,56.54,76.85,0,21.83,27.99,38.16,43.85,447.13,45.83,68.22,0,78.22,35.09,64.81,92.37,6.31,0,18.82,51.34,76.68,58.79,181.16,0,0.69,0,0,13.04,48.9,18.2,7.54,0,85.41,225,1.32,51.99,45.12,2.48,0,42.15,550.85,0,0,0,24.49,0,25.64,155.58,0,0,148.3,0,0,0,7.04,96.8,0,0,0,0,0

3,00:30-00:45,19.34,0,0,9.99,6.87,49.95,0,0,8.71,0,10.65,0,0,56.54,76.85,0,21.83,27.99,38.16,43.85,447.13,45.83,68.22,0,78.22,35.09,64.81,92.37,6.31,0,18.82,51.34,76.68,58.79,181.16,0,0.69,0,0,13.04,48.9,18.2,7.54,0,85.41,225,1.47,51.99,45.12,2.48,0,42.15,550.85,0,0,0,24.49,0,25.64,155.58,0,0,148.3,0,0,0,7.04,96.8,0,0,0,0,0

4,00:45-01:00,19.34,0,0,9.99,6.67,49.95,0,0,8.71,0,10.65,0,0,56.54,76.85,0,21.83,27.99,38.16,43.85,447.13,45.83,68.22,0,78.22,35.09,64.81,92.37,6.31,0,18.82,51.34,76.68,58.79,181.16,0,0.69,0,0,13.04,48.9,18.2,7.54,0,85.41,225,1.47,51.99,45.12,2.48,0,42.15,550.85,0,0,0,24.49,0,25.64,155.58,0,0,148.3,0,0,0,7.04,96.8,0,0,0,0,0

5,01:00-01:15,19.34,0,0,9.99,6.87,51.27,0,0,8.71,0,10.65,0,0,56.54,76.85,0,21.83,27.99,38.16,43.85,447.13,45.83,68.22,0,78.22,35.09,64.81,92.37,6.31,0,18.82,51.34,76.68,58.79,181.16,0,0.69,0,0,13.04,48.9,18.2,7.54,0,85.41,225,1.47,51.99,45.12,2.48,0,42.15,550.85,0,0,0,24.49,0,25.64,155.58,0,0,148.3,0,0,0,7.04,96.8,0,0,0,0,0

6,01:15-01:30,19.34,0,0,9.99,6.87,51.27,0,0,8.71,0,10.65,0,0,56.54,76.85,0,21.83,27.99,38.16,43.85,447.13,45.83,68.22,0,78.22,35.09,64.81,92.37,6.31,0,18.82,51.34,76.68,58.79,181.16,0,0.69,0,0,13.04,48.9,18.2,7.54,0,85.41,225,1.47,51.99,45.12,2.48,0,42.15,550.85,0,0,0,24.49,0,25.64,155.58,0,0,148.3,0,0,0,7.04,96.8,0,0,0,0,0

7,01:30-01:45,19.34,0,0,3.07,6.87,51.27,0,0,8.71,0,10.65,0,0,56.54,76.85,0,21.83,27.99,38.16,43.85,447.13,45.83,68.22,0,78.22,35.09,64.81,92.37,6.31,0,18.82,51.34,76.68,58.79,181.16,0,0.69,0,0,13.04,48.9,18.2,7.54,0,85.41,225,1.47,51.99,45.12,2.48,0,42.15,550.85,0,0,0,24.49,0,25.64,155.58,0,0,148.3,0,0,0,7.04,96.8,0,0,0,0,0

8,01:45-02:00,19.34,0,0,3.07,6.87,51.27,0,0,8.71,0,10.65,0,0,56.54,69.93,0,21.83,27.99,38.16,43.85,447.13,45.83,68.22,0,78.22,35.09,64.81,92.37,5.59,0,18.82,51.34,76.68,58.79,181.16,0,0.69,0,0,13.04,48.9,18.2,7.54,0,85.41,225,1.47,51.99,45.12,2.48,0,42.15,550.85,0,0,0,24.49,0,25.64,155.58,0,0,148.3,0,0,0,7.04,96.8,0,0,0,0,0

9,02:00-02:15,19.34,0,0,3.07,6.87,51.93,0,0,8.71,0,10.65,0,0,56.54,69.93,0,21.83,27.99,38.16,43.85,447.13,45.83,68.22,0,78.22,35.09,64.81,92.37,5.22,0,18.82,51.34,76.68,58.79,181.16,0,0.69,0,0,13.04,48.9,18.2,7.54,0,85.41,225,1.47,51.99,45.12,2.48,0,42.15,550.85,0,0,0,24.49,0,25.64,155.58,0,0,148.3,0,0,0,7.04,96.8,0,0,0,0,0

10,02:15-02:30,19.34,0,0,3.07,6.87,51.93,0,0,8.71,0,10.65,0,0,56.54,69.93,0,21.83,27.99,38.16,43.85,447.13,45.83,68.22,0,78.22,35.09,64.81,92.37,0,0,18.82,51.34,76.68,58.79,181.16,0,0.69,0,0,13.04,48.9,18.2,7.54,0,85.41,225,1.47,51.99,45.12,2.48,0,42.15,550.85,0,0,0,24.49,0,25.64,155.58,0,0,148.3,0,0,0,7.04,96.8,0,0,0,0,0

11,02:30-02:45,19.34,0,0,4.35,6.87,51.93,0,0,8.71,0,10.65,0,0,56.54,69.93,0,21.83,27.99,38.16,43.85,447.13,45.83,68.22,0,78.22,35.09,64.81,92.37,0,0,18.82,51.34,76.68,58.79,181.16,0,0.69,0,0,13.04,48.9,18.2,7.54,0,85.41,225,1.47,0,45.12,2.39,0,42.15,550.85,0,0,0,24.49,0,25.64,155.58,0,0,148.3,0,0,0,7.04,96.8,0,0,0,0,0

12,02:45-03:00,19.34,0,0,4.35,6.61,51.93,0,0,8.71,0,10.65,0,0,56.54,69.93,0,21.83,27.99,38.16,43.85,447.13,45.83,68.22,0,78.22,35.09,64.81,92.37,0,0,18.82,51.34,76.68,58.79,181.16,0,0.69,0,0,13.04,48.9,18.2,7.54,0,85.41,225,1.47,0,45.1,2.39,0,42.15,550.85,0,0,0,24.49,0,25.64,155.58,0,0,148.3,0,0,0,7.04,96.8,0,0,0,0,0

13,03:00-03:15,20,0,0,4.35,6.61,52.32000000000001,0,0,8.71,0,10.65,0,0,56.54,69.93,0,21.83,27.99,38.16,43.85,447.13,45.83,68.22,0,78.22,35.09,64.81,92.37,0,0,18.82,51.34,76.68,58.79,181.16,0,0.69,0,0,13.04,48.9,18.2,7.54,0,83.08,225,1.18,0,45.1,2.39,0,42.15,550.85,0,0,0,24.49,0,25.64,155.58,0,0,148.3,0,0,0,7.04,96.8,0,0,0,0,0

14,03:15-03:30,20,0,0,4.35,6.61,52.32000000000001,0,0,8.71,0,10.65,0,0,56.54,69.93,0,21.83,27.99,38.16,43.85,447.13,45.83,68.22,0,78.22,35.09,64.81,92.37,0,0,18.82,51.34,76.68,58.79,181.16,0,0.69,0,0,13.04,48.9,18.2,7.54,0,83.08,225,1.18,0,45.1,2.39,0,42.15,550.85,0,0,0,24.49,0,25.64,155.58,0,0,148.3,0,0,0,7.04,96.8,0,0,0,0,0

