Column1,Time,WR/01102023/31032046/L_NR_2020_05,GNARE/SR/2025/01/13/4532,GNARE/NR/2024/12/20/3668,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),GNARE/WR/2025/08/25/1832,NR/26072023/25122043/L_NR_2023_10,L_NR_2019_19,WR/01102023/30052048/L_NR_2022_10,NR/01102023/25072045/L_NR_2021_15,WR/01102023/16072048/L_NR_2022_08,NR/22102023/11042047/L_NR_2021_16,WR/01102023/01102023/L_NR_2020_06,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2022_09,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_17,NR/01102023/08032047/L_NR_2021_14,GNA/NR/2025/08/01/4125,NR/30092023/31122025/SH-07,NR/01102023/31052040/LT-31,GNA/NR/2025/08/01/5126,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/07/01/1044,NR/01102023/30042040/GNA_LT_36,NR/01102023/22052037/LT-59,GNA/NR/2025/08/01/6452,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_35,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/06/07/5932,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6475,GNA/NR/2025/07/01/2952,GNA/NR/2025/07/01/8128,GNA/NR/2025/08/01/4452,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/1196,NR/01102023/31102037/L_NR_2019_11,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_02,NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/6187
1,00:00-00:15,68.51,12.8,0,22.83,0,0,0,0,0,59.64,0,20.66,0,22.83,0,0,59.63,0,0,0,8.66,0,0,20.44,75.06,5.9,0,0,20.44,0,0,0,7.93,-0,81.78,40.89,20.76,8.51,12.65,15.25,0,33.67,19.24,0,270.59,260.34,70.17,100.23,8.66,17.32

2,00:15-00:30,67.99,12.41,0,22.67,0,0,0,0,0,59.32,0,20.76,0,22.67,0,0,59.31,0,0,0,8.66,0,0,20.44,75.12,5.9,0,0,20.44,0,0,0,7.93,-0,81.78,40.89,20.76,8.51,12.65,15.25,0,33.67,19.24,0,270.59,260.34,70.17,100.23,8.66,17.32

3,00:30-00:45,68.51,12.21,0,22.83,0,0,0,0,0,58.85,0,20.69,0,22.83,0,0,58.85,0,0,0,8.66,0,0,20.44,75.14,5.9,0,0,20.44,0,0,0,7.93,-0,81.78,40.89,20.76,8.51,12.65,15.25,0,33.67,19.24,0,270.59,260.34,70.17,100.23,8.66,17.32

4,00:45-01:00,69,12.21,0,23,0,0,0,0,0,58.46,0,20.55,0,23,0,0,58.46,0,0,0,8.66,0,0,20.44,75.19,5.9,0,0,20.44,0,0,0,7.93,-0,81.78,40.89,20.76,8.51,12.65,15.25,0,33.67,19.24,0,270.59,260.34,70.17,100.23,8.66,17.32

5,01:00-01:15,70.01,15,0,23.33,0,0,0,0,0,68.24,0,20.84,0,23.33,0,0,68.25,0,0,0,8.66,0,0,20.44,75.19,5.9,0,0,20.44,0,0,0,7.93,-0,81.78,40.89,20.76,8.51,12.65,15.25,0,33.67,19.24,0,270.59,260.34,70.17,100.23,8.66,17.32

6,01:15-01:30,69.49,14.6,0,23.17,0,0,0,0,0,69.25,0,21.3,0,23.17,0,0,69.24,0,0,0,8.66,0,0,20.44,75.03,5.9,0,0,20.44,0,0,0,7.93,-0,81.78,40.89,20.76,8.51,12.65,15.25,0,33.67,19.24,0,270.59,260.34,70.17,100.23,8.66,17.32

7,01:30-01:45,70.01,14.01,0,23.33,0,0,0,0,0,70.48,0,21.84,0,23.33,0,0,70.48,0,0,0,8.66,0,0,20.44,76.11,5.9,0,0,20.44,0,0,0,7.93,-0,81.78,40.89,20.76,8.51,12.65,15.25,0,33.67,19.24,0,270.59,260.34,70.17,100.23,8.66,17.32

8,01:45-02:00,69.49,13.61,0,23.17,0,0,0,0,0,71.45,0,22.41,0,23.17,0,0,71.46,0,0,0,8.66,0,0,20.44,56.4,5.9,0,0,20.44,0,0,0,7.93,-0,81.78,40.89,20.76,8.51,12.65,15.25,0,33.67,19.24,0,270.59,260.34,70.17,100.23,8.66,17.32

9,02:00-02:15,70.5,13.01,0,23.5,0,0,0,0,0,72.2,0,25,0,23.5,0,0,72.21,0,0,0,8.66,0,0,20.44,56.4,3.23,0,0,20.44,0,0,0,7.65,-0,81.78,40.89,20.76,4,12.65,15.25,0,81.78,19.24,0,264.68,212.24,70.17,100.23,8.66,17.32

10,02:15-02:30,73.01,12.61,0,24.33,0,0,0,0,0,72.34,0,24.67,0,24.33,0,0,72.33,0,0,0,8.66,0,0,20.44,56.4,3.23,0,0,20.44,0,0,0,7.65,-0,81.78,40.89,20.76,4,12.65,15.25,0,81.78,19.24,0,241.07,204.84,70.17,100.23,8.66,17.32

