Column1,Time,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,GNA/NR/2024/10/01/8106,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/16/4393,NR/01102023/30042040/GNA_LT_35,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/22052037/LT-59,GNA/NR/2024/10/16/2350,GNA/NR/2024/10/01/6101,NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,NR/01102023/06022042/L_NR_2012_02,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/01/9072,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2024/10/01/3642,NR/01102023/31102037/L_NR_2019_11,NR/30092023/31122025/SH-07,GNA/WR/2024/10/15/7089,NR/01102023/06022042/L_NR_2012_07,NR/30092023/26122029/SH-06,NR/01102023/15082037/GNA_NR_2012_01,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,WR/01102023/30052048/L_NR_2022_10,NR/22102023/11042047/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,SR/01102023/07102043/L_NR_2018_61,L_NR_2019_19
1,00:00-00:15,0,0,12.41,12.41,142.69,0,272.51,2.32,47.56,37.23,2.69,70.27,261.67,4.78,37.23,29.77,37.23,2.76,5.58,200,0,5.58,100.41,6.66,0,13.33,0,0,6.67,20,13.33,0,0,0,6.66,0,0,0,0,0,6.6,0

2,00:15-00:30,0,0,12.41,12.41,142.69,0,272.51,2.32,47.56,37.23,2.69,70.27,261.67,4.78,37.23,29.77,37.23,2.76,5.58,200,0,5.58,100.41,6.66,0,13.33,0,0,6.67,20,13.33,0,0,0,6.66,0,0,0,0,0,6.6,0

3,00:30-00:45,0,0,12.41,12.41,142.69,0,272.51,2.32,47.56,37.23,2.69,70.27,261.67,4.78,37.23,29.77,37.23,2.76,5.58,200,0,5.58,100.41,6.66,0,13.33,0,0,6.67,20,13.33,0,0,0,6.66,0,0,0,0,0,6.6,0

4,00:45-01:00,0,0,12.41,12.41,142.69,0,272.51,2.32,47.56,37.23,2.69,70.27,261.67,4.78,37.23,29.77,37.23,2.76,5.58,200,0,5.58,100.41,6.66,0,13.33,0,0,6.67,20,13.33,0,0,0,6.66,0,0,0,0,0,6.6,0

5,01:00-01:15,0,0,12.41,12.41,142.69,0,272.51,2.48,47.56,37.23,2.69,70.27,261.67,4.78,37.23,29.77,37.23,2.68,5.58,200,0,5.58,100.41,6.66,0,13.33,0,0,6.67,20,13.33,0,0,0,6.66,0,0,0,0,0,6.6,0

