Block,Time Block,DADRI_GF,AURY_GF,DADRI_CRF,DADRI_RF,AURY_RF,DADRI_LF,AURY_LF,UNCHAHAR2,ANTA_RF,URI,ANTA_LF,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,ANTA_GF,AURY_CRF,URI2,UNCHAHAR3,ANTA_CRF,TALA,TEHRIPSP,TEHRI,SINGRAULI_HYDRO,TelanganaSTPP,TANDA2,TALST2,TANAKPUR,RIHAND3,RIHAND2,RSTPSU7,SIMHST1,SINGRAULI,SALAL,SIMHST2,SEWA2,SASAN,RSTPSU1TO6,NNTPP,RAPPB,RAPPD,NTPL,RAMPUR,PARBATI2,PARBATI3,RAPPC,RIHAND1,NLCIIST1,NLCIIST2,NLCTS2EXP,NLCEXP,KOTESHWR,NJPC,KKNP,MAPS,KKNPPU2,KOLDAM,KISHANGANGA,KUDGI,NAPP,DHAULIGNGA,DULHASTI,CHAMERA3,FSTPP I & II,DADRT2,JHAJJAR,KGSU3AND4,KHSTPP-II,KHSTPP-I,KGSU1AND2,CHAMERA1,CHAMERA2,BRBCL,BSIUL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,11.77,14.43,0,0,43.28,9.65,25.48,0,20.82,3.1,0,0,0,20.99,26.63,0,20.33,0,53.4,0.92,0,5.34,0,12.56,125.84,120.48,0,0,142.14,82.15,0,0,330.01,0,0,0,23.58,0,5.48,0,18.58,62.92,94.56,0,0,0,0,39.02,169.07,0,0,0,8.29,6.78,0,20.36,40.84,53.26,32.64,18.45,511.21,223.2,0,142.63,43.79,0,40.54,45.32,13.82,12.54,0,0,0,0,0

2,00:15-00:30,0,0,0,0,0,0,0,43.28,0,25.48,0,20.82,3.1,0,0,0,20.99,26.63,0,20.33,0,53.4,0.92,0,5.34,0,12.56,125.84,120.48,0,0,142.14,82.15,0,0,330.01,0,0,0,23.58,0,5.48,0,18.58,62.92,94.56,0,0,0,0,39.02,169.07,0,0,0,8.29,6.78,0,20.36,40.84,53.26,32.64,18.45,491.97,223.2,0,142.63,43.79,0,40.54,45.32,13.47,12.54,0,0,0,0,0

3,00:30-00:45,0,0,0,0,0,0,0,43.28,0,25.48,0,20.82,3.1,0,0,0,20.99,26.63,0,20.33,0,53.4,0.92,0,5.34,0,12.56,125.84,120.48,0,0,142.14,82.15,0,0,330.01,0,0,0,23.58,0,5.48,0,18.58,62.92,94.56,0,0,0,0,39.02,169.07,0,0,0,8.29,6.78,0,20.36,40.84,53.26,32.64,18.45,487.02,196.27,0,142.63,43.79,0,40.54,45.32,13.51,12.54,0,0,0,0,0

4,00:45-01:00,0,0,0,0,0,0,0,43.28,0,25.48,0,20.82,3.1,0,0,0,20.99,26.63,0,20.33,0,53.4,0.92,0,5.34,0,12.56,125.84,120.48,0,0,142.14,82.15,0,0,330.01,0,0,0,23.58,0,5.48,0,18.58,62.92,94.56,0,0,0,0,39.02,169.07,0,0,0,8.29,6.78,0,20.36,40.84,53.26,32.64,18.45,487.02,178.96,0,142.63,43.79,0,40.54,45.32,13.37,12.54,0,0,0,0,0

5,01:00-01:15,0,0,0,0,0,0,0,43.28,0,25.48,0,20.82,3.1,0,0,0,20.99,26.63,0,20.33,0,53.4,0.92,0,5.34,0,12.56,125.84,120.48,0,0,142.14,82.15,0,0,330.01,0,0,0,23.58,0,5.48,0,18.58,62.92,94.56,0,0,0,0,39.02,169.07,0,0,0,8.29,6.78,0,20.36,40.84,53.26,32.64,18.45,431.15,150.11,0,142.63,43.79,0,40.54,45.32,13.22,12.54,0,0,0,0,0

6,01:15-01:30,0,0,0,0,0,0,0,43.28,0,25.48,0,20.82,3.1,0,0,0,20.99,26.63,0,20.33,0,53.4,0.92,0,5.34,0,12.56,125.84,120.48,0,0,142.14,82.15,0,0,330.01,0,0,0,23.58,0,5.48,0,18.58,62.92,94.56,0,0,0,0,39.02,169.07,0,0,0,8.29,6.78,0,20.36,40.84,53.26,32.64,18.45,322.31,165.67,0,142.63,43.79,0,40.54,45.32,13.29,12.54,0,0,0,0,0

7,01:30-01:45,0,0,0,0,0,0,0,43.28,0,25.48,0,20.82,3.1,0,0,0,20.99,26.63,0,18.91,0,53.4,0.92,0,5.34,0,12.56,125.84,120.48,0,0,142.14,82.15,0,0,330.01,0,0,0,23.58,0,5.48,0,18.58,62.92,94.56,0,0,0,0,39.02,169.07,0,0,0,8.29,6.78,0,20.36,40.84,53.26,32.64,18.45,259.14,159.73,0,142.63,43.79,0,40.54,45.32,13.34,12.54,0,0,0,0,0

8,01:45-02:00,0,0,0,0,0,0,0,35.82,0,25.48,0,16.7,3.1,0,0,0,20.99,22.1,0,18.91,0,53.4,0.92,0,5.34,0,12.56,125.84,120.48,0,0,142.14,82.15,0,0,330.01,0,0,0,23.58,0,5.48,0,18.58,62.92,94.56,0,0,0,0,39.02,169.07,0,0,0,8.29,6.78,0,20.36,40.84,53.26,32.64,18.45,191.81,127.02,0,142.63,43.79,0,40.54,45.32,13.31,12.54,0,0,0,0,0

9,02:00-02:15,0,0,0,0,0,0,0,35.22,0,25.48,0,16.39,3.1,0,0,0,20.99,21.71,0,18.91,0,53.4,0.92,0,5.34,0,12.56,125.84,120.48,0,0,142.14,82.15,0,0,330.01,0,0,0,23.58,0,5.48,0,18.58,62.92,94.56,0,0,0,0,39.02,169.07,0,0,0,8.29,6.78,0,20.36,40.84,53.26,32.64,18.45,144.68,127.02,0,142.63,43.79,0,40.54,45.32,13.31,12.54,0,0,0,0,0

10,02:15-02:30,0,0,0,0,0,0,0,34.97,0,25.48,0,16.39,3.1,0,0,0,20.99,21.53,0,18.91,0,53.4,0.92,0,5.34,0,12.56,125.84,120.48,0,0,142.14,82.15,0,0,330.01,0,0,0,23.58,0,5.48,0,18.58,62.92,94.56,0,0,0,0,39.02,169.07,0,0,0,8.29,6.78,0,20.36,40.84,53.26,32.64,18.45,106.1,127.02,0,142.63,43.79,0,40.54,45.32,13.4,12.54,0,0,0,0,0

11,02:30-02:45,0,0,0,0,0,0,0,34.97,0,25.48,0,16.39,3.1,0,0,0,20.99,21.53,0,18.91,0,53.4,0.92,0,5.34,0,12.56,125.84,120.48,0,0,142.14,82.15,0,0,330.01,0,0,0,23.58,0,5.48,0,18.58,62.92,94.56,0,0,0,0,39.02,169.07,0,0,0,8.29,6.78,0,20.36,40.84,53.26,32.64,18.45,109.1,127.02,0,142.63,43.79,0,40.54,45.32,13.84,12.54,0,0,0,0,0

12,02:45-03:00,0,0,0,0,0,0,0,34.97,0,25.48,0,16.39,3.1,0,0,0,20.99,21.53,0,18.91,0,53.4,0.92,0,5.34,0,12.56,125.84,120.48,0,0,142.14,82.15,0,0,330.01,0,0,0,23.58,0,5.48,0,18.58,62.92,94.56,0,0,0,0,39.02,169.07,0,0,0,8.29,6.78,0,20.36,40.84,53.26,32.64,18.45,166.8,127.02,0,142.63,43.79,0,40.54,45.32,16.14,12.54,0,0,0,0,0

13,03:00-03:15,0,0,0,0,0,0,0,43.28,0,25.48,0,20.82,3.1,0,0,0,20.99,26.63,0,18.91,0,53.4,0.92,0,5.34,0,11.46,125.84,120.48,0,0,142.14,78.79,0,0,330.01,0,0,0,23.58,0,5.48,0,18.58,62.92,94.56,0,0,0,0,39.02,169.07,0,0,0,8.29,6.78,0,20.36,40.84,53.26,32.64,18.45,289.43,127.02,0,142.63,43.79,0,40.54,45.32,15.77,12.54,0,0,0,0,0

14,03:15-03:30,0,0,0,0,0,0,0,43.28,0,25.48,0,20.82,3.1,0,0,0,20.99,26.63,0,18.91,0,53.4,0.92,0,5.34,0,11.46,125.84,120.48,0,0,142.14,78.79,0,0,330.01,0,0,0,23.58,0,5.48,0,18.58,62.92,94.56,0,0,0,0,39.02,169.07,0,0,0,8.29,6.78,0,20.36,40.84,53.26,32.64,18.45,243.78,127.02,0,142.63,43.79,0,40.54,45.32,16.13,12.54,0,0,0,0,0

15,03:30-03:45,0,0,0,0,0,0,0,43.28,0,25.48,0,20.82,3.1,0,0,0,20.99,26.63,0,18.91,0,53.4,0.92,0,5.34,0,11.46,125.84,120.48,0,0,142.14,78.79,0,0,330.01,0,0,0,23.58,0,5.48,0,21.45,62.92,94.56,0,0,0,0,39.02,169.07,0,0,0,8.29,6.78,0,20.36,40.84,53.26,32.64,18.45,224.54,127.02,0,142.63,43.79,0,40.54,45.32,15.32,12.54,0,0,0,0,0

16,03:45-04:00,0,0,0,0,0,0,0,43.28,0,25.48,0,20.82,3.1,0,0,0,20.99,26.63,0,18.91,0,53.4,0.92,0,5.34,0,11.46,125.84,120.48,0,0,142.14,78.79,0,0,330.01,0,0,0,23.58,0,5.48,0,21.45,62.92,94.56,0,0,0,0,39.02,169.07,0,0,0,8.29,6.78,0,20.36,40.84,53.26,32.64,18.45,224.54,127.02,0,142.63,43.79,0,40.54,45.32,16.39,12.54,0,0,0,0,0

17,04:00-04:15,0,0,0,0,0,0,0,43.28,0,25.48,0,20.82,3.1,0,0,0,20.99,26.63,0,18.91,0,53.4,0.92,0,5.34,0,11.46,125.84,120.48,0,0,142.14,78.79,0,0,330.01,0,0,0,23.58,0,5.48,0,21.45,62.92,94.56,0,0,0,0,39.02,169.07,0,0,0,8.29,6.78,0,20.36,40.84,53.26,32.64,18.45,224.54,127.02,0,142.63,43.79,0,40.54,45.32,17.37,12.54,0,0,0,0,0

18,04:15-04:30,0,0,0,0,0,0,0,43.28,0,25.48,0,20.82,3.1,0,0,0,20.99,26.63,0,18.91,0,53.4,0.92,0,5.34,0,11.46,125.84,120.48,0,0,142.14,78.79,0,0,330.01,0,0,0,23.58,0,5.48,0,21.45,62.92,94.56,0,0,0,0,39.02,169.07,0,0,0,8.29,6.78,0,20.36,40.84,53.26,32.64,18.45,224.54,127.02,0,142.63,43.79,0,40.54,45.32,15.87,12.54,0,0,0,0,0

19,04:30-04:45,0,0,0,0,0,0,0,43.28,0,25.48,0,20.82,3.1,0,0,0,20.99,26.63,0,17.33,0,53.4,0.92,0,5.34,0,11.46,125.84,120.48,0,0,142.14,78.79,0,0,330.01,0,0,0,23.58,0,5.48,0,21.45,62.92,94.56,0,0,0,0,39.02,169.07,0,0,0,8.29,6.78,0,20.36,40.84,53.26,32.64,18.45,224.54,127.02,0,142.63,41.45,0,40.54,45.32,18.63,12.54,0,0,0,0,0

