Time,Block,NR/2023/12592/A,NR/2023/16078/C,NR/2023/16085/C,NR/2023/15057/F,NR/2023/16084/C,NR/2023/16072/C,NR/2023/16067/D,NR/2023/14898/A,NR/2023/14737/A,NR/2023/16079/C,NR/2023/12591/A,NR/2023/14746/A,NR/2023/12052/A,NR/2023/13635/A,NR/2023/12168/A,NR/2023/15937/F,NR/2023/12347/A,NR/2023/12422/A,NR/2023/16080/C,NR/2023/15309/F,NR/2023/16071/C,NR/2023/13862/A,NR/2023/14745/A,NR/2023/12431/A,NR/2023/15402/F,NR/2023/12167/A,NR/2023/16091/C,NR/2023/16076/C,NR/2023/14895/A,NR/2023/16069/C,NR/2023/12053/A,NR/2023/12148/A,NR/2023/16066/D,Total
,,NVVNL,PXIL,PXIL,ITCLH,IEXL,TPDDL,KEIPL,MANIKARAN,NVVNL,PXIL,NVVNL,APPCPL,KEIPL,NVVNL,APPCPL,NVVNL,STATKRAFT,APPCPL,IEXL,IEXL,SJVNL,MANIKARAN,APPCPL,TPTCL,SJVNL,APPCPL,HPXL,PXIL,MANIKARAN,GBHHPL,KEIPL,GMRETL,NVVNL,Total

,,NA,MAHARASHTRA,ODISHA,ANDHRA PRADESH,NA,HIMACHAL PRADESH,UTTAR PRADESH,HIMACHAL PRADESH,NA,KARNATAKA,NA,HIMACHAL PRADESH,MEGHALAYA,NA,UTTARAKHAND,NA,TAMIL NADU,HIMACHAL PRADESH,NA,JAMMU AND KASHMIR,NA,TAMIL NADU,GOA,NA,UTTAR PRADESH,MEGHALAYA,DELHI,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,MEGHALAYA,NA,
,,JPNIGRIE_JNSTPP,JSWEL MSEB,smcunit2,ITCWIND,MCCPL,CHANJUII,LAPL-UP,HP,SKS Raigarh,JSWEL,JPNIGRIE_JNSTPP,HP,Meghalaya_Ben,KAMENG,UTTARAKHAND,KAMENG,TANGEDCO,HP,DIKCHU,SAPU1234,DIKCHU,TANGEDCO,GOA_Beneficiary,JPL-2,BCMLB001,Meghalaya_Ben,BYPL,Teesta_III,HP,GBHHPL,Meghalaya_Ben,Meghalaya_Ben,SOLAPUR_SOLAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BRPL,BRPL,ITCLH,BRPL,TPDDL,BYPL,BRPL,NDMC,BRPL,BRPL,BRPL,BYPL,BRPL,BYPL,TPDDL,BYPL,BYPL,BRPL,MES (Delhi),NDMC,BRPL,BRPL,BRPL,NDMC,BYPL,NPCL(UP),BRPL,BRPL,DIAPL,BYPL,BYPL,MES (Delhi),
,,West-North,West-North,East-North,South-West-North,West-East-North,North-North,North-North,North-North,West-North,South-West-North,West-North,North-North,North East-East-North,North East-East-North,North-North,North East-East-North,South-West-North,North-North,East-North,North-North,East-North,South-East-North,West-North,West-North,North-North,North East-East-North,North-North,East-North,North-North,North-North,North East-East-North,North East-East-North,West-North,
1,00:00-00:15,99.890000,38.600000,30.880000,0.870000,0.000000,18.390000,0.000000,77.210000,33.780000,38.600000,49.940000,85.800000,62.970000,24.980000,46.520000,193.020000,98.440000,36.770000,87.820000,4.830000,0.000000,23.090000,24.130000,124.830000,0.000000,24.130000,0.000000,96.510000,95.540000,6.050000,36.410000,22.200000,0,1482.2

2,00:15-00:30,99.890000,38.600000,30.880000,0.870000,0.000000,18.390000,0.000000,77.210000,33.780000,38.600000,49.940000,85.800000,62.970000,24.980000,46.520000,193.020000,98.440000,36.770000,87.820000,4.830000,0.000000,23.090000,24.130000,124.830000,0.000000,24.130000,0.000000,96.510000,95.540000,6.050000,36.410000,22.200000,0,1482.2

3,00:30-00:45,99.890000,38.600000,30.880000,0.870000,0.000000,18.390000,0.000000,77.210000,33.780000,38.600000,49.940000,85.800000,62.970000,24.980000,46.520000,193.020000,98.440000,36.770000,87.820000,4.830000,0.000000,23.090000,24.130000,124.830000,0.000000,24.130000,0.000000,96.510000,95.540000,6.050000,36.410000,22.200000,0,1482.2

4,00:45-01:00,99.890000,38.600000,30.880000,0.870000,0.000000,18.390000,0.000000,77.210000,33.780000,38.600000,49.940000,85.800000,62.970000,24.980000,46.520000,193.020000,98.440000,36.770000,87.820000,4.830000,0.000000,23.090000,24.130000,124.830000,0.000000,24.130000,0.000000,96.510000,95.540000,6.050000,36.410000,22.200000,0,1482.2

5,01:00-01:15,99.890000,38.600000,30.880000,0.680000,0.000000,18.290000,0.000000,77.210000,33.780000,38.600000,49.940000,85.800000,62.970000,24.980000,46.520000,193.020000,98.440000,36.770000,87.820000,4.830000,0.000000,23.090000,24.130000,124.830000,0.000000,24.130000,0.000000,96.510000,95.540000,6.050000,36.410000,22.200000,0,1481.91

6,01:15-01:30,99.890000,38.600000,30.880000,0.680000,0.000000,18.290000,0.000000,77.210000,33.780000,38.600000,49.940000,85.800000,62.970000,24.980000,46.520000,193.020000,98.440000,36.770000,87.820000,4.830000,0.000000,23.090000,24.130000,124.830000,0.000000,24.130000,0.000000,96.510000,95.540000,6.050000,36.410000,22.200000,0,1481.91

7,01:30-01:45,99.890000,38.600000,30.880000,0.680000,0.000000,18.290000,0.000000,77.210000,33.780000,38.600000,49.940000,85.800000,62.970000,24.980000,46.520000,193.020000,98.440000,36.770000,87.820000,4.830000,0.000000,23.090000,24.130000,124.830000,0.000000,24.130000,0.000000,96.510000,95.540000,6.050000,36.410000,22.200000,0,1481.91

8,01:45-02:00,99.890000,38.600000,30.880000,0.680000,0.000000,18.290000,0.000000,77.210000,33.780000,38.600000,49.940000,85.800000,62.970000,24.980000,46.520000,193.020000,98.440000,36.770000,87.820000,4.830000,0.000000,23.090000,24.130000,124.830000,0.000000,24.130000,0.000000,96.510000,95.540000,6.050000,36.410000,22.200000,0,1481.91

9,02:00-02:15,99.890000,38.600000,30.880000,0.580000,0.000000,18.190000,0.000000,77.210000,33.780000,38.600000,49.940000,85.800000,62.970000,24.980000,46.520000,193.020000,98.440000,36.770000,87.820000,4.830000,0.000000,23.090000,24.130000,124.830000,0.000000,24.130000,0.000000,96.510000,95.540000,6.050000,36.410000,22.200000,0,1481.71

10,02:15-02:30,99.890000,38.600000,30.880000,0.580000,0.000000,18.190000,0.000000,77.210000,33.780000,38.600000,49.940000,85.800000,62.970000,24.980000,46.520000,193.020000,98.440000,36.770000,87.820000,4.830000,0.000000,23.090000,24.130000,124.830000,0.000000,24.130000,0.000000,96.510000,95.540000,6.050000,36.410000,22.200000,0,1481.71

11,02:30-02:45,99.890000,38.600000,30.880000,0.580000,0.000000,18.190000,0.000000,77.210000,33.780000,38.600000,49.940000,85.800000,62.970000,24.980000,46.520000,193.020000,98.440000,36.770000,87.820000,4.830000,0.000000,23.090000,24.130000,124.830000,0.000000,24.130000,0.000000,96.510000,95.540000,6.050000,36.410000,22.200000,0,1481.71

12,02:45-03:00,99.890000,38.600000,30.880000,0.580000,0.000000,18.190000,0.000000,77.210000,33.780000,38.600000,49.940000,85.800000,62.970000,24.980000,46.520000,193.020000,98.440000,36.770000,87.820000,4.830000,0.000000,23.090000,24.130000,124.830000,0.000000,24.130000,0.000000,96.510000,95.540000,6.050000,36.410000,22.200000,0,1481.71

13,03:00-03:15,99.890000,0.000000,30.880000,0.530000,0.000000,18.190000,0.000000,77.210000,33.780000,0.000000,49.940000,85.800000,62.970000,24.980000,46.520000,193.020000,98.440000,36.770000,87.820000,4.830000,0.000000,0.000000,24.130000,124.830000,0.000000,24.130000,0.000000,96.510000,95.540000,6.050000,0.000000,22.200000,0,1344.96

14,03:15-03:30,99.890000,0.000000,30.880000,0.530000,0.000000,18.190000,0.000000,77.210000,33.780000,0.000000,49.940000,85.800000,62.970000,24.980000,46.520000,193.020000,98.440000,36.770000,87.820000,4.830000,0.000000,0.000000,24.130000,124.830000,0.000000,24.130000,0.000000,96.510000,95.540000,6.050000,0.000000,22.200000,0,1344.96

15,03:30-03:45,99.890000,0.000000,30.880000,0.530000,0.000000,18.190000,0.000000,77.210000,33.780000,0.000000,49.940000,85.800000,62.970000,24.980000,46.520000,193.020000,98.440000,36.770000,87.820000,4.830000,0.000000,0.000000,24.130000,124.830000,0.000000,24.130000,0.000000,96.510000,95.540000,6.050000,0.000000,22.200000,0,1344.96

16,03:45-04:00,99.890000,0.000000,30.880000,0.530000,0.000000,18.190000,0.000000,77.210000,33.780000,0.000000,49.940000,85.800000,62.970000,24.980000,46.520000,193.020000,98.440000,36.770000,87.820000,4.830000,0.000000,0.000000,24.130000,124.830000,0.000000,24.130000,0.000000,96.510000,95.540000,6.050000,0.000000,22.200000,0,1344.96

17,04:00-04:15,99.890000,0.000000,30.880000,0.530000,0.000000,18.010000,0.000000,77.210000,33.780000,0.000000,49.940000,85.800000,62.970000,24.980000,46.520000,193.020000,98.440000,36.770000,87.820000,4.830000,0.000000,0.000000,24.130000,124.830000,0.000000,24.130000,0.000000,96.510000,95.540000,6.050000,0.000000,22.200000,0,1344.78

18,04:15-04:30,99.890000,0.000000,30.880000,0.530000,0.000000,18.010000,0.000000,77.210000,33.780000,0.000000,49.940000,85.800000,62.970000,24.980000,46.520000,193.020000,98.440000,36.770000,87.820000,4.830000,0.000000,0.000000,24.130000,124.830000,0.000000,24.130000,0.000000,96.510000,95.540000,6.050000,0.000000,22.200000,0,1344.78

19,04:30-04:45,99.890000,0.000000,30.880000,0.530000,0.000000,18.010000,0.000000,77.210000,33.780000,0.000000,49.940000,85.800000,62.970000,24.980000,46.520000,193.020000,98.440000,36.770000,87.820000,4.830000,0.000000,0.000000,24.130000,124.830000,0.000000,24.130000,0.000000,96.510000,95.540000,6.050000,0.000000,22.200000,0,1344.78

20,04:45-05:00,99.890000,0.000000,30.880000,0.530000,0.000000,18.010000,0.000000,77.210000,33.780000,0.000000,49.940000,85.800000,62.970000,24.980000,46.520000,193.020000,98.440000,36.770000,87.820000,4.830000,0.000000,0.000000,24.130000,124.830000,0.000000,24.130000,0.000000,96.510000,95.540000,6.050000,0.000000,22.200000,0,1344.78

21,05:00-05:15,99.890000,0.000000,30.880000,0.530000,0.000000,18.010000,0.000000,77.210000,33.780000,0.000000,49.940000,85.800000,62.970000,24.980000,46.520000,193.020000,0.000000,36.770000,87.820000,4.830000,0.000000,0.000000,24.130000,124.830000,0.000000,24.130000,0.000000,96.510000,95.540000,6.050000,0.000000,22.200000,0,1246.34

22,05:15-05:30,99.890000,0.000000,30.880000,0.530000,0.000000,18.010000,0.000000,77.210000,33.780000,0.000000,49.940000,85.800000,62.970000,24.980000,46.520000,193.020000,0.000000,36.770000,87.820000,4.830000,0.000000,0.000000,24.130000,124.830000,0.000000,24.130000,0.000000,96.510000,95.540000,6.050000,0.000000,22.200000,0,1246.34

23,05:30-05:45,99.890000,0.000000,30.880000,0.530000,0.000000,18.010000,0.000000,77.210000,33.780000,0.000000,49.940000,85.800000,62.970000,24.980000,46.520000,193.020000,0.000000,36.770000,87.820000,4.830000,0.000000,0.000000,24.130000,124.830000,0.000000,24.130000,0.000000,96.510000,95.540000,6.050000,0.000000,22.200000,0,1246.34

