Column1,Time,L_NR_2019_19,GNARE/NR/2024/12/20/3668,WR/01102023/30052048/L_NR_2022_10,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/L_NR_2019_05,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,GNARE/SR/2025/01/13/4532,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/2952,GNA/NR/2025/07/01/8154,NR/01102023/31102037/L_NR_2019_11,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/07/5932,NR/01102023/06022042/L_NR_2012_07,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/07/01/1192,NR/30092023/31122025/SH-07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/07/01/8230,GNA/NR/2025/07/01/3109,NR/01102023/06022042/L_NR_2012_02,NR/30092023/26122029/SH-06,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/07/01/8128,NR/01102023/19072037/LT-05,GNA/NR/2025/07/01/2997,NR/01102023/31052040/LT-31,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/2236,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/07/01/1044,NR/01102023/22052037/LT-59
1,00:00-00:15,0,0,0,36,11,0,0,12,0,12,0,0,0,0,0,0,0,0,0,18.01,134.89,8.51,20.75,10.13,17.76,-0,86.75,100.2,49.05,15.39,133.46,0,224.82,19.24,130.13,30,6.06,6.32,115.38,15.24,0,25.24,43.71,81.75,0,3.24,10.47

2,00:15-00:30,0,0,0,37.01,11,0,0,12.33,0,12.33,0,0,0,0,0,0,0,0,0,18.21,134.89,8.51,20.75,10.13,17.76,-0,86.75,100.2,49.05,15.39,133.46,0,224.82,19.24,130.13,30,6.06,6.32,115.38,15.24,0,25.24,43.71,81.75,0,3.24,10.47

3,00:30-00:45,0,0,0,37.5,11,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,18.21,134.89,8.51,20.75,10.13,17.76,-0,86.75,100.2,49.05,15.39,133.46,0,224.82,19.24,130.13,30,6.06,6.32,115.38,15.24,0,25.24,43.71,81.75,0,3.24,10.47

4,00:45-01:00,0,0,0,37.99,11,0,0,12.67,0,12.67,0,0,0,0,0,0,0,0,0,18.81,134.89,8.51,20.75,10.13,17.76,-0,86.75,100.2,49.05,15.39,133.46,0,224.82,19.24,130.13,30,6.06,6.32,115.38,15.24,0,25.24,43.71,81.75,0,3.24,10.47

5,01:00-01:15,0,0,0,30,11,0,0,10,0,10,0,0,0,0,0,0,0,0,0,19.01,134.89,8.51,20.75,9.74,17.58,-0,86.75,100.2,49.05,15.39,133.46,0,224.82,19.24,130.13,30,5.6,6.32,115.38,15.24,0,25.24,43.71,81.75,0,3.24,10.47

6,01:15-01:30,0,0,0,30.49,11,0,0,10.17,0,10.17,0,0,0,0,0,0,0,0,0,19.21,134.89,8.51,20.75,9.74,17.58,-0,86.75,100.2,49.05,15.39,133.46,0,224.82,19.24,130.13,30,5.6,6.32,71.97,15.24,0,25.24,43.71,81.75,0,3.24,10.47

7,01:30-01:45,0,0,0,31.01,6.67,0,0,10.33,0,10.33,0,0,0,0,0,0,0,0,0,19.41,134.89,8.51,20.75,9.74,17.58,-0,86.75,100.2,49.05,26.7,133.46,0,224.82,19.24,130.13,26.7,5.6,6.32,75.88,15.24,0,25.24,43.71,81.75,0,3.24,10.47

8,01:45-02:00,0,0,0,31.5,6.67,0,0,10.5,0,10.5,0,0,0,0,0,0,0,0,0,19.41,134.89,8.51,20.75,9.74,17.58,-0,86.75,100.2,49.05,26.7,133.46,0,224.82,19.24,130.13,26.7,5.6,6.32,70.13,15.24,0,25.24,43.71,81.75,0,3.24,10.47

9,02:00-02:15,0,0,0,22.5,1.67,0,0,7.5,0,7.5,0,0,0,0,0,0,0,0,0,18.81,134.89,8.51,20.75,9.36,17.3,-0,78.59,100.2,49.05,26.7,133.46,0,224.82,19.24,130.13,26.7,5.13,6.32,70.13,15.24,0,25.24,43.71,81.75,0,3.24,10.23

10,02:15-02:30,0,0,0,22.5,1.67,0,0,7.5,0,7.5,0,0,0,0,0,0,0,0,0,18.21,134.89,8.51,20.75,9.36,17.3,-0,86.75,100.2,49.05,26.7,133.46,0,224.82,19.24,130.13,26.7,5.13,6.32,70.13,15.24,0,25.24,43.71,81.75,0,3.24,10.23

11,02:30-02:45,0,0,0,22.5,6,0,0,7.5,0,7.5,0,0,0,0,0,0,0,0,0,16.01,134.89,8.51,20.75,9.36,17.3,-0,86.75,100.2,49.05,26.7,133.46,0,224.82,19.24,130.13,26.7,5.13,6.33,70.13,15.24,0,25.24,43.71,81.75,0,3.24,10.23

12,02:45-03:00,0,0,0,22.5,6,0,0,7.5,0,7.5,0,0,0,0,0,0,0,0,0,15.61,134.89,8.51,20.75,9.36,17.3,-0,86.75,100.2,49.05,26.7,133.46,0,224.82,19.24,130.13,26.7,5.13,6.33,70.13,15.24,0,25.24,43.71,81.75,0,3.24,10.23

13,03:00-03:15,0,0,0,22.5,6,0,0,7.5,0,7.5,0,0,0,0,0,0,0,0,0,15.01,134.89,8.51,20.75,9.36,17.12,-0,86.75,100.2,0,26.7,133.46,0,224.82,19.24,130.13,26.7,4.66,6.33,115.38,15.24,0,25.24,43.71,81.75,0,3.24,10.23

14,03:15-03:30,0,0,0,22.5,6,0,0,7.5,0,7.5,0,0,0,0,0,0,0,0,0,14.41,134.89,8.51,20.75,9.36,17.12,-0,86.75,100.2,0,26.7,133.46,0,224.82,19.24,130.13,26.7,4.66,6.33,70.13,15.24,0,25.24,43.71,81.75,0,3.24,10.23

15,03:30-03:45,0,0,0,22.5,6,0,0,7.5,0,7.5,0,0,0,0,0,0,0,0,0,14.41,134.89,8.51,20.75,10.2,17.12,-0,86.75,100.2,0,26.7,133.46,0,224.82,19.24,130.13,26.7,4.66,6.33,70.13,15.24,0,25.24,43.71,81.75,0,3.24,10.23

16,03:45-04:00,0,0,0,22.5,6,0,0,7.5,0,7.5,0,0,0,0,0,0,0,0,0,14.41,134.89,8.51,20.75,10.2,17.12,-0,86.75,100.2,0,26.7,133.46,0,224.82,19.24,130.13,26.7,4.66,6.33,70.13,15.24,0,25.24,43.71,81.75,0,3.24,10.23

17,04:00-04:15,0,0,0,22.5,6,0,0,7.5,0,7.5,0,0,0,0,0,0,0,0,0,14.01,134.89,8.51,20.75,10.2,17.03,-0,86.75,100.2,0,26.7,133.46,0,224.82,19.24,130.13,26.7,4.19,6.33,115.38,15.24,0,25.24,43.71,81.75,0,3.24,10.08

18,04:15-04:30,0,0,0,22.5,6,0,0,7.5,0,7.5,0,0,0,0,0,0,0,0,0,14.21,134.89,8.51,20.75,10.2,17.03,-0,86.75,100.2,0,26.7,133.46,0,224.82,19.24,130.13,26.7,4.19,6.33,115.38,15.24,0,25.24,43.71,81.75,0,3.24,10.08

19,04:30-04:45,0,0,0,22.5,3.33,0,0,7.5,0,7.5,0,0,0,0,0,0,0,0,0,14.01,134.89,8.51,20.75,10.2,17.03,-0,86.75,100.2,0,26.7,133.46,0,224.82,19.24,130.13,26.7,4.19,6.33,115.38,15.24,0,25.24,43.71,81.75,0,3.24,10.4

20,04:45-05:00,0,0,0,22.5,3.33,0,0,7.5,0,7.5,0,0,0,0,0,0,0,0,0,13.61,134.89,8.51,20.75,10.2,17.03,-0,86.75,100.2,0,26.7,133.46,0,224.82,19.24,130.13,26.7,4.19,6.33,103.88,15.24,0,25.24,43.71,81.75,0,3.24,10.4

21,05:00-05:15,0,0,0,22.5,3.33,0,0,7.5,0,7.5,0,0,0,0,0,0,0,0,0,12.81,134.89,8.51,20.75,10.73,16.94,-0,68.85,100.2,0,26.7,133.46,0,224.82,19.24,130.13,26.7,4.19,6.33,90.96,15.24,0,24.73,43.71,81.75,0,3.24,10.4

22,05:15-05:30,0,0,0,22.5,3.33,0,0,7.5,0,7.5,0,0,0,0,0,0,0,0,0,12.21,134.89,8.51,20.75,10.73,16.94,-0,68.85,100.2,0,26.7,133.46,0,224.82,19.24,100.21,26.7,4.19,6.33,115.38,15.24,0,24.73,43.71,81.75,0,3.24,10.4

23,05:30-05:45,0,0.84,0,22.5,3.33,0,0,7.5,0,7.5,0,0,0,0,0,0,0,0,0,12.01,134.89,8.51,20.75,10.73,16.94,-0,68.85,100.2,0,26.7,133.46,0,224.82,19.24,100.21,26.7,4.19,4.92,115.38,15.24,0,25.24,43.71,81.75,0,3.24,10.4

24,05:45-06:00,0.86,1.49,0,22.5,3.33,0,0,7.5,0,7.5,0,0,0,1,0,0,0.28,1.38,0,11.81,134.89,8.51,20.75,10.73,16.94,-0,68.85,100.2,0,26.7,133.46,0,224.82,19.24,100.21,26.7,4.19,4.92,115.38,15.24,0,25.24,43.71,81.75,0,3.24,10.4

