Column1,Block,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/1831,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/6490,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/7459,NR/2025/25752/A/61095,GNARE/NR/2024/12/20/3668,WR/2025/27369/A/61663,WR/2025/27361/A/61548,NR/2025/25791/A/61497,NR/2025/25790/A/61498,WR/2025/27350/A/61229,NR/2025/25827/C,NR/2025/25792/A/61496,NR/2025/25794/A/61495,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/6216,NR/2025/25795/A/61494,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/7960,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2025/04/01/4420,NR/30092023/31122025/SH-07,Total
,,IEXL,IEXL,APPCPL,HPXL,IEXL,IEXL,IEXL,SECI_Trader,MANIKARAN,APPCPL,APPCPL,APPCPL,KEIPL,DIAPL,APPCPL,APPCPL,PXIL,IEXL,IEXL,APPCPL,PUNJAB,NDMC,DELHI,IVPL_Trader,BAWANA_GAS,
,,SIKKIM_STATE,HIMACHAL_STATE,DELHI_UT,CSEB_State,SIKKIM_STATE,HIMACHAL_STATE,NA,NA,DELHI_UT,DELHI_UT,NA,NA,DELHI_UT,HIMACHAL_STATE,NA,NA,UTTARPRADESH_STATE,SIKKIM_STATE,SIKKIM_STATE,NA,DELHI_UT,NA,HIMACHAL_STATE,DELHI_UT,DELHI_UT,
,,Kalez_Khola_HEP,RHPPL_HP,BYPL,MSPLTD,RCHEP,KGEPL_HP,TPSL_BKN2,APSEPL_FTG,BYPL,BYPL,JIPL,SKS_Raigarh,BYPL,GBHHPL,RKM_POWER,RKM_POWER,LAPL_UP,MEYONGCHU_HEP,LLHEP1234,TRN_ENERGY,BAWANA_GAS,JPL2,CHANJUII,BYPL,BAWANA_GAS,
,,DELHI_UT,DELHI_UT,KERALA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,CSEB_State,CSEB_State,DELHI_UT,DELHI_UT,CSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,MSEB_State,HARYANA_STATE,
,,BRPL,BRPL,KSEB,BRPL,BRPL,BRPL,MES_Delhi,TPDDL,CSEB_Beneficiary,CSEB_Beneficiary,NDMC,NDMC,CSEB_Beneficiary,DIAPL,NDMC,NDMC,BRPL,BRPL,BRPL,NDMC,PUNJAB,NDMC,TPDDL,TPC_MSEB,HARYANA,
,,East-North,North-North,North-West-South,West-North,East-North,North-North,North-North,North-North,North-West,North-West,East-North,West-North,North-West,North-North,West-North,West-North,North-North,East-North,East-North,West-North,North-North,West-North,North-North,North-West,North-North,
1,00:00-00:15,2.89,1.92,52.5,9.62,2.89,9.62,0,0,48.1,48.1,13.77,10.93,144.28,0,32.79,32.79,48.1,2.89,9.62,6.73,30.5,0,6.63,0,26.48,541.1500000000001

2,00:15-00:30,2.89,1.92,52.5,9.62,2.89,9.62,0,0,48.1,48.1,13.77,10.93,144.28,0,32.79,32.79,48.1,2.89,9.62,6.73,30.5,0,6.63,0,26.48,541.1500000000001

3,00:30-00:45,2.89,1.92,52.5,9.62,2.89,9.62,0,0,48.1,48.1,13.77,10.93,144.28,0,32.79,32.79,48.1,2.89,9.62,6.73,30.5,0,6.63,0,26.48,541.1500000000001

4,00:45-01:00,2.89,1.92,52.5,9.62,2.89,9.62,0,0,48.1,48.1,13.77,10.93,144.28,0,32.79,32.79,48.1,2.89,9.62,6.73,30.5,0,6.63,0,26.48,541.1500000000001

