Block,Time Block,KHSTPP-II,KHSTPP-I,SALAL,SEWA2,SINGRAULI,RIHAND3,TANDA2,TEHRI,SASAN,TALST2,SIMHST1,SINGRAULI_HYDRO,RSTPSU1TO6,TANAKPUR,SIMHST2,RSTPSU7,TALA,TelanganaSTPP,NNTPP,NTPL,PARBATI3,NLCIIST2,NLCTS2EXP,RAMPUR,RAPPC,RAPPB,RIHAND2,RIHAND1,CHAMERA3,CHAMERA2,BSIUL,BRBCL,CHAMERA1,MAPS,NLCEXP,NLCIIST1,NJPC,NAPP,KGSU3AND4,KUDGI,KOLDAM,KOTESHWR,KGSU1AND2,KKNPPU2,KISHANGANGA,KKNP,DHAULIGNGA,DADRT2,DULHASTI,FSTPP I & II,JHAJJAR,VALLURNTECL,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,UNCHAHAR1,UNCHAHAR4,UNCHAHAR3,URI2,UNCHAHAR2,URI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,140.62,43.71,12.27,10.11,134.1,59.67,0,0,394.2,0,0,0.74,0,5.53,0,0,0,0,0,0,0,0,0,0,24.97,0,114.01,88.32,0,0,6.26,16.68,0,0,0,0,0,19.79,0,0,0,8.52,0,0,0,0,0,411.97,15.82,17.47,354.89,0,0,0,0,0,0,0,0,0,0,0,0,0,17.25,0,21.84,20.02,35.08,23.32,0,0,0,0,0

2,00:15-00:30,140.62,43.71,12.27,10.11,134.1,59.67,0,0,394.2,0,0,0.74,0,5.53,0,0,0,0,0,0,0,0,0,0,24.97,0,114.01,88.32,0,0,6.26,16.64,0,0,0,0,0,19.79,0,0,0,8.52,0,0,0,0,0,449.41,15.82,17.47,297.29,0,0,0,0,0,0,0,0,0,0,0,0,0,17.25,0,21.84,20.02,35.08,23.32,0,0,0,0,0

3,00:30-00:45,140.62,43.71,12.27,10.11,134.1,59.67,0,0,394.2,0,0,0.74,0,5.53,0,0,0,0,0,0,0,0,0,0,24.97,0,114.01,88.32,0,0,6.26,14.85,0,0,0,0,0,19.79,0,0,0,8.52,0,0,0,0,0,504.13,15.82,17.47,251.21,0,0,0,0,0,0,0,0,0,0,0,0,0,20.02,0,25.34,19.37,40.69,23.32,0,0,0,0,0

4,00:45-01:00,140.62,43.71,12.27,10.11,134.1,59.67,0,0,394.2,0,0,0.74,0,5.53,0,0,0,0,0,0,0,0,0,0,24.97,0,114.01,88.32,0,0,6.26,13.78,0,0,0,0,0,19.79,0,0,0,8.52,0,0,0,0,0,479.17,15.82,17.47,251.21,0,0,0,0,0,0,0,0,0,0,0,0,0,20.02,0,25.34,19.37,40.69,23.32,0,0,0,0,0

5,01:00-01:15,140.62,43.71,12.27,10.11,134.1,59.67,0,0,394.2,0,0,0.74,0,5.53,0,0,0,0,0,0,0,0,0,0,24.97,0,114.01,88.32,0,0,6.26,13.14,0,0,0,0,0,19.79,0,0,0,8.52,0,0,0,0,0,463.81,15.82,17.47,251.21,0,0,0,0,0,0,0,0,0,0,0,0,0,20.02,0,25.34,19.37,40.69,23.32,0,0,0,0,0

