Block,Time,TEHRI,DADRI_CRF,AURY_GF,JHAJJAR,PARBATI3,DULHASTI,ANTA_CRF,URI,TANDA2,RAPPC,AURY_CRF,CHAMERA1,SINGRAULI,AURY_LF,KISHANGANGA,CHAMERA2,ANTA_RF,RAPPB,TANAKPUR,UNCHAHAR1,DHAULIGNGA,CHAMERA3,AURY_RF,DADRI_GF,NJPC,ANTA_LF,KOTESHWR,RIHAND1,ANTA_GF,SINGRAULI_HYDRO,KOLDAM,UNCHAHAR2,SALAL,UNCHAHAR4,RIHAND2,DADRT2,DADRI_RF,DADRI_LF,UNCHAHAR3,BSIUL,RIHAND3,SEWA2,RAMPUR,NAPP,URI2,TALA,SASAN,FSTPP I & II,KHSTPP-I,KHSTPP-II,BRBCL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,61.220744,0.000000,0.000000,405.711376,0.000000,56.832057,0.000000,38.170138,5.145920,65.137212,0.000000,27.313776,127.660118,0.000000,8.010361,46.579236,0.000000,0.000000,12.425751,17.217729,41.812106,33.451935,0.000000,0.000000,172.835941,0.000000,37.643498,93.212528,0.000000,1.164790,8.907521,41.382964,80.350906,0.000000,119.454552,661.154676,0.000000,0.000000,26.544476,6.262576,125.409128,0.000000,6.478393,46.915278,36.390055,9.176622,304.146675,13.349560,30.896164,120.673145,14.406000,0,0,0,0,0

2,00:15-00:30,61.220744,0.000000,0.000000,405.711376,0.000000,56.832057,0.000000,38.170138,5.145920,65.137212,0.000000,27.313776,127.660118,0.000000,8.010361,46.579236,0.000000,0.000000,12.425751,17.217729,41.812106,33.451935,0.000000,0.000000,172.835941,0.000000,37.643498,93.212528,0.000000,1.164790,8.907521,41.382964,80.350906,0.000000,119.454552,661.154676,0.000000,0.000000,26.544476,6.262576,125.409128,0.000000,6.478393,46.915278,36.390055,9.176622,320.353425,13.349560,30.896164,120.895152,14.406000,0,0,0,0,0

3,00:30-00:45,61.220744,0.000000,0.000000,405.711376,0.000000,56.832057,0.000000,38.170138,5.145920,65.137212,0.000000,26.934418,127.660118,0.000000,8.010361,46.579236,0.000000,0.000000,12.425751,17.217729,41.812106,33.451935,0.000000,0.000000,172.835941,0.000000,37.643498,93.212528,0.000000,1.164790,9.807271,41.382964,80.350906,0.000000,119.454552,661.154676,0.000000,0.000000,26.544476,6.262576,125.409128,0.000000,6.478393,46.915278,30.693366,9.176622,333.771173,13.349560,30.896164,120.895152,13.195896,0,0,0,0,0

4,00:45-01:00,61.220744,0.000000,0.000000,405.711376,0.000000,56.832057,0.000000,38.170138,5.145920,65.137212,0.000000,26.934418,127.660118,0.000000,8.010361,46.579236,0.000000,0.000000,12.425751,17.217729,41.812106,33.451935,0.000000,0.000000,172.835941,0.000000,37.643498,93.212528,0.000000,1.164790,9.807271,41.382964,80.350906,0.000000,119.454552,661.154676,0.000000,0.000000,26.544476,6.262576,125.409128,0.000000,6.478393,46.915278,30.693366,9.176622,335.155590,13.349560,30.896164,120.895152,12.840548,0,0,0,0,0

5,01:00-01:15,61.220744,0.000000,0.000000,405.711376,0.000000,56.832057,0.000000,38.170138,5.145920,65.137212,0.000000,26.934418,127.660118,0.000000,8.010361,46.579236,0.000000,0.000000,12.425751,17.217729,41.812106,33.451935,0.000000,0.000000,172.835941,0.000000,37.643498,93.212528,0.000000,1.164790,9.807271,41.382964,80.350906,0.000000,119.454552,661.154676,0.000000,0.000000,26.544476,6.262576,125.409128,0.000000,6.478393,46.915278,30.693366,9.176622,335.155590,13.349560,30.896164,120.895152,11.159848,0,0,0,0,0

