Block,Time,NR/22102023/11042047/L_NR_2021_16,WR/01102023/31032046/L_NR_2020_05,NR/01102023/19072037/LT-05,WR/01102023/16072048/L_NR_2022_08,NR/26072023/31072042/L_NR_2023_07,NR/01022024/29022024/SJVN010224NR1469,NR/01022024/29022024/SJVN010224NR1468,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_07,WR/01102023/01102023/L_NR_2020_06,NR/01102023/06022042/L_NR_2012_02,NR/20122023/29022024/IEX_LDC_231218_00502,NR/01102023/15082037/GNA_NR_2012_01,WR/01102023/01102023/L_NR_2022_09,NR/01102023/08032047/L_NR_2021_14,NR/20122023/29022024/IEX_LDC_231218_00501,NR/16022024/29022024/HP-36,NR/01102023/25122043/GNA_MEJA_DELHI,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/L_NR_2019_05,NR/01102023/25072045/L_NR_2021_15,NR/30092023/31122025/SH-07,NR/01022024/29022024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01022024/29022024/HPX-GTAMLDCRA-141223-05406,WR/01102023/30052048/L_NR_2022_10,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/22102023/11042047/L_NR_2021_17,NR/01102023/23072042/L_NR_2012_04,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/25122043/L_NR_2023_10,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_35,NR/01102023/22052037/LT-59,SR/14022024/29022024/SJVN140224NR1518,SR/01102023/07102043/L_NR_2018_61,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/01022024/29022024/79,NR/01102023/30042040/GNA_LT_36,NR/16022024/29022024/HP-38,NR/01012024/31032024/ ChanjuII,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05713,NR/16022024/29022024/HP-45,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01022024/29022024/HPX-GTAMLDCRA-090124-05718,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05714,NR/01022024/29022024/HPX-GTAMLDCRA-141223-05420,NR/16022024/29022024/HP-40
1,00:00-00:15,0,43.19,47.170000,10,0,0,0,0.000000,52.630000,14.39,167.190000,11.550000,53.910000,38.42,0,8.180000,38.140000,0.000000,14.4,0,0,30.800000,96.260000,4.810000,38.42,0,0,0,270.730000,0,0,4.000000,1.180000,1.390000,0.000000,0.850000,0,14,0,0,0.000000,0.000000,128.010000,1.840000,0,0,18.290000,16.310000,23.100000,6.740000,5.780000,6.740000,0.000000

2,00:15-00:30,0,45.28,47.170000,10,0,0,0,0.000000,52.630000,15.1,167.190000,11.550000,53.910000,38.75,0,8.180000,38.140000,0.000000,15.09,0,0,30.800000,96.260000,4.810000,38.75,0,0,0,270.730000,0,0,4.000000,1.180000,1.390000,0.000000,0.850000,0,13.45,0,0,0.000000,0.000000,128.010000,1.840000,0,0,18.290000,16.310000,23.100000,6.740000,5.780000,6.740000,0.000000

3,00:30-00:45,0,46.31,47.170000,10,0,0,0,0.000000,52.630000,15.44,167.190000,11.550000,53.910000,38.41,0,8.180000,38.140000,0.000000,15.43,0,0,30.800000,96.260000,4.810000,38.41,0,0,0,270.730000,0,0,4.000000,1.180000,1.390000,0.000000,0.850000,0,12.78,0,0,0.000000,0.000000,128.010000,1.840000,0,0,18.290000,16.310000,23.100000,6.740000,5.780000,6.740000,0.000000

4,00:45-01:00,0,46.86,33.020000,10.34,0,0,0,0.000000,33.690000,15.62,140.540000,11.550000,53.910000,38.75,0,8.180000,38.140000,0.000000,15.62,0,0,30.800000,96.260000,4.810000,38.75,0,0,0,270.730000,0,0,4.000000,1.180000,1.390000,0.000000,0.850000,0,12.23,0,0,0.000000,0.000000,128.010000,1.840000,0,0,18.290000,16.310000,23.100000,6.740000,5.780000,6.740000,0.000000

5,01:00-01:15,0,46.28,33.020000,10.66,0,0,0,0.000000,33.690000,15.42,111.660000,11.550000,53.910000,36.75,0,8.180000,38.140000,0.000000,15.43,0,0,30.800000,96.260000,4.810000,36.75,0,0,0,231.020000,0,0,4.000000,1.150000,1.390000,0.000000,0.850000,0,11.91,0,0,0.000000,0.000000,128.010000,1.840000,0,0,18.290000,16.310000,23.100000,6.740000,5.780000,6.740000,0.000000

