Column1,Time,NR/01102023/02122045/L_NR_2021_13,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/L_NR_2019_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/07/5932,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/11/1078,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/06/11/4898,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_35,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/06/01/7786,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/04/01/8456,NR/01102023/22052037/LT-59,NR/30092023/31122025/SH-07,GNA/NR/2025/06/11/3444,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/8510,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/04/01/8964,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/06/01/4973,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/5280,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,GNARE/NR/2024/12/20/3668,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,GNARE/SR/2025/01/13/4532,L_NR_2019_19
1,00:00-00:15,0,0,0,0,0,20.5,0,20.5,0,0,61.5,17,24.16,29.16,-0,0,170.07,9.84,38.65,14.15,100.67,0,0,133.35,48.32,115.91,0,87.16,10.57,10.13,29.5,96.63,32,15.7,28.25,7.31,130.74,48.32,10.78,11.9,48.32,24.16,62.81,24.16,11.91,0,0,0,0,0,0,43.02,0

2,00:15-00:30,0,0,0,0,0,20.67,0,20.67,0,0,61.99,17,24.16,29.16,-0,0,170.07,9.84,38.65,14.15,100.67,0,0,133.35,48.32,115.91,0,87.16,10.57,10.13,29.5,96.63,32,15.7,28.25,7.31,130.74,48.32,10.78,11.9,48.32,24.16,62.81,24.16,11.91,0,0,0,0,0,0,43.02,0

3,00:30-00:45,0,0,0,0,0,20.67,0,20.67,0,0,61.99,16.67,24.16,29.16,-0,0,170.07,9.84,38.65,14.15,100.67,0,0,133.35,48.32,115.91,0,87.16,10.57,10.13,29.5,96.63,32,15.7,29.27,7.31,130.74,48.32,10.78,11.9,48.32,24.16,62.81,24.16,11.91,0,0,0,0,0,0,43.02,0

4,00:45-01:00,0,0,0,0,0,20.67,0,20.67,0,0,61.99,16.33,24.16,29.16,-0,0,170.07,9.84,38.65,14.15,100.67,0,0,133.35,48.32,115.91,0,87.16,10.57,10.13,29.5,96.63,32,15.7,29.27,7.31,130.74,48.32,10.78,11.9,48.32,24.16,62.81,24.16,11.91,0,0,0,0,0,0,43.02,0

5,01:00-01:15,0,0,0,0,0,20.67,0,20.67,0,0,61.99,16,24.16,29.16,-0,0,170.07,9.61,38.65,13.88,100.67,0,0,133.35,48.32,115.91,0,87.16,10.57,9.74,29.5,96.63,32,15.7,29.27,7.31,130.74,48.32,10.4,11.9,48.32,24.16,62.81,24.16,11.91,0,0,0,0,0,0,43.02,0

6,01:15-01:30,0,0,0,0,0,20.83,0,20.83,0,0,62.51,16,24.16,29.16,-0,0,170.07,9.61,38.65,13.88,100.67,0,0,133.35,48.32,115.91,0,87.16,10.57,9.74,29.5,96.63,32,15.7,29.27,7.31,130.74,48.32,10.4,11.9,48.32,24.16,62.81,24.16,11.91,0,0,0,0,0,0,42.82,0

7,01:30-01:45,0,0,0,0,0,21,0,21,0,0,63,15.67,24.16,29.16,-0,0,170.07,9.61,38.65,13.88,100.67,0,0,133.35,48.32,115.91,0,87.16,10.57,9.74,29.5,96.63,32,15.7,29.27,5.85,130.74,48.32,10.4,11.9,48.32,24.16,62.81,24.16,11.91,0,0,0,0,0,0,42.62,0

8,01:45-02:00,0,0,0,0,0,21.17,0,21.17,0,0,63.49,15.67,24.16,29.16,-0,0,170.07,9.61,38.65,13.88,100.67,0,0,133.35,48.32,115.91,0,87.16,10.57,9.74,29.5,96.63,32,15.7,29.27,5.85,130.74,48.32,10.4,11.9,48.32,24.16,62.81,24.16,11.91,0,0,0,0,0,0,42.42,0

9,02:00-02:15,0,0,0,0,0,16.66,0,16.67,0,0,50,13,24.16,29.16,-0,193.26,170.07,9.37,38.65,13.68,100.67,0,0,133.35,48.32,115.91,0,87.16,10.57,9.35,29.5,96.63,29.5,15.7,29.27,5.85,130.74,48.32,10.02,11.9,48.32,24.16,62.81,24.16,11.91,0,0,0,0,0,0,42.22,0

10,02:15-02:30,0,0,0,0,0,16.84,0,16.83,0,0,50.5,12.33,24.16,29.16,-0,193.26,170.07,9.37,38.65,13.68,100.67,0,0,133.35,48.32,115.91,0,87.16,10.57,9.35,29.5,96.63,29.5,15.7,29.27,5.85,130.74,48.32,10.02,11.9,48.32,24.16,62.81,24.16,11.91,0,0,0,0,0,0,42.02,0

11,02:30-02:45,0,0,0,0,0,17,0,17,0,0,51,12.33,24.16,29.16,-0,193.26,170.07,7.5,38.65,13.68,100.67,0,0,133.35,48.32,115.91,0,87.16,10.57,9.35,29.5,96.63,29.5,15.7,29.27,5.85,130.74,48.32,10.02,11.9,48.32,24.16,62.81,24.16,11.91,0,0,0,0,0,0,41.82,0

