Block,Time,DADRI_RF,RIHAND1,CHAMERA1,SINGRAULI_HYDRO,RIHAND3,TEHRI,UNCHAHAR2,ANTA_LF,UNCHAHAR3,URI2,RAPPB,CHAMERA3,AURY_GF,RIHAND2,SEWA2,SALAL,TANDA2,RAPPC,ANTA_CRF,DHAULIGNGA,ANTA_RF,UNCHAHAR4,SINGRAULI,PARBATI3,UNCHAHAR1,BSIUL,CHAMERA2,TANAKPUR,KOTESHWR,KISHANGANGA,DADRI_GF,DADRT2,ANTA_GF,DADRI_LF,AURY_CRF,DADRI_CRF,JHAJJAR,DULHASTI,KOLDAM,AURY_LF,URI,RAMPUR,AURY_RF,NAPP,NJPC,KHSTPP-I,KHSTPP-II,TALA,BRBCL,FSTPP I & II,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,88.605200,0.000000,0.700116,119.102363,0.000000,16.651578,0.000000,10.594100,16.064970,0.000000,0.000000,0.000000,56.880686,0.000000,6.714733,0.000000,52.431260,0.000000,0.000000,0.000000,0.000000,120.953321,0.000000,6.741700,0.000000,0.000000,0.246746,8.546549,0.000000,0.000000,348.642200,0.000000,0.000000,0.000000,0.000000,339.974300,0.000000,0.000000,0.000000,34.024397,0.000000,0.000000,0.000000,0.000000,14.446500,76.103929,0.000000,14.446500,4.815500,403.317387,0,0,0,0,0

2,00:15-00:30,0.000000,88.605200,0.000000,0.700116,119.102363,0.000000,16.372700,0.000000,10.594100,16.064970,0.000000,0.000000,0.000000,56.880686,0.000000,1.342947,0.000000,52.431260,0.000000,0.000000,0.000000,0.000000,120.953321,0.000000,6.741700,0.000000,0.000000,0.246746,8.546549,0.000000,0.000000,348.642200,0.000000,0.000000,0.000000,0.000000,339.974300,0.000000,0.000000,0.000000,34.024397,0.000000,0.000000,0.000000,0.000000,14.446500,60.675300,0.000000,14.446500,4.815500,403.317387,0,0,0,0,0

3,00:30-00:45,0.000000,88.605200,0.000000,0.700116,119.102363,0.000000,16.372700,0.000000,10.594100,16.064970,0.000000,0.000000,0.000000,56.880686,0.000000,1.342947,0.000000,52.431260,0.000000,0.000000,0.000000,0.000000,120.953321,0.000000,6.741700,0.000000,0.000000,0.246746,8.546549,0.000000,0.000000,348.642200,0.000000,0.000000,0.000000,0.000000,339.974300,0.000000,0.000000,0.000000,2.658156,0.000000,0.000000,0.000000,0.000000,14.446500,60.675300,0.000000,14.446500,4.815500,403.317387,0,0,0,0,0

4,00:45-01:00,0.000000,88.605200,0.000000,0.700116,119.102363,0.000000,16.372700,0.000000,10.594100,16.064970,0.000000,0.000000,0.000000,56.880686,0.000000,1.342947,0.000000,52.431260,0.000000,0.000000,0.000000,0.000000,120.953321,0.000000,6.741700,0.000000,0.000000,0.246746,8.546549,0.000000,0.000000,348.642200,0.000000,0.000000,0.000000,0.000000,339.974300,0.000000,0.000000,0.000000,2.658156,0.000000,0.000000,0.000000,0.000000,14.446500,60.675300,0.000000,14.446500,4.815500,403.317387,0,0,0,0,0

5,01:00-01:15,0.000000,56.077075,0.000000,0.700116,119.102363,0.000000,16.372700,0.000000,10.594100,16.064970,0.000000,0.000000,0.000000,48.266511,0.000000,1.342947,0.000000,52.431260,0.000000,0.000000,0.000000,0.000000,108.612062,0.000000,6.741700,0.000000,0.000000,0.370119,8.546549,0.000000,0.000000,348.642200,0.000000,0.000000,0.000000,0.000000,339.974300,0.000000,0.000000,0.000000,2.658156,0.000000,0.000000,0.000000,0.000000,14.446500,60.675300,0.000000,14.446500,4.815500,403.317387,0,0,0,0,0

6,01:15-01:30,0.000000,56.077075,0.000000,0.700116,119.102363,0.000000,16.372700,0.000000,10.594100,16.064970,0.000000,0.000000,0.000000,43.455842,0.000000,1.342947,0.000000,52.431260,0.000000,0.000000,0.000000,0.000000,108.612062,0.000000,6.741700,0.000000,0.000000,0.370119,8.546549,0.000000,0.000000,348.642200,0.000000,0.000000,0.000000,0.000000,339.974300,0.000000,0.000000,0.000000,2.658156,0.000000,0.000000,0.000000,0.000000,14.446500,60.675300,0.000000,14.446500,4.815500,403.317387,0,0,0,0,0

7,01:30-01:45,0.000000,56.077075,0.000000,0.700116,119.102363,0.000000,16.372700,0.000000,10.594100,16.064970,0.000000,0.000000,0.000000,43.455842,0.000000,1.342947,0.000000,52.431260,0.000000,0.000000,0.000000,0.000000,108.612062,0.000000,6.741700,0.000000,0.000000,0.370119,8.546549,0.000000,0.000000,348.642200,0.000000,0.000000,0.000000,0.000000,339.974300,0.000000,0.000000,0.000000,2.658156,0.000000,0.000000,0.000000,0.000000,14.446500,60.675300,0.000000,14.446500,4.815500,403.317387,0,0,0,0,0

8,01:45-02:00,0.000000,56.077075,0.000000,0.700116,119.102363,0.000000,16.372700,0.000000,10.594100,16.064970,0.000000,0.000000,0.000000,43.455842,0.000000,1.342947,0.000000,52.431260,0.000000,0.000000,0.000000,0.000000,108.612062,0.000000,6.741700,0.000000,0.000000,0.370119,8.546549,0.000000,0.000000,348.642200,0.000000,0.000000,0.000000,0.000000,339.974300,0.000000,0.000000,0.000000,2.658156,0.000000,0.000000,0.000000,0.000000,14.446500,60.675300,0.000000,13.679700,4.815500,403.317387,0,0,0,0,0

9,02:00-02:15,0.000000,56.077075,0.000000,0.700116,119.102363,0.000000,16.372700,0.000000,10.594100,6.477811,0.000000,0.000000,0.000000,43.455842,0.000000,1.342947,0.000000,52.431260,0.000000,0.000000,0.000000,0.000000,108.612062,0.000000,6.741700,0.000000,0.000000,0.370119,8.546549,0.000000,0.000000,348.642200,0.000000,0.000000,0.000000,0.000000,339.974300,0.000000,0.000000,0.000000,2.658156,0.000000,0.000000,0.000000,0.000000,14.446500,60.675300,0.000000,12.620100,4.815500,403.317387,0,0,0,0,0

10,02:15-02:30,0.000000,56.077075,0.000000,0.700116,119.102363,0.000000,16.372700,0.000000,10.594100,4.534467,0.000000,0.000000,0.000000,43.455842,0.000000,1.342947,0.000000,52.431260,0.000000,0.000000,0.000000,0.000000,108.612062,0.000000,6.741700,0.000000,0.000000,0.370119,8.546549,0.000000,0.000000,348.642200,0.000000,0.000000,0.000000,0.000000,339.974300,0.000000,0.000000,0.000000,2.658156,0.000000,0.000000,0.000000,0.000000,14.446500,60.675300,0.000000,14.124800,4.815500,403.317387,0,0,0,0,0

11,02:30-02:45,0.000000,56.077075,0.000000,0.700116,119.102363,0.000000,16.372700,0.000000,10.594100,4.534467,0.000000,0.000000,0.000000,43.455842,0.000000,1.342947,0.000000,52.431260,0.000000,0.000000,0.000000,0.000000,108.612062,0.000000,6.741700,0.000000,0.000000,0.370119,8.546549,0.000000,0.000000,348.642200,0.000000,0.000000,0.000000,0.000000,339.974300,0.000000,0.000000,0.000000,2.658156,0.000000,0.000000,0.000000,0.000000,14.446500,60.675300,0.000000,13.999600,4.815500,403.317387,0,0,0,0,0

