Column1,Block,GNA/NR/2025/08/01/5126,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/5784,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6187,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/3698,NR/2025/33075/C,NR/2025/32857/A/94879,GNARE/NR/2024/12/20/3668,NR/2025/32534/A/94941,NR/2025/32534/A/94943,NR/2025/32599/A/94565,NR/2025/32652/A/94893,NR/2025/32532/A/94935,NR/2025/32535/A/94945,NR/2025/32653/A/94891,NR/2025/32532/A/94936,NR/2025/32535/A/94946,NR/2025/32455/A/95040,NR/2025/33056/C,NR/2025/33027/C,NR/2025/33057/C,NR/2025/33029/C,NR/2025/33030/C,NR/2025/32262/A/94517,NR/2025/32559/A/94869,NR/2025/33066/C,NR/2025/33050/C,NR/2025/33045/C,NR/2025/33068/C,NR/2025/29440/A/94472,NR/2025/32004/A/94874,NR/2025/33069/C,NR/2025/32610/A/94868,NR/2025/29992/A/94527,NR/2025/33054/C,NR/2025/32375/A/94983,NR/2025/31041/A/94922,NR/2025/31421/A/94986,NR/2025/31042/A/94923,NR/2025/32598/A/94676,NR/2025/32397/A/94487,NR/2025/32554/A/94910,NR/2025/32702/A/94552,NR/2025/32556/A/94870,NR/2025/31047/A/94925,NR/2025/31046/A/94924,Total
,,MANIKARAN,DELHI,PowerPulse,PUNJAB,MANIKARAN,NDMC,BAWANA_GAS,NVVNL,MANIKARAN,APPCPL,NDMC,APPCPL,MANIKARAN,NDMC,MES_Delhi,GMRETL,SECI_Trader,OIDLWM2_AEROCITY,OIDLWM2_AEROCITY,BRPL,GMRETL,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,GMRETL,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,MANIKARAN,APPCPL,PowerPulse,APPCPL,PowerPulse,PowerPulse,TPTCL,APPCPL,NVVNL,APPCPL,BYPL,NVVNL,ITCLH,APPCPL,NVVNL,APPCPL,BYPL,APPCPL,NVVNL,PowerPulse,NVVNL,PowerPulse,PTC,IEXL,PowerPulse,DIAPL,APPCPL,PowerPulse,PowerPulse,
,,MP_State,HIMACHAL_STATE,MSEB_State,DELHI_UT,NA,NA,DELHI_UT,NA,MSEB_State,GOA_State,NA,GOA_State,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,MSEB_State,NA,NA,MSEB_State,KERALA_State,NA,ANDHRA_PRADESH_STATE,MSEB_State,MP_State,NA,KERALA_State,NA,MP_State,NA,NA,NA,GoHP_NJPC_STATE,MSEB_State,NA,HIMACHAL_STATE,NA,NA,NA,
,,BLAPOWER_MP,CHANJUII,Vidarbha_Industry_MH,BAWANA_GAS,DBPL,JIPL,BAWANA_GAS,JHABUA_IPP,AEML,GOA_Beneficiary,SKS_Raigarh,GOA_Beneficiary,MBMP,TRN_ENERGY,NTPCREL_PSS2_KPS2_S,JGCPL_BKN2,APSEPL_FTG,TCSPL_BKN2,TESPL_BKN2,TS1PL_BKN,JGCPL_BKN2,TCSPL_BKN2,TESPL_BKN2,JGCPL_BKN2,TESPL_BKN2,TCSPL_BKN2,MBMP,JPL2,APL_Raipur_TPP,RKM_POWER,MAHAN_ENERGEN,APL_Raigarh_TPP,TPC_MSEB,RKM_POWER,Kameng,AEML,KSEB,JPNIGRIE_JNSTPP,ITCWIND,AEML,JP_BINA,RKM_POWER,KSEB,RKM_POWER,JP_BINA,MAHAN_ENERGEN,JPNIGRIE_JNSTPP,MAHAN_ENERGEN,GoHP_NJPC,A_A_Energy_MH_Bio,APL_Raipur_TPP,GBHHPL,JPL2,APL_Raigarh_TPP,APL_Raigarh_TPP,
,,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,TPDDL,BRPL,PUNJAB,BRPL,NDMC,HARYANA,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,NDMC,MES_Delhi,MAX_HPTL,TPDDL,OIDLWM2_AEROCITY,OIDLWM2_AEROCITY,BRPL,BLKMH,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,DTCP,ABLWM1_AEROCITY,OIDLWM3_AEROCITY,BRPL,NDMC,BRPL,NDMC,TPDDL,TPDDL,BYPL,NDMC,TPDDL,BYPL,BYPL,TPDDL,ITCLH,BYPL,TPDDL,NDMC,BYPL,NDMC,TPDDL,TPDDL,TPDDL,TPDDL,BRPL,MES_Delhi,BRPL,DIAPL,NDMC,TPDDL,TPDDL,
,,West-North,North-North,West-North,North-North,West-North,East-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,North East-East-North,West-North,South-West-North,West-North,South-West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,North-North,West-North,West-North,West-North,
1,00:00-00:15,20.4,11.58,81.58,30,40.79,28.86,15.56,20.4,20.71,19.2,14.54,15.21,33.59,14.54,0,0,0,0,0,0,0,0,0,0,0,0,47.99,0,0,0,0,0,53.99,26.17,191.96,0,0,0,0.86,105.58,0,26.17,44.15,0,47.99,95.98,47.99,0,81.58,8.64,163.17,12.48,26.17,0,95.98,1443.8100000000002

2,00:15-00:30,20.4,11.58,81.58,30,40.79,28.86,15.56,20.4,20.71,19.2,14.54,15.21,33.59,14.54,0,0,0,0,0,0,0,0,0,0,0,0,47.99,0,0,0,0,0,53.99,26.17,191.96,0,0,0,0.86,105.58,0,26.17,44.15,0,47.99,95.98,47.99,0,81.58,8.64,163.17,12.48,26.17,0,95.98,1443.8100000000002

3,00:30-00:45,20.4,11.58,81.58,30,40.79,28.86,15.56,20.4,20.71,19.2,14.54,15.21,33.59,14.54,0,0,0,0,0,0,0,0,0,0,0,0,47.99,0,0,0,0,0,53.99,26.17,191.96,0,0,0,0.86,105.58,0,26.17,44.15,0,47.99,95.98,47.99,0,81.58,8.64,163.17,12.48,26.17,0,95.98,1443.8100000000002

4,00:45-01:00,20.4,11.58,81.58,30,40.79,28.86,15.56,20.4,20.71,19.2,14.54,15.21,33.59,14.54,0,0,0,0,0,0,0,0,0,0,0,0,47.99,0,0,0,0,0,53.99,26.17,191.96,0,0,0,0.86,105.58,0,26.17,44.15,0,47.99,95.98,47.99,0,81.58,8.64,163.17,12.48,26.17,0,95.98,1443.8100000000002

5,01:00-01:15,20.4,11.58,81.58,30,40.79,28.86,26.58,20.4,20.71,19.2,14.54,15.21,33.59,14.54,0,0,0,0,0,0,0,0,0,0,0,0,47.99,0,0,0,0,0,53.99,26.17,191.96,0,0,0,0.62,105.58,0,26.17,44.15,0,47.99,95.98,47.99,0,81.58,8.64,163.17,12.48,26.17,0,95.98,1454.5900000000001

6,01:15-01:30,20.4,11.58,81.58,30,40.79,28.86,26.58,20.4,20.71,19.2,14.54,15.21,33.59,14.54,0,0,0,0,0,0,0,0,0,0,0,0,47.99,0,0,0,0,0,53.99,26.17,191.96,0,0,0,0.62,105.58,0,26.17,44.15,0,47.99,95.98,47.99,0,81.58,8.64,163.17,12.48,26.17,0,95.98,1454.5900000000001

7,01:30-01:45,20.4,11.58,81.58,30,40.79,28.86,26.58,20.4,20.71,19.2,14.54,15.21,33.59,14.54,0,0,0,0,0,0,0,0,0,0,0,0,47.99,0,0,0,0,0,53.99,26.17,191.96,0,0,0,0.62,105.58,0,26.17,44.15,0,47.99,95.98,47.99,0,81.58,8.64,163.17,12.48,26.17,0,95.98,1454.5900000000001

8,01:45-02:00,20.4,11.58,81.58,30,40.79,28.86,26.58,20.4,20.71,19.2,14.54,15.21,33.59,14.54,0,0,0,0,0,0,0,0,0,0,0,0,47.99,0,0,0,0,0,53.99,26.17,191.96,0,0,0,0.62,105.58,0,26.17,44.15,0,47.99,95.98,47.99,0,81.58,8.64,163.17,12.48,26.17,0,95.98,1454.5900000000001

9,02:00-02:15,20.4,14.33,81.58,30,40.79,28.86,26.58,20.4,20.71,19.2,14.54,15.21,81.58,14.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.99,26.17,191.96,0,0,0,0.62,105.58,0,26.17,44.15,0,47.99,95.98,47.99,0,81.58,8.64,163.17,12.48,26.17,0,95.98,1457.3400000000001

10,02:15-02:30,20.4,14.33,81.58,30,40.79,28.86,26.58,20.4,20.71,19.2,14.54,15.21,81.58,14.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.99,26.17,191.96,0,0,0,0.62,105.58,0,26.17,44.15,0,47.99,95.98,47.99,0,81.58,8.64,163.17,12.48,26.17,0,95.98,1457.3400000000001

11,02:30-02:45,20.4,14.33,81.58,30,40.79,28.86,26.58,20.4,20.71,19.2,14.54,15.21,81.58,14.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.99,26.17,191.96,0,0,0,0.62,105.58,0,26.17,44.15,0,47.99,95.98,47.99,0,81.58,8.64,163.17,12.48,26.17,0,95.98,1457.3400000000001

12,02:45-03:00,20.4,14.33,81.58,30,40.79,28.86,26.58,20.4,20.71,19.2,14.54,15.21,81.58,14.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.99,26.17,191.96,0,0,0,0.62,105.58,0,26.17,44.15,0,47.99,95.98,47.99,0,81.58,8.64,163.17,12.48,26.17,0,95.98,1457.3400000000001

13,03:00-03:15,20.4,14.33,81.58,30,40.79,28.86,26.58,20.4,20.71,19.2,14.54,15.21,81.58,14.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.99,26.17,191.96,0,0,0,0.53,76.42,0,26.17,44.15,0,47.99,95.98,47.99,0,81.58,8.64,163.17,12.48,26.17,0,95.98,1428.09

14,03:15-03:30,20.4,14.33,81.58,30,40.79,28.86,26.58,20.4,20.71,19.2,14.54,15.21,81.58,14.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.99,26.17,191.96,0,0,0,0.53,76.42,0,26.17,44.15,0,47.99,95.98,47.99,0,81.58,8.64,163.17,12.48,26.17,0,95.98,1428.09

15,03:30-03:45,20.4,14.33,81.58,30,40.79,28.86,26.58,20.4,20.71,19.2,14.54,15.21,81.58,14.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.99,26.17,191.96,0,0,0,0.53,76.42,0,26.17,44.15,0,47.99,95.98,47.99,0,81.58,8.64,163.17,12.48,26.17,0,95.98,1428.09

16,03:45-04:00,20.4,14.33,81.58,30,40.79,28.86,26.58,20.4,20.71,19.2,14.54,15.21,81.58,14.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.99,26.17,191.96,0,0,0,0.53,76.42,0,26.17,44.15,0,47.99,95.98,47.99,0,81.58,8.64,163.17,12.48,26.17,0,95.98,1428.09

17,04:00-04:15,20.4,14.33,81.58,30,40.79,28.86,26.58,20.4,20.71,19.2,14.54,15.21,81.58,14.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.17,191.96,0,0,0,0.53,76.42,0,26.17,44.15,0,47.99,0,47.99,0,81.58,8.64,163.17,12.48,26.17,0,0,1182.1399999999999

18,04:15-04:30,20.4,14.33,81.58,30,40.79,28.86,26.58,20.4,20.71,19.2,14.54,15.21,81.58,14.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.17,191.96,0,0,0,0.53,76.42,0,26.17,44.15,0,47.99,0,47.99,0,81.58,8.64,163.17,12.48,26.17,0,0,1182.1399999999999

19,04:30-04:45,20.4,14.33,81.58,30,40.79,28.86,26.58,20.4,20.71,19.2,14.54,15.21,81.58,14.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.17,191.96,0,0,0,0.53,76.42,0,26.17,44.15,0,47.99,0,47.99,0,81.58,8.64,163.17,12.48,26.17,0,0,1182.1399999999999

20,04:45-05:00,20.4,14.33,81.58,30,40.79,28.86,26.58,20.4,20.71,19.2,14.54,15.21,81.58,14.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.17,191.96,0,0,0,0.53,76.42,0,26.17,44.15,0,47.99,0,47.99,0,81.58,8.64,163.17,12.48,26.17,0,0,1182.1399999999999

21,05:00-05:15,20.4,14.33,81.58,30,40.79,28.86,26.58,20.4,20.71,19.2,14.54,15.21,81.58,14.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.17,191.96,0,0,0,0.53,76.42,0,26.17,44.15,0,47.99,0,47.99,0,81.58,8.64,163.17,12.48,26.17,0,0,1182.1399999999999

22,05:15-05:30,20.4,14.33,81.58,30,40.79,28.86,26.58,20.4,20.71,19.2,14.54,15.21,81.58,14.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.17,191.96,0,0,0,0.53,76.42,0,26.17,44.15,0,47.99,0,47.99,0,81.58,8.64,163.17,12.48,26.17,0,0,1182.1399999999999

23,05:30-05:45,20.4,14.33,81.58,30,40.79,28.86,26.58,20.4,20.71,19.2,14.54,15.21,81.58,14.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.17,191.96,0,0,0,0.53,76.42,0,26.17,44.15,0,47.99,0,47.99,0,81.58,8.64,163.17,11.52,26.17,0,0,1181.1799999999998

24,05:45-06:00,20.4,14.33,81.58,30,40.79,28.86,26.58,20.4,20.71,19.2,14.54,15.21,81.58,14.54,0,0,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.17,191.96,0,0,0,0.53,76.42,0,26.17,44.15,0,47.99,0,47.99,0,81.58,8.64,163.17,11.52,26.17,0,0,1181.4099999999999

25,06:00-06:15,20.4,14.33,81.58,30,40.79,28.86,23.61,20.4,20.71,19.2,14.54,15.21,81.58,14.54,0,0,1.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,26.17,191.96,0,0,0,0.82,76.42,0,26.17,44.15,0,47.99,0,47.99,0,81.58,0,163.17,11.52,26.17,0,0,1172.66

26,06:15-06:30,20.4,14.33,81.58,30,40.79,28.86,23.61,20.4,20.71,19.2,14.54,15.21,81.58,14.54,0,0,3.51,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,26.17,191.96,0,0,0,0.82,76.42,0,26.17,44.15,0,47.99,0,47.99,0,81.58,0,163.17,11.52,26.17,0,0,1178.3700000000001

27,06:30-06:45,20.4,14.33,81.58,30,40.79,28.86,23.61,20.4,20.71,19.2,14.54,15.21,81.58,14.54,0.84,0,5.42,0,0.16,10,0,0,0.08,0,0.32,0,0,0,0,0,0,0,0,26.17,191.96,0,0,0,0.82,76.42,0,26.17,44.15,0,47.99,0,47.99,0,81.58,0,163.17,11.52,26.17,0,0,1186.68

