Block,Time,TALA,RAMPUR,KUDGI,KHSTPP-I,FSTPP I & II,AURY_CRF,BRBCL,KHSTPP-II,SASAN,PARBATI3,RAPPB,NAPP,ANTA_RF,KOLDAM,RIHAND1,TEHRI,ANTA_CRF,UNCHAHAR2,JHAJJAR,NJPC,AURY_GF,KOTESHWR,UNCHAHAR3,DULHASTI,RIHAND2,TANAKPUR,UNCHAHAR4,URI,DADRI_LF,CHAMERA3,SINGRAULI_HYDRO,SINGRAULI,AURY_LF,DADRI_RF,AURY_RF,RAPPC,BSIUL,URI2,SALAL,ANTA_GF,ANTA_LF,RIHAND3,DHAULIGNGA,CHAMERA2,DADRI_CRF,DADRT2,SEWA2,DADRI_GF,UNCHAHAR1,KISHANGANGA,CHAMERA1,TANDA2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,56.91,11.574000,3.858000,0.000000,19.290037,75.394290,336.586388,0.000000,0.000000,0.000000,0.000000,0.000000,88.734000,0.000000,0.000000,11.574000,115.740000,0.000000,0.000000,8.558973,0.000000,15.893853,113.931562,11.499027,0.000000,47.916360,0.000000,0.000000,0.553527,132.015938,0.000000,0.000000,0.000000,49.937180,0.000000,10.379563,12.328239,0.000000,0.000000,119.275495,0.000000,0.000000,0.000000,173.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,55.94,11.574000,3.858000,0.000000,19.290037,75.394290,336.586388,0.000000,0.000000,0.000000,0.000000,0.000000,88.734000,0.000000,0.000000,11.574000,115.740000,0.000000,0.000000,8.558973,0.000000,15.893853,113.931562,11.499027,0.000000,47.916360,0.000000,0.000000,0.553527,132.015938,0.000000,0.000000,0.000000,49.937180,0.000000,23.872995,12.328239,0.000000,0.000000,119.275495,0.000000,0.000000,0.000000,173.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,54.01,11.574000,3.858000,0.000000,17.941711,63.136182,336.586388,0.000000,0.000000,0.000000,0.000000,0.000000,88.734000,0.000000,0.000000,11.574000,115.740000,0.000000,0.000000,8.558973,0.000000,15.893853,113.931562,11.499027,0.000000,6.388848,0.000000,0.000000,0.553527,132.015938,0.000000,0.000000,0.000000,49.937180,0.000000,23.872995,12.328239,0.000000,0.000000,119.275495,0.000000,0.000000,0.000000,173.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,53.05,11.574000,3.858000,0.000000,18.747580,62.876623,336.586388,0.000000,0.000000,0.000000,0.000000,0.000000,88.734000,0.000000,0.000000,11.574000,115.740000,0.000000,0.000000,8.558973,0.000000,15.893853,113.931562,11.499027,0.000000,6.388848,0.000000,0.000000,0.553527,132.015938,0.000000,0.000000,0.000000,49.937180,0.000000,23.872995,21.294231,0.000000,0.000000,119.275495,0.000000,0.000000,0.000000,173.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,53.05,11.574000,3.858000,0.000000,18.541045,62.671667,336.586388,0.000000,0.000000,0.000000,0.000000,0.000000,88.734000,0.000000,0.000000,11.574000,115.740000,0.000000,0.000000,8.558973,0.000000,15.893853,113.931562,11.499027,0.000000,6.388848,0.000000,0.000000,0.553527,132.015938,0.000000,0.000000,0.000000,49.937180,0.000000,23.872995,76.558364,0.000000,0.000000,119.275495,0.000000,0.000000,0.000000,173.610000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0,0,0

