Block,Time,NR/16022024/29022024/HP-38,NR/20122023/29022024/IEX_LDC_231218_00502,NR/01102023/23072042/L_NR_2012_04,NR/16022024/29022024/HP-45,NR/01102023/31052040/LT-31,NR/16022024/29022024/HP-36,NR/01102023/06022042/L_NR_2012_07,NR/01102023/22052037/LT-59,NR/01102023/25122043/GNA_MEJA_DELHI,NR/20122023/29022024/IEX_LDC_231218_00501,NR/01022024/29022024/79,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01022024/29022024/HPX-GTAMLDCRA-090124-05713,NR/01012024/31032024/ ChanjuII,NR/01022024/29022024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/06022042/L_NR_2012_02,NR/16022024/29022024/HP-40,NR/01102023/30042040/GNA_LT_35,NR/01022024/29022024/HPX-GTAMLDCRA-141223-05420,NR/01022024/29022024/HPX-GTAMLDCRA-141223-05406,NR/30092023/31122025/SH-07,NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,NR/19022024/29022024/NVVN/OA/16907,NR/01102023/30042040/GNA_LT_36,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05714,NR/01102023/15082037/GNA_NR_2012_01,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,NR/01022024/29022024/HPX-GTAMLDCRA-090124-05718,NR/01022024/29022024/SJVN010224NR1469,NR/01022024/29022024/SJVN010224NR1468,WR/01102023/01102023/L_NR_2022_09,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/L_NR_2019_05,SR/01102023/07102043/L_NR_2018_61,WR/01102023/16072048/L_NR_2022_08,WR/01102023/31032046/L_NR_2020_05,NR/01102023/14082046/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_16,SR/14022024/29022024/SJVN140224NR1518,WR/01102023/01102023/L_NR_2020_06,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,NR/01102023/02012046/L_NR_2021_17,L_NR_2019_19,NR/01102023/02122045/L_NR_2021_13
1,00:00-00:15,128.130000,11.560000,270.980000,16.320000,0.000000,38.170000,52.670000,0.000000,0.000000,8.190000,0.000000,24.090000,18.310000,1.930000,96.350000,174.090000,0.000000,0.000000,6.740000,4.820000,30.830000,1.110000,47.210000,19.270000,0.000000,5.780000,54.920000,26.010000,0.950000,6.740000,0,0,24.67,0,0,10.16,12.09,48.28,0,0,0,0,0,0,16.09,0,0,0,16.09,0,24.67,0,0,0

2,00:15-00:30,128.130000,11.560000,270.980000,16.320000,0.000000,38.170000,52.670000,0.000000,0.000000,8.190000,0.000000,25.050000,18.310000,1.930000,96.350000,200.760000,0.000000,0.000000,6.740000,4.820000,30.830000,1.110000,47.210000,19.270000,0.000000,5.780000,54.920000,26.010000,0.950000,6.740000,0,0,24,0,0,9.72,11.6,47.81,0,0,0,0,0,0,15.92,0,0,0,15.94,0,24,0,0,0

3,00:30-00:45,128.130000,11.560000,270.980000,16.320000,0.000000,38.170000,52.670000,0.000000,0.000000,8.190000,0.000000,25.050000,18.310000,1.930000,96.350000,200.760000,0.000000,0.000000,6.740000,4.820000,26.010000,1.110000,47.210000,19.270000,0.000000,5.780000,99.840000,26.010000,0.950000,6.740000,0,0,23.33,0,0,9.05,11.23,46.88,0,0,0,0,0,0,15.62,0,0,0,15.63,0,23.33,0,0,0

4,00:45-01:00,128.130000,11.560000,270.980000,16.320000,0.000000,38.170000,52.670000,0.000000,0.000000,8.190000,0.000000,25.050000,18.310000,1.930000,96.350000,200.760000,0.000000,0.000000,6.740000,4.820000,26.010000,1.110000,47.210000,19.270000,0.000000,5.780000,99.840000,26.010000,0.950000,6.740000,0,0,22.67,0,0,7.01,10.88,45.72,0,0,0,0,0,0,15.24,0,0,0,15.24,0,22.67,0,0,0

5,01:00-01:15,128.130000,11.560000,270.980000,16.320000,0.000000,38.170000,52.670000,0.000000,0.000000,8.190000,0.000000,25.050000,18.310000,1.930000,96.350000,200.760000,0.000000,0.000000,6.740000,4.820000,26.010000,1.110000,42.960000,19.270000,0.000000,5.780000,99.840000,26.010000,0.950000,6.740000,0,0,21.67,0,0,7.01,10.7,45.53,0,0,0,0,0,0,15.18,0,0,0,15.18,0,21.67,0,0,0

6,01:15-01:30,128.130000,11.560000,270.980000,16.320000,0.000000,38.170000,52.670000,0.000000,0.000000,8.190000,0.000000,25.050000,18.310000,1.930000,96.350000,200.760000,0.000000,0.000000,6.740000,4.820000,26.010000,1.110000,38.710000,19.270000,0.000000,5.780000,52.920000,26.010000,0.950000,6.740000,0,0,20.67,0,0,7.01,10.53,45.52,0,0,0,0,0,0,15.17,0,0,0,15.18,0,20.67,0,0,0

7,01:30-01:45,128.130000,11.560000,270.980000,16.320000,0.000000,38.170000,52.670000,0.000000,0.000000,8.190000,0.000000,25.050000,18.310000,1.930000,96.350000,200.760000,0.000000,0.000000,6.740000,4.820000,25.930000,1.110000,33.050000,19.270000,0.000000,5.780000,62.630000,25.930000,0.950000,6.740000,0,0,19,0,0,7.01,9.34,32.87,0,0,0,0,0,0,10.95,0,0,0,10.96,0,19,0,0,0

8,01:45-02:00,128.130000,11.560000,270.980000,16.320000,0.000000,38.170000,52.670000,0.000000,0.000000,8.190000,0.000000,25.050000,18.310000,1.930000,96.350000,200.760000,0.000000,0.000000,6.740000,4.820000,25.930000,1.110000,33.050000,19.270000,0.000000,5.780000,62.630000,25.930000,0.950000,6.740000,0,0,17.33,0,0,7.01,8.66,31.88,0,0,0,0,0,0,10.61,0,0,0,10.63,0,17.33,0,0,0

9,02:00-02:15,128.130000,11.560000,270.980000,16.320000,0.000000,38.170000,52.670000,0.000000,0.000000,8.190000,0.000000,25.050000,18.310000,1.930000,96.350000,200.760000,0.000000,0.000000,6.740000,4.820000,25.930000,1.110000,33.050000,19.270000,0.000000,5.780000,62.630000,25.930000,0.950000,6.740000,0,0,16.67,0,0,7.01,8,31.25,0,0,0,0,0,0,10.4,0,0,0,10.42,0,16.67,0,0,0

