Column1,Time,GNA/NR/2025/04/01/8964,NR/01102023/06022042/L_NR_2012_02,NR/30092023/31122025/SH-07,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/06/01/7782,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/20/3628,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/06/01/5280,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/7663,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/06/16/6051,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/8510,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/4973,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/06/01/9719,WR/01102023/01102023/L_NR_2020_06,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_17,WR/01102023/16072048/L_NR_2022_08,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/L_NR_2019_05,WR/01102023/31032046/L_NR_2020_05,GNARE/SR/2025/01/13/4532,NR/01102023/13082046/L_NR_2021_12,WR/01102023/30052048/L_NR_2022_10,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,WR/01102023/24112044/L_NR_2020_07,NR/26072023/25122043/L_NR_2023_10,GNA/NR/2025/06/01/4444,NR/01102023/19072037/LT-05,GNA/NR/2025/06/07/5932,NR/01102023/31102037/L_NR_2019_11,NR/01102023/31052040/LT-31,NR/01102023/05012040/L_NR_2020_02,NR/01102023/22052037/LT-59,GNA/NR/2025/04/01/8456,GNA/NR/2025/06/01/2569,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/06/01/2868,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/7786,GNARE/NR/2024/12/20/3668,L_NR_2019_19
1,00:00-00:15,4.03,130.89,26.93,27.25,11.92,15.33,20.87,0,11.93,32,33.86,100.78,19.35,16.94,8.64,16.93,33.86,87.26,16.93,30.83,0,0,0,24.67,0,0,92.51,38.02,0,0,0,0,0,0,0,30.83,0,0,116.04,-0,10.8,0,9.85,10.61,5.81,44.02,273.53,17.41,0,16.93,33.86,0,0

2,00:15-00:30,4.03,130.89,26.93,27.25,11.92,15.33,20.87,0,11.93,32,33.86,100.78,19.35,16.94,8.64,16.93,33.86,87.26,16.93,30.83,0,0,0,24.33,0,0,92.51,37.82,0,0,0,0,0,0,0,30.83,0,0,116.04,-0,10.8,0,9.85,10.61,5.81,44.02,273.53,17.41,0,16.93,33.86,0,0

3,00:30-00:45,4.02,130.89,26.93,28.27,11.92,15.33,20.87,0,11.93,32,33.86,100.78,19.35,16.94,8.64,16.93,33.86,87.26,16.93,30.17,0,0,0,23.67,0,0,90.49,37.42,0,0,0,0,0,0,0,30.17,0,0,116.04,-0,10.8,0,9.85,10.61,5.81,44.02,273.53,17.41,0,16.93,33.86,0,0

4,00:45-01:00,4.02,130.89,26.93,28.27,11.92,15.33,20.87,0,11.93,32,33.86,100.78,19.35,16.94,8.64,16.93,33.86,87.26,16.93,29.67,0,0,0,22.67,0,0,88.99,37.02,0,0,0,0,0,0,0,29.67,0,0,97.93,-0,10.8,0,9.85,10.61,5.81,44.02,273.53,17.41,0,16.93,33.86,0,0

5,01:00-01:15,4.02,130.89,26.93,28.27,11.92,15.33,20.87,0,11.93,32,33.86,100.78,19.35,16.76,8.64,16.93,33.86,87.26,16.93,20.33,0,0,0,16.67,0,0,61.01,36.62,0,0,0,0,0,0,0,20.33,0,0,114.8,-0,10.8,0,9.38,10.61,5.81,44.02,273.53,17.41,0,16.93,33.86,0,0

