Block,Time Block,UNCHAHAR2,UNCHAHAR1,KHSTPP-II,SIMHST2,SASAN,RSTPSU7,SIMHST1,SALAL,SEWA2,KISHANGANGA,KKNP,KKNPPU2,KOLDAM,RIHAND2,NLCTS2EXP,NNTPP,RAMPUR,RIHAND1,NTPL,PARBATI3,RAPPC,RSTPSU1TO6,PARBATI2,RAPPD,RIHAND3,RAPPB,JHAJJAR,FSTPP I & II,NAPP,MAPS,NLCEXP,NLCIIST1,NJPC,NLCIIST2,TelanganaSTPP,TEHRIPSP,TEHRI,DHAULIGNGA,DADRT2,DULHASTI,CHAMERA3,BSIUL,CHAMERA2,BRBCL,CHAMERA1,TANDA2,SINGRAULI_HYDRO,TANAKPUR,TALST2,TALA,KHSTPP-I,KGSU3AND4,SINGRAULI,KUDGI,KOTESHWR,KGSU1AND2,DADRI_LF,DADRI_GF,DADRI_CRF,AURY_RF,DADRI_RF,ANTA_LF,UNCHAHAR4,VALLURNTECL,AURY_GF,URI2,ANTA_GF,UNCHAHAR3,AURY_CRF,ANTA_CRF,ANTA_RF,URI,AURY_LF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,43.28,20.82,142.63,0,264.69,0,0,81.02,17.64,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,20.02,62.78,0,0,23.58,125.84,0,390.24,18.04,23.54,0,0,0,169.07,0,0,74.01,54.88,0,414.08,53.26,32.64,12.54,45.32,17,40.54,5.34,0.94,12.56,0,12.96,43.79,0,129.59,0,39.02,0,0,0,0,0,0,0,3.1,0,0,22.49,0,26.63,0,0,0,23.36,0,0,0,0,0,0

2,00:15-00:30,43.28,20.82,142.63,0,265.09,0,0,81.02,17.64,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,20.02,62.78,0,0,23.58,125.84,0,337.41,18.04,23.54,0,0,0,169.07,0,0,74.01,54.88,0,408.09,53.26,32.64,12.54,45.32,12.72,40.54,5.34,0.94,12.56,0,12.96,43.79,0,129.59,0,39.02,0,0,0,0,0,0,0,3.1,0,0,22.49,0,26.63,0,0,0,23.36,0,0,0,0,0,0

3,00:30-00:45,43.28,20.82,142.63,0,265.09,0,0,81.02,11.75,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,31.46,62.78,0,0,23.58,125.84,0,233.35,18.04,23.54,0,0,0,169.07,0,0,74.01,54.88,0,408.09,53.26,32.64,12.54,45.32,10.98,40.54,5.34,0.94,10.72,0,12.96,43.79,0,129.59,0,39.02,0,0,0,0,0,0,0,3.1,0,0,37.48,0,26.63,0,0,0,50.36,0,0,0,0,0,0

4,00:45-01:00,43.28,20.82,142.63,0,265.09,0,0,81.02,5.89,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,31.46,62.78,0,0,23.58,125.84,0,190.97,18.04,23.54,0,0,0,169.07,0,0,74.01,54.88,0,408.09,53.26,32.64,12.54,45.32,10.45,40.54,5.34,0.94,10.72,0,12.96,43.79,0,129.59,0,39.02,0,0,0,0,0,0,0,3.1,0,0,37.48,0,26.63,0,0,0,50.36,0,0,0,0,0,0

5,01:00-01:15,43.28,20.82,142.63,0,265.09,0,0,81.02,0,6.78,0,0,8.29,120.48,0,0,5.48,94.56,0,31.46,62.78,0,0,23.58,125.84,0,214.4,18.04,23.54,0,0,0,169.07,0,0,0,54.88,0,338.36,53.26,32.64,12.54,45.32,10.04,40.54,5.34,0.94,10.72,0,12.96,43.79,0,129.59,0,39.02,0,0,0,0,0,0,0,3.1,0,0,37.48,0,26.63,0,0,0,19.11,0,0,0,0,0,0

