Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/26198/A/69253,NR/2025/26504/C,NR/2025/26265/A/69209,NR/2025/26201/A/69244,NR/2025/26312/A/68735,NR/2025/25858/A/69198,NR/2025/26232/A/69211,NR/2025/25855/A/69197,NR/2025/26506/C,NR/2025/26289/A/69208,NR/2025/26335/A/68881,NR/2025/26199/A/69252,NR/2025/26191/A/68725,NR/2025/26153/A/68754,NR/2025/26197/A/69254,NR/2025/26233/A/69210,NR/2025/26291/A/69207,NR/2025/26101/A/68854,NR/2025/26336/A/69185,NR/2025/26286/A/68858,NR/2025/26202/A/69348,NR/2025/26236/A/68753,NR/2025/26002/A/69164,NR/2025/26200/A/69250,NR/2025/26085/A/68739,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/9154,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/6160,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/4138,NR/30092023/26122029/SH-06,GNA/NR/2025/05/01/7791,NR/2025/26496/C,NR/2025/26461/C,NR/2025/26503/C,NR/2025/26463/C,NR/2025/26464/C,NR/2025/26462/C,NR/2025/26473/C,NR/2025/26478/C,NR/2025/26465/C,Total
,,SECI_Trader,APPCPL,NVVNL,HPXL,APPCPL,IEXL,PowerPulse,HPXL,PowerPulse,NVVNL,HPXL,BRPL,APPCPL,PXIL,IEXL,APPCPL,HPXL,HPXL,GMRETL,BRPL,DIAPL,NVVNL,IEXL,PowerPulse,APPCPL,ITCLH,HPXL,HPXL,PXIL,PXIL,PowerPulse,BAWANA_GAS,PowerPulse,NDMC,IEXL,PXIL,PXIL,PXIL,PXIL,DELHI,PowerPulse,HPXL,PowerPulse,PUNJAB,IEXL,TPDDL,HPXL,NVVNL,HPXL,HPXL,HPXL,APPCPL,IEXL,HPXL,
,,NA,NA,NA,NA,NA,NA,NA,GEB_State,NA,NA,NA,NA,NA,NA,TAMILNADU_State,NA,GEB_State,MP_State,HIMACHAL_STATE,NA,HIMACHAL_STATE,NA,NA,NA,NA,ANDHRA_PRADESH_STATE,NA,MSEB_State,Meghalaya_State,CSEB_State,NA,DELHI_UT,NA,NA,JK_and_LADAKH_UT,ODISHA_STATE,UTTARPRADESH_STATE,NA,ODISHA_STATE,HIMACHAL_STATE,NA,HIMACHAL_STATE,NA,DELHI_UT,ODISHA_STATE,NA,NA,NA,MP_State,GEB_State,NA,NA,NA,GEB_State,
,,APSEPL_FTG,RKM_POWER,Kameng,JPL,RKM_POWER,MBMP,APL_Raipur_TPP,PCBL_PALEJ,APL_Raipur_TPP,JPNIGRIE_JNSTPP,SIMHAPURI,TS1PL_BKN,JPL2,JPNIGRIE_JNSTPP,SURYADEV_ALLOYSTN,SKS_Raigarh,PCBL_MUNDRA,Ultratech_Sidhi_MP,GBHHPL,DADRT2,GBHHPL,JPNIGRIE_JNSTPP,TPSL_BKN2,COASTGEN,TRN_ENERGY,ITCWIND,JPL,GRETAENERGY,Meghalaya_Ben,SKSIPL,MAHAN_ENERGEN,BAWANA_GAS,APL_Raipur_TPP,JIPL,O2ZTPL,FACORPOWER,LAPL_UP,SINGOLI,FACORPOWER,CHANJUII,COASTGEN,KGEPL_HP,COASTGEN,BAWANA_GAS,VSL,JHAJJAR,JPL,SORANG_HEP,Ultratech_Sidhi_MP,PCBL_PALEJ,SIMHAPURI,RKM_POWER,MBMP,PCBL_MUNDRA,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPDDL,NDMC,TPDDL,BRPL,NDMC,NDMC,TPDDL,BRPL,TPDDL,TPDDL,BRPL,BRPL,NDMC,BRPL,BRPL,NDMC,BRPL,BRPL,TPDDL,BRPL,DIAPL,TPDDL,MES_Delhi,BRPL,NDMC,ITCLH,BRPL,BRPL,BRPL,BRPL,BRPL,HARYANA,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,TPDDL,BRPL,BRPL,BRPL,PUNJAB,BRPL,TPDDL,BRPL,TPDDL,BRPL,BRPL,BRPL,NDMC,NDMC,BRPL,
,,North-North,West-North,North East-East-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,North-North,West-North,West-North,South-West-North,West-North,West-North,West-North,North-North,North-North,North-North,West-North,North-North,South-West-North,West-North,South-West-North,West-North,West-North,North East-East-North,West-North,West-North,North-North,West-North,East-North,North-North,East-North,North-North,North-North,East-North,North-North,South-East-North,North-North,South-East-North,North-North,East-North,North-North,West-North,North-North,West-North,West-North,South-West-North,West-North,West-North,West-North,
1,00:00-00:15,0,26.27,52.48,96.33,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,0,0,8.76,0.77,0,5.78,67.43,10.6,122.82,32,163.76,17.51,0,14.45,28.9,28.9,14.45,13.2,163.76,13.49,0,32,0,0,0,9.63,0,0,0,0,0,0,1412.2800000000004

2,00:15-00:30,0,26.27,52.48,96.33,26.27,0,0,4.82,0,0,48.16,0,26.27,48.16,62.61,8.76,4.82,24.08,0,134.86,3.85,96.33,0,0,8.76,0.77,0,5.78,67.43,10.6,122.82,32,163.76,17.51,0,14.45,28.9,28.9,14.45,13.2,163.76,13.49,0,32,0,0,0,9.63,0,0,0,0,0,0,1412.2800000000004

