Time,Block,NR/2024/18975/C,NR/2024/18759/A/11469,NR/2024/18806/A/11493,NR/2024/18874/A/11521,NR/2024/19008/C,NR/2024/18807/A/11522,Total
92,22:45-23:00,0,0.680000,0.000000,1.930000,0.000000,1.930000,4.54

93,23:00-23:15,0,0.630000,0.000000,1.930000,0.000000,1.930000,4.49

94,23:15-23:30,0,0.630000,0.000000,1.930000,0.000000,1.930000,4.49

95,23:30-23:45,0,0.630000,0.000000,1.930000,0.000000,1.930000,4.49

96,23:45-24:00,0,0.630000,0.000000,1.930000,0.000000,1.930000,4.49

