Time,Block,NR/2024/18285/A/3090,NR/2023/18183/A/3116,NR/2023/18074/A/2966,NR/2024/18328/C,WR/2023/20937/A/3115,WR/2023/20914/A/3097,Total
,,HPXL,MANIKARAN,ITCLH,NVVNL,MANIKARAN,APPCPL,Total

,,MP,DELHI,ANDHRA PRADESH,NA,DELHI,DELHI,
,,MSPIL,BRPL,ITCWIND,SOLAPUR_SOLAR,BRPL,BRPL,
,,DELHI,HIMACHAL PRADESH,DELHI,DELHI,GOA,GOA,
,,NDMC,HP,ITCLH,MES (Delhi),GOA_Beneficiary,GOA_Beneficiary,
,,West-North,North-North,South-West-North,West-North,North-West,North-West,
1,00:00-00:15,9.600000,0.000000,0.380000,0,0.000000,0.000000,9.98

2,00:15-00:30,9.600000,0.000000,0.380000,0,0.000000,0.000000,9.98

3,00:30-00:45,9.600000,0.000000,0.380000,0,0.000000,0.000000,9.98

4,00:45-01:00,9.600000,0.000000,0.380000,0,0.000000,0.000000,9.98

5,01:00-01:15,9.600000,0.000000,0.380000,0,0.000000,0.000000,9.98

6,01:15-01:30,9.600000,0.000000,0.380000,0,0.000000,0.000000,9.98

7,01:30-01:45,9.600000,0.000000,0.380000,0,0.000000,0.000000,9.98

8,01:45-02:00,9.600000,0.000000,0.380000,0,0.000000,0.000000,9.98

9,02:00-02:15,9.600000,0.000000,0.380000,0,0.000000,0.000000,9.98

10,02:15-02:30,9.600000,0.000000,0.380000,0,0.000000,0.000000,9.98

11,02:30-02:45,9.600000,0.000000,0.380000,0,0.000000,0.000000,9.98

12,02:45-03:00,9.600000,0.000000,0.380000,0,0.000000,0.000000,9.98

13,03:00-03:15,9.600000,0.000000,0.380000,0,0.000000,0.000000,9.98

14,03:15-03:30,9.600000,0.000000,0.380000,0,0.000000,0.000000,9.98

15,03:30-03:45,9.600000,0.000000,0.380000,0,0.000000,0.000000,9.98

16,03:45-04:00,9.600000,0.000000,0.380000,0,0.000000,0.000000,9.98

17,04:00-04:15,9.600000,0.000000,0.380000,0,0.000000,0.000000,9.98

18,04:15-04:30,9.600000,0.000000,0.380000,0,0.000000,0.000000,9.98

19,04:30-04:45,9.600000,0.000000,0.380000,0,0.000000,0.000000,9.98

20,04:45-05:00,9.600000,0.000000,0.380000,0,0.000000,0.000000,9.98

21,05:00-05:15,9.600000,0.000000,0.430000,0,0.000000,0.000000,10.03

22,05:15-05:30,9.600000,0.000000,0.430000,0,0.000000,0.000000,10.03

23,05:30-05:45,9.600000,0.000000,0.430000,0,0.000000,0.000000,10.03

24,05:45-06:00,9.600000,0.000000,0.430000,0,0.000000,0.000000,10.03

25,06:00-06:15,9.600000,158.480000,0.380000,0,0.000000,0.000000,168.46

26,06:15-06:30,9.600000,158.480000,0.380000,0,0.000000,0.000000,168.46

27,06:30-06:45,9.600000,158.480000,0.380000,0,0.000000,0.000000,168.46

28,06:45-07:00,9.600000,158.480000,0.380000,0,0.000000,0.000000,168.46

29,07:00-07:15,9.600000,158.480000,0.530000,0,0.000000,0.000000,168.61

30,07:15-07:30,9.600000,158.480000,0.530000,0.13,0.000000,0.000000,168.74

31,07:30-07:45,9.600000,158.480000,0.530000,0.38,0.000000,0.000000,168.99

32,07:45:08:00,9.600000,158.480000,0.530000,0.66,0.000000,0.000000,169.27

33,08:00-08:15,9.600000,158.480000,0.860000,1.02,0.000000,0.000000,169.96

