Block,Time,KISHANGANGA,NAPP,AURY_GF,RIHAND1,UNCHAHAR2,ANTA_GF,ANTA_LF,DHAULIGNGA,SALAL,DADRI_GF,DADRI_RF,DADRI_CRF,NJPC,UNCHAHAR1,TEHRI,PARBATI3,AURY_CRF,SINGRAULI,DADRI_LF,RAPPC,RAPPB,DULHASTI,UNCHAHAR4,AURY_RF,RIHAND2,ANTA_RF,ANTA_CRF,DADRT2,TANAKPUR,CHAMERA1,KOTESHWR,BSIUL,SEWA2,RIHAND3,AURY_LF,TANDA2,JHAJJAR,CHAMERA2,URI2,SINGRAULI_HYDRO,KOLDAM,URI,CHAMERA3,RAMPUR,UNCHAHAR3,SASAN,FSTPP I & II,KUDGI,BRBCL,KHSTPP-I,KHSTPP-II,TALA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,0.000000,88.697200,18.317900,0.000000,0.000000,0.000000,12.323126,0.000000,0.000000,0.000000,0.000000,9.641000,0.000000,0.000000,0.000000,118.945838,0.000000,52.241012,0.000000,15.887261,0.000000,0.000000,113.884312,0.000000,0.000000,175.466200,3.087530,0.000000,0.000000,0.000000,0.000000,119.226029,0.000000,0.000000,232.757842,0.000000,23.863095,0.571740,0.000000,38.317190,0.000000,0.000000,5.784600,403.736157,9.896872,64.59,19.281969,20.721883,69.155504,0.000000,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.000000,88.697200,18.317900,0.000000,0.000000,0.000000,68.337336,0.000000,0.000000,0.000000,0.000000,9.641000,0.000000,0.000000,0.000000,118.945838,0.000000,52.241012,0.000000,15.887261,0.000000,0.000000,113.884312,0.000000,0.000000,175.466200,3.087530,0.000000,0.000000,0.000000,0.000000,119.226029,0.000000,0.000000,232.757842,0.000000,23.863095,0.571740,0.000000,38.317190,0.000000,0.000000,5.784600,403.736157,9.896872,64.59,19.281969,20.721883,65.047923,0.000000,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.000000,56.135301,18.317900,0.000000,0.000000,0.000000,68.337336,0.000000,0.000000,0.000000,0.000000,9.641000,0.000000,0.000000,0.000000,118.945838,0.000000,52.241012,0.000000,15.887261,0.000000,0.000000,113.884312,0.000000,0.000000,175.466200,3.087530,0.000000,0.000000,0.000000,0.000000,119.226029,0.000000,0.000000,232.757842,0.000000,23.863095,0.571740,0.000000,8.514931,0.000000,0.000000,5.784600,403.736157,9.896872,62.67,18.224486,20.721883,65.047923,0.000000,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.000000,56.135301,18.317900,0.000000,0.000000,0.000000,68.337336,0.000000,0.000000,0.000000,0.000000,9.641000,0.000000,0.000000,0.000000,118.945838,0.000000,52.241012,0.000000,15.887261,0.000000,0.000000,113.884312,0.000000,0.000000,175.466200,3.087530,0.000000,0.000000,0.000000,0.000000,119.226029,0.000000,0.000000,232.757842,0.000000,23.863095,0.571740,0.000000,5.321832,0.000000,0.000000,5.784600,403.736157,9.896872,61.70,18.870815,20.721883,65.047923,0.000000,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.000000,56.135301,18.317900,0.000000,0.000000,0.000000,68.337336,0.000000,0.000000,0.000000,0.000000,9.641000,0.000000,0.000000,0.000000,118.945838,0.000000,52.241012,0.000000,15.887261,0.000000,0.000000,113.884312,0.000000,0.000000,175.466200,3.087530,0.000000,0.000000,0.000000,0.000000,119.226029,0.000000,0.000000,232.757842,0.000000,23.863095,0.571740,0.000000,5.321832,0.000000,0.000000,5.784600,403.736157,9.896872,59.77,16.214099,20.721883,65.047923,0.000000,0,0,0,0,0

