Time,Block,NR/2024/19779/A/20426,NR/2024/20350/A/20061,NR/2024/20090/A/20201,NR/2024/20052/A/20058,NR/2024/19699/A/20572,NR/2024/20141/A/20277,NR/2024/20460/C,NR/2024/19760/A/20195,NR/2024/19355/A/20632,NR/2024/20472/C,NR/2024/20034/A/20546,NR/2024/19919/A/20519,NR/2024/19683/A/20231,NR/2024/20041/A/20610,NR/2024/20033/A/20564,NR/2024/19432/A/20578,NR/2024/20037/A/20160,NR/2024/20050/A/20607,NR/2024/19588/A/20279,NR/2024/19966/A/20270,NR/2024/20212/A/20274,NR/2024/20211/A/20273,NR/2024/20109/A/20631,NR/2024/20142/A/20276,NR/2024/20144/A/20275,NR/2024/20464/C,NR/2024/20446/C,NR/2024/19637/A/20247,NR/2024/19918/A/20522,NR/2024/20130/A/20268,NR/2024/20466/C,NR/2024/19757/A/20558,NR/2024/19475/A/20468,NR/2024/20048/A/20620,NR/2024/20448/C,NR/2024/20447/C,NR/2024/20031/A/20550,NR/2024/19791/A/20524,Total
,,ITCLH,DIAPL,IEXL,DIAPL,NVVNL,BAL184,IEXL,TPTCL,TPDDL,PXIL,NVVNL,APPCPL,IEXL,PTC,NVVNL,NVVNL,TPTCL,PTC,GMRETL,BRPL,UHL,JHPL-DL,TPDDL,BAL224,BAL234,HPXL,NVVNL,INSTINCT,APPCPL,DTCP,HPXL,NVVNL,AEL,PTC,NVVNL,NVVNL,NVVNL,APPCPL,Total

,,ANDHRA PRADESH,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,MP,HIMACHAL PRADESH,NA,NA,NA,HIMACHAL PRADESH,NA,KERALA,HIMACHAL PRADESH,MAHARASHTRA,NA,NA,MAHARASHTRA,HIMACHAL PRADESH,RAJASTHAN,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,NAGALAND,HIMACHAL PRADESH,NA,TAMIL NADU,NA,HIMACHAL PRADESH,NA,NA,NA,TAMIL NADU,
,,ITCWIND,GBHHPL,A_A_Energy_MH_Bio,GBHHPL,JP BINA,SHPPBPL,RKM_POWER,SIMHAPURI,JPL-2,HP-GOVT,RKM_POWER,KSEB,NHCPL_HP,JPL_DHULE,SKS Raigarh,SEIL,JPL_DHULE,HP,RUVNL,IEPLBELA2022,SHPPBPL,SHPPBPL,JHAJJAR,SHPPBPL,SHPPBPL,GBHHPL,SORANG_HEP,JPL-2,Nagaland_Ben,SHPPBPL,DBPL,TANGEDCO,APL_Raipur TPP,HP,SOLAPUR_SOLAR,KAMENG,RKM_POWER,TANGEDCO,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,ITCLH,DIAPL,MES (Delhi),DIAPL,TPDDL,BAL184,BRPL,BRPL,TPDDL,BRPL,NDMC,BYPL,MES (Delhi),BRPL,NDMC,TPDDL,TPDDL,BRPL,BYPL,BRPL,UHL,JHPL-DL,TPDDL,BAL224,BAL234,BRPL,TPDDL,BRPL,BYPL,DTCP,BRPL,BRPL,BRPL,BYPL,MES (Delhi),TPDDL,NDMC,BYPL,
,,South-West-North,North-North,West-North,North-North,West-North,North-North,West-North,South-West-North,West-North,North-North,West-North,South-West-North,North-North,West-North,West-North,South-West-North,West-North,North-North,North-North,West-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,North East-East-North,North-North,West-North,South-West-North,West-North,North-North,West-North,North East-East-North,West-North,South-West-North,
1,00:00-00:15,0.630000,0.000000,1.930000,8.680000,48.240000,0.350000,192.980000,0.000000,96.490000,144.740000,43.850000,308.770000,1.930000,0.000000,14.620000,12.120000,72.370000,90.460000,66.760000,0.000000,0.610000,1.590000,241.220000,0.520000,0.880000,28.950000,10.610000,0.000000,13.510000,0.480000,39.560000,48.610000,192.980000,30.150000,0,111.250000,43.850000,64.730000,1934.42

2,00:15-00:30,0.630000,0.000000,1.930000,8.680000,48.240000,0.350000,192.980000,0.000000,96.490000,144.740000,43.850000,308.770000,1.930000,0.000000,14.620000,12.120000,72.370000,90.460000,66.760000,0.000000,0.610000,1.590000,241.220000,0.520000,0.880000,28.950000,10.610000,0.000000,13.510000,0.480000,39.560000,48.610000,192.980000,30.150000,0,111.250000,43.850000,64.730000,1934.42

3,00:30-00:45,0.630000,0.000000,1.930000,8.680000,48.240000,0.350000,192.980000,0.000000,96.490000,144.740000,43.850000,308.770000,1.930000,0.000000,14.620000,12.120000,72.370000,90.460000,66.760000,0.000000,0.610000,1.590000,241.220000,0.520000,0.880000,28.950000,10.610000,0.000000,13.510000,0.480000,39.560000,48.610000,192.980000,30.150000,0,111.250000,43.850000,64.730000,1934.42

4,00:45-01:00,0.630000,0.000000,1.930000,8.680000,48.240000,0.350000,192.980000,0.000000,96.490000,144.740000,43.850000,308.770000,1.930000,0.000000,14.620000,12.120000,72.370000,90.460000,66.760000,0.000000,0.610000,1.590000,241.220000,0.520000,0.880000,28.950000,10.610000,0.000000,13.510000,0.480000,39.560000,48.610000,192.980000,30.150000,0,111.250000,43.850000,64.730000,1934.42

5,01:00-01:15,0.630000,0.000000,1.930000,8.680000,48.240000,0.350000,192.980000,0.000000,96.490000,144.740000,43.850000,308.770000,1.930000,0.000000,14.620000,12.120000,72.370000,90.460000,66.760000,0.000000,0.610000,1.590000,241.220000,0.520000,0.880000,0.000000,10.610000,0.000000,13.510000,0.480000,39.560000,48.610000,192.980000,30.150000,0,111.250000,43.850000,64.730000,1905.47

6,01:15-01:30,0.630000,0.000000,1.930000,8.680000,48.240000,0.350000,192.980000,0.000000,96.490000,144.740000,43.850000,308.770000,1.930000,0.000000,14.620000,12.120000,72.370000,90.460000,66.760000,0.000000,0.610000,1.590000,241.220000,0.520000,0.880000,0.000000,10.610000,0.000000,13.510000,0.480000,39.560000,48.610000,192.980000,30.150000,0,111.250000,43.850000,64.730000,1905.47

7,01:30-01:45,0.630000,0.000000,1.930000,8.680000,48.240000,0.350000,192.980000,0.000000,96.490000,0.000000,43.850000,308.770000,1.930000,0.000000,14.620000,12.120000,72.370000,90.460000,66.760000,0.000000,0.610000,1.590000,241.220000,0.520000,0.880000,0.000000,10.610000,0.000000,13.510000,0.480000,39.560000,48.610000,192.980000,30.150000,0,111.250000,43.850000,64.730000,1760.73

8,01:45-02:00,0.630000,0.000000,1.930000,8.680000,48.240000,0.350000,192.980000,0.000000,96.490000,0.000000,43.850000,308.770000,1.930000,0.000000,14.620000,12.120000,72.370000,90.460000,66.760000,0.000000,0.610000,1.590000,241.220000,0.520000,0.880000,0.000000,10.610000,0.000000,13.510000,0.480000,39.560000,48.610000,192.980000,30.150000,0,111.250000,43.850000,64.730000,1760.73

9,02:00-02:15,0.630000,0.000000,1.930000,8.680000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,37.270000,308.770000,1.930000,0.000000,12.430000,12.120000,72.370000,90.460000,66.760000,0.000000,0.610000,1.590000,241.220000,0.520000,0.880000,0.000000,10.610000,0.000000,13.510000,0.480000,0.000000,48.610000,192.980000,30.150000,0,111.250000,37.270000,64.730000,1512.84

10,02:15-02:30,0.630000,0.000000,1.930000,8.680000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,37.270000,308.770000,1.930000,0.000000,12.430000,12.120000,72.370000,90.460000,66.760000,0.000000,0.610000,1.590000,241.220000,0.520000,0.880000,0.000000,10.610000,0.000000,13.510000,0.480000,0.000000,48.610000,192.980000,30.150000,0,111.250000,37.270000,64.730000,1512.84

11,02:30-02:45,0.630000,0.000000,1.930000,8.680000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,37.270000,308.770000,1.930000,0.000000,12.430000,12.120000,72.370000,90.460000,66.760000,0.000000,0.610000,1.590000,241.220000,0.520000,0.880000,0.000000,10.610000,0.000000,13.510000,0.480000,0.000000,48.610000,192.980000,30.150000,0,111.250000,37.270000,64.730000,1512.84

12,02:45-03:00,0.630000,0.000000,1.930000,8.680000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,37.270000,308.770000,1.930000,0.000000,12.430000,12.120000,72.370000,90.460000,66.760000,0.000000,0.610000,1.590000,241.220000,0.520000,0.880000,0.000000,10.610000,0.000000,13.510000,0.480000,0.000000,48.610000,192.980000,30.150000,0,111.250000,37.270000,64.730000,1512.84

13,03:00-03:15,0.530000,0.000000,1.930000,8.680000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,37.270000,308.770000,1.930000,0.000000,12.430000,12.120000,72.370000,90.460000,66.760000,0.000000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,10.610000,0.000000,13.510000,0.480000,0.000000,48.610000,192.980000,30.150000,0,111.250000,37.270000,64.730000,1454.85

14,03:15-03:30,0.530000,0.000000,1.930000,8.680000,48.240000,0.350000,0.000000,0.000000,96.490000,0.000000,37.270000,308.770000,1.930000,0.000000,12.430000,12.120000,72.370000,90.460000,66.760000,0.000000,0.610000,1.590000,183.330000,0.520000,0.880000,0.000000,10.610000,0.000000,13.510000,0.480000,0.000000,48.610000,192.980000,30.150000,0,111.250000,37.270000,64.730000,1454.85

