Column1,Time,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,GNARE/SR/2025/01/13/4532,L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/L_NR_2019_05,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_07),GNARE/NR/2024/12/20/3668,GNA/NR/2025/04/28/7408,GNA/NR/2025/04/01/4565,NR/01102023/06022042/L_NR_2012_02,NR/01102023/19072037/LT-05,GNA/NR/2025/04/01/8456,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/5285,NR/01102023/30042040/GNA_LT_35,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/16/2139,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/04/01/1333,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/16/1389,NR/01102023/31052040/LT-31,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/04/01/8964,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/16/6639,GNA/NR/2025/04/01/8510,NR/01102023/22052037/LT-59,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/16/4327,NR/30092023/31122025/SH-07,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/01/6490,NR/01102023/06022042/L_NR_2012_07,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/04/16/2341,GNA/SR/2025/04/01/2597,WR/01102023/01102023/L_NR_2020_06,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/16072048/L_NR_2022_08
1,00:00-00:15,0,0,0,0,61.5,6,0,20.5,0,0,0,0,0,0,0,0,0,48.16,260.67,115.18,10.43,0,2.89,0,3.92,1.93,2.89,96.33,30.79,5.76,2.89,272.37,43.78,28.9,0,10.41,0,4.05,32,9.63,72.25,7.74,5.43,9.63,72.25,0,14.59,9.63,86.89,100.36,19.27,52.5,20.5,58.34,58.33,18.33

2,00:15-00:30,0,0,0,0,66.49,6,0,22.17,0,0,0,0,0,0,0,0,0,48.16,260.67,115.18,10.43,0,2.89,0,3.92,1.93,2.89,96.33,31.29,5.76,2.89,272.37,43.78,28.9,0,10.41,0,4.05,32,9.63,72.25,7.74,5.43,9.63,72.25,0,14.59,9.63,86.89,100.36,19.27,52.5,22.17,59.34,59.33,19

3,00:30-00:45,0,0,0,0,72.49,6,0,24.17,0,0,0,0,0,0,0,0,0,48.16,260.67,115.18,10.43,0,2.89,0,3.92,1.93,2.89,96.33,31.29,5.76,2.89,272.37,43.78,28.9,0,10.41,0,4.05,32,9.63,72.25,7.74,5.43,9.63,72.25,0,14.59,9.63,86.89,100.36,19.27,52.5,24.17,61.66,61.67,20

4,00:45-01:00,0,0,0,0,79.01,6,0,26.33,0,0,0,0,0,0,0,0,0,48.16,260.67,115.18,10.43,0,2.89,0,3.92,1.93,2.89,96.33,31.29,5.76,2.89,272.37,43.78,28.9,0,10.41,0,4.05,32,9.63,72.25,7.74,5.43,9.63,72.25,0,14.59,9.63,86.89,100.36,19.27,52.5,26.33,62.66,62.67,21

5,01:00-01:15,0,0,0,0,83.51,6,0,27.83,0,0,0,0,0,0,0,0,0,48.16,260.67,115.18,10.43,0,2.89,0,3.92,1.93,2.89,96.33,31.29,5.68,2.89,272.37,43.78,28.9,0,10.33,0,4.05,32,9.63,72.25,7.74,5.43,9.63,72.25,17.6,14.59,9.63,86.89,100.36,19.27,52.5,27.83,64,64,21.67

6,01:15-01:30,0,0,0,0,88.01,6,0,29.33,0,0,0,0,0,0,0,0,0,48.16,260.67,115.18,10.43,0,2.89,0,3.92,1.93,2.89,96.33,31.29,5.68,2.89,272.37,43.78,28.9,0,10.33,0,4.05,32,9.63,72.25,7.74,5.43,9.63,72.25,17.6,14.59,9.63,86.89,100.36,19.27,52.5,29.33,65,65,22.33

7,01:30-01:45,0,0,0,0,85.5,6,0,28.5,0,0,0,0,0,0,0,0,0,48.16,260.67,115.18,10.43,0,2.89,0,3.92,1.93,2.89,96.33,31.29,5.68,2.89,272.37,43.78,28.9,0,10.33,0,4.05,32,9.63,72.25,7.74,5.43,9.63,72.25,17.6,14.59,9.63,86.89,100.36,19.27,52.5,28.5,73.33,73.33,22.33

8,01:45-02:00,0,0,0,0,87,6,0,29,0,0,0,0,0,0,0,0,0,48.16,260.67,115.18,10.43,0,2.89,0,3.92,1.93,2.89,96.33,30.79,5.68,2.89,272.37,43.78,28.9,0,10.33,0,4.05,32,9.63,72.25,7.74,5.43,9.63,72.25,17.6,14.59,9.63,86.89,100.36,19.27,52.5,29,73.33,73.33,21.67

9,02:00-02:15,0,0,0,0,88.5,6,0,29.5,0,0,0,0,0,0,0,0,0,48.16,260.67,115.18,10.43,0,2.89,0,3.83,1.93,2.89,96.33,30.79,5.61,2.89,272.37,43.78,28.9,0,10.23,0,4.05,32,9.63,72.25,7.74,4.74,9.63,72.25,17.6,14.59,9.63,86.89,100.36,19.27,0,29.5,73.33,73.33,22

10,02:15-02:30,0,0,0,0,89,6,0,29.67,0,0,0,0,0,0,0,0,0,48.16,260.67,115.18,10.43,0,2.89,0,3.83,1.93,2.89,96.33,30.28,5.61,2.89,272.37,43.78,28.9,0,10.23,0,4.05,32,9.63,72.25,7.74,4.74,9.63,72.25,17.6,14.59,9.63,86.89,100.36,19.27,0,29.66,73.33,73.33,22.33

11,02:30-02:45,0,0,0,0,88.5,6,0,29.5,0,0,0,0,0,0,0,0,0,48.16,260.67,115.18,10.43,0,2.89,0,3.83,1.93,2.89,96.33,30.28,5.61,2.89,272.37,43.78,28.9,0,10.23,0,4.05,23.86,9.63,72.25,7.74,4.74,9.63,72.25,23.86,14.59,9.63,86.89,100.36,19.27,0,29.5,73.33,73.33,22

12,02:45-03:00,0,0,0,0,88,6,0,29.33,0,0,0,0,0,0,0,0,0,48.16,260.67,115.18,10.43,0,2.89,0,3.83,1.93,2.89,96.33,30.28,5.61,2.89,272.37,43.78,28.9,0,10.23,0,4.05,23.86,9.63,72.25,7.74,4.74,9.63,72.25,23.86,14.59,9.63,86.89,100.36,19.27,0,29.34,73.33,73.33,22

13,03:00-03:15,0,0,0,0,87.5,6,0,29.17,0,0,0,0,0,0,0,0,0,48.16,260.67,115.18,10.43,0,2.89,0,3.83,1.93,2.89,96.33,30.28,5.53,2.89,272.37,43.78,28.9,0,10.14,0,4.05,23.86,9.63,72.25,7.74,4.74,9.63,72.25,23.86,14.59,9.63,86.89,100.36,19.27,0,29.16,73,73,22.33

14,03:15-03:30,0,0,0,0,87,6,0,29,0,0,0,0,0,0,0,0,0,48.16,260.67,115.18,10.43,0,2.89,0,3.83,1.93,2.89,96.33,30.28,5.53,2.89,272.37,43.78,28.9,0,10.14,0,4.05,23.86,9.63,72.25,7.74,4.74,9.63,72.25,23.86,14.59,9.63,86.89,100.36,19.27,0,29,71.67,71.67,21.67

15,03:30-03:45,0,0,0,0,61.99,6,0,20.67,0,0,0,0,0,0,0,0,0,48.16,260.67,115.18,10.43,0,2.89,0,3.83,1.93,2.89,96.33,30.28,5.53,2.89,272.37,43.78,28.9,0,10.14,0,4.05,23.86,9.63,72.25,7.74,4.74,9.63,72.25,23.86,14.59,9.63,86.89,100.36,19.27,0,20.67,70,70,15.33

16,03:45-04:00,0,0,0,0,60.49,6,0,20.17,0,0,0,0,0,0,0,0,0,48.16,260.67,115.18,10.43,0,2.89,0,3.83,1.93,2.89,96.33,30.28,5.53,2.89,272.37,43.78,28.9,0,10.14,0,4.05,23.86,9.63,72.25,7.74,4.74,9.63,72.25,23.86,14.59,9.63,86.89,100.36,19.27,0,20.17,68.33,68.33,15

17,04:00-04:15,0,0,0,0,61.01,6,0,20.33,0,0,0,0,0,0,0,0,0,48.16,260.67,115.18,10.43,0,2.89,0,3.74,1.93,2.89,96.33,30.28,5.38,2.89,272.37,43.78,28.9,0,9.96,0,4.05,26.16,9.63,72.25,7.74,4.51,9.63,72.25,26.16,14.59,9.63,86.89,100.36,19.27,0,20.33,72,72,15

18,04:15-04:30,0,0,0,0,60,6,0,20,0,0,0,0,0,0,0,0,0,48.16,260.67,115.18,10.43,0,2.89,0,3.74,1.93,2.89,96.33,30.28,5.38,2.89,272.37,43.78,28.9,0,9.96,0,4.05,23.86,9.63,72.25,7.74,4.51,9.63,72.25,23.86,14.59,9.63,86.89,100.36,19.27,0,20,72,72,14.67

19,04:30-04:45,0,0,0,0,58.99,6,0,19.67,0,0,0,0,0,0,0,0,0,48.16,260.67,115.18,10.43,0,2.89,0,3.74,1.93,2.89,96.33,30.28,5.38,2.89,272.37,43.78,28.9,0,9.96,0,4.05,23.86,9.63,72.25,7.74,4.51,9.63,72.25,23.86,14.59,9.63,86.89,100.36,19.27,0,19.67,71.66,71.67,14.67

20,04:45-05:00,0,0,0,0,58.99,6,0,19.67,0,0,0,0,0,0,0,0,0,48.16,260.67,115.18,10.43,0,2.89,0,3.74,1.93,2.89,96.33,30.28,5.38,2.89,272.37,43.78,28.9,0,9.96,0,4.05,23.86,9.63,72.25,7.74,4.51,9.63,72.25,23.86,14.59,9.63,86.89,100.36,19.27,0,19.67,71.66,71.67,14.33

21,05:00-05:15,0,0,0,0,73.01,6,0,24.33,0,0,0,0,0,0,0,0,0,48.16,260.67,115.18,10.43,0,2.89,0,3.74,1.93,2.89,96.33,30.28,5.38,2.89,272.37,43.78,28.9,0,9.86,0,4.05,23.86,9.63,72.25,7.74,4.51,9.63,72.25,23.86,14.59,9.63,86.89,100.36,19.27,0,24.33,71,71,18.33

22,05:15-05:30,0,0,0,0,73.5,6,0,24.5,0,0,0,0,0,0,0,0,0,48.16,260.67,115.18,10.43,0,2.89,0,3.74,1.93,2.89,96.33,29.78,5.38,2.89,272.37,43.78,28.9,0,9.86,0,4.05,23.86,9.63,72.25,7.74,4.51,9.63,72.25,23.86,14.59,9.63,86.89,100.36,19.27,0,24.5,70.66,70.67,18

23,05:30-05:45,0,0,0,0,73.01,6,0,24.33,0,0,0,0,0,0,0,0,0,48.16,260.67,115.18,10.43,0,2.89,0,3.74,1.93,2.89,96.33,29.27,5.38,2.89,272.37,43.78,28.9,0,9.86,0,4.05,23.86,9.63,72.25,7.74,4.51,9.63,72.25,23.86,14.59,9.63,63.17,100.36,19.27,0,24.33,70.34,70.33,17.67

24,05:45-06:00,0,0,0,0,72.49,6,0.19,24.17,0,0,0,0,0,0,0,0,0,48.16,260.67,115.18,10.43,0,2.89,0,3.74,1.93,2.89,96.33,29.27,5.38,2.89,272.37,43.78,28.9,0,9.86,0,4.05,23.86,9.63,72.25,7.74,4.51,9.63,72.25,23.86,14.59,9.63,63.17,100.36,19.27,0,24.17,70,70,17.33

25,06:00-06:15,0,0.01,0,0,70.99,6,1.53,23.67,0,0,1,0,0.04,1,0,0,0,48.16,260.67,115.18,10.43,0,2.89,0,3.64,1.93,2.89,96.33,28.76,5.38,2.89,272.37,43.78,28.9,0,9.77,0,4.05,23.86,9.63,72.25,7.74,4.35,9.63,72.25,23.86,14.59,9.63,63.17,100.36,19.27,0,23.67,69.66,69.67,16.67

26,06:15-06:30,0,0.62,0,0.7,70.01,6,4.23,23.33,0,1,2,5.32,3.1,5,2,0.28,0,48.16,260.67,115.18,10.43,0,2.89,0,3.64,1.93,2.89,96.33,28.26,5.38,2.89,272.37,43.78,28.9,0,9.77,0,4.05,23.86,9.63,72.25,7.74,4.35,9.63,72.25,23.86,14.59,9.63,63.17,100.36,19.27,0,23.33,69.34,69.33,16

27,06:30-06:45,1,1.74,0,21.53,69,6,8.39,23,1,2,3,14.73,8.71,7,5,3.5,0,48.16,212.5,115.18,10.43,0,2.89,0,3.64,1.93,2.89,96.33,27.75,5.38,2.89,272.37,43.78,28.9,0,9.77,0,4.05,32,9.63,72.25,7.74,4.35,9.63,72.25,17.6,14.59,9.63,63.17,100.36,19.27,0,23,68.34,68.33,15.33

