Time,Block,NR/2023/15692/D,NR/2023/14898/A,NR/2023/15693/C,NR/2023/15723/C,NR/2023/15712/C,NR/2023/15303/F,NR/2023/15309/F,NR/2023/15706/C,NR/2023/12148/A,NR/2023/13862/A,NR/2023/13635/A,NR/2023/15412/F,NR/2023/14746/A,NR/2023/15306/F,NR/2023/15296/F,NR/2023/12431/A,NR/2023/15689/D,NR/2023/15695/C,NR/2023/12591/A,NR/2023/15057/F,NR/2023/15304/F,NR/2023/12167/A,NR/2023/12052/A,NR/2023/14745/A,NR/2023/12168/A,NR/2023/12347/A,NR/2023/12053/A,NR/2023/12422/A,NR/2023/15696/C,NR/2023/15402/F,NR/2023/12592/A,NR/2023/14737/A,NR/2023/14895/A,Total
,,KEIPL,MANIKARAN,KEIPL,SJVNL,HPXL,BSHP,IEXL,TPDDL,GMRETL,MANIKARAN,NVVNL,NVVNL,APPCPL,BSHP,BSHP,TPTCL,NVVNL,GBHHPL,NVVNL,ITCLH,BSHP,APPCPL,KEIPL,APPCPL,APPCPL,STATKRAFT,KEIPL,APPCPL,SJVNL,SJVNL,NVVNL,NVVNL,MANIKARAN,Total

,,MAHARASHTRA,HIMACHAL PRADESH,UTTAR PRADESH,NA,NA,HIMACHAL PRADESH,JAMMU AND KASHMIR,HIMACHAL PRADESH,MEGHALAYA,TAMIL NADU,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NA,ANDHRA PRADESH,HIMACHAL PRADESH,MEGHALAYA,MEGHALAYA,GOA,UTTARAKHAND,TAMIL NADU,MEGHALAYA,HIMACHAL PRADESH,NA,UTTAR PRADESH,NA,NA,HIMACHAL PRADESH,
,,LMEL MSEB,HP,LAPL-UP,RSRPL_BKN,Teesta_III,BSHP,SAPU1234,CHANJUII,Meghalaya_Ben,TANGEDCO,KAMENG,KAMENG,HP,BSHP,BSHP,JPL-2,SOLAPUR_SOLAR,GBHHPL,JPNIGRIE_JNSTPP,ITCWIND,BSHP,Meghalaya_Ben,Meghalaya_Ben,GOA_Beneficiary,UTTARAKHAND,TANGEDCO,Meghalaya_Ben,HP,DIKCHU,BCMLB001,JPNIGRIE_JNSTPP,SKS Raigarh,HP,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BYPL,BRPL,BYPL,NDMC,BRPL,MAX-HPTL,MES (Delhi),TPDDL,BYPL,BRPL,BRPL,TPDDL,BRPL,BMDRC,JHPL-DL,BRPL,MES (Delhi),DIAPL,BRPL,ITCLH,MHIL,BYPL,BYPL,BRPL,BYPL,BYPL,BYPL,BYPL,NDMC,NDMC,BRPL,NDMC,BRPL,
,,West-North,North-North,North-North,North-North,East-North,North-North,North-North,North-North,North East-East-North,South-East-North,North East-East-North,North East-East-North,North-North,North-North,North-North,West-North,West-North,North-North,West-North,South-West-North,North-North,North East-East-North,North East-East-North,West-North,North-North,South-West-North,North East-East-North,North-North,East-North,North-North,West-North,West-North,North-North,
1,00:00-00:15,13.550000,70.160000,0.000000,0,243.860000,0.910000,4.840000,18.530000,22.260000,23.160000,21.290000,193.540000,77.900000,0.930000,0.970000,108.870000,0,6.060000,42.570000,0.870000,0.580000,24.190000,63.140000,24.190000,46.640000,98.710000,36.510000,33.390000,0.000000,0.000000,85.140000,62.900000,95.800000,1421.46

2,00:15-00:30,13.550000,70.160000,38.710000,0,201.280000,0.910000,4.840000,18.530000,22.260000,23.160000,21.290000,193.540000,77.900000,0.930000,0.970000,108.870000,0,6.060000,42.570000,0.870000,0.580000,24.190000,63.140000,24.190000,46.640000,98.710000,36.510000,33.390000,0.000000,0.000000,85.140000,62.900000,95.800000,1417.59

3,00:30-00:45,13.550000,70.160000,38.710000,0,161.610000,0.910000,4.840000,18.530000,22.260000,23.160000,21.290000,193.540000,77.900000,0.930000,0.970000,108.870000,0,6.060000,42.570000,0.870000,0.580000,24.190000,63.140000,24.190000,46.640000,98.710000,36.510000,33.390000,0.000000,0.000000,85.140000,62.900000,95.800000,1377.92

4,00:45-01:00,13.550000,70.160000,38.710000,0,119.990000,0.910000,4.840000,18.530000,22.260000,23.160000,21.290000,193.540000,77.900000,0.930000,0.970000,108.870000,0,6.060000,42.570000,0.870000,0.580000,24.190000,63.140000,24.190000,46.640000,98.710000,36.510000,33.390000,0.000000,0.000000,85.140000,62.900000,95.800000,1336.3

5,01:00-01:15,13.550000,70.160000,38.710000,0,57.090000,0.910000,4.840000,18.530000,22.260000,23.160000,21.290000,193.540000,77.900000,0.930000,0.970000,108.870000,0,6.060000,42.570000,0.680000,0.580000,24.190000,63.140000,24.190000,46.640000,98.710000,36.510000,33.390000,0.000000,0.000000,85.140000,62.900000,95.800000,1273.21

6,01:15-01:30,13.550000,70.160000,38.710000,0,23.220000,0.910000,4.840000,18.530000,22.260000,23.160000,21.290000,193.540000,77.900000,0.930000,0.970000,108.870000,0,5.040000,42.570000,0.680000,0.580000,24.190000,63.140000,24.190000,46.640000,98.710000,36.510000,33.390000,0.000000,0.000000,85.140000,62.900000,95.800000,1238.32

7,01:30-01:45,13.550000,70.160000,38.710000,0,0.000000,0.910000,4.840000,18.530000,22.260000,23.160000,21.290000,193.540000,77.900000,0.930000,0.970000,108.870000,0,5.040000,42.570000,0.680000,0.580000,24.190000,63.140000,24.190000,46.640000,98.710000,36.510000,33.390000,0.000000,0.000000,85.140000,62.900000,95.800000,1215.1

8,01:45-02:00,13.550000,70.160000,38.710000,0,0.000000,0.910000,4.840000,18.530000,22.260000,23.160000,21.290000,193.540000,77.900000,0.930000,0.970000,108.870000,0,5.040000,42.570000,0.680000,0.580000,24.190000,63.140000,24.190000,46.640000,98.710000,36.510000,33.390000,0.000000,0.000000,85.140000,62.900000,95.800000,1215.1

9,02:00-02:15,13.550000,70.160000,38.710000,0,0.000000,0.910000,4.840000,18.530000,22.260000,23.160000,21.290000,193.540000,77.900000,0.930000,0.970000,108.870000,0,5.040000,42.570000,0.580000,0.580000,24.190000,63.140000,24.190000,46.640000,98.710000,36.510000,33.390000,0.000000,0.000000,85.140000,62.900000,95.800000,1215

10,02:15-02:30,13.550000,70.160000,38.710000,0,0.000000,0.910000,4.840000,18.530000,22.260000,23.160000,21.290000,193.540000,77.900000,0.930000,0.970000,108.870000,0,5.040000,42.570000,0.580000,0.580000,24.190000,63.140000,24.190000,46.640000,98.710000,36.510000,33.390000,0.000000,0.000000,85.140000,62.900000,95.800000,1215

11,02:30-02:45,13.550000,70.160000,38.710000,0,0.000000,0.910000,4.840000,18.530000,22.260000,23.160000,21.290000,193.540000,77.900000,0.930000,0.970000,108.870000,0,5.040000,42.570000,0.580000,0.580000,24.190000,63.140000,24.190000,46.640000,98.710000,36.510000,33.390000,0.000000,0.000000,85.140000,62.900000,95.800000,1215

12,02:45-03:00,13.550000,70.160000,38.710000,0,0.000000,0.910000,4.840000,18.530000,22.260000,23.160000,21.290000,193.540000,77.900000,0.930000,0.970000,108.870000,0,6.060000,42.570000,0.580000,0.580000,24.190000,63.140000,24.190000,46.640000,98.710000,36.510000,33.390000,0.000000,0.000000,85.140000,62.900000,95.800000,1216.02

13,03:00-03:15,13.550000,70.160000,38.710000,0,0.000000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,77.900000,0.930000,0.970000,108.870000,0,6.060000,42.570000,0.530000,0.580000,24.190000,63.140000,24.190000,46.640000,98.710000,0.000000,33.390000,0.000000,0.000000,85.140000,62.900000,95.800000,1156.3

14,03:15-03:30,13.550000,70.160000,38.710000,0,0.000000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,77.900000,0.930000,0.970000,108.870000,0,6.060000,42.570000,0.530000,0.580000,24.190000,63.140000,24.190000,46.640000,98.710000,0.000000,33.390000,0.000000,0.000000,85.140000,62.900000,95.800000,1156.3

15,03:30-03:45,13.550000,70.160000,38.710000,0,0.000000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,77.900000,0.930000,0.970000,108.870000,0,6.060000,42.570000,0.530000,0.580000,24.190000,63.140000,24.190000,46.640000,98.710000,0.000000,33.390000,0.000000,0.000000,85.140000,62.900000,95.800000,1156.3

16,03:45-04:00,13.550000,70.160000,38.710000,0,0.000000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,77.900000,0.930000,0.970000,108.870000,0,6.060000,42.570000,0.530000,0.580000,24.190000,63.140000,24.190000,46.640000,98.710000,0.000000,33.390000,0.000000,0.000000,85.140000,62.900000,95.800000,1156.3

17,04:00-04:15,13.550000,70.160000,38.710000,0,0.000000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,77.900000,0.930000,0.970000,108.870000,0,6.060000,42.570000,0.530000,0.580000,24.190000,63.140000,24.190000,46.640000,98.710000,0.000000,33.390000,0.000000,0.000000,85.140000,62.900000,95.800000,1156.3

18,04:15-04:30,13.550000,70.160000,38.710000,0,0.000000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,77.900000,0.930000,0.970000,108.870000,0,6.060000,42.570000,0.530000,0.580000,24.190000,63.140000,24.190000,46.640000,98.710000,0.000000,33.390000,0.000000,0.000000,85.140000,62.900000,95.800000,1156.3

19,04:30-04:45,13.550000,70.160000,38.710000,0,0.000000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,77.900000,0.930000,0.970000,108.870000,0,6.060000,42.570000,0.530000,0.580000,24.190000,63.140000,24.190000,46.640000,98.710000,0.000000,33.390000,0.000000,0.000000,85.140000,62.900000,95.800000,1156.3

20,04:45-05:00,13.550000,70.160000,38.710000,0,0.000000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,77.900000,0.930000,0.970000,108.870000,0,6.060000,42.570000,0.530000,0.580000,24.190000,63.140000,24.190000,46.640000,98.710000,0.000000,33.390000,0.000000,0.000000,85.140000,62.900000,95.800000,1156.3

21,05:00-05:15,13.550000,70.160000,38.710000,0,0.000000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,77.900000,0.930000,0.970000,108.870000,0,5.040000,42.570000,0.530000,0.580000,24.190000,63.140000,24.190000,46.640000,0.000000,0.000000,33.390000,0.000000,0.000000,85.140000,62.900000,95.800000,1056.57

22,05:15-05:30,13.550000,70.160000,38.710000,0,0.000000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,77.900000,0.930000,0.970000,108.870000,0,5.040000,42.570000,0.530000,0.580000,24.190000,63.140000,24.190000,46.640000,0.000000,0.000000,33.390000,0.000000,0.000000,85.140000,62.900000,95.800000,1056.57

23,05:30-05:45,13.550000,70.160000,38.710000,0,0.000000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,77.900000,0.930000,0.970000,108.870000,0,5.040000,42.570000,0.530000,0.580000,24.190000,63.140000,24.190000,46.640000,0.000000,0.000000,33.390000,0.000000,0.000000,85.140000,62.900000,95.800000,1056.57

24,05:45-06:00,13.550000,70.160000,38.710000,0,0.000000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,77.900000,0.930000,0.970000,108.870000,0,5.040000,42.570000,0.530000,0.580000,24.190000,63.140000,24.190000,46.640000,0.000000,0.000000,33.390000,0.000000,0.000000,85.140000,62.900000,95.800000,1056.57

25,06:00-06:15,13.550000,70.160000,0.000000,0,0.000000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,108.870000,0,5.040000,42.570000,0.680000,0.580000,24.190000,63.140000,24.190000,46.640000,0.000000,0.000000,0.000000,0.000000,0.000000,85.140000,62.900000,95.800000,906.72

26,06:15-06:30,13.550000,70.160000,0.000000,0,0.000000,0.910000,4.840000,18.530000,22.260000,0.000000,21.290000,193.540000,0.000000,0.930000,0.970000,108.870000,0,5.040000,42.570000,0.680000,0.580000,24.190000,63.140000,24.190000,46.640000,0.000000,0.000000,0.000000,0.000000,0.000000,85.140000,62.900000,95.800000,906.72

