Block,Time,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/25122043/GNA_MEJA_DELHI,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_35,NR/01102023/22052037/LT-59,NR/01102023/31102037/L_NR_2019_11,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_36,NR/30092023/26122029/SH-06,NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31052040/LT-31,NR/01102023/23072042/L_NR_2012_04,WR/01102023/29112042/RUMS(L_NR_2019_07),SR/01102023/07102043/L_NR_2018_61,WR/01102023/31032046/L_NR_2020_05,NR/01102023/13082046/L_NR_2021_12,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/08032047/L_NR_2021_14,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2022_09,L_NR_2019_19,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,NR/26072023/31072042/L_NR_2023_07,NR/22102023/11042047/L_NR_2021_17,NR/26072023/25122043/L_NR_2023_10,NR/01102023/25072045/L_NR_2021_15
1,00:00-00:15,27.110000,0.000000,26.130000,0.000000,2.640000,2.390000,2.980000,74.240000,0.000000,26.130000,72.030000,101.410000,212.040000,0.000000,272.310000,0,7.21,30.29,0,10.09,0,0,8.79,0,26.25,0,10.1,26.25,0,0,0,0,0,0

2,00:15-00:30,27.110000,0.000000,26.130000,0.000000,2.640000,2.390000,2.980000,74.240000,0.000000,26.130000,72.030000,101.410000,212.040000,0.000000,272.310000,0,7.21,29.19,0,9.72,0,0,8.62,0,25.25,0,9.73,25.25,0,0,0,0,0,0

3,00:30-00:45,27.110000,0.000000,26.130000,0.000000,2.640000,2.390000,2.980000,74.240000,0.000000,26.130000,72.030000,101.410000,212.040000,0.000000,272.310000,0,7.21,27.16,0,9.06,0,0,8.47,0,23.34,0,9.05,23.34,0,0,0,0,0,0

4,00:45-01:00,27.110000,0.000000,26.130000,0.000000,2.640000,2.390000,2.980000,74.240000,0.000000,26.130000,72.030000,101.410000,212.040000,0.000000,272.310000,0,7.21,24,0,8,0,0,8.3,0,21.98,0,8,21.98,0,0,0,0,0,0

5,01:00-01:15,27.110000,0.000000,26.130000,0.000000,2.640000,2.390000,2.980000,74.240000,0.000000,26.130000,72.030000,101.410000,212.040000,0.000000,272.310000,0,7.21,21,0,7,0,0,8.16,0,20.87,0,7,20.87,0,0,0,0,0,0

6,01:15-01:30,27.110000,0.000000,26.130000,0.000000,2.640000,2.390000,2.980000,74.240000,0.000000,26.130000,72.030000,101.410000,212.040000,0.000000,272.310000,0,7.21,21,0,7,0,0,7.84,0,19.73,0,7,19.73,0,0,0,0,0,0

7,01:30-01:45,27.110000,0.000000,26.130000,0.000000,2.640000,2.390000,2.980000,65.060000,0.000000,26.130000,72.030000,101.410000,212.040000,0.000000,272.310000,0,7.21,21,0,7,0,0,7.53,0,18.75,0,7,18.75,0,0,0,0,0,0

8,01:45-02:00,27.110000,0.000000,26.130000,0.000000,2.640000,2.390000,2.980000,65.060000,0.000000,26.130000,72.030000,101.410000,212.040000,0.000000,272.310000,0,7.21,21,0,7,0,0,7.01,0,17.49,0,7,17.49,0,0,0,0,0,0

9,02:00-02:15,27.110000,0.000000,26.130000,0.000000,2.640000,2.390000,2.980000,49.070000,0.000000,26.130000,72.030000,101.410000,185.700000,0.000000,272.310000,0,7.21,21,0,7,0,0,7,0,16.61,0,7,16.61,0,0,0,0,0,0

10,02:15-02:30,27.110000,0.000000,26.130000,0.000000,2.640000,2.390000,2.980000,49.070000,0.000000,26.130000,72.030000,53.250000,185.700000,0.000000,272.310000,0,7.21,21,0,7,0,0,7,0,15.3,0,7,15.3,0,0,0,0,0,0

11,02:30-02:45,27.110000,0.000000,26.130000,0.000000,2.640000,2.390000,2.980000,49.070000,0.000000,26.130000,72.030000,53.250000,153.870000,0.000000,232.370000,0,7.21,21,0,7,0,0,7,0,15.19,0,7,15.19,0,0,0,0,0,0

12,02:45-03:00,27.110000,0.000000,26.130000,0.000000,2.640000,2.390000,2.980000,49.070000,0.000000,26.130000,72.030000,53.250000,153.870000,0.000000,193.640000,0,7.21,21,0,7,0,0,7,0,14.98,0,7,14.98,0,0,0,0,0,0

13,03:00-03:15,27.110000,0.000000,26.130000,0.000000,2.570000,2.310000,2.980000,49.070000,0.000000,26.130000,72.030000,53.250000,153.870000,0.000000,193.640000,0,7.21,21,0,7,0,0,7,0,14.86,0,7,14.86,0,0,0,0,0,0

14,03:15-03:30,27.110000,0.000000,26.130000,0.000000,2.570000,2.310000,2.980000,49.070000,0.000000,26.130000,72.030000,53.250000,153.870000,0.000000,193.640000,0,7.21,21,0,7,0,0,7,0,14.78,0,7,14.78,0,0,0,0,0,0

15,03:30-03:45,27.110000,0.000000,26.130000,0.000000,2.570000,2.310000,2.980000,49.070000,0.000000,26.130000,72.030000,53.250000,153.870000,0.000000,193.640000,0,7.21,21,0,7,0,0,7,0,14.7,0,7,14.7,0,0,0,0,0,0

16,03:45-04:00,27.110000,0.000000,26.130000,0.000000,2.570000,2.310000,2.980000,49.070000,0.000000,26.130000,72.030000,53.250000,153.870000,0.000000,193.640000,0,7.21,21,0,7,0,0,7,0,14.65,0,7,14.65,0,0,0,0,0,0

17,04:00-04:15,27.110000,0.000000,26.130000,0.000000,2.570000,2.310000,2.980000,49.070000,0.000000,26.130000,72.030000,53.250000,153.870000,0.000000,193.640000,0,7.21,21,0,7,0,0,7,0,13.33,0,7,13.33,0,0,0,0,0,0

18,04:15-04:30,27.110000,0.000000,26.130000,0.000000,2.570000,2.310000,2.980000,49.070000,0.000000,26.130000,72.030000,62.930000,153.870000,0.000000,232.370000,0,7.21,21,0,7,0,0,7,0,13.33,0,7,13.33,0,0,0,0,0,0

19,04:30-04:45,26.140000,0.000000,26.130000,0.000000,2.570000,2.310000,2.980000,65.060000,0.000000,26.130000,72.030000,101.410000,185.700000,0.000000,272.310000,0,7.21,21,0,7,0,0,7,0,13.33,0,7,13.33,0,0,0,0,0,0

20,04:45-05:00,26.140000,0.000000,26.130000,0.000000,2.570000,2.310000,2.980000,65.060000,0.000000,26.130000,72.030000,101.410000,185.700000,0.000000,272.310000,0,7.21,21,0,7,0,0,7,0,13.33,0,7,13.33,0,0,0,0,0,0

21,05:00-05:15,26.140000,0.000000,26.130000,0.000000,2.410000,2.310000,2.980000,74.240000,0.000000,26.130000,72.030000,101.410000,212.040000,0.000000,272.310000,0,7.21,21,0,7,0,0,7,0,13.33,0,7,13.33,0,0,0,0,0,0

22,05:15-05:30,27.110000,0.000000,26.130000,0.000000,2.410000,2.310000,2.980000,74.240000,0.000000,26.130000,72.030000,101.410000,212.040000,0.000000,272.310000,0,7.21,21,0,7,0,0,7,0,13.33,0,7,13.33,0,0,0,0,0,0

23,05:30-05:45,27.110000,0.000000,26.130000,0.000000,2.410000,2.310000,2.980000,74.240000,0.000000,26.130000,72.030000,101.410000,212.040000,0.000000,272.310000,0,7.21,21,0,7,0,0,7,0,13.33,0,7,13.33,0,0,0,0,0,0

24,05:45-06:00,27.110000,0.000000,26.130000,0.000000,2.410000,2.310000,2.980000,74.240000,0.000000,26.130000,118.120000,101.410000,212.040000,0.000000,272.310000,0,7.21,21,0,7,0,0,7,0,13.33,0,7,13.33,0,0,0,0,0,0

25,06:00-06:15,27.110000,0.000000,26.130000,0.000000,2.410000,2.310000,2.980000,74.240000,0.000000,26.130000,118.120000,101.410000,212.040000,0.000000,272.310000,2.22,7.01,21,0,7,0,0,5.66,0,13.33,0,7,13.33,0,0,0,0,0,0

26,06:15-06:30,27.110000,0.000000,26.130000,0.000000,2.410000,2.310000,2.980000,74.240000,0.000000,26.130000,72.030000,101.410000,212.040000,0.000000,272.310000,10,7.01,21,0,7,0,0,5.66,2.04,13.33,0.399135,7,13.33,0,0,0,0,0,0

27,06:30-06:45,27.110000,0.000000,26.130000,0.000000,2.410000,2.310000,2.980000,74.240000,0.000000,26.130000,72.030000,101.410000,212.040000,0.000000,272.310000,18,7.01,21,0,7,3,0,5.66,5.85,13.33,5.909145,7,13.33,0,0,0,0,0,0.32

