Block,Time Block,SALAL,SEWA2,SASAN,RSTPSU7,NLCTS2EXP,RAPPC,NTPL,NNTPP,PARBATI3,RAPPB,RIHAND3,RIHAND2,RIHAND1,RSTPSU1TO6,RAMPUR,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NAPP,MAPS,KOTESHWR,KUDGI,KHSTPP-II,KKNP,KKNPPU2,KISHANGANGA,KOLDAM,CHAMERA1,BSIUL,BRBCL,KHSTPP-I,AURY_LF,DADRI_LF,ANTA_LF,AURY_GF,DADRI_GF,ANTA_GF,AURY_CRF,DADRI_CRF,AURY_RF,DADRI_RF,ANTA_CRF,ANTA_RF,DHAULIGNGA,FSTPP I & II,DULHASTI,JHAJJAR,KGSU1AND2,KGSU3AND4,DADRT2,CHAMERA3,CHAMERA2,UNCHAHAR3,TANAKPUR,SIMHST2,UNCHAHAR4,TALA,TelanganaSTPP,SINGRAULI,UNCHAHAR2,TEHRI,TANDA2,UNCHAHAR1,TALST2,SIMHST1,SINGRAULI_HYDRO,URI,VALLURNTECL,URI2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,24.55,10.11,377.24,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,142.37,0,0,0,0,0,6.26,16.29,43.71,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47,15.82,364.49,0,0,585.58,0,0,25.34,0,0,0,0,0,134.1,40.69,0,0,18.1,0,0,0.72,34.97,0,30.62,0,0,0,0,0

2,00:15-00:30,24.55,10.11,378,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,142.37,0,0,0,0,0,6.26,16.06,43.71,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47,15.82,364.49,0,0,585.58,0,0,25.34,0,0,0,0,0,134.1,40.69,0,0,18.1,0,0,0.72,34.97,0,30.62,0,0,0,0,0

3,00:30-00:45,66.93,10.11,378,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,142.37,0,0,0,0,0,6.26,15.62,43.71,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47,15.82,417.26,0,0,655.8,0,0,25.34,0,0,0,0,0,134.1,40.69,0,0,18.1,0,0,0.72,34.97,0,30.62,0,0,0,0,0

4,00:45-01:00,66.93,10.11,378,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,142.37,0,0,0,0,0,6.26,13.24,43.71,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47,15.82,417.26,0,0,655.81,0,0,25.34,0,0,0,0,0,134.1,40.69,0,0,18.1,0,0,0.72,34.97,0,30.62,0,0,0,0,0

5,01:00-01:15,66.93,10.11,378,0,0,24.85,0,0,0,0,59.67,114.01,88.32,0,0,0,0,0,0,19.38,0,8.52,0,142.37,0,0,0,0,0,6.26,13.32,43.71,0,0,0,0,0,0,0,0,0,0,0,0,0,17.47,15.82,417.26,0,0,622.58,0,0,25.34,5.53,0,0,0,0,134.1,40.69,0,0,18.1,0,0,0.72,34.97,0,30.62,0,0,0,0,0

