Block,Time,KKNPPU2,PARBATI3,RIHAND1,SALAL,TANDA2,TelanganaSTPP,UNCHAHAR4,ANTA_CRF,DADRI_LF,BSIUL,KOTESHWR,KUDGI,NAPP,NLCTS2EXP,RAMPUR,RSTPSU1TO6,SINGRAULI_HYDRO,URI,AURY_RF,KHSTPP-I,RIHAND3,SEWA2,UNCHAHAR3,ANTA_LF,BRBCL,CHAMERA1,KGSU3AND4,RAPPB,RIHAND2,SIMHST2,TALA,TALST2,TANAKPUR,UNCHAHAR2,AURY_CRF,AURY_LF,DHAULIGNGA,DULHASTI,KKNP,MAPS,NJPC,NNTPP,RAPPC,SIMHST1,DADRI_GF,DADRT2,KGSU1AND2,KHSTPP-II,NLCEXP,NLCIIST1,NTPL,TEHRI,AURY_GF,DADRI_CRF,CHAMERA3,RSTPSU7,SINGRAULI,URI2,ANTA_GF,DADRI_RF,CHAMERA2,FSTPP I & II,JHAJJAR,KISHANGANGA,KOLDAM,NLCIIST2,SASAN,UNCHAHAR1,VALLURNTECL,ANTA_RF
1,00:00-00:15,0,0,92,12.78,0,0,0,0,21.92,0,8.87,0,41.97,0,0,0,0,3.98,69.5,45.53,60.02,0,0,0,15,0,0,0,94.5,0,0,0,13.06,42.4,0,0,9.11,32.96,0,0,42.62,0,52.03,0,0,341.57,0,148.3,0,0,0,14.93,0,0,0,0,139.68,18.83,0,66.85,2.4,20.8,472.31,0,0,0,247.5,20.84,0,42.74

2,00:15-00:30,0,0,92,12.78,0,0,0,0,21.92,0,8.87,0,41.97,0,0,0,0,3.98,69.5,45.53,60.02,0,0,0,15,0,0,0,94.5,0,0,0,13.06,42.4,0,0,9.11,32.96,0,0,42.62,0,52.03,0,0,341.57,0,148.3,0,0,0,14.93,0,0,0,0,139.68,18.83,0,66.85,2.4,20.8,472.31,0,0,0,247.5,20.84,0,42.74

3,00:30-00:45,0,0,92,12.78,0,0,0,0,21.92,0,8.87,0,41.97,0,0,0,0,3.98,69.5,45.53,60.02,0,0,0,15,0,0,0,100.8,0,0,0,8.96,42.4,0,0,9.11,32.96,0,0,42.62,0,52.03,0,0,341.57,0,148.3,0,0,0,14.93,0,0,0,0,139.68,18.83,0,66.85,2.4,20.8,472.31,0,0,0,247.5,20.84,0,42.74

4,00:45-01:00,0,0,92,12.78,0,0,0,0,21.92,0,8.87,0,41.97,0,0,0,0,3.98,69.5,45.53,60.02,0,0,0,15,0,0,0,107.1,0,0,0,8.96,42.4,0,0,9.11,32.96,0,0,42.62,0,52.03,0,0,341.57,0,148.3,0,0,0,14.93,0,0,0,0,139.68,18.83,0,66.85,2.4,20.8,472.31,0,0,0,247.5,20.84,0,42.74

5,01:00-01:15,0,0,92,12.78,0,0,0,0,21.92,0,8.87,0,41.97,0,0,0,0,2.21,69.5,45.53,60.02,0,0,0,15,0,0,0,113.4,0,0,0,8.96,42.4,0,0,9.11,32.96,0,0,42.62,0,52.03,0,0,341.57,0,148.3,0,0,0,14.93,0,0,0,0,139.68,18.83,0,66.85,2.4,20.8,472.31,0,0,0,247.5,20.84,0,42.74

6,01:15-01:30,0,0,92,12.78,0,0,0,0,21.92,0,8.87,0,41.97,0,0,0,0,2.21,69.5,45.53,60.02,0,0,0,15,0,0,0,118.76,0,0,0,8.96,42.4,0,0,9.11,32.96,0,0,42.62,0,52.03,0,0,341.57,0,148.3,0,0,0,14.93,0,0,0,0,139.68,18.83,0,66.85,2.4,20.8,472.31,0,0,0,247.5,20.84,0,42.74

7,01:30-01:45,0,0,92,12.78,0,0,0,0,21.92,0,8.87,0,41.97,0,0,0,0,2.21,69.5,45.53,60.02,0,0,0,15,0,0,0,118.76,0,0,0,8.96,42.4,0,0,9.11,32.96,0,0,42.62,0,52.03,0,0,341.57,0,148.3,0,0,0,14.93,0,0,0,0,139.68,4.57,0,66.85,2.4,20.8,472.31,0,0,0,247.5,20.84,0,42.74

8,01:45-02:00,0,0,92,26.73,0,0,0,0,21.92,0,8.87,0,41.97,0,0,0,0,2.21,69.5,45.53,60.02,0,0,0,15,0,0,0,118.76,0,0,0,8.96,42.4,0,0,9.11,32.96,0,0,42.62,0,52.03,0,0,341.57,0,148.3,0,0,0,14.93,0,0,0,0,139.68,4.57,0,66.85,2.4,20.8,472.31,0,0,0,247.5,20.84,0,42.74

9,02:00-02:15,0,0,92,79.38,0,0,0,0,21.92,0,8.87,0,41.97,0,0,0,0,2.21,69.5,45.53,60.02,0,0,0,15,0,0,0,118.76,0,0,0,13.06,42.4,0,0,9.11,32.96,0,0,42.62,0,52.03,0,0,341.57,0,148.3,0,0,0,14.93,0,0,0,0,139.68,4.57,0,66.85,2.4,20.8,472.31,0,0,0,247.5,20.84,0,42.74

10,02:15-02:30,0,0,92,79.38,0,0,0,0,21.92,0,8.87,0,41.97,0,0,0,0,2.21,69.5,45.53,60.02,0,0,0,15,0,0,0,118.76,0,0,0,13.06,42.4,0,0,9.11,32.96,0,0,42.62,0,52.03,0,0,341.57,0,148.3,0,0,0,14.93,0,0,0,0,139.68,4.57,0,66.85,2.4,20.8,472.31,0,0,0,247.5,20.84,0,42.74

11,02:30-02:45,0,0,92,79.38,0,0,0,0,21.92,0,8.87,0,41.97,0,0,0,0,2.21,69.5,45.53,60.02,0,0,0,15,0,0,0,118.76,0,0,0,9.61,42.4,0,0,9.11,32.96,0,0,42.62,0,52.03,0,0,341.57,0,148.3,0,0,0,14.93,0,0,0,0,139.68,4.57,0,66.85,2.4,20.8,472.31,0,0,0,247.5,20.84,0,42.74

