Column1,Block,NR/2025/26236/A/71327,GNARE/NR/2024/12/20/3668,NR/2025/26335/A/71720,NR/2025/26202/A/71840,NR/2025/26772/C,NR/2025/26191/A/71299,NR/2025/26773/C,NR/2025/26200/A/71790,NR/2025/26233/A/71774,NR/2025/26720/C,NR/2025/26721/C,NR/2025/26769/C,NR/2025/26336/A/71718,SR/2025/17039/C,NR/2025/26723/C,NR/2025/26725/C,NR/2025/26197/A/71799,NR/2025/26265/A/71773,NR/2025/26002/A/71756,NR/2025/26085/A/71252,NR/2025/25855/A/71738,NR/2025/26101/A/71458,NR/2025/26199/A/71794,NR/2025/26198/A/71796,NR/2025/26689/A/71386,NR/2025/25858/A/71739,NR/2025/26289/A/71772,NR/2025/26718/C,NR/2025/26201/A/71786,NR/2025/26719/C,NR/2025/26759/C,NR/2025/26312/A/71326,NR/2025/26232/A/71775,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/4138,GNA/SR/2025/05/13/1025,NR/2025/26153/A/71328,NR/2025/26291/A/71771,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/6957,GNA/SR/2025/05/13/2161,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/2474,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/8068,Total
8,01:45-02:00,0,0,0,96.3,54.12,48.15,34.67,14.59,4.82,0,0,0,134.82,0,0,0,14.59,96.3,0,0.67,144.45,0,43.77,43.77,6.74,0,48.15,0,37.21,0,127.12,0,4.82,28.89,0,0,62.6,24.08,0,14.44,14.44,0,5.78,67.41,192.6,192.6,373,32,32,144.45,28.94,10.6,0,13.48,28.89,10.59,2231.85

9,02:00-02:15,0,0,0,96.3,54.12,48.15,34.67,14.59,4.82,0,0,0,134.82,0,0,0,14.59,0,0,0.63,144.45,0,43.77,43.77,6.74,0,48.15,0,37.21,0,127.12,0,4.82,28.89,0,0,62.6,24.08,0,0,14.44,96.3,0,0,192.6,192.6,373,30,30,144.45,28.94,10.41,0,13.48,0,10.59,2111.1

10,02:15-02:30,0,0,0,96.3,54.12,48.15,34.67,14.59,4.82,0,0,0,134.82,0,0,0,14.59,0,0,0.63,144.45,0,43.77,43.77,6.74,0,48.15,0,37.21,0,127.12,0,4.82,28.89,0,0,62.6,24.08,0,0,14.44,96.3,0,0,192.6,192.6,373,30,30,144.45,28.94,10.41,0,13.48,0,10.59,2111.1

11,02:30-02:45,0,0,0,96.3,54.12,48.15,34.67,14.59,4.82,0,0,0,134.82,0,0,0,14.59,0,0,0.63,144.45,0,43.77,43.77,6.74,0,48.15,0,37.21,0,127.12,0,4.82,28.89,0,0,62.6,24.08,0,0,14.44,96.3,0,0,192.6,192.6,440,9.39,30,144.45,28.94,10.41,0,13.48,0,10.59,2157.4900000000002

12,02:45-03:00,0,0,0,96.3,54.12,48.15,34.67,14.59,4.82,0,0,0,134.82,0,0,0,14.59,0,0,0.63,144.45,0,43.77,43.77,6.74,0,48.15,0,37.21,0,127.12,0,4.82,28.89,0,0,62.6,24.08,0,0,14.44,96.3,0,0,192.6,192.6,457,23.51,30,144.45,28.94,10.41,0,13.48,0,10.59,2188.61

