Column1,Block,NR/2025/26236/A/71327,GNARE/NR/2024/12/20/3668,NR/2025/26335/A/71720,NR/2025/26202/A/71840,NR/2025/26772/C,NR/2025/26191/A/71299,NR/2025/26773/C,NR/2025/26200/A/71790,NR/2025/26233/A/71774,NR/2025/26720/C,NR/2025/26721/C,NR/2025/26769/C,NR/2025/26336/A/71718,SR/2025/17039/C,NR/2025/26723/C,NR/2025/26725/C,NR/2025/26197/A/71799,NR/2025/26265/A/71773,NR/2025/26002/A/71756,NR/2025/26085/A/71252,NR/2025/25855/A/71738,NR/2025/26101/A/71458,NR/2025/26199/A/71794,NR/2025/26198/A/71796,NR/2025/26689/A/71386,NR/2025/25858/A/71739,NR/2025/26289/A/71772,NR/2025/26718/C,NR/2025/26201/A/71786,NR/2025/26719/C,NR/2025/26759/C,NR/2025/26312/A/71326,NR/2025/26232/A/71775,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/4138,GNA/SR/2025/05/13/1025,NR/2025/26153/A/71328,NR/2025/26291/A/71771,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/6957,GNA/SR/2025/05/13/2161,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/2474,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/8068,Total
40,09:45-10:00,10.59,85.45,161,96.3,54.12,48.15,34.67,14.59,4.82,24.08,0,0,0,0,0,52.96,14.59,0,0,0.96,0,0,43.77,43.77,5.78,0,0,96.3,37.21,48.15,86.67,0,4.82,28.89,0,0,62.6,0,0,0,14.44,0,0,0,192.6,192.6,0,26.63,26.63,144.45,28.94,9.22,0,13.48,0,10.59,1719.8200000000002

41,10:00-10:15,12.52,90.57,182,96.3,54.12,48.15,34.67,14.59,4.82,24.08,0,0,0,0,0,52.96,14.59,0,0,0.96,0,0,43.77,43.77,5.78,0,0,96.3,37.21,48.15,86.67,0,4.82,28.89,0,0,62.6,0,0,0,14.44,0,0,0,192.6,192.6,0,26.63,26.63,144.45,28.94,9.12,0,13.48,0,10.59,1747.77

42,10:15-10:30,12.52,95.32,189,96.3,54.12,48.15,34.67,14.59,4.82,24.08,0,0,0,0,0,52.96,14.59,0,0,0.96,0,0,43.77,43.77,5.78,0,0,96.3,37.21,48.15,86.67,0,4.82,28.89,0,0,62.6,0,0,0,14.44,0,0,0,192.6,192.6,0,26.63,26.63,144.45,28.94,9.12,0,13.48,0,10.59,1759.52

43,10:30-10:45,12.52,99.57,196,96.3,54.12,48.15,34.67,14.59,4.82,24.08,0,0,0,0,0,52.96,14.59,0,0,0.96,0,0,43.77,43.77,5.78,0,0,96.3,37.21,48.15,86.67,0,4.82,28.89,0,0,62.6,0,0,0,14.44,0,0,0,192.6,192.6,0,26.63,26.63,144.45,28.94,9.12,0,13.48,0,10.59,1770.77

44,10:45-11:00,12.52,100,203,96.3,54.12,48.15,34.67,14.59,4.82,24.08,0,0,0,0,0,52.96,14.59,0,0,0.96,0,0,43.77,43.77,5.78,0,0,96.3,37.21,48.15,86.67,0,4.82,28.89,0,0,62.6,0,0,0,14.44,0,0,0,192.6,192.6,0,26.63,26.63,144.45,28.94,9.12,0,13.48,0,10.59,1778.2

45,11:00-11:15,13.48,100,207,96.3,54.12,48.15,34.67,14.59,4.82,24.08,0,0,0,0,0,52.96,14.59,0,0,0.96,0,0,43.77,43.77,6.74,0,0,96.3,37.21,48.15,86.67,0,4.82,28.89,0,0,62.6,0,0,0,14.44,0,0,0,192.6,192.6,0,26.63,26.63,144.45,28.94,9.03,0,13.48,0,10.59,1784.0300000000002

46,11:15-11:30,13.48,100,207,96.3,54.12,48.15,34.67,14.59,4.82,24.08,0,0,0,0,0,52.96,14.59,0,0,0.96,0,0,43.77,43.77,6.74,0,0,96.3,37.21,48.15,86.67,0,4.82,28.89,0,0,62.6,0,0,0,14.44,0,0,0,192.6,192.6,0,26.63,26.63,144.45,28.94,9.03,0,13.48,0,10.59,1784.0300000000002

47,11:30-11:45,13.48,100,210,96.3,54.12,48.15,34.67,14.59,4.82,24.08,0,0,0,0,0,52.96,14.59,0,0,0.96,0,0,43.77,43.77,6.74,0,0,96.3,37.21,48.15,86.67,0,4.82,28.89,0,0,62.6,0,0,0,14.44,0,0,0,192.6,192.6,0,26.63,26.63,144.45,28.94,9.03,0,13.48,0,10.59,1787.0300000000002

48,11:45-12:00,13.48,100,210,96.3,54.12,48.15,34.67,14.59,4.82,24.08,0,0,0,0,0,52.96,14.59,0,0,0.96,0,0,43.77,43.77,6.74,0,0,96.3,37.21,48.15,86.67,0,4.82,28.89,0,0,62.6,0,0,0,14.44,0,0,0,192.6,192.6,0,26.63,26.63,144.45,28.94,9.03,0,13.48,0,10.59,1787.0300000000002

49,12:00-12:15,13.48,100,210,96.3,54.12,48.15,34.67,14.59,4.82,24.08,0,0,0,0,0,52.96,14.59,0,0,0.96,0,0,43.77,43.77,6.74,0,0,96.3,37.21,48.15,77.04,0,4.82,28.89,0,0,62.6,0,0,0,14.44,0,0,0,192.6,192.6,0,26.7,26.7,144.45,28.94,9.03,0,13.48,0,10.59,1777.5400000000002

50,12:15-12:30,13.48,100,210,96.3,54.12,48.15,34.67,14.59,4.82,24.08,0,0,0,0,0,52.96,14.59,0,0,0.96,0,0,43.77,43.77,6.74,0,0,96.3,37.21,48.15,77.04,0,4.82,28.89,0,0,62.6,0,0,0,14.44,0,0,0,192.6,192.6,0,26.7,26.7,144.45,28.94,9.03,0,13.48,0,10.59,1777.5400000000002

51,12:30-12:45,13.48,100,210,96.3,54.12,48.15,34.67,14.59,4.82,24.08,0,0,0,0,0,52.96,14.59,0,0,0.96,0,0,43.77,29.46,6.74,0,0,96.3,25.05,48.15,96.3,0,4.82,28.89,0,0,62.6,0,0,0,14.44,0,0,0,192.6,192.6,0,26.7,26.7,144.45,28.94,9.03,0,13.48,0,10.59,1770.3300000000002

52,12:45-13:00,13.48,100,210,96.3,54.12,48.15,34.67,14.59,4.82,24.08,0,0,0,0,0,52.96,14.59,0,0,0.96,0,0,43.77,29.46,6.74,0,0,96.3,25.05,48.15,96.3,0,4.82,28.89,0,0,62.6,0,0,0,14.44,0,0,0,192.6,192.6,0,26.7,26.7,144.45,28.94,9.03,0,13.48,0,10.59,1770.3300000000002

53,13:00-13:15,13.48,100,210,96.3,54.12,48.15,34.67,14.59,4.82,24.08,0,0,0,0,0,52.96,14.59,0,0,0.96,0,0,43.77,29.46,6.74,0,0,96.3,25.05,48.15,96.3,0,4.82,28.89,0,0,62.6,0,0,0,14.44,0,0,0,192.6,192.6,0,26.7,26.7,144.45,28.94,8.85,0,13.48,0,10.59,1770.15

54,13:15-13:30,13.48,100,210,96.3,54.12,48.15,34.67,14.59,4.82,24.08,0,0,0,0,0,52.96,14.59,0,0,0.96,0,0,43.77,29.46,6.74,0,0,96.3,25.05,48.15,96.3,0,4.82,28.89,0,0,62.6,0,0,0,14.44,0,0,0,192.6,192.6,0,26.7,26.7,144.45,28.94,8.85,0,13.48,0,10.59,1770.15

55,13:30-13:45,13.48,100,210,96.3,54.12,48.15,34.67,14.59,4.82,24.08,0,0,0,0,0,52.96,14.59,0,0,0.96,0,0,43.77,29.46,6.74,0,0,96.3,25.05,48.15,96.3,0,4.82,28.89,0,0,62.6,0,0,0,14.44,0,0,0,192.6,192.6,0,26.7,26.7,144.45,28.94,8.85,0,13.48,0,10.59,1770.15

56,13:45-14:00,13.48,100,210,96.3,54.12,48.15,34.67,14.59,4.82,24.08,0,0,0,0,0,52.96,14.59,0,0,0.96,0,0,43.77,29.46,6.74,0,0,96.3,25.05,48.15,96.3,0,4.82,28.89,0,0,62.6,0,0,0,14.44,0,0,0,192.6,192.6,0,26.7,26.7,144.45,28.94,8.85,0,13.48,0,10.59,1770.15

57,14:00-14:15,11.56,100,207,66.89,54.12,48.15,34.67,14.59,0,24.08,4.82,29.41,0,0,4.82,52.96,14.59,0,0,0.96,0,33.7,43.77,29.46,7.7,110.74,0,96.3,25.05,48.15,96.3,0,0,28.89,0,0,62.6,0,0,0,14.44,0,0,0,192.6,192.6,0,26.7,26.7,144.45,28.94,8.85,0,13.48,0,10.59,1910.63

58,14:15-14:30,11.56,100,203,66.89,54.12,48.15,34.67,14.59,0,24.08,4.82,29.41,0,0,4.82,52.96,14.59,0,0,0.96,0,33.7,43.77,29.46,7.7,110.74,0,96.3,25.05,48.15,96.3,0,0,28.89,0,0,62.6,0,0,0,14.44,0,0,0,192.6,192.6,0,26.7,26.7,144.45,28.94,8.85,0,13.48,0,10.59,1906.63

59,14:30-14:45,11.56,98.32,189,66.89,54.12,48.15,34.67,14.59,0,24.08,4.82,29.41,0,0,4.82,52.96,14.59,0,0,0.96,0,33.7,43.77,29.46,7.7,110.74,0,96.3,25.05,48.15,96.3,0,0,28.89,0,0,62.6,0,0,0,14.44,0,0,0,192.6,192.6,0,26.7,26.7,144.45,28.94,8.85,0,13.48,0,10.59,1890.95

60,14:45-15:00,11.56,94.44,179,66.89,54.12,48.15,34.67,14.59,0,24.08,4.82,29.41,0,0,4.82,52.96,14.59,0,0,0.96,0,33.7,43.77,29.46,7.7,110.74,0,96.3,25.05,48.15,96.3,0,0,28.89,0,0,62.6,0,0,0,14.44,0,0,0,192.6,192.6,0,26.7,26.7,144.45,28.94,8.85,0,13.48,0,10.59,1877.0700000000002

61,15:00-15:15,8.67,90.14,165,66.89,54.12,48.15,34.67,14.59,0,24.08,4.82,29.41,0,0,4.82,52.96,14.59,0,0,0.96,0,33.7,43.77,29.46,8.67,110.74,0,96.3,25.05,48.15,96.3,0,0,28.89,0,0,62.6,0,0,0,14.44,0,0,0,192.6,192.6,0,26.7,26.7,144.45,28.94,8.75,0,13.48,0,10.59,1856.75

62,15:15-15:30,8.67,85.53,151,66.89,54.12,48.15,34.67,14.59,0,24.08,4.82,29.41,0,0,4.82,52.96,14.59,0,0,0.96,0,33.7,43.77,29.46,8.67,110.74,0,96.3,25.05,48.15,96.3,0,0,28.89,0,0,62.6,0,0,0,14.44,0,0,0,192.6,192.6,0,26.7,26.7,144.45,28.94,8.75,0,13.48,0,10.59,1838.14

63,15:30-15:45,8.67,80.18,140,66.89,54.12,48.15,34.67,14.59,0,24.08,4.82,29.41,134.82,0,4.82,52.96,14.59,0,0,0.96,0,33.7,43.77,29.46,8.67,110.74,0,96.3,25.05,48.15,96.3,0,0,28.89,0,0,62.6,0,0,0,14.44,0,0,0,192.6,192.6,0,26.7,26.7,144.45,28.94,8.75,0,13.48,0,10.59,1956.6100000000001

64,15:45-16:00,8.67,74.85,130,66.89,54.12,48.15,34.67,14.59,0,24.08,4.82,29.41,134.82,0,4.82,52.96,14.59,0,0,0.96,0,33.7,43.77,29.46,8.67,110.74,0,96.3,25.05,48.15,67.41,0,0,28.89,0,0,62.6,0,0,0,14.44,0,0,0,192.6,192.6,0,26.7,26.7,144.45,28.94,8.75,0,13.48,0,10.59,1912.3900000000003

65,16:00-16:15,5.78,63.79,119,96.3,54.12,48.15,34.67,14.59,4.82,0,0,0,134.82,144.45,0,0,14.59,96.3,0,0.82,0,33.7,43.77,29.46,8.67,110.74,48.15,0,25.04,0,67.41,52.96,4.82,28.89,0,0,62.6,24.08,0,0,14.44,0,0,0,192.6,192.6,0,26.7,26.7,144.45,28.94,9.03,0,13.48,0,10.59,2032.02

66,16:15-16:30,5.78,56.38,109,96.3,54.12,48.15,34.67,14.59,4.82,0,0,0,134.82,144.45,0,0,14.59,96.3,0,0.82,0,33.7,43.77,29.46,8.67,110.74,48.15,0,25.04,0,0,52.96,4.82,28.89,0,0,62.6,24.08,0,0,14.44,0,0,0,192.6,192.6,0,26.7,26.7,144.45,28.94,9.03,0,13.48,0,10.59,1947.1999999999998

67,16:30-16:45,5.78,49.91,95,96.3,54.12,48.15,34.67,14.59,4.82,0,0,0,134.82,144.45,0,0,14.59,96.3,0,0.82,0,33.7,43.77,29.46,8.67,110.74,48.15,0,25.04,0,0,52.96,4.82,28.89,0,0,62.6,24.08,0,0,14.44,0,0,0,192.6,192.6,0,26.7,26.7,144.45,28.94,9.03,0,13.48,0,10.59,1926.7299999999998

68,16:45-17:00,5.78,43.3,81,96.3,54.12,48.15,34.67,14.59,4.82,0,0,0,134.82,0,0,0,14.59,96.3,0,0.82,0,33.7,43.77,29.46,8.67,110.74,48.15,0,25.04,0,0,52.96,4.82,28.89,0,0,62.6,24.08,0,0,14.44,0,0,0,192.6,192.6,0,26.7,26.7,144.45,28.94,9.03,0,13.48,0,10.59,1761.6699999999998

69,17:00-17:15,0,36.82,63,96.3,54.12,48.15,34.67,14.59,4.82,0,0,0,134.82,0,0,0,14.59,96.3,0,0.67,0,33.7,43.77,29.46,9.63,110.74,48.15,0,25.04,0,0,0,4.82,28.89,0,0,62.6,24.08,0,0,14.44,0,0,0,192.6,192.6,0,25.39,25.39,144.45,28.94,9.22,0,13.48,0,10.59,1676.8300000000002

70,17:15-17:30,0,29.67,49,96.3,54.12,48.15,34.67,14.59,4.82,0,0,0,134.82,0,0,0,14.59,96.3,0,0.67,0,33.7,43.77,29.46,9.63,110.74,48.15,0,25.04,0,0,0,4.82,28.89,0,0,62.6,24.08,0,0,14.44,0,0,0,192.6,192.6,0,25.39,25.39,144.45,28.94,9.22,0,13.48,0,10.59,1655.6800000000003

71,17:30-17:45,0,23.33,35,96.3,108.24,48.15,0,14.59,4.82,0,0,0,134.82,0,0,0,14.59,96.3,0,0.67,0,33.7,43.77,29.46,9.63,110.74,48.15,0,25.04,0,96.3,0,4.82,28.89,0,0,62.6,24.08,0,0,14.44,0,0,0,192.6,192.6,0,25.39,25.39,144.45,28.94,9.22,0,13.48,0,10.59,1751.09

72,17:45-18:00,0,17.31,18,96.3,108.24,48.15,0,14.59,4.82,0,0,0,134.82,0,0,0,14.59,96.3,0,0.67,0,33.7,43.77,29.46,9.63,110.74,48.15,0,25.04,0,96.3,0,4.82,28.89,0,0,62.6,24.08,0,0,14.44,0,0,0,192.6,192.6,0,25.39,25.39,144.45,28.94,9.22,0,13.48,0,10.59,1728.07

73,18:00-18:15,0,12.47,7,96.3,162.31,48.15,0,14.59,4.82,0,0,0,134.82,0,0,0,14.59,96.3,192.6,0.67,0,33.7,43.77,29.1,9.63,110.74,48.15,0,24.74,0,96.3,0,4.82,28.89,0,361,62.6,24.08,5.78,14.44,14.44,0,5.78,67.41,0,192.6,0,20.43,29.5,144.45,28.94,9.5,19.26,13.48,28.89,10.59,2267.63

74,18:15-18:30,0,8.61,4,96.3,162.31,48.15,0,14.59,4.82,0,0,0,134.82,0,0,0,14.59,96.3,192.6,0.67,0,33.7,43.77,29.1,9.63,110.74,48.15,0,24.74,0,146.38,0,4.82,28.89,0,361,62.6,24.08,5.78,14.44,14.44,0,5.78,67.41,0,192.6,0,20.43,29.5,144.45,28.94,9.5,19.26,13.48,28.89,10.59,2310.85

75,18:30-18:45,0,0.73,1,96.3,162.31,48.15,0,14.59,4.82,0,0,0,134.82,0,0,0,14.59,96.3,192.6,0.67,0,33.7,43.77,29.1,9.63,110.74,48.15,0,24.74,0,146.38,0,4.82,28.89,0,361,62.6,24.08,5.78,14.44,14.44,0,5.78,67.41,0,192.6,0,20.43,29.5,144.45,28.94,9.5,19.26,13.48,28.89,10.59,2299.9700000000003

76,18:45-19:00,0,0.28,0,96.3,162.31,48.15,0,14.59,4.82,0,0,0,134.82,0,0,0,14.59,96.3,192.6,0.67,0,33.7,43.77,29.1,9.63,110.74,48.15,0,24.74,0,146.38,0,4.82,28.89,0,361,62.6,24.08,5.78,14.44,14.44,0,5.78,67.41,0,192.6,0,20.43,29.5,144.45,28.94,9.5,19.26,13.48,28.89,10.59,2298.52

77,19:00-19:15,0,0.18,0,96.3,162.31,48.15,0,14.59,4.82,0,0,0,134.82,0,0,0,14.59,96.3,192.6,0.72,0,33.7,43.77,29.1,9.63,110.74,48.15,0,24.74,0,146.38,0,4.82,28.89,0,361,62.6,24.08,5.78,14.44,14.44,0,5.78,67.41,0,192.6,0,20.92,20.92,144.45,28.94,9.76,19.26,13.48,28.89,10.59,2290.640000000001

78,19:15-19:30,0,0,0,96.3,162.31,48.15,0,14.59,4.82,0,0,0,134.82,0,0,0,14.59,96.3,192.6,0.72,0,33.7,43.77,29.1,9.63,110.74,48.15,0,24.74,0,146.38,0,4.82,28.89,0,361,62.6,24.08,5.78,14.44,14.44,0,5.78,67.41,0,192.6,0,20.92,20.92,144.45,28.94,9.76,19.26,13.48,28.89,10.59,2290.4600000000005

79,19:30-19:45,0,0,0,96.3,162.31,48.15,0,14.59,4.82,0,0,0,134.82,0,0,0,14.59,96.3,192.6,0.72,0,33.7,43.77,29.1,9.63,110.74,48.15,0,24.74,0,146.38,0,4.82,28.89,0,361,62.6,24.08,5.78,14.44,14.44,0,5.78,67.41,0,192.6,0,29.5,12.33,144.45,28.94,9.76,19.26,13.48,28.89,10.59,2290.4500000000003

80,19:45-20:00,0,0,0,96.3,162.31,48.15,0,14.59,4.82,0,0,0,134.82,0,0,0,14.59,96.3,192.6,0.72,0,33.7,43.77,29.1,9.63,110.74,48.15,0,24.74,0,146.38,0,4.82,28.89,0,361,62.6,24.08,5.78,14.44,14.44,0,5.78,67.41,0,192.6,0,29.5,12.33,144.45,28.94,9.76,19.26,13.48,28.89,10.59,2290.4500000000003

81,20:00-20:15,0,0,0,96.3,162.31,48.15,0,14.59,4.82,0,0,0,134.82,0,0,0,14.59,96.3,192.6,0.77,0,33.7,43.77,29.1,8.67,110.74,48.15,0,24.74,0,146.38,0,4.82,28.89,0,361,62.6,24.08,5.78,14.44,14.44,0,5.78,67.41,0,192.6,0,29.5,29.5,144.45,28.94,9.96,19.26,13.48,28.89,10.59,2306.9100000000003

82,20:15-20:30,0,0,0,96.3,162.31,48.15,0,14.59,4.82,0,0,0,134.82,0,0,0,14.59,96.3,192.6,0.77,0,33.7,43.77,29.1,8.67,110.74,48.15,0,24.74,0,146.38,0,4.82,28.89,0,361,62.6,24.08,5.78,14.44,14.44,0,5.78,67.41,0,192.6,0,29.5,29.5,144.45,28.94,9.96,19.26,13.48,28.89,10.59,2306.9100000000003

83,20:30-20:45,0,0,0,96.3,162.31,48.15,0,14.59,4.82,0,0,0,134.82,0,0,0,14.59,96.3,192.6,0.77,0,33.7,43.77,29.1,8.67,110.74,48.15,0,24.74,0,146.38,0,4.82,28.89,0,361,62.6,24.08,5.78,14.44,14.44,0,5.78,67.41,0,192.6,0,29.5,29.5,144.45,28.94,9.96,19.26,13.48,28.89,10.59,2306.9100000000003

84,20:45-21:00,0,0,0,96.3,162.31,48.15,0,14.59,4.82,0,0,0,134.82,0,0,0,14.59,96.3,192.6,0.77,0,33.7,43.77,29.1,8.67,110.74,48.15,0,24.74,0,146.38,0,4.82,28.89,0,361,62.6,24.08,5.78,14.44,14.44,0,5.78,67.41,0,192.6,0,29.5,29.5,144.45,28.94,9.96,19.26,13.48,28.89,10.59,2306.9100000000003

85,21:00-21:15,0,0,0,96.3,108.24,48.15,0,14.59,4.82,0,0,0,134.82,0,0,0,14.59,96.3,192.6,0.77,0,33.7,43.77,29.1,8.67,110.74,48.15,0,24.74,0,146.38,0,4.82,28.89,0,361,62.6,24.08,5.78,14.44,14.44,0,5.78,67.41,0,192.6,0,29.5,0,144.45,28.94,10.23,19.26,13.48,28.89,10.59,2223.61

86,21:15-21:30,0,0,0,96.3,108.24,48.15,0,14.59,4.82,0,0,0,134.82,0,0,0,14.59,96.3,192.6,0.77,0,33.7,43.77,29.1,8.67,110.74,48.15,0,24.74,0,146.38,0,4.82,28.89,0,352,62.6,24.08,5.78,14.44,14.44,0,5.78,67.41,0,192.6,0,29.5,0,144.45,28.94,10.23,19.26,13.48,28.89,10.59,2214.61

87,21:30-21:45,0,0,0,96.3,54.12,48.15,0,14.59,4.82,0,0,0,134.82,0,0,0,14.59,96.3,192.6,0.77,0,33.7,43.77,29.1,8.67,110.74,48.15,0,24.74,0,146.38,0,4.82,28.89,0,335,62.6,24.08,5.78,14.44,14.44,0,5.78,67.41,0,192.6,0,29.5,0,144.45,28.94,10.23,19.26,13.48,28.89,10.59,2143.4900000000002

88,21:45-22:00,0,0,0,96.3,54.12,48.15,0,14.59,4.82,0,0,0,134.82,0,0,0,14.59,96.3,192.6,0.77,0,33.7,43.77,29.1,8.67,110.74,48.15,0,24.74,0,146.38,0,4.82,28.89,0,301,62.6,24.08,5.78,14.44,14.44,0,5.78,67.41,0,192.6,0,29.5,0,144.45,28.94,10.23,19.26,13.48,28.89,10.59,2109.4900000000002

89,22:00-22:15,0,0,0,96.3,54.12,48.15,0,14.59,4.82,0,0,0,134.82,0,0,0,14.59,96.3,192.6,0.77,0,33.7,43.77,29.1,7.7,110.74,48.15,0,24.74,0,146.38,0,4.82,28.89,0,253,62.6,24.08,5.78,14.44,14.44,0,5.78,67.41,0,192.6,0,29.5,0,144.45,28.94,10.41,19.26,13.48,28.89,10.59,2060.7000000000003

90,22:15-22:30,0,0,0,96.3,54.12,48.15,0,14.59,4.82,0,0,0,134.82,0,0,0,14.59,96.3,192.6,0.77,0,33.7,43.77,29.1,7.7,110.74,48.15,0,24.74,0,146.38,0,4.82,28.89,0,219,62.6,24.08,5.78,14.44,14.44,0,5.78,67.41,0,192.6,0,29.5,0,144.45,28.94,10.41,19.26,13.48,28.89,10.59,2026.7000000000003

91,22:30-22:45,0,0,0,96.3,54.12,48.15,0,14.59,4.82,0,0,0,134.82,0,0,0,14.59,96.3,192.6,0.77,0,33.7,43.77,29.1,7.7,110.74,48.15,0,24.74,0,146.38,0,4.82,28.89,0,159,62.6,24.08,5.78,14.44,14.44,0,5.78,67.41,0,192.6,0,29.5,0,144.45,28.94,10.41,19.26,13.48,28.89,10.59,1966.7000000000003

92,22:45-23:00,0,0,0,96.3,54.12,48.15,0,14.59,4.82,0,0,0,134.82,0,0,0,14.59,96.3,192.6,0.77,0,33.7,43.77,29.1,7.7,110.74,48.15,0,24.74,0,146.38,0,4.82,28.89,0,111,62.6,24.08,5.78,14.44,14.44,0,5.78,67.41,0,192.6,0,29.5,0,144.45,28.94,10.41,19.26,13.48,28.89,10.59,1918.7000000000003

93,23:00-23:15,0,0,0,96.3,54.12,48.15,0,14.59,4.82,0,0,0,134.82,0,0,0,14.59,96.3,192.6,0.77,0,33.7,43.77,29.1,6.74,110.74,48.15,0,24.74,0,146.38,0,4.82,28.89,0,91,62.6,24.08,5.78,14.44,14.44,0,5.78,67.41,0,192.6,0,29.5,0,144.45,28.94,10.41,19.26,13.48,28.89,10.59,1897.7400000000002

94,23:15-23:30,0,0,0,96.3,54.12,48.15,0,14.59,4.82,0,0,0,134.82,0,0,0,14.59,96.3,192.6,0.77,0,33.7,43.77,29.1,6.74,110.74,48.15,0,24.74,0,146.38,0,4.82,28.89,0,98,62.6,24.08,5.78,14.44,14.44,0,5.78,67.41,0,192.6,0,29.5,0,144.45,28.94,10.41,19.26,13.48,28.89,10.59,1904.7400000000002

95,23:30-23:45,0,0,0,96.3,54.12,48.15,0,14.59,4.82,0,0,0,134.82,0,0,0,14.59,96.3,192.6,0.77,0,33.7,43.77,43.77,6.74,110.74,48.15,0,37.21,0,146.38,0,4.82,28.89,0,124,62.6,24.08,5.78,14.44,14.44,0,5.78,67.41,0,192.6,0,29.5,0,144.45,28.94,10.41,19.26,13.48,28.89,10.59,1957.88

96,23:45-24:00,0,0,0,96.3,54.12,48.15,0,14.59,4.82,0,0,0,134.82,0,0,0,14.59,96.3,192.6,0.77,0,33.7,43.77,43.77,6.74,110.74,48.15,0,37.21,0,146.38,0,4.82,28.89,0,148,62.6,24.08,5.78,14.44,14.44,0,5.78,67.41,0,192.6,0,29.5,0,144.45,28.94,10.41,19.26,13.48,28.89,10.59,1981.88

