Block,Time,LT-35,L_NR_2020_02,LT-31,L_NR_2012_02,LT-59,SH-06,SH-07,L_NR_2012_01,L_NR_2012_07,L_NR_2023_04,LT-36,L_NR_2019_11,L_NR_2012_04,LT-05,L_NR_2022_10,L_NR_2021_16,L_NR_2023_07,L_NR_2021_14,L_NR_2019_07,L_NR_2020_05,L_NR_2019_05,L_NR_2021_15,L_NR_2022_08,L_NR_2023_10,L_NR_2020_06,L_NR_2018_61,L_NR_2021_12,L_NR_2022_09,L_NR_2020_07,L_NR_2021_17,L_NR_2021_13,L_NR_2019_19,L_NR_2019_06
1,00:00-00:15,0.000000,6.890000,0.000000,174.110000,8.560000,30.950000,30.950000,101.320000,74.170000,31.720000,0.000000,7.920000,272.050000,58.050000,38.41,0,0,0,0,37.56,0,0,12.65,0,12.52,9.07,0,38.41,12.53,0,0,0,0

2,00:15-00:30,0.000000,6.890000,0.000000,174.110000,8.560000,30.950000,30.950000,101.320000,74.170000,31.720000,0.000000,7.920000,272.050000,58.050000,38.21,0,0,0,0,38.35,0,0,12.82,0,12.78,8.73,0,38.21,12.8,0,0,0,0

3,00:30-00:45,0.000000,6.890000,0.000000,174.110000,8.560000,30.950000,30.950000,101.320000,74.170000,31.720000,0.000000,7.920000,272.050000,58.050000,50.88,0,0,0,0,50.88,0,0,15.5,0,16.96,9.34,0,50.88,16.95,0,0,0,0

4,00:45-01:00,0.000000,6.890000,0.000000,174.110000,8.560000,30.950000,30.950000,101.320000,74.170000,31.720000,0.000000,7.920000,272.050000,58.050000,50.06,0,0,0,0,51.5,0,0,15.57,0,17.17,9.32,0,50.06,17.16,0,0,0,0

5,01:00-01:15,0.000000,7.070000,0.000000,174.110000,8.560000,30.950000,30.950000,101.320000,74.170000,31.720000,0.000000,7.920000,272.050000,58.050000,49.55,0,0,0,0,51.44,0,0,15.51,0,17.15,9.23,0,49.55,17.14,0,0,0,0

6,01:15-01:30,0.000000,7.070000,0.000000,174.110000,8.560000,30.950000,30.950000,101.320000,74.170000,31.720000,0.000000,7.920000,272.050000,58.050000,49.36,0,0,0,0,51.38,0,0,15.48,0,17.13,9.19,0,49.36,17.12,0,0,0,0

7,01:30-01:45,0.000000,7.070000,0.000000,174.110000,8.560000,30.950000,30.950000,101.320000,74.170000,31.720000,0.000000,7.920000,272.050000,58.050000,49.1,0,0,0,0,51.32,0,0,15.44,0,17.11,8.28,0,49.1,17.1,0,0,0,0

8,01:45-02:00,0.000000,7.070000,0.000000,174.110000,8.560000,30.950000,30.950000,101.320000,74.170000,31.720000,0.000000,7.920000,272.050000,58.050000,40.9,0,0,0,0,51.26,0,0,15.38,0,17.09,7.46,0,40.9,17.08,0,0,0,0

9,02:00-02:15,0.000000,6.970000,0.000000,174.110000,8.410000,30.950000,30.950000,101.320000,74.170000,31.720000,0.000000,7.840000,272.050000,58.050000,40.23,0,0,0,0,42.67,0,0,9.56,0,14.23,6.6,0,40.23,14.22,0,0,0,0

10,02:15-02:30,0.000000,6.970000,0.000000,174.110000,8.410000,30.950000,30.950000,101.320000,74.170000,31.720000,0.000000,7.840000,272.050000,58.050000,39.05,0,0,0,0,41.41,0,0,9.2,0,13.8,6.6,0,39.05,13.81,0,0,0,0

11,02:30-02:45,0.000000,6.970000,0.000000,172.850000,8.410000,30.950000,30.950000,101.320000,74.170000,31.720000,0.000000,7.840000,272.050000,58.050000,24.79,0,0,0,0,39.28,0,0,8.78,0,13.09,6.6,0,24.79,13.09,0,0,0,0

12,02:45-03:00,0.000000,6.970000,0.000000,172.850000,8.410000,30.950000,30.950000,101.320000,74.170000,31.720000,0.000000,7.840000,272.050000,58.050000,24,0,0,0,0,37.35,0,0,8.31,0,12.45,6.6,0,24,12.45,0,0,0,0

13,03:00-03:15,0.000000,6.890000,0.000000,172.850000,8.410000,30.950000,30.950000,101.320000,74.170000,31.720000,0.000000,7.540000,272.050000,58.050000,23.42,0,0,0,0,36,0,0,7.99,0,12,6.6,0,23.42,12,0,0,0,0

14,03:15-03:30,0.000000,6.890000,0.000000,172.850000,8.410000,30.950000,30.950000,101.320000,74.170000,31.720000,0.000000,7.540000,272.050000,58.050000,22.73,0,0,0,0,34.44,0,0,7.69,0,11.48,6.6,0,22.73,11.48,0,0,0,0

15,03:30-03:45,0.000000,6.890000,0.000000,172.850000,8.410000,30.950000,30.950000,101.320000,74.170000,31.720000,0.000000,7.540000,272.050000,58.050000,22.41,0,0,0,0,28.26,0,0,7.46,0,9.42,6.6,0,22.41,9.42,0,0,0,0

16,03:45-04:00,0.000000,6.890000,0.000000,172.850000,8.410000,30.950000,30.950000,101.320000,74.170000,31.720000,0.000000,7.540000,272.050000,58.050000,22.09,0,0,0,0,27.37,0,0,7.11,0,9.12,6.6,0,22.09,9.13,0,0,0,0

17,04:00-04:15,0.000000,6.890000,0.000000,172.850000,8.330000,30.950000,30.950000,101.320000,56.100000,30.750000,0.000000,7.540000,272.050000,58.050000,21.55,0,0,0,0,27.15,0,0,6.96,0,9.05,6.6,0,21.55,9.05,0,0,0,0

18,04:15-04:30,0.000000,6.890000,0.000000,172.850000,8.330000,30.950000,30.950000,101.320000,56.100000,30.750000,0.000000,7.540000,272.050000,58.050000,21.54,0,0,0,0,26.65,0,0,6.77,0,8.88,6.6,0,21.54,8.89,0,0,0,0

19,04:30-04:45,0.000000,6.890000,0.000000,172.850000,8.330000,30.950000,30.950000,101.320000,56.100000,30.750000,0.000000,7.540000,272.050000,58.050000,21.53,0,0,0,0,32.33,0,0,11.95,0,10.78,6.6,0,21.53,10.77,0,0,0,0

20,04:45-05:00,0.000000,6.890000,0.000000,172.850000,8.330000,30.950000,30.950000,101.320000,56.100000,30.750000,0.000000,7.540000,272.050000,58.050000,21.21,0,0,0,0,31.22,0,0,11.5,0,10.41,6.6,0,21.21,10.4,0,0,0,0

