Column1,Time,WR/01102023/01102023/L_NR_2020_06,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,WR/01102023/30052048/L_NR_2022_10,L_NR_2019_19,SR/01102023/07102043/L_NR_2018_61,GNA/NR/2024/10/07/4941,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/07/7135,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2024/10/01/9072,GNA/NR/2024/10/01/3642,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/10/01/6101,GNA/NR/2024/10/07/5167,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/10/01/9582,NR/01102023/31102037/L_NR_2019_11,NR/01102023/05012040/L_NR_2020_02,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2024/10/01/4083,NR/01102023/31052040/LT-31,NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/10/01/8106,NR/01102023/30042040/GNA_LT_36,NR/01102023/22052037/LT-59
1,00:00-00:15,7.34,6.66,18.33,0,0,0,0,0,0,18.33,0,6.6,242.52,0,6.48,0,31.29,39.77,39.77,274.3,39.77,48.5,22,0,0,0,7.33,0,0,0,87.5,12.49,4.24,4.02,18.25,238.64,54.57,0,115.99,0,12.49,0,4.37

2,00:15-00:30,7.34,6.66,18.33,0,0,0,0,0,0,18.33,0,6.6,242.52,0,6.48,0,31.29,39.77,39.77,274.3,39.77,48.5,22,0,0,0,7.33,0,0,0,87.5,12.49,4.24,4.02,18.25,238.64,54.57,0,115.99,0,12.49,0,4.37

3,00:30-00:45,7.34,6.66,18.33,0,0,0,0,0,0,18.33,0,6.6,242.52,18.25,6.48,0,31.29,39.77,39.77,274.3,39.77,48.5,22,0,0,0,7.33,0,0,0,87.5,12.49,4.24,4.02,18.25,238.64,54.57,0,70.73,0,12.49,0,4.69

4,00:45-01:00,7.34,6.66,18.33,0,0,0,0,0,0,18.33,0,6.6,242.52,18.25,6.48,0,31.29,39.77,39.77,274.3,39.77,48.5,22,0,0,0,7.33,0,0,0,87.5,12.49,4.24,4.02,18.25,238.64,54.57,0,70.73,0,12.49,0,4.69

5,01:00-01:15,7.34,6.66,18,0,0,0,0,0,0,18,0,6.6,242.52,25.8,6.48,0,31.29,37.47,37.47,274.3,37.47,48.5,22,0,0,0,7.33,0,0,0,87.5,12.49,4.24,4.02,25.8,238.64,54.57,0,70.73,0,12.49,0,4.69

6,01:15-01:30,7.34,6.66,17.67,0,0,0,0,0,0,17.67,0,6.6,242.52,25.8,6.48,0,31.29,37.47,37.47,274.3,37.47,48.5,22,0,0,0,7.33,0,0,0,87.5,12.49,4.24,4.02,25.8,238.64,54.57,0,70.73,0,12.49,0,4.69

7,01:30-01:45,7.34,6.66,14,0,0,0,0,0,0,14,0,6.6,242.52,25.8,6.48,0,31.29,37.47,37.47,274.3,37.47,48.5,22,0,0,0,7.33,0,0,0,87.5,12.49,4.24,4.02,25.8,238.64,54.57,0,70.73,0,12.49,0,4.69

8,01:45-02:00,7.34,6.66,14,0,0,0,0,0,0,14,0,6.6,242.52,25.8,6.48,0,31.29,37.47,37.47,274.3,37.47,48.5,22,0,0,0,7.33,0,0,0,87.5,12.49,4.24,4.02,25.8,238.64,54.57,0,70.73,0,12.49,0,4.69

9,02:00-02:15,7.34,6.66,14,0,0,0,0,0,0,14,0,6.6,242.52,25.8,6.48,0,31.29,37.47,37.47,274.3,37.47,48.5,22,0,0,0,7.33,0,0,0,87.5,12.49,4.09,3.87,25.8,238.64,54.57,0,70.73,0,12.49,0,4.53

10,02:15-02:30,7.34,6.66,14,0,0,0,0,0,0,14,0,6.6,242.52,25.8,6.48,0,31.29,37.47,37.47,274.3,37.47,48.5,22,0,0,0,7.33,0,0,0,87.5,12.49,4.09,3.87,25.8,238.64,54.57,0,70.73,0,12.49,0,4.53

11,02:30-02:45,7.34,6.66,14,0,0,0,0,0,0,14,0,6.6,242.52,25.8,6.48,0,31.29,37.47,37.47,274.3,37.47,48.5,22,0,0,0,7.33,0,0,0,87.5,12.49,4.09,3.87,25.8,238.64,54.57,0,70.73,0,12.49,0,4.53

