Column1,Time,WR/01102023/29112042/L_NR_2019_05,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,L_NR_2019_19,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_17,GNARE/NR/2024/12/20/3668,NR/01102023/13082046/L_NR_2021_12,GNARE/SR/2025/01/13/4532,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,NR/30092023/26122029/SH-06,GNA/NR/2025/04/01/8510,NR/01102023/30042040/GNA_LT_35,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/22052037/LT-59,NR/01102023/30042040/GNA_LT_36,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/5800,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31052040/LT-31,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/04/01/8964,NR/01102023/19072037/LT-05,GNA/NR/2025/05/01/6363,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/8068,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/05/01/8954,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/6957,GNA/NR/2025/04/01/8456,GNA/NR/2025/05/16/9317,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/05/01/4138,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/05/01/7791
1,00:00-00:15,0,28.33,0,85.01,25.67,0,70,0,0,0,35.21,0,0,0,0,0,0,0,28.33,70,26.5,14.27,0,26.75,4.99,0,11.83,0,67.63,87.14,0,100.65,7.07,70.46,14.49,261.43,29.1,28.98,13.53,14.49,28.98,0,20.53,10.63,6.09,5.8,26.5,164.24,10.29,82.12,6.32,0,273.16,0

2,00:15-00:30,0,28.83,0,86.51,25.67,0,70,0,0,0,34.61,0,0,0,0,0,0,0,28.83,70,26.5,14.27,0,26.75,4.99,0,11.83,0,67.63,87.14,0,100.65,7.07,70.46,14.49,261.43,29.1,28.98,13.53,14.49,28.98,0,20.53,10.63,6.09,5.8,26.5,164.24,10.29,82.12,6.32,0,273.16,0

3,00:30-00:45,0,29.33,0,88.01,25.33,0,70,0,0,0,34.61,0,0,0,0,0,0,0,29.33,70,26.5,14.27,0,26.75,4.99,0,11.83,0,67.63,87.14,0,100.65,7.07,70.46,14.49,261.43,29.1,28.98,13.53,14.49,28.98,0,20.53,10.63,6.09,5.8,26.5,164.24,10.29,82.12,6.32,0,273.16,0

4,00:45-01:00,0,30.17,0,90.49,25.33,0,70,0,0,0,34.41,0,0,0,0,0,0,0,30.17,70,26.5,14.27,0,27.25,4.99,0,11.83,0,67.63,87.14,0,100.65,7.07,70.46,14.49,261.43,29.1,28.98,13.53,14.49,28.98,0,20.53,10.63,6.09,5.8,26.5,164.24,10.29,82.12,6.32,0,273.16,0

5,01:00-01:15,0,30.83,0,92.51,26,0,70,0,0,0,36.42,0,0,0,0,0,0,0,30.83,70,26.5,14.27,0,27.25,4.99,0,11.65,0,67.63,67.17,0,100.65,7.07,70.46,14.49,205.69,29.1,28.98,13.53,14.49,28.98,0,20.53,10.63,5.71,5.8,26.5,164.24,10.29,82.12,6.16,0,273.16,0

